year,month,rank_ME,rank_GPA,nstocks,ret_vw
1967,1,1,1,55,14.7639
1967,1,1,2,85,20.5878
1967,1,1,3,92,17.8161
1967,1,1,4,101,19.6853
1967,1,1,5,102,17.2451
1967,1,2,1,49,13.7500
1967,1,2,2,48,18.0970
1967,1,2,3,56,18.3885
1967,1,2,4,49,16.6638
1967,1,2,5,59,14.7582
1967,1,3,1,113,3.9164
1967,1,3,2,97,6.5176
1967,1,3,3,95,10.4892
1967,1,3,4,103,9.3285
1967,1,3,5,104,7.6907
1967,2,1,1,55,4.3834
1967,2,1,2,85,1.5877
1967,2,1,3,92,6.2839
1967,2,1,4,101,6.1178
1967,2,1,5,102,6.5343
1967,2,2,1,49,2.6204
1967,2,2,2,48,0.6022
1967,2,2,3,56,2.8624
1967,2,2,4,49,0.4457
1967,2,2,5,59,4.1196
1967,2,3,1,113,-1.3861
1967,2,3,2,97,-0.1911
1967,2,3,3,95,-0.0974
1967,2,3,4,103,0.9629
1967,2,3,5,104,4.4316
1967,3,1,1,56,10.0310
1967,3,1,2,85,8.4459
1967,3,1,3,92,7.3989
1967,3,1,4,101,7.0191
1967,3,1,5,102,3.6328
1967,3,2,1,49,2.0629
1967,3,2,2,48,8.6575
1967,3,2,3,56,6.2614
1967,3,2,4,49,8.1891
1967,3,2,5,59,6.4990
1967,3,3,1,113,2.2256
1967,3,3,2,97,4.4044
1967,3,3,3,95,4.9244
1967,3,3,4,103,3.8614
1967,3,3,5,104,5.6496
1967,4,1,1,56,5.7060
1967,4,1,2,85,4.4815
1967,4,1,3,92,3.9380
1967,4,1,4,101,6.1937
1967,4,1,5,102,3.8744
1967,4,2,1,49,1.3045
1967,4,2,2,48,5.6678
1967,4,2,3,56,4.3304
1967,4,2,4,49,3.0118
1967,4,2,5,59,6.7900
1967,4,3,1,113,2.5373
1967,4,3,2,97,1.5170
1967,4,3,3,95,4.2300
1967,4,3,4,103,7.5660
1967,4,3,5,104,6.0142
1967,5,1,1,56,-0.4868
1967,5,1,2,85,0.2181
1967,5,1,3,92,1.2182
1967,5,1,4,101,0.2203
1967,5,1,5,102,0.7856
1967,5,2,1,49,-2.3490
1967,5,2,2,48,-2.5229
1967,5,2,3,56,-2.2830
1967,5,2,4,49,-1.0067
