year,month,rank_ME,rank_OLAq_1,nstocks,ret_vw
1976,1,1,1,80,27.5182
1976,1,1,2,69,22.6249
1976,1,1,3,58,23.8645
1976,1,1,4,34,26.6569
1976,1,1,5,39,27.8275
1976,1,2,1,29,22.7221
1976,1,2,2,26,22.3486
1976,1,2,3,34,22.0348
1976,1,2,4,33,19.2213
1976,1,2,5,33,20.3018
1976,1,3,1,38,12.9603
1976,1,3,2,35,13.0300
1976,1,3,3,46,17.3025
1976,1,3,4,56,15.9771
1976,1,3,5,68,10.3749
1976,2,1,1,113,13.6065
1976,2,1,2,75,13.3668
1976,2,1,3,57,9.4002
1976,2,1,4,49,12.9387
1976,2,1,5,44,17.1491
1976,2,2,1,34,8.8063
1976,2,2,2,32,7.5479
1976,2,2,3,40,8.3425
1976,2,2,4,35,5.3502
1976,2,2,5,40,9.6468
1976,2,3,1,34,3.7690
1976,2,3,2,44,2.7951
1976,2,3,3,50,0.1176
1976,2,3,4,63,-0.1136
1976,2,3,5,78,-1.3545
1976,3,1,1,120,2.1954
1976,3,1,2,79,0.7718
1976,3,1,3,60,0.8278
1976,3,1,4,62,3.4032
1976,3,1,5,56,1.5935
1976,3,2,1,36,2.9896
1976,3,2,2,27,5.7418
1976,3,2,3,32,1.9794
1976,3,2,4,34,2.3517
1976,3,2,5,46,1.2070
1976,3,3,1,39,3.8368
1976,3,3,2,48,4.1778
1976,3,3,3,52,3.5466
1976,3,3,4,65,2.3807
1976,3,3,5,75,4.6082
1976,4,1,1,125,-3.8172
1976,4,1,2,78,-1.2114
1976,4,1,3,62,-1.0728
1976,4,1,4,65,-1.2894
1976,4,1,5,55,-3.5055
1976,4,2,1,42,-0.4405
1976,4,2,2,32,-3.2193
1976,4,2,3,34,0.6421
1976,4,2,4,40,-1.1983
1976,4,2,5,43,-2.4822
1976,4,3,1,38,-0.2117
1976,4,3,2,47,-1.9450
1976,4,3,3,54,-0.0725
1976,4,3,4,69,-0.3024
1976,4,3,5,76,-0.8915
1976,5,1,1,101,-3.0640
1976,5,1,2,123,-2.6237
1976,5,1,3,87,-1.2939
1976,5,1,4,85,-1.5204
1976,5,1,5,82,-5.3194
1976,5,2,1,53,-2.9530
1976,5,2,2,52,-1.0085
1976,5,2,3,41,-0.7532
1976,5,2,4,38,1.1258
1976,5,2,5,65,-1.2330
1976,5,3,1,65,-3.4077
1976,5,3,2,55,0.2545
1976,5,3,3,65,-3.4952
1976,5,3,4,85,0.7912
1976,5,3,5,95,0.8636
1976,6,1,1,94,3.7061
1976,6,1,2,129,4.3249
1976,6,1,3,91,4.3475
1976,6,1,4,86,2.1826
1976,6,1,5,73,3.8635
1976,6,2,1,54,2.9197
1976,6,2,2,56,5.5260
1976,6,2,3,47,5.1129
1976,6,2,4,45,6.6091
1976,6,2,5,64,3.1526
1976,6,3,1,65,4.6470
1976,6,3,2,55,5.8370
1976,6,3,3,67,6.0911
1976,6,3,4,84,2.7780
1976,6,3,5,96,2.9897
1976,7,1,1,91,0.1236
1976,7,1,2,127,0.6281
1976,7,1,3,99,-1.1759
1976,7,1,4,85,0.8810
1976,7,1,5,71,-0.8756
1976,7,2,1,58,0.5211
1976,7,2,2,59,-2.5738
1976,7,2,3,40,0.0110
1976,7,2,4,45,0.6902
1976,7,2,5,67,-0.7962
1976,7,3,1,63,-0.2755
1976,7,3,2,52,-1.4419
1976,7,3,3,68,-1.3780
1976,7,3,4,83,-1.9946
1976,7,3,5,94,-1.3807
1976,8,1,1,178,-2.5547
1976,8,1,2,124,-2.4382
1976,8,1,3,94,-2.5713
1976,8,1,4,84,-3.4832
1976,8,1,5,88,-1.7662
1976,8,2,1,71,-3.8446
1976,8,2,2,81,-3.3499
1976,8,2,3,42,-1.8246
1976,8,2,4,60,-0.8821
1976,8,2,5,93,-2.1692
1976,8,3,1,49,0.7534
1976,8,3,2,68,-1.1132
1976,8,3,3,101,-0.8417
1976,8,3,4,106,-1.0064
1976,8,3,5,133,-0.0963
1976,9,1,1,208,-0.7268
1976,9,1,2,133,1.5099
1976,9,1,3,100,2.5393
1976,9,1,4,90,3.4050
1976,9,1,5,91,3.3507
1976,9,2,1,70,3.6300
1976,9,2,2,79,1.6280
1976,9,2,3,49,1.6104
1976,9,2,4,59,5.2885
1976,9,2,5,97,2.2985
1976,9,3,1,47,2.5616
1976,9,3,2,65,1.9924
1976,9,3,3,105,3.0884
1976,9,3,4,110,1.3359
1976,9,3,5,128,3.6968
1976,10,1,1,253,-3.0456
1976,10,1,2,159,-3.8406
1976,10,1,3,121,-3.0060
1976,10,1,4,111,-2.3313
1976,10,1,5,107,-1.2723
1976,10,2,1,73,-5.3396
1976,10,2,2,89,-2.9430
1976,10,2,3,50,-3.6154
1976,10,2,4,66,-0.3679
1976,10,2,5,98,-4.0513
