year,month,rank_ME,rank_OLEq_1,nstocks,ret_vw
1972,1,1,1,76,13.8556
1972,1,1,2,18,9.0466
1972,1,1,3,67,17.1058
1972,1,1,4,69,11.8232
1972,1,1,5,114,15.8363
1972,1,2,1,36,8.5559
1972,1,2,2,26,2.3270
1972,1,2,3,30,5.8242
1972,1,2,4,39,8.6219
1972,1,2,5,40,10.2280
1972,1,3,1,37,4.7047
1972,1,3,2,61,1.6103
1972,1,3,3,46,1.5987
1972,1,3,4,38,0.9672
1972,1,3,5,36,2.9711
1972,2,1,1,71,1.8736
1972,2,1,2,14,6.1592
1972,2,1,3,81,2.6117
1972,2,1,4,76,3.5625
1972,2,1,5,128,6.0820
1972,2,2,1,44,2.9256
1972,2,2,2,33,0.3671
1972,2,2,3,30,4.5079
1972,2,2,4,40,4.0272
1972,2,2,5,52,4.1439
1972,2,3,1,45,0.3351
1972,2,3,2,70,0.5591
1972,2,3,3,53,3.7231
1972,2,3,4,48,4.2779
1972,2,3,5,36,3.3734
1972,3,1,1,77,0.3928
1972,3,1,2,25,-3.7098
1972,3,1,3,74,-1.5134
1972,3,1,4,75,0.1443
1972,3,1,5,129,-0.1346
1972,3,2,1,36,1.4419
1972,3,2,2,33,-1.0405
1972,3,2,3,25,-0.1734
1972,3,2,4,44,2.1787
1972,3,2,5,53,-0.8644
1972,3,3,1,56,3.7613
1972,3,3,2,66,-0.4911
1972,3,3,3,57,1.5115
1972,3,3,4,49,-0.0095
1972,3,3,5,36,3.3978
1972,4,1,1,81,-2.5025
1972,4,1,2,28,-2.4741
1972,4,1,3,73,1.4513
1972,4,1,4,79,1.5892
1972,4,1,5,131,2.4293
1972,4,2,1,40,-1.8054
1972,4,2,2,32,-0.0128
1972,4,2,3,31,0.5769
1972,4,2,4,40,0.4387
1972,4,2,5,56,1.4105
1972,4,3,1,56,-1.6153
1972,4,3,2,69,-0.7188
1972,4,3,3,59,-0.0277
1972,4,3,4,50,2.7664
1972,4,3,5,38,3.0293
1972,5,1,1,130,-1.7113
1972,5,1,2,96,-0.6934
1972,5,1,3,48,-0.4942
1972,5,1,4,61,-3.8359
1972,5,1,5,136,-3.3257
1972,5,2,1,47,-4.5691
1972,5,2,2,38,-0.2884
1972,5,2,3,49,-1.5864
1972,5,2,4,40,-0.4459
1972,5,2,5,63,-2.2038
1972,5,3,1,56,1.0901
1972,5,3,2,70,3.2380
1972,5,3,3,65,-2.0452
1972,5,3,4,80,0.9647
1972,5,3,5,48,4.9613
1972,6,1,1,145,-4.2371
1972,6,1,2,89,-3.7337
1972,6,1,3,44,-4.8805
1972,6,1,4,66,-4.1375
1972,6,1,5,140,-2.9349
1972,6,2,1,50,-5.3863
1972,6,2,2,43,-1.8647
1972,6,2,3,47,-2.6760
1972,6,2,4,41,-1.8931
1972,6,2,5,67,-4.8373
1972,6,3,1,56,-5.3815
1972,6,3,2,70,1.2149
1972,6,3,3,73,-2.4276
1972,6,3,4,76,-2.9133
1972,6,3,5,53,-1.4819
1972,7,1,1,147,-4.7593
1972,7,1,2,93,-1.6846
1972,7,1,3,38,-3.9680
1972,7,1,4,74,-4.1270
1972,7,1,5,150,-5.6402
1972,7,2,1,47,-4.5145
1972,7,2,2,44,-2.2757
1972,7,2,3,45,-1.2946
1972,7,2,4,44,-0.5609
1972,7,2,5,64,-4.5015
1972,7,3,1,62,-4.3436
1972,7,3,2,67,1.1639
1972,7,3,3,78,-0.1525
1972,7,3,4,75,0.4324
1972,7,3,5,49,-3.4942
1972,8,1,1,110,0.9560
1972,8,1,2,67,3.7215
1972,8,1,3,103,1.6806
1972,8,1,4,156,1.0144
1972,8,1,5,204,-1.0197
1972,8,2,1,67,5.0111
1972,8,2,2,49,4.1651
1972,8,2,3,56,2.6981
1972,8,2,4,68,-0.1843
1972,8,2,5,83,0.1346
1972,8,3,1,108,8.6709
1972,8,3,2,130,4.9415
1972,8,3,3,116,2.0727
1972,8,3,4,93,0.5793
1972,8,3,5,67,3.6459
1972,9,1,1,114,-5.9884
1972,9,1,2,61,-4.2328
1972,9,1,3,123,-3.6425
1972,9,1,4,147,-4.1387
1972,9,1,5,230,-4.5104
1972,9,2,1,78,-2.0441
1972,9,2,2,53,-1.3264
1972,9,2,3,62,-2.9999
1972,9,2,4,65,-2.7658
1972,9,2,5,81,-2.8100
1972,9,3,1,110,-1.2949
1972,9,3,2,135,-0.4495
1972,9,3,3,115,-0.6307
1972,9,3,4,103,0.0950
1972,9,3,5,70,-1.4334
1972,10,1,1,116,-2.0095
1972,10,1,2,61,-0.7382
1972,10,1,3,129,-1.8047
1972,10,1,4,145,-1.4404
1972,10,1,5,233,-3.8255
1972,10,2,1,78,-1.7876
1972,10,2,2,52,1.3251
1972,10,2,3,64,-1.4688
1972,10,2,4,72,-0.5891
1972,10,2,5,79,-1.3841
1972,10,3,1,113,1.8652
1972,10,3,2,140,1.5569
1972,10,3,3,113,-0.9916
1972,10,3,4,100,1.1718
1972,10,3,5,69,1.2720
1972,11,1,1,174,5.8471
1972,11,1,2,39,2.5386
1972,11,1,3,127,3.9005
1972,11,1,4,144,5.3381
1972,11,1,5,243,5.1304
1972,11,2,1,82,4.7072
1972,11,2,2,52,7.0485
1972,11,2,3,59,6.2229
1972,11,2,4,68,6.9115
