year,month,rank_ME,rank_OPA,nstocks,ret_vw
1967,1,1,1,159,19.0201
1967,1,1,2,71,20.2851
1967,1,1,3,70,18.6537
1967,1,1,4,61,19.0252
1967,1,1,5,49,15.5463
1967,1,2,1,48,19.7668
1967,1,2,2,46,19.7373
1967,1,2,3,49,16.3592
1967,1,2,4,46,13.9549
1967,1,2,5,37,16.5967
1967,1,3,1,47,12.8360
1967,1,3,2,83,7.3911
1967,1,3,3,84,7.0103
1967,1,3,4,86,9.2047
1967,1,3,5,109,8.7449
1967,2,1,1,159,6.4987
1967,2,1,2,71,4.5833
1967,2,1,3,70,3.4195
1967,2,1,4,61,4.2448
1967,2,1,5,49,7.0669
1967,2,2,1,48,3.2386
1967,2,2,2,46,1.8836
1967,2,2,3,49,0.4537
1967,2,2,4,46,3.7446
1967,2,2,5,37,3.0278
1967,2,3,1,47,-0.0594
1967,2,3,2,83,0.4908
1967,2,3,3,84,0.1765
1967,2,3,4,86,0.2175
1967,2,3,5,109,2.7094
1967,3,1,1,160,6.9189
1967,3,1,2,71,9.5973
1967,3,1,3,70,6.7261
1967,3,1,4,61,8.8328
1967,3,1,5,49,2.0327
1967,3,2,1,48,8.4835
1967,3,2,2,46,6.5258
1967,3,2,3,49,6.3465
1967,3,2,4,46,7.5474
1967,3,2,5,37,7.2967
1967,3,3,1,47,4.8175
1967,3,3,2,83,4.5406
1967,3,3,3,84,3.9901
1967,3,3,4,86,4.3962
1967,3,3,5,109,5.1922
1967,4,1,1,160,5.7410
1967,4,1,2,71,3.0116
1967,4,1,3,70,5.1686
1967,4,1,4,61,2.7438
1967,4,1,5,49,6.5741
1967,4,2,1,48,5.0495
1967,4,2,2,46,3.9394
1967,4,2,3,49,4.1419
1967,4,2,4,46,3.7868
1967,4,2,5,37,7.5517
1967,4,3,1,47,4.7693
1967,4,3,2,83,3.0220
1967,4,3,3,84,2.8824
1967,4,3,4,86,5.9843
1967,4,3,5,109,6.2740
1967,5,1,1,160,1.1270
1967,5,1,2,71,-0.2977
1967,5,1,3,70,0.6000
1967,5,1,4,61,0.9085
1967,5,1,5,49,-0.8286
1967,5,2,1,48,-2.8877
1967,5,2,2,46,-1.7323
1967,5,2,3,49,-2.3961
1967,5,2,4,46,-0.6240
1967,5,2,5,37,-3.4774
1967,5,3,1,47,-1.5234
1967,5,3,2,83,-5.2872
1967,5,3,3,84,-3.3694
1967,5,3,4,86,-4.6757
1967,5,3,5,109,-4.9434
1967,6,1,1,158,13.6377
1967,6,1,2,71,13.7867
1967,6,1,3,70,10.6789
1967,6,1,4,61,9.2925
1967,6,1,5,49,13.2177
1967,6,2,1,48,9.0737
1967,6,2,2,46,9.8913
1967,6,2,3,49,5.0735
1967,6,2,4,46,7.5364
1967,6,2,5,37,7.5276
1967,6,3,1,46,4.1975
1967,6,3,2,83,2.8856
1967,6,3,3,84,1.7389
1967,6,3,4,86,1.6142
1967,6,3,5,109,2.1490
1967,7,1,1,233,10.5627
1967,7,1,2,113,7.8246
1967,7,1,3,81,8.0447
1967,7,1,4,91,10.2880
1967,7,1,5,63,11.1211
1967,7,2,1,60,9.2590
1967,7,2,2,50,11.0478
1967,7,2,3,56,7.1120
1967,7,2,4,51,6.1794
1967,7,2,5,56,7.2266
1967,7,3,1,49,9.6027
1967,7,3,2,84,2.0609
1967,7,3,3,90,7.8975
1967,7,3,4,92,5.3860
1967,7,3,5,109,4.4267
1967,8,1,1,232,-0.5807
1967,8,1,2,113,1.6060
1967,8,1,3,81,-0.0463
1967,8,1,4,91,0.4891
1967,8,1,5,63,2.4431
1967,8,2,1,60,-2.0257
1967,8,2,2,50,0.3939
1967,8,2,3,56,0.5673
1967,8,2,4,51,0.0161
1967,8,2,5,56,1.3033
1967,8,3,1,48,0.9205
1967,8,3,2,84,-0.2229
1967,8,3,3,90,-1.6125
1967,8,3,4,92,-0.3850
1967,8,3,5,109,-0.9010
1967,9,1,1,231,8.6473
1967,9,1,2,113,8.4217
1967,9,1,3,81,8.1232
1967,9,1,4,91,8.4904
1967,9,1,5,63,9.1124
1967,9,2,1,60,2.3298
1967,9,2,2,50,2.9845
1967,9,2,3,56,5.9517
1967,9,2,4,51,3.6356
1967,9,2,5,56,7.1168
1967,9,3,1,48,3.9428
1967,9,3,2,84,2.5043
1967,9,3,3,90,3.3811
1967,9,3,4,92,4.4753
1967,9,3,5,109,4.8616
1967,10,1,1,232,-0.3014
1967,10,1,2,113,0.0002
1967,10,1,3,81,-0.7952
1967,10,1,4,91,-4.1721
1967,10,1,5,63,-3.9714
1967,10,2,1,60,-1.9879
1967,10,2,2,50,-4.6694
1967,10,2,3,55,-3.6524
1967,10,2,4,51,-4.5496
1967,10,2,5,56,-2.9972
1967,10,3,1,48,-2.7058
1967,10,3,2,84,-3.1470
1967,10,3,3,90,-2.5078
1967,10,3,4,92,-3.1994
1967,10,3,5,109,-0.8673
1967,11,1,1,230,-0.8234
1967,11,1,2,113,-1.7524
1967,11,1,3,81,1.7298
1967,11,1,4,91,1.3215
1967,11,1,5,63,1.3829
1967,11,2,1,59,0.6944
1967,11,2,2,50,-0.7462
1967,11,2,3,55,0.4535
1967,11,2,4,51,3.1507
1967,11,2,5,56,0.4075
1967,11,3,1,48,0.1556
1967,11,3,2,84,0.5003
1967,11,3,3,90,0.0345
1967,11,3,4,92,-1.1236
1967,11,3,5,109,1.1042
1967,12,1,1,230,11.8313
1967,12,1,2,113,8.5717
1967,12,1,3,80,7.1184
1967,12,1,4,91,9.4493
1967,12,1,5,63,8.3117
1967,12,2,1,59,10.2713
1967,12,2,2,50,5.1829
1967,12,2,3,55,5.8292
1967,12,2,4,51,5.7438
1967,12,2,5,56,5.8119
1967,12,3,1,48,3.8715
1967,12,3,2,84,2.8171
1967,12,3,3,90,2.0956
1967,12,3,4,92,3.3065
1967,12,3,5,109,2.4725
1968,1,1,1,230,5.0896
1968,1,1,2,113,3.1725
1968,1,1,3,80,1.5717
1968,1,1,4,91,1.9099
1968,1,1,5,63,-0.0246
1968,1,2,1,59,1.0648
1968,1,2,2,50,0.7735
1968,1,2,3,55,0.3741
1968,1,2,4,51,-3.6218
1968,1,2,5,56,-4.0458
1968,1,3,1,48,-6.4675
1968,1,3,2,84,-1.5661
1968,1,3,3,90,-4.3914
1968,1,3,4,92,-6.2665
1968,1,3,5,109,-6.4698
1968,2,1,1,230,-8.4564
1968,2,1,2,113,-7.2048
1968,2,1,3,79,-5.8179
1968,2,1,4,91,-6.3331
1968,2,1,5,63,-5.5421
1968,2,2,1,59,-4.0665
1968,2,2,2,49,-6.3184
1968,2,2,3,55,-5.8840
1968,2,2,4,51,-4.1311
1968,2,2,5,56,-5.2146
1968,2,3,1,48,-5.7196
1968,2,3,2,84,-2.6055
1968,2,3,3,90,-3.1188
1968,2,3,4,91,-3.6386
1968,2,3,5,109,-2.9535
1968,3,1,1,231,-1.9727
1968,3,1,2,113,-0.3471
1968,3,1,3,79,-0.6058
1968,3,1,4,91,-0.9831
1968,3,1,5,63,-0.4250
1968,3,2,1,59,-1.9526
1968,3,2,2,49,-1.3213
1968,3,2,3,55,-0.6475
1968,3,2,4,51,-0.5113
1968,3,2,5,56,-1.0061
1968,3,3,1,48,2.1499
1968,3,3,2,84,-0.1278
1968,3,3,3,90,0.9899
1968,3,3,4,91,1.6118
1968,3,3,5,109,2.3398
1968,4,1,1,231,19.8803
1968,4,1,2,113,18.0767
1968,4,1,3,78,19.2865
1968,4,1,4,91,15.4696
1968,4,1,5,63,14.9168
1968,4,2,1,59,13.8433
1968,4,2,2,49,13.4298
1968,4,2,3,55,15.4172
1968,4,2,4,51,13.4154
1968,4,2,5,56,14.7582
1968,4,3,1,48,14.4981
1968,4,3,2,84,7.0060
1968,4,3,3,90,7.0108
1968,4,3,4,91,10.9334
1968,4,3,5,109,10.8596
1968,5,1,1,230,12.5076
