year,month,rank_ME,rank_OPE,nstocks,ret_vw
1967,1,1,1,165,18.0871
1967,1,1,2,64,20.4657
1967,1,1,3,49,17.9525
1967,1,1,4,62,17.1532
1967,1,1,5,74,18.4094
1967,1,2,1,52,17.4871
1967,1,2,2,42,15.6533
1967,1,2,3,45,12.9962
1967,1,2,4,46,15.7124
1967,1,2,5,50,18.8159
1967,1,3,1,58,7.7080
1967,1,3,2,101,6.7797
1967,1,3,3,119,6.8145
1967,1,3,4,110,7.2279
1967,1,3,5,108,8.6413
1967,2,1,1,165,5.7799
1967,2,1,2,64,3.8168
1967,2,1,3,49,4.1566
1967,2,1,4,62,4.7864
1967,2,1,5,74,6.3620
1967,2,2,1,52,2.7352
1967,2,2,2,42,-0.6079
1967,2,2,3,45,2.1767
1967,2,2,4,46,3.3544
1967,2,2,5,50,3.5977
1967,2,3,1,58,-0.6676
1967,2,3,2,101,-0.3379
1967,2,3,3,119,-0.2118
1967,2,3,4,110,1.2043
1967,2,3,5,108,2.4566
1967,3,1,1,166,6.3333
1967,3,1,2,64,8.5018
1967,3,1,3,49,5.5281
1967,3,1,4,62,6.6842
1967,3,1,5,74,5.9245
1967,3,2,1,52,5.6077
1967,3,2,2,42,7.5701
1967,3,2,3,45,4.6168
1967,3,2,4,46,7.2663
1967,3,2,5,50,5.8403
1967,3,3,1,58,3.8893
1967,3,3,2,101,3.4224
1967,3,3,3,119,3.9028
1967,3,3,4,110,4.0023
1967,3,3,5,108,5.2151
1967,4,1,1,166,5.5076
1967,4,1,2,64,3.3329
1967,4,1,3,49,4.4773
1967,4,1,4,62,4.9359
1967,4,1,5,74,3.9404
1967,4,2,1,52,3.8546
1967,4,2,2,42,1.6080
1967,4,2,3,45,5.1722
1967,4,2,4,46,4.4991
1967,4,2,5,50,5.9995
1967,4,3,1,58,2.4955
1967,4,3,2,101,2.6295
1967,4,3,3,119,2.5258
1967,4,3,4,110,4.1276
1967,4,3,5,108,7.0454
1967,5,1,1,166,1.5893
1967,5,1,2,64,-0.6519
1967,5,1,3,49,0.6649
1967,5,1,4,62,-0.1080
1967,5,1,5,74,0.7668
1967,5,2,1,52,-1.7383
1967,5,2,2,42,-1.3330
1967,5,2,3,45,-1.4266
1967,5,2,4,46,-0.6158
1967,5,2,5,50,-4.2271
1967,5,3,1,58,-3.0052
1967,5,3,2,101,-4.2348
1967,5,3,3,119,-2.4014
1967,5,3,4,110,-5.1949
1967,5,3,5,108,-5.5752
1967,6,1,1,164,12.4964
1967,6,1,2,64,15.1919
1967,6,1,3,49,9.1605
1967,6,1,4,62,12.0529
1967,6,1,5,74,11.2708
1967,6,2,1,52,7.4609
1967,6,2,2,42,8.1575
1967,6,2,3,45,6.0330
1967,6,2,4,46,6.4233
1967,6,2,5,50,6.4788
1967,6,3,1,57,1.8467
1967,6,3,2,101,2.1995
1967,6,3,3,119,1.4664
1967,6,3,4,110,0.5795
1967,6,3,5,108,2.1268
1967,7,1,1,219,9.4777
