year,month,rank_ME,rank_Oq_1,nstocks,ret_vw
1976,1,1,1,8,29.8107
1976,1,1,2,2,25.5411
1976,1,1,3,14,20.1863
1976,1,1,4,15,31.4957
1976,1,1,5,52,22.9058
1976,1,2,1,9,17.0049
1976,1,2,2,10,21.9317
1976,1,2,3,14,24.3716
1976,1,2,4,18,22.7358
1976,1,2,5,21,13.5768
1976,1,3,1,49,12.9333
1976,1,3,2,46,18.7227
1976,1,3,3,40,12.7117
1976,1,3,4,31,13.4377
1976,1,3,5,15,16.7900
1976,2,1,1,12,16.4085
1976,2,1,2,9,20.2761
1976,2,1,3,17,14.8252
1976,2,1,4,34,14.4984
1976,2,1,5,81,13.8957
1976,2,2,1,21,8.8058
1976,2,2,2,21,7.9140
1976,2,2,3,23,6.3321
1976,2,2,4,21,8.9391
1976,2,2,5,33,6.3795
1976,2,3,1,63,-1.2115
1976,2,3,2,56,0.8381
1976,2,3,3,55,3.8963
1976,2,3,4,41,3.8900
1976,2,3,5,19,3.4097
1976,3,1,1,13,5.2943
1976,3,1,2,10,3.0522
1976,3,1,3,21,8.3866
1976,3,1,4,39,1.7692
1976,3,1,5,90,2.2852
1976,3,2,1,20,0.5146
1976,3,2,2,21,0.7891
1976,3,2,3,25,3.4028
1976,3,2,4,23,2.8863
1976,3,2,5,34,0.7646
1976,3,3,1,65,3.8736
1976,3,3,2,62,1.4714
1976,3,3,3,56,1.8998
1976,3,3,4,42,2.0585
1976,3,3,5,18,1.1664
1976,4,1,1,15,-2.4370
1976,4,1,2,14,1.8835
1976,4,1,3,20,-2.8736
1976,4,1,4,39,-2.1115
1976,4,1,5,95,-1.3510
1976,4,2,1,19,0.1417
1976,4,2,2,23,-3.7051
1976,4,2,3,27,-0.5230
1976,4,2,4,26,-0.5015
1976,4,2,5,36,0.5320
1976,4,3,1,64,1.4960
1976,4,3,2,60,-0.0666
1976,4,3,3,57,-0.2572
1976,4,3,4,43,0.1126
1976,4,3,5,17,-1.2906
1976,5,1,1,32,-3.3523
1976,5,1,2,20,-1.4628
1976,5,1,3,30,-3.7902
1976,5,1,4,61,0.1296
1976,5,1,5,144,-1.9344
1976,5,2,1,18,-1.6024
1976,5,2,2,32,-1.4456
1976,5,2,3,33,1.2765
1976,5,2,4,41,2.6120
1976,5,2,5,37,0.6860
1976,5,3,1,92,1.0906
1976,5,3,2,79,-0.7883
1976,5,3,3,66,-2.3194
1976,5,3,4,45,2.0774
1976,5,3,5,28,3.6189
1976,6,1,1,32,4.5974
1976,6,1,2,21,1.8415
1976,6,1,3,37,4.0268
1976,6,1,4,72,3.9014
1976,6,1,5,153,3.6720
1976,6,2,1,19,1.0643
1976,6,2,2,35,7.2063
1976,6,2,3,35,4.6970
1976,6,2,4,36,3.5860
1976,6,2,5,41,4.8851
1976,6,3,1,94,3.1964
1976,6,3,2,80,3.5171
1976,6,3,3,64,4.1896
1976,6,3,4,49,4.3440
1976,6,3,5,27,6.5256
1976,7,1,1,31,2.0905
1976,7,1,2,23,2.4531
1976,7,1,3,41,0.1332
1976,7,1,4,72,-1.4538
1976,7,1,5,155,1.4835
1976,7,2,1,20,-2.4082
1976,7,2,2,35,-1.9105
1976,7,2,3,34,2.6585
1976,7,2,4,37,0.8423
1976,7,2,5,44,-1.1362
1976,7,3,1,98,-0.9316
1976,7,3,2,83,-2.2793
1976,7,3,3,68,-0.2678
1976,7,3,4,47,-1.1393
1976,7,3,5,26,-1.3067
1976,8,1,1,22,0.9043
1976,8,1,2,18,-4.4015
1976,8,1,3,41,-2.1846
1976,8,1,4,67,-0.4320
1976,8,1,5,129,-3.2554
1976,8,2,1,23,-3.2047
1976,8,2,2,32,-4.5659
1976,8,2,3,34,-3.5493
1976,8,2,4,34,-3.4453
1976,8,2,5,46,-4.4872
1976,8,3,1,84,-0.8593
1976,8,3,2,72,-0.0133
1976,8,3,3,64,1.9606
1976,8,3,4,39,-1.5785
1976,8,3,5,19,-2.5384
1976,9,1,1,23,2.0686
1976,9,1,2,23,2.6516
1976,9,1,3,42,1.6539
1976,9,1,4,70,3.8514
1976,9,1,5,136,0.1109
1976,9,2,1,24,3.4865
1976,9,2,2,33,1.3644
1976,9,2,3,32,2.6785
1976,9,2,4,35,4.8951
1976,9,2,5,43,3.0835
1976,9,3,1,83,3.7320
1976,9,3,2,69,1.0110
1976,9,3,3,66,1.3982
1976,9,3,4,41,4.3911
1976,9,3,5,19,2.9172
1976,10,1,1,28,-1.0020
1976,10,1,2,26,-1.5317
1976,10,1,3,44,-2.6080
1976,10,1,4,85,-0.8968
1976,10,1,5,158,-4.0450
1976,10,2,1,25,-3.3668
1976,10,2,2,35,-1.4701
1976,10,2,3,34,-3.3158
1976,10,2,4,36,-3.4879
1976,10,2,5,45,-3.4547
1976,10,3,1,85,-2.5161
1976,10,3,2,70,-2.0043
1976,10,3,3,68,-0.9807
1976,10,3,4,40,-3.2750
1976,10,3,5,19,-2.5318
1976,11,1,1,30,1.1431
1976,11,1,2,25,2.7215
1976,11,1,3,55,4.4914
1976,11,1,4,83,2.7023
1976,11,1,5,184,1.6843
1976,11,2,1,25,4.2390
1976,11,2,2,36,6.1299
1976,11,2,3,33,3.5365
1976,11,2,4,38,4.9017
1976,11,2,5,48,7.2601
1976,11,3,1,83,0.0217
1976,11,3,2,73,0.5791
1976,11,3,3,64,1.5478
1976,11,3,4,44,3.5744
1976,11,3,5,18,4.6924
1976,12,1,1,30,12.4723
1976,12,1,2,24,9.5875
1976,12,1,3,63,11.6738
1976,12,1,4,89,7.8425
1976,12,1,5,190,11.2862
1976,12,2,1,30,8.3801
1976,12,2,2,35,7.8944
1976,12,2,3,32,10.2917
1976,12,2,4,40,7.5049
1976,12,2,5,44,8.8645
1976,12,3,1,85,6.5449
1976,12,3,2,75,5.3556
1976,12,3,3,67,5.0711
1976,12,3,4,39,7.1990
1976,12,3,5,19,10.3892
1977,1,1,1,32,1.7730
1977,1,1,2,26,3.8503
1977,1,1,3,58,4.2814
1977,1,1,4,87,3.9900
1977,1,1,5,190,5.4029
1977,1,2,1,28,-0.8881
1977,1,2,2,38,0.5993
1977,1,2,3,31,0.2234
1977,1,2,4,39,2.5749
1977,1,2,5,46,6.8440
1977,1,3,1,86,-3.4217
1977,1,3,2,75,-6.5919
1977,1,3,3,65,-1.3677
1977,1,3,4,41,0.5563
1977,1,3,5,18,1.6351
1977,2,1,1,46,0.5835
1977,2,1,2,37,-0.2224
1977,2,1,3,61,0.5543
1977,2,1,4,108,-0.3692
1977,2,1,5,236,-2.3441
1977,2,2,1,41,-1.1839
1977,2,2,2,42,0.6107
1977,2,2,3,44,-1.9408
1977,2,2,4,46,-0.2769
1977,2,2,5,47,-2.5118
1977,2,3,1,98,-2.7127
1977,2,3,2,83,-0.6132
1977,2,3,3,71,0.8467
1977,2,3,4,45,-4.0423
1977,2,3,5,25,-5.6239
1977,3,1,1,47,0.7928
1977,3,1,2,43,3.6240
1977,3,1,3,64,0.6635
1977,3,1,4,121,0.5890
1977,3,1,5,248,0.5313
1977,3,2,1,39,-0.1356
1977,3,2,2,41,-0.8031
1977,3,2,3,47,0.4801
1977,3,2,4,44,1.6867
1977,3,2,5,47,0.3657
1977,3,3,1,99,-1.7750
1977,3,3,2,87,-1.6224
1977,3,3,3,68,-0.8068
1977,3,3,4,48,-0.0627
1977,3,3,5,26,-1.1738
1977,4,1,1,45,-1.5818
1977,4,1,2,44,0.5632
1977,4,1,3,69,2.1561
1977,4,1,4,120,2.0803
1977,4,1,5,254,0.4619
1977,4,2,1,41,0.0959
1977,4,2,2,42,1.0952
1977,4,2,3,40,2.6360
1977,4,2,4,46,1.9064
1977,4,2,5,48,3.1792
1977,4,3,1,99,1.0541
1977,4,3,2,86,1.1588
1977,4,3,3,73,-0.4663
1977,4,3,4,45,2.4096
1977,4,3,5,27,3.6609
1977,5,1,1,51,-1.7127
1977,5,1,2,41,-1.9591
1977,5,1,3,69,-1.1848
1977,5,1,4,138,1.1911
1977,5,1,5,278,0.4960
1977,5,2,1,40,0.3348
1977,5,2,2,50,0.2967
1977,5,2,3,49,-1.1739
1977,5,2,4,47,1.3773
1977,5,2,5,62,1.2301
1977,5,3,1,115,-1.6582
1977,5,3,2,99,-2.9889
1977,5,3,3,75,-2.5045
1977,5,3,4,62,0.6270
1977,5,3,5,25,1.1316
1977,6,1,1,54,6.9994
1977,6,1,2,38,8.7452
1977,6,1,3,75,6.9343
1977,6,1,4,134,8.1009
1977,6,1,5,279,7.7316
1977,6,2,1,42,5.9911
1977,6,2,2,47,5.0552
1977,6,2,3,51,5.5835
1977,6,2,4,50,8.9121
1977,6,2,5,61,11.1076
1977,6,3,1,116,5.1105
1977,6,3,2,100,3.1476
1977,6,3,3,75,3.1693
1977,6,3,4,60,2.7977
1977,6,3,5,28,5.8038
1977,7,1,1,57,-3.0225
1977,7,1,2,37,1.5390
1977,7,1,3,73,-0.8510
1977,7,1,4,137,0.7450
1977,7,1,5,279,-0.2494
1977,7,2,1,41,-0.1102
1977,7,2,2,51,-1.2622
1977,7,2,3,50,-2.0214
1977,7,2,4,50,-0.6579
1977,7,2,5,65,-1.7044
1977,7,3,1,115,-1.2291
1977,7,3,2,98,-4.5779
1977,7,3,3,77,-3.5508
1977,7,3,4,61,-1.5211
1977,7,3,5,27,-3.7242
1977,8,1,1,55,0.2545
1977,8,1,2,37,1.0446
1977,8,1,3,79,-0.8570
1977,8,1,4,125,-3.3570
1977,8,1,5,255,-3.1459
1977,8,2,1,36,-0.4957
1977,8,2,2,42,-1.1448
1977,8,2,3,40,-1.9086
1977,8,2,4,55,-2.1801
1977,8,2,5,59,-2.6449
1977,8,3,1,108,-3.5598
1977,8,3,2,86,-1.3526
1977,8,3,3,74,-2.4209
1977,8,3,4,42,-3.8783
1977,8,3,5,24,-2.8789
1977,9,1,1,51,1.4563
1977,9,1,2,44,7.0493
1977,9,1,3,71,0.8627
1977,9,1,4,122,-1.4426
1977,9,1,5,261,1.4364
1977,9,2,1,39,-1.1649
1977,9,2,2,45,2.3632
1977,9,2,3,41,2.3056
1977,9,2,4,53,1.8250
1977,9,2,5,58,0.7429
1977,9,3,1,106,0.7291
1977,9,3,2,82,-1.6625
1977,9,3,3,73,2.0987
1977,9,3,4,45,-0.5674
1977,9,3,5,24,0.7432
1977,10,1,1,47,-0.6636
1977,10,1,2,41,-0.9017
