year,month,rank_ME,rank_RNAq_6,nstocks,ret_vw
1976,1,1,1,81,23.5721
1976,1,1,2,56,24.4316
1976,1,1,3,63,26.2151
1976,1,1,4,41,24.6390
1976,1,1,5,55,27.8205
1976,1,2,1,32,23.8484
1976,1,2,2,24,18.9259
1976,1,2,3,42,18.6852
1976,1,2,4,43,21.3045
1976,1,2,5,34,20.3588
1976,1,3,1,33,19.2150
1976,1,3,2,49,14.4829
1976,1,3,3,49,12.3213
1976,1,3,4,60,17.8357
1976,1,3,5,74,8.2571
1976,2,1,1,131,14.8482
1976,2,1,2,93,15.3197
1976,2,1,3,101,10.3961
1976,2,1,4,78,14.9690
1976,2,1,5,78,12.8592
1976,2,2,1,50,9.6751
1976,2,2,2,55,10.7142
1976,2,2,3,61,5.4864
1976,2,2,4,66,5.2672
1976,2,2,5,54,9.0047
1976,2,3,1,52,3.9440
1976,2,3,2,70,1.0880
1976,2,3,3,82,0.9656
1976,2,3,4,86,0.7449
1976,2,3,5,109,-2.2270
1976,3,1,1,152,2.9816
1976,3,1,2,113,-0.0706
1976,3,1,3,111,2.0663
1976,3,1,4,94,1.7999
1976,3,1,5,96,0.7300
1976,3,2,1,54,3.9656
1976,3,2,2,59,0.3864
1976,3,2,3,65,1.4871
1976,3,2,4,74,1.9089
1976,3,2,5,61,1.6866
1976,3,3,1,59,4.4391
1976,3,3,2,75,1.4414
1976,3,3,3,91,4.5863
1976,3,3,4,92,-0.0675
1976,3,3,5,117,5.2866
1976,4,1,1,157,-4.4547
1976,4,1,2,121,-0.4771
1976,4,1,3,120,-1.9385
1976,4,1,4,101,-1.2880
1976,4,1,5,113,-2.8135
1976,4,2,1,63,1.8554
1976,4,2,2,64,-2.0980
1976,4,2,3,71,1.1908
1976,4,2,4,76,-1.4037
1976,4,2,5,70,-2.1044
1976,4,3,1,61,1.6349
1976,4,3,2,77,-1.5177
1976,4,3,3,93,0.7758
1976,4,3,4,99,-0.5534
1976,4,3,5,125,-1.7942
1976,5,1,1,213,-3.8586
1976,5,1,2,181,-0.4438
1976,5,1,3,168,-2.3265
1976,5,1,4,152,-3.8212
1976,5,1,5,168,-4.1377
1976,5,2,1,88,-0.6564
1976,5,2,2,90,-0.8972
1976,5,2,3,94,0.1663
1976,5,2,4,121,-1.6475
1976,5,2,5,113,-1.6951
1976,5,3,1,73,-0.8026
1976,5,3,2,104,-2.7789
1976,5,3,3,146,0.2406
1976,5,3,4,149,0.8009
1976,5,3,5,190,0.8446
1976,6,1,1,228,4.4698
1976,6,1,2,194,3.5219
1976,6,1,3,184,3.5322
1976,6,1,4,163,3.6321
1976,6,1,5,180,4.3419
1976,6,2,1,94,5.3653
1976,6,2,2,102,6.0586
1976,6,2,3,102,3.2716
1976,6,2,4,129,3.7957
1976,6,2,5,117,4.5033
1976,6,3,1,78,4.0421
1976,6,3,2,109,2.9670
1976,6,3,3,156,2.9093
1976,6,3,4,159,4.4529
1976,6,3,5,198,4.3507
1976,7,1,1,229,0.2800
1976,7,1,2,183,-0.3494
1976,7,1,3,176,0.5175
