year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1967,1,1,1,46,19.3410
1967,1,1,2,17,15.1919
1967,1,1,3,11,21.1896
1967,1,1,4,29,16.7765
1967,1,1,5,36,21.9213
1967,1,2,1,35,14.0576
1967,1,2,2,25,16.2039
1967,1,2,3,21,15.0401
1967,1,2,4,24,18.1260
1967,1,2,5,30,17.7520
1967,1,3,1,63,8.0913
1967,1,3,2,91,5.4807
1967,1,3,3,93,5.5291
1967,1,3,4,91,9.0235
1967,1,3,5,81,9.3954
1967,2,1,1,74,2.9223
1967,2,1,2,29,2.6760
1967,2,1,3,29,1.2954
1967,2,1,4,44,4.5094
1967,2,1,5,53,5.1197
1967,2,2,1,48,1.1093
1967,2,2,2,38,0.7690
1967,2,2,3,33,1.6227
1967,2,2,4,35,2.9981
1967,2,2,5,42,3.1172
1967,2,3,1,90,-1.1065
1967,2,3,2,140,-0.6933
1967,2,3,3,144,-0.0175
1967,2,3,4,135,1.6722
1967,2,3,5,107,3.1174
1967,3,1,1,86,6.7599
1967,3,1,2,31,7.0137
1967,3,1,3,33,9.0708
1967,3,1,4,50,9.3211
1967,3,1,5,63,6.0357
1967,3,2,1,50,5.1169
1967,3,2,2,41,3.1682
1967,3,2,3,39,4.4267
1967,3,2,4,41,7.4356
1967,3,2,5,51,9.9992
1967,3,3,1,92,4.5004
1967,3,3,2,148,3.3291
1967,3,3,3,154,3.0589
1967,3,3,4,144,3.9536
1967,3,3,5,111,6.3484
1967,4,1,1,97,1.8392
1967,4,1,2,37,6.0331
1967,4,1,3,38,8.5965
1967,4,1,4,57,4.0369
1967,4,1,5,75,8.4187
1967,4,2,1,53,3.9075
1967,4,2,2,49,1.5712
1967,4,2,3,42,4.9918
1967,4,2,4,43,2.9808
1967,4,2,5,53,4.7611
1967,4,3,1,92,7.0800
1967,4,3,2,149,2.8101
1967,4,3,3,157,3.1477
1967,4,3,4,149,6.7222
1967,4,3,5,114,4.9796
1967,5,1,1,190,1.6859
1967,5,1,2,89,-0.2803
1967,5,1,3,79,-1.9955
1967,5,1,4,107,-0.5644
1967,5,1,5,143,0.4357
1967,5,2,1,77,-3.4048
1967,5,2,2,71,-2.6954
1967,5,2,3,71,-0.5086
1967,5,2,4,70,-0.4750
1967,5,2,5,89,-0.3562
1967,5,3,1,124,-5.6584
1967,5,3,2,194,-4.0061
1967,5,3,3,208,-3.4786
1967,5,3,4,197,-4.2695
1967,5,3,5,163,-5.4589
1967,6,1,1,201,11.5154
1967,6,1,2,93,12.9910
1967,6,1,3,91,10.3822
1967,6,1,4,122,10.1979
1967,6,1,5,153,14.3796
1967,6,2,1,87,5.9678
1967,6,2,2,77,4.8420
1967,6,2,3,75,7.7965
1967,6,2,4,76,6.6993
1967,6,2,5,96,9.3304
1967,6,3,1,128,0.8304
