year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1967,1,1,1,17,17.0251
1967,1,1,2,4,18.3549
1967,1,1,3,5,18.4634
1967,1,1,4,7,19.5554
1967,1,1,5,8,25.0526
1967,1,2,1,23,15.4189
1967,1,2,2,23,15.7756
1967,1,2,3,23,16.8833
1967,1,2,4,25,18.5813
1967,1,2,5,23,16.7316
1967,1,3,1,77,12.2853
1967,1,3,2,86,5.0314
1967,1,3,3,86,6.0856
1967,1,3,4,83,6.5412
1967,1,3,5,89,10.6604
1967,2,1,1,15,4.5213
1967,2,1,2,4,-1.3359
1967,2,1,3,2,1.6555
1967,2,1,4,10,-0.0643
1967,2,1,5,8,6.4690
1967,2,2,1,36,0.5360
1967,2,2,2,20,0.0706
1967,2,2,3,17,3.6827
1967,2,2,4,23,0.2681
1967,2,2,5,24,4.5465
1967,2,3,1,63,-1.5088
1967,2,3,2,89,-1.0187
1967,2,3,3,92,0.3152
1967,2,3,4,82,3.5909
1967,2,3,5,84,2.7539
1967,3,1,1,16,6.2761
1967,3,1,2,4,6.2675
1967,3,1,3,1,16.1972
1967,3,1,4,10,4.5718
1967,3,1,5,11,12.9318
1967,3,2,1,35,5.8158
1967,3,2,2,23,4.6609
1967,3,2,3,18,7.8433
1967,3,2,4,22,7.3980
1967,3,2,5,21,3.5597
1967,3,3,1,64,4.3114
1967,3,3,2,86,4.2591
1967,3,3,3,92,3.1095
1967,3,3,4,83,5.1981
1967,3,3,5,85,5.4191
1967,4,1,1,18,3.1089
1967,4,1,2,8,4.5817
1967,4,1,3,4,6.6003
1967,4,1,4,8,2.2239
1967,4,1,5,11,7.0371
1967,4,2,1,35,4.1219
1967,4,2,2,19,2.4068
1967,4,2,3,19,4.1804
1967,4,2,4,21,1.3204
1967,4,2,5,19,6.2057
1967,4,3,1,62,6.1641
1967,4,3,2,85,2.0703
1967,4,3,3,89,3.4918
1967,4,3,4,86,4.7789
1967,4,3,5,87,5.1227
1967,5,1,1,36,1.4574
1967,5,1,2,11,-0.2405
1967,5,1,3,10,3.9275
1967,5,1,4,14,-0.3398
1967,5,1,5,27,0.7865
1967,5,2,1,36,-4.8393
1967,5,2,2,27,-1.7474
1967,5,2,3,24,-1.9866
1967,5,2,4,19,-1.2487
1967,5,2,5,28,-0.4010
1967,5,3,1,69,-6.2542
1967,5,3,2,91,-4.4717
1967,5,3,3,95,-4.6440
1967,5,3,4,99,-4.8141
1967,5,3,5,87,-3.3091
1967,6,1,1,38,3.4692
1967,6,1,2,10,1.0150
1967,6,1,3,16,11.0461
1967,6,1,4,15,9.7154
1967,6,1,5,32,16.8513
1967,6,2,1,45,5.1706
1967,6,2,2,27,5.4821
1967,6,2,3,22,3.7750
1967,6,2,4,20,8.9896
1967,6,2,5,26,12.9041
1967,6,3,1,63,0.2799
1967,6,3,2,94,1.1045
1967,6,3,3,94,2.3382
1967,6,3,4,99,3.0363
1967,6,3,5,89,2.4132
1967,7,1,1,45,10.2819
1967,7,1,2,14,10.3859
1967,7,1,3,14,8.7891
1967,7,1,4,21,9.3482
1967,7,1,5,34,4.8725
1967,7,2,1,44,8.4772
1967,7,2,2,26,6.0525
1967,7,2,3,23,11.1400
1967,7,2,4,22,8.3777
1967,7,2,5,24,8.1614
1967,7,3,1,64,7.4179
1967,7,3,2,93,6.1903
1967,7,3,3,96,0.6917
1967,7,3,4,96,3.4704
1967,7,3,5,91,5.6802
1967,8,1,1,48,3.1432
1967,8,1,2,22,3.6539
1967,8,1,3,12,-3.1642
1967,8,1,4,30,-0.7650
1967,8,1,5,42,-1.3861
1967,8,2,1,40,0.0335
1967,8,2,2,24,0.4396
1967,8,2,3,29,1.3657
1967,8,2,4,18,0.4387
1967,8,2,5,28,0.6175
1967,8,3,1,65,0.3911
1967,8,3,2,87,-1.2024
1967,8,3,3,85,-1.0151
1967,8,3,4,91,-0.7643
1967,8,3,5,82,-1.2411
1967,9,1,1,63,7.8751
1967,9,1,2,20,6.1560
1967,9,1,3,13,3.7555
1967,9,1,4,32,6.2515
1967,9,1,5,42,9.4059
1967,9,2,1,40,5.2131
1967,9,2,2,24,-0.0823
1967,9,2,3,27,1.9389
1967,9,2,4,22,4.0356
1967,9,2,5,37,6.3319
1967,9,3,1,64,5.4001
1967,9,3,2,88,3.2680
1967,9,3,3,86,1.0270
1967,9,3,4,93,3.1534
1967,9,3,5,79,5.4455
1967,10,1,1,68,-2.5407
1967,10,1,2,22,1.1017
1967,10,1,3,13,-4.0559
1967,10,1,4,36,-0.3471
1967,10,1,5,43,-2.5119
1967,10,2,1,45,-7.6567
1967,10,2,2,21,-4.8831
