year,month,rank_ME,rank_ATO,nstocks,ret_vw
1967,1,1,1,16,13.8580
1967,1,1,2,19,17.1224
1967,1,1,3,18,17.6123
1967,1,1,4,21,18.2930
1967,1,1,5,43,21.5532
1967,1,2,1,22,15.0732
1967,1,2,2,13,15.9191
1967,1,2,3,11,19.0585
1967,1,2,4,27,17.4567
1967,1,2,5,14,24.2060
1967,1,3,1,45,7.5856
1967,1,3,2,46,6.2668
1967,1,3,3,47,7.5472
1967,1,3,4,37,9.4745
1967,1,3,5,44,9.2050
1967,2,1,1,16,7.1317
1967,2,1,2,19,2.8607
1967,2,1,3,18,5.1991
1967,2,1,4,21,2.1302
1967,2,1,5,43,4.5584
1967,2,2,1,22,3.6185
1967,2,2,2,13,1.9423
1967,2,2,3,11,1.8399
1967,2,2,4,27,1.3619
1967,2,2,5,14,4.3023
1967,2,3,1,45,-0.1108
1967,2,3,2,46,-0.8751
1967,2,3,3,47,4.9543
1967,2,3,4,37,4.6072
1967,2,3,5,44,0.4920
1967,3,1,1,16,14.5361
1967,3,1,2,19,7.1795
1967,3,1,3,18,4.7851
1967,3,1,4,21,6.4420
1967,3,1,5,43,10.9279
1967,3,2,1,22,4.3425
1967,3,2,2,13,7.1431
1967,3,2,3,11,8.0446
1967,3,2,4,27,8.6537
1967,3,2,5,14,3.6695
1967,3,3,1,45,3.5021
1967,3,3,2,46,5.7171
1967,3,3,3,47,4.0875
1967,3,3,4,37,4.0925
1967,3,3,5,44,4.5127
1967,4,1,1,16,6.2770
1967,4,1,2,19,8.4989
1967,4,1,3,18,5.5118
1967,4,1,4,21,3.1715
1967,4,1,5,43,6.0761
1967,4,2,1,22,5.2160
1967,4,2,2,13,-0.9915
1967,4,2,3,11,5.6250
1967,4,2,4,27,3.2754
1967,4,2,5,14,4.2934
1967,4,3,1,45,1.0031
1967,4,3,2,46,3.0146
1967,4,3,3,47,5.1886
1967,4,3,4,37,4.3198
1967,4,3,5,44,9.5814
1967,5,1,1,16,0.0384
1967,5,1,2,19,-2.9103
1967,5,1,3,18,3.1406
1967,5,1,4,21,-1.1151
1967,5,1,5,43,1.3998
1967,5,2,1,22,-3.8464
1967,5,2,2,13,-4.6442
1967,5,2,3,11,-6.9972
1967,5,2,4,27,1.8678
1967,5,2,5,14,-2.3492
1967,5,3,1,45,-5.0480
1967,5,3,2,46,-4.6443
1967,5,3,3,47,-3.8859
1967,5,3,4,37,-5.5047
1967,5,3,5,44,-6.1577
1967,6,1,1,16,13.1895
1967,6,1,2,19,8.3503
1967,6,1,3,18,14.6433
1967,6,1,4,21,10.5221
1967,6,1,5,43,19.2500
1967,6,2,1,22,6.7992
1967,6,2,2,13,9.6471
1967,6,2,3,11,6.6049
1967,6,2,4,27,8.0345
1967,6,2,5,14,11.3841
1967,6,3,1,45,1.0431
1967,6,3,2,46,1.2999
1967,6,3,3,47,4.4469
1967,6,3,4,36,1.2387
1967,6,3,5,44,2.6095
1967,7,1,1,25,16.2897
1967,7,1,2,22,7.3670
1967,7,1,3,31,12.1856
1967,7,1,4,41,9.1436
1967,7,1,5,52,9.6262
1967,7,2,1,23,7.8562
1967,7,2,2,22,6.2336
1967,7,2,3,18,15.4468
1967,7,2,4,27,10.0261
1967,7,2,5,23,4.5054
1967,7,3,1,58,0.9218
1967,7,3,2,55,3.9540
1967,7,3,3,55,6.4732
1967,7,3,4,51,4.9184
1967,7,3,5,54,8.9825
1967,8,1,1,25,3.4840
1967,8,1,2,22,-0.5517
1967,8,1,3,31,0.3934
1967,8,1,4,41,-0.6413
1967,8,1,5,52,-0.2043
1967,8,2,1,23,-0.4547
1967,8,2,2,22,-0.5542
1967,8,2,3,18,1.3754
1967,8,2,4,27,-0.1211
1967,8,2,5,23,0.2653
1967,8,3,1,58,-0.5899
1967,8,3,2,55,-1.0526
1967,8,3,3,55,-0.2075
1967,8,3,4,51,-1.4102
1967,8,3,5,53,-0.7358
1967,9,1,1,25,2.3187
1967,9,1,2,22,8.3949
1967,9,1,3,31,7.0379
1967,9,1,4,41,11.3982
1967,9,1,5,52,9.8049
1967,9,2,1,23,1.4866
1967,9,2,2,22,4.9478
1967,9,2,3,18,5.1667
1967,9,2,4,27,6.7252
1967,9,2,5,23,4.6891
1967,9,3,1,58,2.3494
1967,9,3,2,55,6.4753
1967,9,3,3,55,3.8357
1967,9,3,4,51,4.4548
1967,9,3,5,53,3.0690
1967,10,1,1,25,-2.4840
1967,10,1,2,22,-2.6508
1967,10,1,3,31,-3.8431
1967,10,1,4,41,-2.3209
1967,10,1,5,52,-1.8253
1967,10,2,1,23,-3.9285
1967,10,2,2,22,-4.7587
1967,10,2,3,18,-4.0134
1967,10,2,4,27,-3.6449
1967,10,2,5,23,-1.3555
1967,10,3,1,58,-3.3759
1967,10,3,2,55,0.6772
1967,10,3,3,55,-2.1952
1967,10,3,4,51,-4.1567
1967,10,3,5,53,-2.2884
1967,11,1,1,25,-3.0151
1967,11,1,2,22,0.8981
1967,11,1,3,31,-0.0621
1967,11,1,4,41,-0.1020
1967,11,1,5,52,0.8338
1967,11,2,1,23,3.2569
1967,11,2,2,22,1.2806
1967,11,2,3,18,-0.7572
1967,11,2,4,27,-0.0269
1967,11,2,5,23,0.9616
1967,11,3,1,58,-0.2844
1967,11,3,2,55,-0.0542
1967,11,3,3,55,1.2612
1967,11,3,4,51,2.1587
1967,11,3,5,53,-0.2565
1967,12,1,1,24,10.5307
1967,12,1,2,22,8.2397
1967,12,1,3,31,10.8898
1967,12,1,4,41,9.9878
1967,12,1,5,52,9.0076
1967,12,2,1,23,6.9703
1967,12,2,2,22,8.6099
1967,12,2,3,18,7.8738
1967,12,2,4,27,7.6710
1967,12,2,5,23,7.2574
1967,12,3,1,58,2.5505
1967,12,3,2,55,3.2548
1967,12,3,3,55,2.4858
1967,12,3,4,51,3.1197
1967,12,3,5,53,-0.4775
1968,1,1,1,25,5.1398
1968,1,1,2,22,2.4925
1968,1,1,3,31,2.3395
1968,1,1,4,40,3.6654
1968,1,1,5,52,4.6608
1968,1,2,1,23,-0.2849
1968,1,2,2,22,2.6130
1968,1,2,3,18,-1.1375
1968,1,2,4,27,-1.3018
1968,1,2,5,23,0.4612
1968,1,3,1,58,-1.9319
1968,1,3,2,55,-5.0579
1968,1,3,3,55,-4.9818
1968,1,3,4,51,-6.9969
1968,1,3,5,53,-7.3555
1968,2,1,1,25,-6.2710
1968,2,1,2,21,-4.9662
1968,2,1,3,31,-5.8176
1968,2,1,4,40,-10.5185
1968,2,1,5,52,-6.1334
1968,2,2,1,23,-3.5825
1968,2,2,2,21,-2.5831
1968,2,2,3,18,-6.7971
1968,2,2,4,27,-4.2900
1968,2,2,5,23,-4.0184
1968,2,3,1,58,-2.7469
1968,2,3,2,55,-2.8254
1968,2,3,3,55,-2.6196
1968,2,3,4,50,-3.7189
1968,2,3,5,53,-1.4089
1968,3,1,1,25,-2.7592
1968,3,1,2,22,-3.9197
1968,3,1,3,31,-1.1364
1968,3,1,4,40,0.0603
1968,3,1,5,52,-1.4756
1968,3,2,1,23,1.3203
1968,3,2,2,21,-3.9211
1968,3,2,3,18,-0.2106
1968,3,2,4,27,-1.9565
1968,3,2,5,23,-0.5942
1968,3,3,1,58,-0.8771
1968,3,3,2,55,2.1251
1968,3,3,3,55,1.3032
1968,3,3,4,50,1.3162
1968,3,3,5,53,1.0888
1968,4,1,1,25,19.5364
1968,4,1,2,22,18.2349
1968,4,1,3,31,17.9199
1968,4,1,4,40,18.9075
1968,4,1,5,52,18.5085
1968,4,2,1,23,13.0772
1968,4,2,2,21,15.3789
1968,4,2,3,18,14.7894
1968,4,2,4,27,15.8645
1968,4,2,5,23,13.0534
1968,4,3,1,58,4.5803
1968,4,3,2,55,9.3211
1968,4,3,3,55,12.9025
1968,4,3,4,50,10.2497
1968,4,3,5,53,11.8373
1968,5,1,1,25,9.6754
1968,5,1,2,22,6.8646
1968,5,1,3,31,12.0652
1968,5,1,4,40,12.0078
1968,5,1,5,52,12.6723
1968,5,2,1,23,7.0174
1968,5,2,2,21,6.7846
1968,5,2,3,18,11.1293
1968,5,2,4,27,8.7118
1968,5,2,5,23,9.0185
1968,5,3,1,58,0.5857
1968,5,3,2,55,2.6201
1968,5,3,3,55,2.4358
1968,5,3,4,50,2.6206
1968,5,3,5,53,-0.2310
1968,6,1,1,25,-1.2254
1968,6,1,2,22,4.6766
1968,6,1,3,31,2.1878
1968,6,1,4,40,0.2927
1968,6,1,5,52,0.5842
1968,6,2,1,23,4.6576
1968,6,2,2,21,-2.8841
1968,6,2,3,18,-2.6406
1968,6,2,4,27,-0.2627
1968,6,2,5,23,4.2013
1968,6,3,1,58,1.7920
1968,6,3,2,55,0.0508
1968,6,3,3,55,-1.0222
1968,6,3,4,50,-0.1755
1968,6,3,5,53,-1.2297
1968,7,1,1,56,-1.5099
1968,7,1,2,61,-1.9797
1968,7,1,3,64,-4.5979
1968,7,1,4,97,-3.6162
1968,7,1,5,125,-4.2982
1968,7,2,1,40,-3.4622
1968,7,2,2,33,-2.8510
1968,7,2,3,40,-1.8258
1968,7,2,4,53,-5.0190
1968,7,2,5,42,-4.1607
1968,7,3,1,88,1.0949
1968,7,3,2,86,-0.5575
1968,7,3,3,77,-4.8143
1968,7,3,4,61,-4.8218
1968,7,3,5,80,-5.2900
1968,8,1,1,56,5.6871
1968,8,1,2,61,4.4982
1968,8,1,3,64,4.0773
1968,8,1,4,97,3.6661
1968,8,1,5,125,4.8050
1968,8,2,1,40,4.3637
1968,8,2,2,33,3.7155
1968,8,2,3,40,5.1812
1968,8,2,4,53,5.4795
1968,8,2,5,42,3.1708
1968,8,3,1,88,1.5451
1968,8,3,2,86,1.5950
1968,8,3,3,77,2.2356
1968,8,3,4,60,0.4875
1968,8,3,5,80,2.1791
1968,9,1,1,56,10.6731
1968,9,1,2,61,8.2954
1968,9,1,3,64,6.0051
1968,9,1,4,97,6.9190
1968,9,1,5,125,5.9412
1968,9,2,1,40,6.1694
1968,9,2,2,33,8.5570
1968,9,2,3,40,6.6595
1968,9,2,4,53,6.5165
1968,9,2,5,42,7.0014
1968,9,3,1,88,5.0933
1968,9,3,2,86,2.8636
1968,9,3,3,77,5.5463
1968,9,3,4,60,4.4224
1968,9,3,5,80,3.2738
1968,10,1,1,56,-2.4486
1968,10,1,2,61,-0.1807
1968,10,1,3,64,1.2250
1968,10,1,4,97,0.2447
1968,10,1,5,125,1.2934
1968,10,2,1,40,-1.2644
1968,10,2,2,33,1.0410
1968,10,2,3,39,0.8407
1968,10,2,4,53,1.8380
1968,10,2,5,42,1.2461
1968,10,3,1,88,2.6942
1968,10,3,2,86,-0.9160
1968,10,3,3,77,-0.1100
1968,10,3,4,60,3.4088
1968,10,3,5,80,-0.6944
1968,11,1,1,56,5.8994
1968,11,1,2,61,7.4462
1968,11,1,3,64,6.6850
1968,11,1,4,97,8.1763
1968,11,1,5,125,8.0973
1968,11,2,1,40,5.8058
1968,11,2,2,33,7.8826
1968,11,2,3,40,8.1587
1968,11,2,4,53,9.8008
1968,11,2,5,42,8.7284
1968,11,3,1,88,5.3257
1968,11,3,2,86,6.6495
1968,11,3,3,77,5.0288
1968,11,3,4,60,2.3849
1968,11,3,5,80,5.1180
1968,12,1,1,56,2.8555
1968,12,1,2,61,5.0117
1968,12,1,3,64,0.5146
1968,12,1,4,97,1.1769
1968,12,1,5,125,1.6129
1968,12,2,1,40,-0.0186
