year,month,rank_ME,rank_CLA,nstocks,ret_vw
1967,1,1,1,140,20.9121
1967,1,1,2,61,19.9753
1967,1,1,3,63,18.5365
1967,1,1,4,34,17.4085
1967,1,1,5,40,13.9299
1967,1,2,1,46,21.6073
1967,1,2,2,47,18.5538
1967,1,2,3,46,16.1596
1967,1,2,4,33,12.3290
1967,1,2,5,28,14.6410
1967,1,3,1,49,11.1632
1967,1,3,2,73,7.1682
1967,1,3,3,70,6.9452
1967,1,3,4,98,8.2971
1967,1,3,5,103,8.9325
1967,2,1,1,139,5.7667
1967,2,1,2,61,6.2088
1967,2,1,3,63,3.3163
1967,2,1,4,34,2.5364
1967,2,1,5,40,5.2362
1967,2,2,1,46,1.4515
1967,2,2,2,47,1.9002
1967,2,2,3,46,2.4737
1967,2,2,4,33,2.8612
1967,2,2,5,28,2.2869
1967,2,3,1,49,1.7218
1967,2,3,2,73,-0.4108
1967,2,3,3,70,0.9305
1967,2,3,4,98,-0.3390
1967,2,3,5,103,2.4701
1967,3,1,1,140,7.3367
1967,3,1,2,61,7.4887
1967,3,1,3,63,7.9429
1967,3,1,4,34,4.2282
1967,3,1,5,40,2.8744
1967,3,2,1,46,10.4166
1967,3,2,2,47,7.6670
1967,3,2,3,46,4.5311
1967,3,2,4,33,7.9415
1967,3,2,5,28,7.1973
1967,3,3,1,49,4.8936
1967,3,3,2,73,4.7777
1967,3,3,3,70,3.4921
1967,3,3,4,98,5.0275
1967,3,3,5,103,4.9358
1967,4,1,1,140,6.1877
1967,4,1,2,61,4.8444
1967,4,1,3,63,2.0641
1967,4,1,4,34,5.3084
1967,4,1,5,40,6.6605
1967,4,2,1,46,5.3538
1967,4,2,2,47,3.5843
1967,4,2,3,46,3.2106
1967,4,2,4,33,3.4364
1967,4,2,5,28,6.0787
1967,4,3,1,49,8.1409
1967,4,3,2,73,4.3624
1967,4,3,3,70,2.4652
1967,4,3,4,98,3.2589
1967,4,3,5,103,6.3766
1967,5,1,1,140,0.1081
1967,5,1,2,61,0.3974
1967,5,1,3,63,2.4641
1967,5,1,4,34,2.8753
1967,5,1,5,40,-1.4095
1967,5,2,1,46,-3.0782
1967,5,2,2,47,-1.7763
1967,5,2,3,46,-1.5337
1967,5,2,4,33,-1.8735
1967,5,2,5,28,-1.9905
1967,5,3,1,49,-4.4143
1967,5,3,2,73,-5.1581
1967,5,3,3,70,-4.8469
1967,5,3,4,98,-2.8400
1967,5,3,5,103,-5.1185
1967,6,1,1,140,15.5981
1967,6,1,2,61,13.8225
1967,6,1,3,63,9.8731
1967,6,1,4,34,7.6935
1967,6,1,5,40,11.9277
1967,6,2,1,46,10.7963
1967,6,2,2,47,6.7016
1967,6,2,3,46,8.6917
1967,6,2,4,33,5.1058
1967,6,2,5,28,4.1590
1967,6,3,1,48,5.2136
1967,6,3,2,73,2.3767
1967,6,3,3,70,2.6522
1967,6,3,4,98,1.1885
1967,6,3,5,103,1.9147
1967,7,1,1,128,9.5239
1967,7,1,2,99,8.9018
1967,7,1,3,56,9.5080
1967,7,1,4,62,13.1805
1967,7,1,5,51,10.8146
1967,7,2,1,58,8.9200
1967,7,2,2,38,8.8020
1967,7,2,3,56,8.5762
1967,7,2,4,39,9.6811
1967,7,2,5,43,7.2296
1967,7,3,1,60,5.0371
1967,7,3,2,72,10.6074
1967,7,3,3,79,6.9106
1967,7,3,4,94,2.1393
1967,7,3,5,106,4.2280
1967,8,1,1,128,-1.7716
1967,8,1,2,99,0.6953
1967,8,1,3,56,3.6443
1967,8,1,4,62,-0.9555
1967,8,1,5,51,3.9500
1967,8,2,1,58,-2.9096
1967,8,2,2,38,-0.4214
1967,8,2,3,56,0.7893
1967,8,2,4,39,1.8714
1967,8,2,5,43,0.4292
1967,8,3,1,59,0.7247
1967,8,3,2,72,-0.3882
1967,8,3,3,79,-0.6076
1967,8,3,4,94,-0.9024
1967,8,3,5,106,-1.0393
1967,9,1,1,128,7.4636
1967,9,1,2,99,6.7081
1967,9,1,3,56,7.7043
1967,9,1,4,62,8.5276
1967,9,1,5,51,6.6196
1967,9,2,1,58,3.6690
1967,9,2,2,38,5.4662
1967,9,2,3,56,3.7472
1967,9,2,4,39,2.9406
1967,9,2,5,43,6.5754
1967,9,3,1,59,3.3989
1967,9,3,2,72,3.9295
1967,9,3,3,79,3.1041
1967,9,3,4,94,3.2002
1967,9,3,5,106,4.7799
1967,10,1,1,128,-0.3298
1967,10,1,2,99,-3.1945
1967,10,1,3,56,-4.8418
1967,10,1,4,62,-0.7697
1967,10,1,5,51,-1.9601
1967,10,2,1,58,-2.0850
1967,10,2,2,38,-4.2587
1967,10,2,3,55,-3.6629
1967,10,2,4,39,-5.6012
1967,10,2,5,43,-3.4441
1967,10,3,1,59,-0.5663
1967,10,3,2,72,-3.0571
1967,10,3,3,79,-4.5701
1967,10,3,4,94,-2.4454
1967,10,3,5,106,-1.1034
1967,11,1,1,128,-2.0506
1967,11,1,2,99,2.7076
1967,11,1,3,56,1.1269
1967,11,1,4,62,-0.7337
1967,11,1,5,51,2.8248
1967,11,2,1,57,2.1982
1967,11,2,2,38,0.8848
1967,11,2,3,55,-1.5143
1967,11,2,4,39,-0.1152
1967,11,2,5,43,1.7557
1967,11,3,1,59,2.3553
1967,11,3,2,72,-1.0312
1967,11,3,3,79,0.5150
1967,11,3,4,94,-0.1525
1967,11,3,5,106,0.8600
1967,12,1,1,127,9.8301
1967,12,1,2,99,10.3447
1967,12,1,3,55,6.9180
1967,12,1,4,62,7.3143
1967,12,1,5,51,5.6604
1967,12,2,1,57,9.0599
1967,12,2,2,38,7.4746
1967,12,2,3,55,5.3025
1967,12,2,4,39,5.9474
1967,12,2,5,43,5.4857
1967,12,3,1,59,1.2914
1967,12,3,2,72,0.7937
1967,12,3,3,79,4.4102
1967,12,3,4,94,2.9485
1967,12,3,5,106,2.5841
1968,1,1,1,127,1.9983
1968,1,1,2,98,3.3039
1968,1,1,3,56,2.9007
1968,1,1,4,62,3.9665
1968,1,1,5,51,4.1258
1968,1,2,1,57,-0.5640
1968,1,2,2,38,-2.5866
1968,1,2,3,55,1.1406
1968,1,2,4,39,1.1455
1968,1,2,5,43,-3.6998
1968,1,3,1,59,-5.1684
1968,1,3,2,72,-5.3766
1968,1,3,3,79,-4.8405
1968,1,3,4,94,-2.5218
1968,1,3,5,106,-6.0814
1968,2,1,1,127,-7.9333
1968,2,1,2,97,-6.3222
1968,2,1,3,56,-4.5010
1968,2,1,4,61,-4.3831
1968,2,1,5,51,-6.8131
1968,2,2,1,57,-6.9552
1968,2,2,2,38,-4.9909
1968,2,2,3,55,-3.6588
1968,2,2,4,38,-4.9224
1968,2,2,5,43,-4.1315
1968,2,3,1,59,-4.8551
1968,2,3,2,72,-3.2695
1968,2,3,3,79,-2.5988
1968,2,3,4,94,-2.8577
1968,2,3,5,105,-3.0559
1968,3,1,1,127,-2.7673
1968,3,1,2,98,0.2755
1968,3,1,3,56,1.2102
1968,3,1,4,61,-2.3839
1968,3,1,5,51,1.1246
1968,3,2,1,57,-1.1894
1968,3,2,2,38,-2.0598
1968,3,2,3,55,-1.0926
1968,3,2,4,38,-1.8086
1968,3,2,5,43,0.0079
1968,3,3,1,59,3.0476
1968,3,3,2,72,1.0959
1968,3,3,3,79,-0.8964
1968,3,3,4,94,0.6285
1968,3,3,5,105,2.5043
1968,4,1,1,127,18.4495
1968,4,1,2,98,18.5299
1968,4,1,3,56,16.6410
1968,4,1,4,60,16.3542
1968,4,1,5,51,13.5594
1968,4,2,1,57,13.4159
1968,4,2,2,38,15.5935
1968,4,2,3,55,13.0930
1968,4,2,4,38,13.4888
1968,4,2,5,43,14.7420
1968,4,3,1,59,14.4610
1968,4,3,2,72,9.6552
1968,4,3,3,79,8.5865
1968,4,3,4,94,6.0872
1968,4,3,5,105,10.6207
1968,5,1,1,127,10.5997
1968,5,1,2,98,9.3035
1968,5,1,3,56,9.0708
1968,5,1,4,60,14.1490
1968,5,1,5,51,16.1558
1968,5,2,1,57,9.9847
1968,5,2,2,38,6.6470
1968,5,2,3,55,7.1215
1968,5,2,4,38,5.9923
1968,5,2,5,43,8.4354
1968,5,3,1,59,2.5938
1968,5,3,2,72,1.4272
1968,5,3,3,79,1.9758
1968,5,3,4,94,0.1833
1968,5,3,5,105,2.8496
1968,6,1,1,127,-0.0426
1968,6,1,2,98,0.1230
1968,6,1,3,56,0.4841
1968,6,1,4,60,0.1107
1968,6,1,5,51,-0.6405
1968,6,2,1,57,-2.3852
1968,6,2,2,38,-1.1736
1968,6,2,3,54,1.2900
1968,6,2,4,38,1.8890
1968,6,2,5,43,0.0937
1968,6,3,1,59,0.0757
1968,6,3,2,72,0.6022
1968,6,3,3,79,-0.3033
1968,6,3,4,94,1.6903
1968,6,3,5,105,-0.3548
1968,7,1,1,194,-3.8559
1968,7,1,2,102,-1.3680
1968,7,1,3,87,-3.0748
1968,7,1,4,90,-3.1226
1968,7,1,5,100,-4.4932
1968,7,2,1,73,-8.4991
1968,7,2,2,50,-2.4166
1968,7,2,3,49,-2.1539
1968,7,2,4,43,-3.0831
1968,7,2,5,50,-4.1486
1968,7,3,1,63,-7.3453
1968,7,3,2,76,-3.1211
1968,7,3,3,85,0.7806
1968,7,3,4,88,0.5817
1968,7,3,5,98,-4.0144
1968,8,1,1,194,3.1493
1968,8,1,2,102,4.6681
1968,8,1,3,87,6.3231
1968,8,1,4,90,5.0807
1968,8,1,5,100,5.6814
1968,8,2,1,73,3.7800
1968,8,2,2,50,5.1033
1968,8,2,3,49,4.0042
1968,8,2,4,43,5.2607
1968,8,2,5,49,4.9629
1968,8,3,1,63,0.5100
1968,8,3,2,75,1.6878
1968,8,3,3,85,1.9458
1968,8,3,4,88,1.8248
1968,8,3,5,98,1.3299
1968,9,1,1,193,7.4587
1968,9,1,2,102,9.1633
1968,9,1,3,87,7.0767
1968,9,1,4,90,6.1153
1968,9,1,5,100,7.3162
1968,9,2,1,73,6.5708
1968,9,2,2,50,6.7134
1968,9,2,3,49,7.2802
1968,9,2,4,43,6.9320
1968,9,2,5,49,8.0412
1968,9,3,1,63,4.9987
1968,9,3,2,75,6.6413
1968,9,3,3,85,6.0986
1968,9,3,4,88,3.9554
1968,9,3,5,98,2.2969
1968,10,1,1,193,-1.1447
1968,10,1,2,102,1.8314
1968,10,1,3,87,0.0172
1968,10,1,4,90,1.7175
1968,10,1,5,100,0.8714
1968,10,2,1,73,-1.2109
1968,10,2,2,50,1.0438
1968,10,2,3,49,0.9773
1968,10,2,4,43,1.6767
1968,10,2,5,48,2.9092
1968,10,3,1,63,0.0718
1968,10,3,2,75,1.0576
1968,10,3,3,85,1.8335
1968,10,3,4,88,2.2108
1968,10,3,5,97,-0.8426
1968,11,1,1,193,6.4490
1968,11,1,2,101,5.6604
1968,11,1,3,87,7.0825
1968,11,1,4,89,6.2505
1968,11,1,5,100,10.1659
1968,11,2,1,73,9.0869
1968,11,2,2,50,7.6951
1968,11,2,3,49,7.3007
1968,11,2,4,43,8.1421
1968,11,2,5,49,8.1146
1968,11,3,1,63,9.0617
1968,11,3,2,75,3.3581
1968,11,3,3,85,5.8226
1968,11,3,4,88,5.6187
1968,11,3,5,97,4.8840
1968,12,1,1,192,2.5373
1968,12,1,2,102,1.5408
1968,12,1,3,87,-1.4884
1968,12,1,4,90,3.8887
1968,12,1,5,100,2.6360
1968,12,2,1,73,-1.6004
1968,12,2,2,50,-2.1398
1968,12,2,3,49,-0.1301
1968,12,2,4,43,-1.5733
1968,12,2,5,49,-0.9699
1968,12,3,1,63,-4.5554
1968,12,3,2,75,-3.0301
1968,12,3,3,85,-3.4500
1968,12,3,4,88,-4.6532
1968,12,3,5,97,-4.3415
1969,1,1,1,192,-0.4099
1969,1,1,2,102,-1.1154
1969,1,1,3,87,-0.3018
1969,1,1,4,90,-2.9897
1969,1,1,5,100,-1.4279
1969,1,2,1,73,-1.7288
1969,1,2,2,50,-2.1142
1969,1,2,3,49,-0.9997
1969,1,2,4,43,-1.9612
1969,1,2,5,49,-2.6335
1969,1,3,1,63,-1.7199
1969,1,3,2,75,-1.0800
1969,1,3,3,84,-1.4121
1969,1,3,4,88,-0.2006
1969,1,3,5,97,-1.8368
1969,2,1,1,191,-11.4424
1969,2,1,2,101,-10.5567
1969,2,1,3,87,-8.9494
1969,2,1,4,90,-10.1512
1969,2,1,5,100,-7.7068
1969,2,2,1,73,-10.4156
1969,2,2,2,50,-7.3818
1969,2,2,3,49,-8.0935
1969,2,2,4,43,-7.9848
1969,2,2,5,49,-7.4543
1969,2,3,1,63,-9.1301
1969,2,3,2,75,-5.2769
1969,2,3,3,84,-5.0170
1969,2,3,4,88,-4.3889
1969,2,3,5,97,-2.8666
1969,3,1,1,191,2.6420
1969,3,1,2,101,3.4233
1969,3,1,3,86,3.0860
1969,3,1,4,90,3.1958
1969,3,1,5,100,1.5196
1969,3,2,1,73,0.2623
1969,3,2,2,50,3.8230
1969,3,2,3,49,4.7623
1969,3,2,4,43,3.3683
1969,3,2,5,49,3.4552
1969,3,3,1,63,2.7047
1969,3,3,2,75,4.2001
1969,3,3,3,84,6.3871
1969,3,3,4,88,3.4636
1969,3,3,5,97,3.0681
1969,4,1,1,191,-0.7667
1969,4,1,2,101,-0.8432
1969,4,1,3,86,0.4231
1969,4,1,4,90,0.1771
1969,4,1,5,100,-0.9662
1969,4,2,1,72,0.1162
1969,4,2,2,50,0.4873
1969,4,2,3,49,1.2780
1969,4,2,4,43,3.0840
1969,4,2,5,49,1.7420
1969,4,3,1,63,2.9717
1969,4,3,2,75,1.6958
1969,4,3,3,84,1.1507
1969,4,3,4,88,3.0488
1969,4,3,5,97,2.7727
1969,5,1,1,190,1.4309
1969,5,1,2,100,1.5742
1969,5,1,3,87,2.1689
1969,5,1,4,90,0.3039
1969,5,1,5,100,0.0463
1969,5,2,1,73,-2.0894
1969,5,2,2,50,0.5460
1969,5,2,3,48,-0.5057
1969,5,2,4,43,0.5317
1969,5,2,5,49,2.3149
1969,5,3,1,62,-3.7913
1969,5,3,2,75,0.2712
1969,5,3,3,84,2.0583
1969,5,3,4,87,0.9062
1969,5,3,5,97,-0.0014
1969,6,1,1,190,-14.8369
1969,6,1,2,101,-14.0095
1969,6,1,3,87,-14.2577
1969,6,1,4,90,-13.5773
1969,6,1,5,100,-11.6844
1969,6,2,1,73,-12.3369
1969,6,2,2,50,-10.9878
