year,month,rank_ME,rank_CLAq_12,nstocks,ret_vw
1976,1,1,1,87,28.3517
1976,1,1,2,82,23.5942
1976,1,1,3,32,23.0913
1976,1,1,4,38,24.6466
1976,1,1,5,55,26.3324
1976,1,2,1,29,22.9299
1976,1,2,2,31,18.8978
1976,1,2,3,39,17.9699
1976,1,2,4,17,22.3859
1976,1,2,5,39,24.1349
1976,1,3,1,39,12.2614
1976,1,3,2,46,14.0827
1976,1,3,3,45,12.0157
1976,1,3,4,61,16.2001
1976,1,3,5,52,10.4399
1976,2,1,1,142,12.1933
1976,2,1,2,121,11.6909
1976,2,1,3,72,10.7395
1976,2,1,4,60,15.0252
1976,2,1,5,90,16.6028
1976,2,2,1,56,8.3303
1976,2,2,2,57,8.5536
1976,2,2,3,58,7.1452
1976,2,2,4,37,6.3859
1976,2,2,5,52,8.4814
1976,2,3,1,56,1.8982
1976,2,3,2,74,2.8167
1976,2,3,3,77,-0.0250
1976,2,3,4,103,-0.2032
1976,2,3,5,88,-1.0027
1976,3,1,1,173,0.8479
1976,3,1,2,154,2.9500
1976,3,1,3,96,0.8309
1976,3,1,4,80,2.8719
1976,3,1,5,103,2.0696
1976,3,2,1,64,2.1860
1976,3,2,2,62,3.9151
1976,3,2,3,65,2.9360
1976,3,2,4,45,1.2102
1976,3,2,5,60,1.7661
1976,3,3,1,72,2.8046
1976,3,3,2,84,3.3924
1976,3,3,3,89,3.3982
1976,3,3,4,109,2.1587
1976,3,3,5,94,5.2425
1976,4,1,1,185,-2.3311
1976,4,1,2,161,-3.7170
1976,4,1,3,100,-0.5956
1976,4,1,4,86,-1.9955
1976,4,1,5,115,-2.7524
1976,4,2,1,74,-1.2802
1976,4,2,2,68,-0.7953
1976,4,2,3,71,-0.1598
1976,4,2,4,54,-0.7984
1976,4,2,5,65,-1.9096
1976,4,3,1,83,-1.8574
1976,4,3,2,90,-1.2057
1976,4,3,3,95,-0.8962
1976,4,3,4,114,0.6610
1976,4,3,5,99,-0.9812
1976,5,1,1,268,-3.2497
1976,5,1,2,223,-4.1709
1976,5,1,3,207,-2.0270
1976,5,1,4,131,-3.1186
1976,5,1,5,158,-2.9311
1976,5,2,1,122,-1.6950
1976,5,2,2,96,-1.3603
1976,5,2,3,97,-2.0789
1976,5,2,4,83,1.2566
1976,5,2,5,95,-1.7449
1976,5,3,1,140,-2.4655
1976,5,3,2,145,-2.6663
1976,5,3,3,137,-0.2717
1976,5,3,4,154,0.1254
1976,5,3,5,136,1.6209
1976,6,1,1,278,2.7706
1976,6,1,2,236,4.0642
1976,6,1,3,231,3.7530
1976,6,1,4,146,4.9035
1976,6,1,5,172,4.1459
1976,6,2,1,130,3.1508
1976,6,2,2,105,4.9879
1976,6,2,3,109,4.1728
1976,6,2,4,90,5.2119
1976,6,2,5,101,5.6931
1976,6,3,1,147,4.1383
1976,6,3,2,156,4.5308
1976,6,3,3,143,4.8233
1976,6,3,4,165,3.0059
1976,6,3,5,143,3.7398
1976,7,1,1,282,-0.8496
1976,7,1,2,249,-0.2295
1976,7,1,3,243,1.0603
1976,7,1,4,155,-0.0351
1976,7,1,5,177,-0.8724
1976,7,2,1,135,-1.2763
1976,7,2,2,112,-1.7300
1976,7,2,3,118,0.0170
1976,7,2,4,92,-0.6817
1976,7,2,5,104,0.3658
1976,7,3,1,148,-1.6034
1976,7,3,2,160,-1.8153
1976,7,3,3,148,-2.4103
1976,7,3,4,172,-1.1922
1976,7,3,5,150,-0.8484
1976,8,1,1,411,-3.6687
1976,8,1,2,363,-3.5461
1976,8,1,3,309,-2.3182
1976,8,1,4,225,-3.5295
1976,8,1,5,234,-3.2004
1976,8,2,1,193,-2.6662
1976,8,2,2,169,-2.4071
1976,8,2,3,156,-3.2606
1976,8,2,4,136,-2.7796
1976,8,2,5,147,-1.3154
1976,8,3,1,184,0.0478
1976,8,3,2,216,-0.2327
1976,8,3,3,218,-0.9256
1976,8,3,4,233,-1.5736
1976,8,3,5,219,-0.6381
1976,9,1,1,374,1.4925
1976,9,1,2,315,2.0569
1976,9,1,3,259,2.6710
1976,9,1,4,192,2.4775
1976,9,1,5,216,2.5879
1976,9,2,1,205,3.1874
1976,9,2,2,175,1.4571
1976,9,2,3,163,2.4978
1976,9,2,4,139,3.5721
1976,9,2,5,149,3.7930
1976,9,3,1,186,3.0345
1976,9,3,2,219,2.1960
1976,9,3,3,221,2.4365
1976,9,3,4,238,2.9280
