year,month,rank_ME,rank_COP,nstocks,ret_vw
1967,1,1,1,130,20.9986
1967,1,1,2,67,18.2394
1967,1,1,3,59,21.2867
1967,1,1,4,38,15.9214
1967,1,1,5,44,13.5553
1967,1,2,1,48,21.7321
1967,1,2,2,42,18.6527
1967,1,2,3,47,14.7314
1967,1,2,4,33,14.6721
1967,1,2,5,30,13.9653
1967,1,3,1,52,11.3180
1967,1,3,2,73,6.8046
1967,1,3,3,75,8.1083
1967,1,3,4,92,7.5075
1967,1,3,5,101,8.8388
1967,2,1,1,129,5.5931
1967,2,1,2,67,6.6627
1967,2,1,3,59,3.3516
1967,2,1,4,38,2.2726
1967,2,1,5,44,5.3331
1967,2,2,1,48,1.5447
1967,2,2,2,42,1.8990
1967,2,2,3,47,2.7374
1967,2,2,4,33,1.9720
1967,2,2,5,30,2.7308
1967,2,3,1,52,1.8468
1967,2,3,2,73,-0.4596
1967,2,3,3,75,1.1218
1967,2,3,4,92,-0.0016
1967,2,3,5,101,2.4202
1967,3,1,1,130,7.5817
1967,3,1,2,67,7.6117
1967,3,1,3,59,5.3832
1967,3,1,4,38,7.2050
1967,3,1,5,44,3.7158
1967,3,2,1,48,9.8515
1967,3,2,2,42,7.4547
1967,3,2,3,47,4.8409
1967,3,2,4,33,8.7053
1967,3,2,5,30,6.9750
1967,3,3,1,52,5.3355
1967,3,3,2,73,4.5698
1967,3,3,3,75,4.0356
1967,3,3,4,92,4.4270
1967,3,3,5,101,4.8317
1967,4,1,1,130,6.1494
1967,4,1,2,67,4.6394
1967,4,1,3,59,3.5233
1967,4,1,4,38,3.7243
1967,4,1,5,44,5.9147
1967,4,2,1,48,5.4480
1967,4,2,2,42,4.5633
1967,4,2,3,47,1.7599
1967,4,2,4,33,3.6995
1967,4,2,5,30,6.2541
1967,4,3,1,52,7.3900
1967,4,3,2,73,5.2707
1967,4,3,3,75,4.2549
1967,4,3,4,92,2.1193
1967,4,3,5,101,6.1962
1967,5,1,1,130,-0.1416
1967,5,1,2,67,2.9214
1967,5,1,3,59,-0.4380
1967,5,1,4,38,4.2142
1967,5,1,5,44,-1.4069
1967,5,2,1,48,-3.1118
1967,5,2,2,42,-1.6229
1967,5,2,3,47,-1.0446
1967,5,2,4,33,-2.9989
1967,5,2,5,30,-1.4512
1967,5,3,1,52,-4.1299
1967,5,3,2,73,-4.6181
1967,5,3,3,75,-4.6084
1967,5,3,4,92,-4.0085
1967,5,3,5,101,-4.9714
1967,6,1,1,130,15.5607
1967,6,1,2,67,13.6526
1967,6,1,3,59,10.9710
1967,6,1,4,38,8.4035
1967,6,1,5,44,10.2467
1967,6,2,1,48,10.6231
1967,6,2,2,42,7.6491
1967,6,2,3,47,7.8583
1967,6,2,4,33,6.3263
1967,6,2,5,30,2.9377
1967,6,3,1,51,5.4318
1967,6,3,2,73,2.2411
1967,6,3,3,75,2.4287
1967,6,3,4,92,1.5204
1967,6,3,5,101,1.9941
1967,7,1,1,124,9.0459
1967,7,1,2,98,9.7870
1967,7,1,3,58,10.6704
1967,7,1,4,59,9.7722
1967,7,1,5,57,12.7242
1967,7,2,1,57,8.9505
1967,7,2,2,43,7.1063
1967,7,2,3,54,9.8230
1967,7,2,4,38,10.4614
1967,7,2,5,42,6.7439
1967,7,3,1,62,5.1436
1967,7,3,2,76,9.5816
1967,7,3,3,79,6.9231
1967,7,3,4,95,1.7930
1967,7,3,5,99,4.4718
1967,8,1,1,124,-2.1923
1967,8,1,2,98,1.8903
1967,8,1,3,58,1.6265
1967,8,1,4,59,0.0147
1967,8,1,5,57,2.9355
1967,8,2,1,57,-3.0012
1967,8,2,2,43,0.0258
1967,8,2,3,54,0.3267
1967,8,2,4,38,1.3425
1967,8,2,5,42,1.2861
1967,8,3,1,61,0.8764
1967,8,3,2,76,-0.2871
1967,8,3,3,79,-0.7604
1967,8,3,4,95,-0.9083
1967,8,3,5,99,-1.0792
1967,9,1,1,124,7.6119
1967,9,1,2,98,6.9389
1967,9,1,3,58,6.7575
1967,9,1,4,59,9.5322
1967,9,1,5,57,6.1422
1967,9,2,1,57,3.4130
1967,9,2,2,43,4.8624
1967,9,2,3,54,3.9991
1967,9,2,4,38,4.3890
1967,9,2,5,42,5.6065
1967,9,3,1,61,3.1724
1967,9,3,2,76,4.2157
1967,9,3,3,79,3.0440
1967,9,3,4,95,2.6907
1967,9,3,5,99,5.0647
1967,10,1,1,124,-0.4392
1967,10,1,2,98,-2.3574
1967,10,1,3,58,-5.0162
1967,10,1,4,59,-1.7175
1967,10,1,5,57,-1.3338
1967,10,2,1,57,-2.0853
1967,10,2,2,43,-4.4839
1967,10,2,3,53,-3.7071
1967,10,2,4,38,-4.9232
1967,10,2,5,42,-3.8246
1967,10,3,1,61,-0.1694
1967,10,3,2,76,-2.7712
1967,10,3,3,79,-5.2244
1967,10,3,4,95,-2.4396
1967,10,3,5,99,-1.0948
1967,11,1,1,124,-0.9011
1967,11,1,2,98,1.2708
1967,11,1,3,58,2.5156
1967,11,1,4,59,-1.9018
1967,11,1,5,57,2.0577
1967,11,2,1,56,1.9226
1967,11,2,2,43,1.6710
1967,11,2,3,53,-0.6123
1967,11,2,4,38,-0.9732
1967,11,2,5,42,0.9431
1967,11,3,1,61,2.3402
1967,11,3,2,76,-1.2011
1967,11,3,3,79,1.0215
1967,11,3,4,95,-0.1664
1967,11,3,5,99,0.8207
1967,12,1,1,123,10.1122
1967,12,1,2,98,8.4812
1967,12,1,3,57,9.3764
1967,12,1,4,59,6.6528
1967,12,1,5,57,6.6556
1967,12,2,1,56,9.1542
1967,12,2,2,43,7.8997
1967,12,2,3,53,4.9830
1967,12,2,4,38,7.0666
1967,12,2,5,42,4.3571
1967,12,3,1,61,1.0472
1967,12,3,2,76,2.4660
1967,12,3,3,79,3.4060
1967,12,3,4,95,2.7588
1967,12,3,5,99,2.6795
1968,1,1,1,123,2.1314
1968,1,1,2,97,4.2135
1968,1,1,3,58,1.0694
1968,1,1,4,59,4.5632
1968,1,1,5,57,4.0103
1968,1,2,1,56,-1.6971
1968,1,2,2,43,-0.6853
1968,1,2,3,53,-0.0111
1968,1,2,4,38,-0.2333
1968,1,2,5,42,-1.3463
1968,1,3,1,61,-5.6118
1968,1,3,2,76,-6.8287
1968,1,3,3,79,-4.3337
1968,1,3,4,95,-1.6392
1968,1,3,5,99,-6.1071
1968,2,1,1,123,-8.7590
1968,2,1,2,96,-5.5312
1968,2,1,3,57,-4.8098
1968,2,1,4,59,-4.4688
1968,2,1,5,57,-6.0501
1968,2,2,1,56,-6.5284
1968,2,2,2,43,-5.7690
1968,2,2,3,53,-4.0251
1968,2,2,4,38,-3.9654
1968,2,2,5,41,-4.3117
1968,2,3,1,61,-4.5442
1968,2,3,2,76,-3.6052
1968,2,3,3,79,-2.6677
1968,2,3,4,95,-2.9488
1968,2,3,5,98,-2.8661
1968,3,1,1,123,-2.5934
1968,3,1,2,97,0.5807
1968,3,1,3,57,-1.8888
1968,3,1,4,59,0.6771
1968,3,1,5,57,0.0615
1968,3,2,1,56,-2.0271
1968,3,2,2,43,-0.9652
1968,3,2,3,53,-0.8941
1968,3,2,4,38,-2.0276
1968,3,2,5,41,0.0706
1968,3,3,1,61,3.2016
1968,3,3,2,76,-0.2174
1968,3,3,3,79,0.2943
1968,3,3,4,95,0.6671
1968,3,3,5,98,2.4089
1968,4,1,1,123,19.7833
1968,4,1,2,97,16.4642
1968,4,1,3,57,17.2645
1968,4,1,4,58,17.5210
1968,4,1,5,57,13.1576
1968,4,2,1,56,12.9929
1968,4,2,2,43,16.5445
1968,4,2,3,53,13.4463
1968,4,2,4,38,14.9985
1968,4,2,5,41,12.2893
1968,4,3,1,61,14.3242
1968,4,3,2,76,9.4211
1968,4,3,3,79,8.9979
1968,4,3,4,95,6.3579
1968,4,3,5,98,10.2319
1968,5,1,1,123,10.6212
1968,5,1,2,97,9.6269
1968,5,1,3,57,8.8265
1968,5,1,4,58,14.1713
1968,5,1,5,57,15.6177
1968,5,2,1,56,8.9515
1968,5,2,2,43,9.0489
1968,5,2,3,53,7.3307
1968,5,2,4,38,7.3029
1968,5,2,5,41,5.9820
1968,5,3,1,61,2.9841
1968,5,3,2,76,2.0735
1968,5,3,3,79,1.6900
1968,5,3,4,95,0.3169
1968,5,3,5,98,2.5209
1968,6,1,1,123,-0.2004
1968,6,1,2,97,1.1054
1968,6,1,3,57,-0.8493
1968,6,1,4,58,0.2499
1968,6,1,5,57,-0.5772
