year,month,rank_ME,rank_CTO,nstocks,ret_vw
1967,1,1,1,31,14.7448
1967,1,1,2,55,18.5377
1967,1,1,3,69,17.8462
1967,1,1,4,72,19.9426
1967,1,1,5,132,18.5366
1967,1,2,1,50,13.4001
1967,1,2,2,27,14.8546
1967,1,2,3,42,16.6126
1967,1,2,4,59,15.9143
1967,1,2,5,53,19.4547
1967,1,3,1,114,4.3291
1967,1,3,2,113,7.2410
1967,1,3,3,98,9.2535
1967,1,3,4,85,10.2407
1967,1,3,5,86,9.5737
1967,2,1,1,30,1.6083
1967,2,1,2,55,4.3970
1967,2,1,3,69,6.3427
1967,2,1,4,72,4.5822
1967,2,1,5,132,4.6963
1967,2,2,1,50,2.3478
1967,2,2,2,27,0.9886
1967,2,2,3,42,2.8856
1967,2,2,4,59,1.4854
1967,2,2,5,53,2.0323
1967,2,3,1,114,-0.4926
1967,2,3,2,113,0.9767
1967,2,3,3,98,2.0686
1967,2,3,4,85,0.3219
1967,2,3,5,86,2.9268
1967,3,1,1,31,10.6456
1967,3,1,2,55,7.2264
1967,3,1,3,69,5.6640
1967,3,1,4,72,7.1249
1967,3,1,5,132,5.4527
1967,3,2,1,50,3.8638
1967,3,2,2,27,6.2423
1967,3,2,3,42,8.1485
1967,3,2,4,59,8.7674
1967,3,2,5,53,5.4569
1967,3,3,1,114,2.6542
1967,3,3,2,113,4.6023
1967,3,3,3,98,4.8168
1967,3,3,4,85,4.5086
1967,3,3,5,86,5.7664
1967,4,1,1,31,4.8419
1967,4,1,2,55,4.2587
1967,4,1,3,69,6.5735
1967,4,1,4,72,6.3817
1967,4,1,5,132,3.2736
1967,4,2,1,50,2.8240
1967,4,2,2,27,2.7118
1967,4,2,3,42,3.5340
1967,4,2,4,59,4.3534
1967,4,2,5,53,5.4709
1967,4,3,1,114,0.9493
1967,4,3,2,113,3.6354
1967,4,3,3,98,3.6438
1967,4,3,4,85,9.9147
1967,4,3,5,86,5.6814
1967,5,1,1,31,1.2134
1967,5,1,2,55,0.2432
1967,5,1,3,69,1.3376
1967,5,1,4,72,1.7561
1967,5,1,5,132,0.0555
1967,5,2,1,50,-1.0932
1967,5,2,2,27,-5.2177
1967,5,2,3,42,-2.0840
1967,5,2,4,59,-1.4952
1967,5,2,5,53,-2.0378
1967,5,3,1,114,-4.9943
1967,5,3,2,113,-3.7599
1967,5,3,3,98,-4.3376
1967,5,3,4,85,-5.8689
1967,5,3,5,86,-4.3207
1967,6,1,1,31,8.5546
1967,6,1,2,55,9.7994
1967,6,1,3,69,14.3829
1967,6,1,4,72,14.5720
1967,6,1,5,132,11.2167
1967,6,2,1,50,5.1877
1967,6,2,2,27,5.7490
1967,6,2,3,42,7.8340
1967,6,2,4,59,6.6748
1967,6,2,5,53,8.3599
1967,6,3,1,114,0.3596
1967,6,3,2,113,2.0550
1967,6,3,3,98,2.6909
1967,6,3,4,84,0.0926
1967,6,3,5,86,6.3303
1967,7,1,1,39,12.3107
1967,7,1,2,59,6.5827
1967,7,1,3,77,12.3016
1967,7,1,4,90,9.4130
1967,7,1,5,153,9.7936
1967,7,2,1,47,5.1973
1967,7,2,2,45,8.5495
1967,7,2,3,47,7.3401
1967,7,2,4,62,10.5845
1967,7,2,5,65,7.2579
1967,7,3,1,120,-0.3020
1967,7,3,2,116,4.7891
1967,7,3,3,103,6.2647
1967,7,3,4,91,8.1522
1967,7,3,5,88,4.1217
1967,8,1,1,39,2.0887
1967,8,1,2,59,1.2809
1967,8,1,3,77,-0.1220
1967,8,1,4,90,0.0132
1967,8,1,5,153,0.8298
1967,8,2,1,47,-0.1925
1967,8,2,2,45,0.3063
1967,8,2,3,47,0.5567
1967,8,2,4,62,0.0621
1967,8,2,5,65,-1.3257
1967,8,3,1,120,-1.0242
1967,8,3,2,116,-1.0564
1967,8,3,3,103,-0.2812
1967,8,3,4,91,-0.1599
1967,8,3,5,87,-0.8545
1967,9,1,1,39,3.1201
1967,9,1,2,59,6.1408
1967,9,1,3,77,7.8936
1967,9,1,4,90,6.4737
1967,9,1,5,153,9.1770
1967,9,2,1,47,1.9128
1967,9,2,2,45,3.7078
1967,9,2,3,47,2.9565
1967,9,2,4,62,4.5054
1967,9,2,5,65,5.9571
1967,9,3,1,120,0.9880
1967,9,3,2,116,4.1161
1967,9,3,3,103,3.4720
1967,9,3,4,91,4.2845
