year,month,rank_ME,rank_CTOq_1,nstocks,ret_vw
1972,1,1,1,24,15.6514
1972,1,1,2,15,13.1490
1972,1,1,3,14,19.8988
1972,1,1,4,16,13.5514
1972,1,1,5,12,8.9546
1972,1,2,1,7,6.1004
1972,1,2,2,6,18.3714
1972,1,2,3,9,8.7269
1972,1,2,4,12,4.4179
1972,1,2,5,7,4.6104
1972,1,3,1,8,7.2966
1972,1,3,2,10,6.3493
1972,1,3,3,9,2.9645
1972,1,3,4,7,1.8671
1972,1,3,5,9,-0.0822
1972,2,1,1,30,3.7502
1972,2,1,2,17,1.4408
1972,2,1,3,16,4.0200
1972,2,1,4,21,4.0024
1972,2,1,5,21,5.8066
1972,2,2,1,8,0.1602
1972,2,2,2,7,-1.8790
1972,2,2,3,11,1.4880
1972,2,2,4,17,8.1975
1972,2,2,5,14,2.2642
1972,2,3,1,15,4.4007
1972,2,3,2,16,4.8696
1972,2,3,3,13,3.7692
1972,2,3,4,14,6.6852
1972,2,3,5,10,4.0241
1972,3,1,1,34,-0.6898
1972,3,1,2,21,-0.8877
1972,3,1,3,23,-0.6708
1972,3,1,4,32,-3.4149
1972,3,1,5,24,-0.8080
1972,3,2,1,11,-2.9363
1972,3,2,2,9,0.5028
1972,3,2,3,15,-3.0016
1972,3,2,4,20,-1.1872
1972,3,2,5,19,-0.0816
1972,3,3,1,20,-0.7580
1972,3,3,2,23,-1.3704
1972,3,3,3,16,2.7698
1972,3,3,4,17,1.8462
1972,3,3,5,16,-1.0554
1972,4,1,1,38,3.3695
1972,4,1,2,25,-0.0161
1972,4,1,3,29,5.4307
1972,4,1,4,38,0.1964
1972,4,1,5,30,-3.6565
1972,4,2,1,12,3.1081
1972,4,2,2,10,3.1897
1972,4,2,3,15,3.5242
1972,4,2,4,20,-0.8801
1972,4,2,5,21,2.2959
1972,4,3,1,22,0.1174
1972,4,3,2,24,1.1043
1972,4,3,3,17,-1.2005
1972,4,3,4,22,1.8013
1972,4,3,5,18,-1.0391
1972,5,1,1,33,-1.7134
1972,5,1,2,51,-2.7155
1972,5,1,3,57,-3.6208
1972,5,1,4,69,-1.2475
1972,5,1,5,96,-2.3577
1972,5,2,1,32,0.5690
1972,5,2,2,25,-2.6635
1972,5,2,3,35,-2.1107
1972,5,2,4,52,-2.3458
1972,5,2,5,50,-2.2288
1972,5,3,1,86,2.6780
1972,5,3,2,78,3.8679
1972,5,3,3,78,2.4202
1972,5,3,4,62,3.2439
1972,5,3,5,62,-1.6440
1972,6,1,1,54,-2.1048
1972,6,1,2,59,-3.8014
1972,6,1,3,76,-4.1966
1972,6,1,4,90,-3.6239
1972,6,1,5,118,-4.4967
1972,6,2,1,38,-3.0280
1972,6,2,2,31,-3.7224
1972,6,2,3,37,-4.1401
1972,6,2,4,59,-2.5891
1972,6,2,5,63,-4.5202
1972,6,3,1,99,-3.6070
1972,6,3,2,92,-1.1812
1972,6,3,3,88,-2.3853
1972,6,3,4,69,0.1958
1972,6,3,5,74,-1.7635
1972,7,1,1,53,-1.8402
1972,7,1,2,62,-4.1566
1972,7,1,3,73,-1.9044
1972,7,1,4,97,-3.8458
1972,7,1,5,124,-4.9792
1972,7,2,1,42,-3.0421
1972,7,2,2,33,-3.5485
1972,7,2,3,39,-4.2642
1972,7,2,4,59,-0.6897
1972,7,2,5,58,-4.5155
1972,7,3,1,99,-1.5010
1972,7,3,2,89,0.4540
1972,7,3,3,92,1.3093
1972,7,3,4,64,0.8643
1972,7,3,5,76,-0.0077
1972,8,1,1,49,3.6178
1972,8,1,2,59,1.1936
1972,8,1,3,74,0.8075
1972,8,1,4,98,-1.0445
1972,8,1,5,121,-2.0317
1972,8,2,1,35,0.3199
