year,month,rank_ME,rank_dROE_12,nstocks,ret_vw
1967,1,1,1,12,23.4972
1967,1,1,2,5,19.4983
1967,1,1,3,6,16.1468
1967,1,1,4,4,14.8742
1967,1,1,5,6,20.5141
1967,1,2,1,34,21.6102
1967,1,2,2,14,11.8677
1967,1,2,3,16,10.7989
1967,1,2,4,16,13.6968
1967,1,2,5,19,20.5317
1967,1,3,1,61,10.7353
1967,1,3,2,87,7.9242
1967,1,3,3,80,3.3345
1967,1,3,4,85,7.4325
1967,1,3,5,81,9.7930
1967,2,1,1,17,2.5920
1967,2,1,2,9,0.4986
1967,2,1,3,8,0.4575
1967,2,1,4,7,3.6917
1967,2,1,5,12,2.8115
1967,2,2,1,45,0.4541
1967,2,2,2,27,2.1604
1967,2,2,3,26,2.5348
1967,2,2,4,26,1.8435
1967,2,2,5,26,1.0701
1967,2,3,1,96,-0.6848
1967,2,3,2,134,1.7758
1967,2,3,3,135,-0.5855
1967,2,3,4,130,1.6431
1967,2,3,5,107,1.8623
1967,3,1,1,17,4.6254
1967,3,1,2,10,3.9666
1967,3,1,3,9,2.0365
1967,3,1,4,8,8.6535
1967,3,1,5,13,11.7745
1967,3,2,1,49,6.7872
1967,3,2,2,29,2.9986
1967,3,2,3,29,3.8566
1967,3,2,4,26,4.4694
1967,3,2,5,32,7.9571
1967,3,3,1,103,5.9645
1967,3,3,2,140,4.5293
1967,3,3,3,140,2.6917
1967,3,3,4,135,3.5348
1967,3,3,5,111,4.2976
1967,4,1,1,21,2.8653
1967,4,1,2,10,-0.0217
1967,4,1,3,12,0.8080
1967,4,1,4,9,4.1322
1967,4,1,5,14,4.4602
1967,4,2,1,50,4.2413
1967,4,2,2,33,3.9882
1967,4,2,3,29,3.4655
1967,4,2,4,30,4.1043
1967,4,2,5,33,3.3232
1967,4,3,1,105,8.3487
1967,4,3,2,148,4.1538
1967,4,3,3,147,2.3103
1967,4,3,4,137,3.7816
1967,4,3,5,113,7.0985
1967,5,1,1,29,4.9085
1967,5,1,2,19,0.7598
1967,5,1,3,16,3.4895
1967,5,1,4,12,-0.8453
1967,5,1,5,21,3.4726
1967,5,2,1,62,-4.2181
1967,5,2,2,47,-2.1186
1967,5,2,3,40,-3.7276
1967,5,2,4,40,-0.5277
1967,5,2,5,46,-1.6442
1967,5,3,1,142,-6.4263
1967,5,3,2,191,-3.9010
1967,5,3,3,190,-3.7609
1967,5,3,4,189,-4.4704
1967,5,3,5,155,-5.1850
1967,6,1,1,29,9.9614
1967,6,1,2,19,3.3661
1967,6,1,3,18,1.9455
1967,6,1,4,13,9.0687
1967,6,1,5,24,12.1271
1967,6,2,1,65,7.6470
1967,6,2,2,49,4.2732
1967,6,2,3,40,3.5260
1967,6,2,4,42,5.4002
1967,6,2,5,48,7.4569
1967,6,3,1,144,0.6570
1967,6,3,2,198,3.2038
1967,6,3,3,196,0.2195
1967,6,3,4,201,1.6245
1967,6,3,5,160,2.6219
1967,7,1,1,32,7.7784
1967,7,1,2,20,9.2778
1967,7,1,3,18,9.9656
1967,7,1,4,13,9.7248
1967,7,1,5,25,7.1461
1967,7,2,1,68,7.7553
1967,7,2,2,54,7.8871
1967,7,2,3,41,6.9342
1967,7,2,4,42,6.8908
1967,7,2,5,50,10.2542
1967,7,3,1,147,6.3462
1967,7,3,2,201,4.1916
1967,7,3,3,202,5.0268
1967,7,3,4,205,6.2256
1967,7,3,5,164,5.0124
1967,8,1,1,40,3.3608
1967,8,1,2,25,0.8468
1967,8,1,3,25,3.2382
1967,8,1,4,18,-1.6342
1967,8,1,5,34,-0.9159
1967,8,2,1,80,0.6550
1967,8,2,2,65,1.3145
1967,8,2,3,53,0.4386
1967,8,2,4,52,-0.4726
1967,8,2,5,64,-1.5943
1967,8,3,1,169,-0.4122
1967,8,3,2,235,-0.3874
1967,8,3,3,239,-0.8981
1967,8,3,4,234,-1.6761
1967,8,3,5,201,-0.7200
1967,9,1,1,40,5.1613
1967,9,1,2,27,3.6583
1967,9,1,3,25,6.1327
1967,9,1,4,18,10.1835
1967,9,1,5,36,6.1771
