year,month,rank_ME,rank_EG_1,nstocks,ret_vw
1967,1,1,1,111,20.2728
1967,1,1,2,73,19.7010
1967,1,1,3,70,20.8416
1967,1,1,4,43,19.2733
1967,1,1,5,26,16.3539
1967,1,2,1,44,19.2552
1967,1,2,2,32,20.0676
1967,1,2,3,30,15.9722
1967,1,2,4,38,15.0420
1967,1,2,5,24,17.5975
1967,1,3,1,55,9.5637
1967,1,3,2,69,9.2500
1967,1,3,3,70,6.0091
1967,1,3,4,79,10.0757
1967,1,3,5,95,8.2072
1967,2,1,1,97,4.9603
1967,2,1,2,64,4.7428
1967,2,1,3,70,5.7486
1967,2,1,4,54,2.0509
1967,2,1,5,34,4.5422
1967,2,2,1,44,0.5914
1967,2,2,2,33,1.9155
1967,2,2,3,35,3.5257
1967,2,2,4,34,4.3051
1967,2,2,5,28,2.7453
1967,2,3,1,64,-0.7079
1967,2,3,2,68,1.4618
1967,2,3,3,69,-0.3382
1967,2,3,4,82,1.1343
1967,2,3,5,87,3.9353
1967,3,1,1,92,8.8534
1967,3,1,2,66,7.5323
1967,3,1,3,74,6.8260
1967,3,1,4,54,3.8565
1967,3,1,5,36,6.0996
1967,3,2,1,43,8.4286
1967,3,2,2,34,5.5509
1967,3,2,3,36,6.9869
1967,3,2,4,32,6.6429
1967,3,2,5,31,6.3251
1967,3,3,1,67,5.3361
1967,3,3,2,67,4.4592
1967,3,3,3,65,4.4209
1967,3,3,4,85,5.2287
1967,3,3,5,85,4.3098
1967,4,1,1,92,4.5575
1967,4,1,2,67,4.3809
1967,4,1,3,78,6.2034
1967,4,1,4,53,1.6491
1967,4,1,5,38,4.3593
1967,4,2,1,40,6.3406
1967,4,2,2,36,3.6156
1967,4,2,3,35,5.3620
1967,4,2,4,36,4.1410
1967,4,2,5,32,4.4998
1967,4,3,1,69,8.8703
1967,4,3,2,64,3.3551
1967,4,3,3,66,1.9435
1967,4,3,4,83,4.6933
1967,4,3,5,84,4.9074
1967,5,1,1,77,1.0841
1967,5,1,2,83,1.4274
1967,5,1,3,71,-0.4681
1967,5,1,4,61,1.0998
1967,5,1,5,54,0.6220
1967,5,2,1,39,-3.2115
1967,5,2,2,43,-1.2604
1967,5,2,3,33,1.9121
1967,5,2,4,37,0.9275
1967,5,2,5,43,-3.5439
1967,5,3,1,75,-5.3353
1967,5,3,2,62,-3.8851
1967,5,3,3,79,-5.0338
1967,5,3,4,85,-3.6853
1967,5,3,5,78,-4.4308
1967,6,1,1,74,13.7883
1967,6,1,2,86,10.9093
1967,6,1,3,69,12.2310
1967,6,1,4,62,6.4071
1967,6,1,5,58,7.1436
1967,6,2,1,42,6.0476
1967,6,2,2,44,7.7453
1967,6,2,3,30,8.4439
1967,6,2,4,39,7.9696
1967,6,2,5,41,7.9826
1967,6,3,1,78,3.1796
1967,6,3,2,63,0.3317
1967,6,3,3,82,3.3179
1967,6,3,4,85,1.6558
1967,6,3,5,77,3.1545
1967,7,1,1,74,8.1346
1967,7,1,2,84,10.4272
1967,7,1,3,63,10.1152
1967,7,1,4,65,11.6008
1967,7,1,5,62,9.7176
1967,7,2,1,41,8.4863
1967,7,2,2,47,8.0680
1967,7,2,3,33,8.9580
1967,7,2,4,35,8.0655
1967,7,2,5,40,10.4666
1967,7,3,1,78,8.5302
1967,7,3,2,61,4.0951
1967,7,3,3,81,5.1893
1967,7,3,4,89,3.1974
1967,7,3,5,77,5.0848
1967,8,1,1,70,-1.1583
1967,8,1,2,71,-1.3062
1967,8,1,3,63,2.5535
1967,8,1,4,68,-0.8544
1967,8,1,5,78,2.2125
1967,8,2,1,40,-0.6728
1967,8,2,2,40,-0.2581
1967,8,2,3,33,0.5810
1967,8,2,4,36,0.8535
1967,8,2,5,46,0.3599
1967,8,3,1,79,0.3311
1967,8,3,2,74,-1.3380
1967,8,3,3,82,-0.5671
1967,8,3,4,83,-1.1412
1967,8,3,5,70,-1.8183
1967,9,1,1,67,5.2458
1967,9,1,2,74,11.3310
1967,9,1,3,63,5.9357
1967,9,1,4,69,6.2909
1967,9,1,5,78,8.2265
1967,9,2,1,39,4.0582
1967,9,2,2,38,4.6732
1967,9,2,3,35,5.0886
1967,9,2,4,35,4.4373
1967,9,2,5,53,5.0715
1967,9,3,1,81,4.3891
1967,9,3,2,75,4.7747
1967,9,3,3,78,5.7618
1967,9,3,4,84,2.5008
1967,9,3,5,67,1.7097
1967,10,1,1,66,0.2398
1967,10,1,2,74,-2.0056
1967,10,1,3,66,-1.5730
1967,10,1,4,69,-1.7755
1967,10,1,5,77,-2.8919
1967,10,2,1,40,-0.1498
1967,10,2,2,43,-4.0321
1967,10,2,3,33,-1.2728
1967,10,2,4,35,-5.0496
1967,10,2,5,53,-4.5178
1967,10,3,1,80,-2.9930
1967,10,3,2,72,-4.2484
1967,10,3,3,80,-0.7099
1967,10,3,4,84,-1.6384
1967,10,3,5,68,-1.1974
1967,11,1,1,63,0.0195
1967,11,1,2,65,0.6350
1967,11,1,3,63,1.5569
1967,11,1,4,82,2.6972
1967,11,1,5,84,-0.7320
1967,11,2,1,41,-0.5326
1967,11,2,2,38,0.2587
1967,11,2,3,38,2.1423
1967,11,2,4,43,0.6433
1967,11,2,5,54,-0.6269
1967,11,3,1,80,-0.0206
1967,11,3,2,82,-0.2959
1967,11,3,3,81,0.2082
1967,11,3,4,70,1.2791
1967,11,3,5,66,0.7378
1967,12,1,1,60,6.9018
1967,12,1,2,67,9.9913
1967,12,1,3,66,10.7643
1967,12,1,4,81,9.8748
1967,12,1,5,87,7.2386
1967,12,2,1,40,4.4647
1967,12,2,2,36,6.3025
1967,12,2,3,35,7.8044
1967,12,2,4,47,9.6880
1967,12,2,5,48,6.4384
1967,12,3,1,83,0.4865
1967,12,3,2,83,3.0516
1967,12,3,3,83,3.8201
1967,12,3,4,70,2.3044
1967,12,3,5,65,3.3672
1968,1,1,1,63,4.5504
1968,1,1,2,71,3.3396
1968,1,1,3,60,5.6643
1968,1,1,4,82,1.6091
1968,1,1,5,93,4.5588
1968,1,2,1,39,-2.2219
1968,1,2,2,35,-0.3435
1968,1,2,3,33,0.8268
1968,1,2,4,44,1.9007
1968,1,2,5,48,-0.8017
1968,1,3,1,84,-9.5231
1968,1,3,2,82,-5.2829
1968,1,3,3,87,-4.2749
