year,month,rank_ME,rank_FP_6,nstocks,ret_vw
1976,1,1,1,6,21.1311
1976,1,1,2,7,20.3842
1976,1,1,3,11,31.9261
1976,1,1,4,5,15.7614
1976,1,1,5,25,25.8064
1976,1,2,1,7,21.5686
1976,1,2,2,2,6.9687
1976,1,2,3,17,19.0638
1976,1,2,4,15,17.3364
1976,1,2,5,10,16.0923
1976,1,3,1,8,19.6478
1976,1,3,2,13,11.5778
1976,1,3,3,15,10.4088
1976,1,3,4,8,14.7394
1976,1,3,5,6,12.5493
1976,2,1,1,20,17.0701
1976,2,1,2,15,11.7860
1976,2,1,3,35,9.4101
1976,2,1,4,58,5.0104
1976,2,1,5,98,18.0994
1976,2,2,1,26,5.8454
1976,2,2,2,24,9.9963
1976,2,2,3,42,8.5252
1976,2,2,4,55,6.1416
1976,2,2,5,58,4.6833
1976,2,3,1,75,1.7385
1976,2,3,2,74,-0.1061
1976,2,3,3,70,1.8011
1976,2,3,4,51,4.2350
1976,2,3,5,26,7.0659
1976,3,1,1,27,-1.8459
1976,3,1,2,28,-0.7929
1976,3,1,3,56,1.8724
1976,3,1,4,82,3.6169
1976,3,1,5,122,-0.0363
1976,3,2,1,31,0.7800
1976,3,2,2,36,-0.6105
1976,3,2,3,54,2.9039
1976,3,2,4,71,1.0185
1976,3,2,5,72,2.0278
1976,3,3,1,92,3.0668
1976,3,3,2,104,2.6870
1976,3,3,3,98,3.6379
1976,3,3,4,67,0.5735
1976,3,3,5,32,7.0619
1976,4,1,1,32,-1.5666
1976,4,1,2,42,-1.1996
1976,4,1,3,67,-1.3495
1976,4,1,4,94,-1.7716
1976,4,1,5,131,-1.5653
1976,4,2,1,34,0.4192
1976,4,2,2,43,-0.7314
1976,4,2,3,68,0.1289
1976,4,2,4,82,-0.5897
1976,4,2,5,82,-1.1203
1976,4,3,1,103,-2.5595
1976,4,3,2,126,0.1288
1976,4,3,3,106,-0.0947
1976,4,3,4,79,0.9482
1976,4,3,5,35,-2.6803
1976,5,1,1,40,-3.2115
1976,5,1,2,59,-4.4299
1976,5,1,3,94,-3.6510
1976,5,1,4,123,-2.5903
1976,5,1,5,177,-2.6427
1976,5,2,1,47,-1.2941
1976,5,2,2,61,-3.8588
1976,5,2,3,85,-0.0598
1976,5,2,4,106,-0.1828
1976,5,2,5,93,-0.9727
1976,5,3,1,123,-0.4491
1976,5,3,2,152,-0.9648
1976,5,3,3,138,-0.9135
1976,5,3,4,95,0.1426
1976,5,3,5,40,-0.1745
1976,6,1,1,48,3.5729
1976,6,1,2,69,4.1182
1976,6,1,3,110,3.5561
1976,6,1,4,145,3.3091
1976,6,1,5,196,6.2664
1976,6,2,1,53,4.7227
1976,6,2,2,77,6.1224
1976,6,2,3,92,4.0820
1976,6,2,4,118,3.9636
1976,6,2,5,100,3.6454
1976,6,3,1,134,3.7235
1976,6,3,2,171,3.3048
1976,6,3,3,156,5.5614
1976,6,3,4,101,7.0638
1976,6,3,5,43,4.7534
1976,7,1,1,53,2.8076
1976,7,1,2,75,1.2860
1976,7,1,3,116,-1.9457
1976,7,1,4,163,1.2799
1976,7,1,5,210,0.8697
1976,7,2,1,62,-1.6763
1976,7,2,2,78,-1.5012
1976,7,2,3,98,0.0564
1976,7,2,4,122,2.1613
1976,7,2,5,108,0.1580
1976,7,3,1,144,-0.8449
1976,7,3,2,188,-1.9219
1976,7,3,3,165,-2.3569
1976,7,3,4,108,-2.5643
1976,7,3,5,43,3.6127
1976,8,1,1,55,-3.3596
1976,8,1,2,78,-3.4550
1976,8,1,3,130,-2.8490
1976,8,1,4,180,-2.5134
1976,8,1,5,231,-4.5111
1976,8,2,1,70,-2.1095
1976,8,2,2,87,-1.8631
1976,8,2,3,111,-1.2078
1976,8,2,4,133,-2.9957
1976,8,2,5,112,-3.3435
1976,8,3,1,159,-0.3123
1976,8,3,2,210,-0.6073
1976,8,3,3,172,0.3015
1976,8,3,4,112,-1.2218
1976,8,3,5,44,-3.7759
1976,9,1,1,48,4.6053
1976,9,1,2,70,3.5346
1976,9,1,3,114,1.2541
1976,9,1,4,164,2.5308
1976,9,1,5,214,1.0116
1976,9,2,1,73,3.3890
1976,9,2,2,90,2.6821
1976,9,2,3,106,3.3101
1976,9,2,4,131,2.9559
1976,9,2,5,112,2.2781
1976,9,3,1,160,3.6281
1976,9,3,2,205,1.9192
1976,9,3,3,172,1.6160
1976,9,3,4,119,3.0763
1976,9,3,5,38,0.4293
1976,10,1,1,57,0.0104
1976,10,1,2,79,-2.2018
1976,10,1,3,127,-2.2631
1976,10,1,4,177,-2.7602
1976,10,1,5,242,-3.4198
1976,10,2,1,74,-2.6870
1976,10,2,2,97,-3.3244
1976,10,2,3,104,-1.8224
1976,10,2,4,138,-0.5920
1976,10,2,5,114,-2.7516
1976,10,3,1,162,-2.4701
1976,10,3,2,204,-2.0421
1976,10,3,3,170,-2.7658
1976,10,3,4,121,-4.5029
1976,10,3,5,37,-3.4828
1976,11,1,1,62,2.8326
1976,11,1,2,83,3.9350
1976,11,1,3,126,3.4851
1976,11,1,4,187,3.4979
1976,11,1,5,269,2.2804
1976,11,2,1,76,5.2889
1976,11,2,2,102,3.9807
1976,11,2,3,110,3.5972
1976,11,2,4,141,6.0615
1976,11,2,5,115,3.9425
1976,11,3,1,165,0.4391
1976,11,3,2,210,-0.8771
1976,11,3,3,176,0.8902
1976,11,3,4,136,3.3778
1976,11,3,5,45,1.9497
1976,12,1,1,59,12.3876
1976,12,1,2,78,9.3624
1976,12,1,3,125,7.6371
1976,12,1,4,187,9.6876
1976,12,1,5,285,11.0240
1976,12,2,1,83,8.0801
1976,12,2,2,115,8.4357
1976,12,2,3,112,8.3415
1976,12,2,4,147,9.7940
1976,12,2,5,110,11.4742
1976,12,3,1,159,5.3236
1976,12,3,2,212,5.2723
1976,12,3,3,185,5.1472
1976,12,3,4,143,7.3818
1976,12,3,5,45,10.0702
1977,1,1,1,67,2.7283
1977,1,1,2,75,3.3758
1977,1,1,3,125,5.1346
1977,1,1,4,185,3.2784
1977,1,1,5,284,3.6639
1977,1,2,1,87,1.1733
1977,1,2,2,115,1.4971
1977,1,2,3,112,0.9168
1977,1,2,4,139,0.7130
1977,1,2,5,113,1.6345
1977,1,3,1,153,-3.5762
1977,1,3,2,201,-5.6925
1977,1,3,3,176,-6.5095
1977,1,3,4,132,-3.5708
1977,1,3,5,46,-4.2152
1977,2,1,1,97,0.5816
1977,2,1,2,94,0.3782
1977,2,1,3,131,1.4980
1977,2,1,4,213,-0.7237
1977,2,1,5,363,-3.4865
1977,2,2,1,120,-1.6102
1977,2,2,2,125,0.2522
1977,2,2,3,122,-0.1213
1977,2,2,4,162,0.3207
1977,2,2,5,135,-1.6211
1977,2,3,1,190,-1.7284
1977,2,3,2,234,-1.8311
1977,2,3,3,221,-1.6528
1977,2,3,4,157,-2.4955
