year,month,rank_ME,rank_GLA,nstocks,ret_vw
1967,1,1,1,45,15.4690
1967,1,1,2,70,20.4680
1967,1,1,3,73,17.8289
1967,1,1,4,84,21.1154
1967,1,1,5,85,16.0523
1967,1,2,1,43,12.8037
1967,1,2,2,46,16.8771
1967,1,2,3,51,18.3998
1967,1,2,4,44,17.3136
1967,1,2,5,47,15.0731
1967,1,3,1,108,3.8250
1967,1,3,2,92,6.2950
1967,1,3,3,82,11.4256
1967,1,3,4,105,9.9271
1967,1,3,5,107,7.3333
1967,2,1,1,44,3.3764
1967,2,1,2,70,2.2247
1967,2,1,3,73,5.1030
1967,2,1,4,84,5.7207
1967,2,1,5,85,6.0475
1967,2,2,1,43,2.3036
1967,2,2,2,46,0.4033
1967,2,2,3,51,3.2816
1967,2,2,4,44,0.7913
1967,2,2,5,47,2.9331
1967,2,3,1,108,-1.3266
1967,2,3,2,92,-0.6272
1967,2,3,3,82,0.7586
1967,2,3,4,105,0.9675
1967,2,3,5,107,4.0023
1967,3,1,1,45,5.6715
1967,3,1,2,70,9.0435
1967,3,1,3,73,6.4150
1967,3,1,4,84,7.1046
1967,3,1,5,85,4.4306
1967,3,2,1,43,2.6884
1967,3,2,2,46,5.4467
1967,3,2,3,51,9.0507
1967,3,2,4,44,8.0542
1967,3,2,5,47,7.1259
1967,3,3,1,108,2.2059
1967,3,3,2,92,4.2681
1967,3,3,3,82,5.1444
1967,3,3,4,105,4.1011
1967,3,3,5,107,5.1926
1967,4,1,1,45,5.4931
1967,4,1,2,70,4.5728
1967,4,1,3,73,5.9944
1967,4,1,4,84,5.4234
1967,4,1,5,85,3.4199
1967,4,2,1,43,1.1586
1967,4,2,2,46,5.3787
1967,4,2,3,51,4.0765
1967,4,2,4,44,3.8168
1967,4,2,5,47,5.0737
1967,4,3,1,108,2.3990
1967,4,3,2,92,1.7130
1967,4,3,3,82,4.0843
1967,4,3,4,105,6.7807
1967,4,3,5,107,6.7698
1967,5,1,1,45,1.5516
1967,5,1,2,70,-1.2589
1967,5,1,3,73,2.5885
1967,5,1,4,84,0.2440
1967,5,1,5,85,1.2626
1967,5,2,1,43,-1.2579
1967,5,2,2,46,-1.8520
1967,5,2,3,51,-2.6642
1967,5,2,4,44,-1.6898
1967,5,2,5,47,-2.7595
1967,5,3,1,108,-4.6654
1967,5,3,2,92,-3.9365
1967,5,3,3,82,-3.7779
1967,5,3,4,105,-6.0694
1967,5,3,5,107,-4.2680
1967,6,1,1,45,10.3494
1967,6,1,2,70,9.3763
1967,6,1,3,73,13.4239
1967,6,1,4,84,13.6629
1967,6,1,5,85,12.8113
1967,6,2,1,43,5.1596
1967,6,2,2,46,8.1125
1967,6,2,3,51,7.6765
1967,6,2,4,44,7.0529
1967,6,2,5,47,6.0385
1967,6,3,1,108,-0.6929
1967,6,3,2,92,1.9516
1967,6,3,3,81,2.0346
1967,6,3,4,105,0.6506
1967,6,3,5,107,3.9903
1967,7,1,1,51,9.7122
1967,7,1,2,73,11.5337
1967,7,1,3,93,9.2733
1967,7,1,4,107,9.9115
1967,7,1,5,92,9.9011
1967,7,2,1,51,6.5847
1967,7,2,2,46,8.8475
1967,7,2,3,52,9.7367
1967,7,2,4,54,7.0970
1967,7,2,5,63,7.4409
1967,7,3,1,109,2.5937
1967,7,3,2,100,3.0860
1967,7,3,3,96,8.0724
1967,7,3,4,97,5.5609
1967,7,3,5,113,3.6874
1967,8,1,1,51,3.0450
1967,8,1,2,73,2.1653
1967,8,1,3,93,-0.4140
1967,8,1,4,107,-0.2401
1967,8,1,5,92,0.3496
1967,8,2,1,51,0.2988
1967,8,2,2,46,-1.2913
1967,8,2,3,52,0.8590
1967,8,2,4,54,0.6311
1967,8,2,5,63,-1.4219
1967,8,3,1,109,-0.5582
1967,8,3,2,100,-0.8900
1967,8,3,3,96,-1.5218
1967,8,3,4,96,-0.3547
1967,8,3,5,113,-0.3748
1967,9,1,1,51,6.0004
1967,9,1,2,73,6.0033
1967,9,1,3,93,7.6486
1967,9,1,4,107,6.7476
1967,9,1,5,92,9.3629
1967,9,2,1,51,1.8466
1967,9,2,2,46,2.7185
1967,9,2,3,52,4.7115
1967,9,2,4,54,3.5260
1967,9,2,5,63,6.6185
1967,9,3,1,109,-0.4205
1967,9,3,2,100,3.1081
1967,9,3,3,96,3.1016
1967,9,3,4,96,4.9781
1967,9,3,5,113,4.3935
1967,10,1,1,51,0.3269
1967,10,1,2,73,-2.9986
1967,10,1,3,93,-2.2962
1967,10,1,4,107,-2.8171
1967,10,1,5,92,-0.9173
1967,10,2,1,51,-3.6414
1967,10,2,2,45,-6.1494
1967,10,2,3,52,-3.6195
1967,10,2,4,54,-3.8651
1967,10,2,5,63,-1.9218
1967,10,3,1,110,-5.4997
1967,10,3,2,99,-2.9908
1967,10,3,3,96,-4.8265
1967,10,3,4,96,-3.4246
1967,10,3,5,113,1.6563
1967,11,1,1,51,-0.7026
1967,11,1,2,73,0.9262
1967,11,1,3,93,-1.7348
1967,11,1,4,107,1.3172
1967,11,1,5,92,2.1905
1967,11,2,1,50,0.1180
1967,11,2,2,45,-1.1293
1967,11,2,3,52,2.0341
1967,11,2,4,54,-0.7295
1967,11,2,5,63,2.1940
1967,11,3,1,110,2.6727
1967,11,3,2,100,0.3121
1967,11,3,3,96,-0.9069
1967,11,3,4,96,0.3323
1967,11,3,5,113,1.9185
1967,12,1,1,51,11.7538
1967,12,1,2,71,7.7657
1967,12,1,3,93,9.2484
1967,12,1,4,107,7.1579
1967,12,1,5,92,9.1561
1967,12,2,1,50,7.2083
1967,12,2,2,45,6.0540
1967,12,2,3,52,6.1167
1967,12,2,4,54,7.3888
1967,12,2,5,63,5.2020
1967,12,3,1,110,3.0773
1967,12,3,2,100,2.7270
1967,12,3,3,96,4.0534
1967,12,3,4,96,0.7059
1967,12,3,5,113,2.7391
1968,1,1,1,51,4.0456
1968,1,1,2,72,3.1925
1968,1,1,3,93,2.4110
1968,1,1,4,106,4.3201
1968,1,1,5,92,1.6408
1968,1,2,1,50,1.3873
1968,1,2,2,45,1.1966
1968,1,2,3,52,0.7717
1968,1,2,4,54,-3.3396
1968,1,2,5,63,-1.5171
1968,1,3,1,110,-0.2431
1968,1,3,2,100,-1.8734
1968,1,3,3,96,-4.5639
1968,1,3,4,96,-6.4746
1968,1,3,5,113,-7.2266
1968,2,1,1,51,-2.7239
1968,2,1,2,72,-6.5251
1968,2,1,3,93,-6.4862
1968,2,1,4,104,-8.1262
1968,2,1,5,92,-5.1895
1968,2,2,1,49,-0.8542
1968,2,2,2,45,-1.8636
1968,2,2,3,51,-8.2854
1968,2,2,4,54,-4.7623
1968,2,2,5,63,-5.9172
1968,2,3,1,110,-2.6526
1968,2,3,2,100,-2.8380
1968,2,3,3,96,-3.7474
1968,2,3,4,96,-2.9687
1968,2,3,5,112,-2.8429
1968,3,1,1,51,-2.7712
1968,3,1,2,72,-0.2517
1968,3,1,3,93,-1.6060
1968,3,1,4,105,-1.4030
1968,3,1,5,92,0.7661
1968,3,2,1,49,-1.9236
1968,3,2,2,45,-2.4888
1968,3,2,3,51,-0.0322
1968,3,2,4,54,-1.7869
1968,3,2,5,63,-0.8301
1968,3,3,1,110,-3.1873
1968,3,3,2,100,-0.1571
1968,3,3,3,96,0.1631
1968,3,3,4,96,1.6288
1968,3,3,5,112,3.4620
1968,4,1,1,51,15.5918
1968,4,1,2,72,14.6734
1968,4,1,3,92,15.2937
1968,4,1,4,105,18.0718
1968,4,1,5,92,19.2748
1968,4,2,1,49,6.6829
1968,4,2,2,45,14.5212
1968,4,2,3,51,15.9956
1968,4,2,4,54,13.4924
