year,month,rank_ME,rank_OPA,nstocks,ret_vw
1967,1,1,1,160,18.9999
1967,1,1,2,71,20.2995
1967,1,1,3,71,18.9430
1967,1,1,4,61,19.0333
1967,1,1,5,49,15.5486
1967,1,2,1,48,19.7701
1967,1,2,2,46,19.7391
1967,1,2,3,49,16.3696
1967,1,2,4,46,13.9641
1967,1,2,5,37,16.6126
1967,1,3,1,47,12.8428
1967,1,3,2,83,7.3920
1967,1,3,3,84,7.0114
1967,1,3,4,86,9.2109
1967,1,3,5,109,8.7463
1967,2,1,1,159,6.4952
1967,2,1,2,71,4.5875
1967,2,1,3,71,3.2542
1967,2,1,4,61,4.2418
1967,2,1,5,49,7.0673
1967,2,2,1,48,3.2254
1967,2,2,2,46,1.8817
1967,2,2,3,49,0.4435
1967,2,2,4,46,3.7489
1967,2,2,5,37,3.0212
1967,2,3,1,47,-0.0705
1967,2,3,2,83,0.4813
1967,2,3,3,84,0.1621
1967,2,3,4,86,0.2104
1967,2,3,5,109,2.7073
1967,3,1,1,160,6.9200
1967,3,1,2,71,9.6022
1967,3,1,3,71,6.9697
1967,3,1,4,61,8.8373
1967,3,1,5,49,2.0382
1967,3,2,1,48,8.4964
1967,3,2,2,46,6.5296
1967,3,2,3,49,6.3514
1967,3,2,4,46,7.5528
1967,3,2,5,37,7.3051
1967,3,3,1,47,4.8210
1967,3,3,2,83,4.5427
1967,3,3,3,84,3.9895
1967,3,3,4,86,4.3969
1967,3,3,5,109,5.1952
1967,4,1,1,160,5.7451
1967,4,1,2,71,3.0180
1967,4,1,3,71,5.1464
1967,4,1,4,61,2.7503
1967,4,1,5,49,6.5780
1967,4,2,1,48,5.0494
1967,4,2,2,46,3.9416
1967,4,2,3,49,4.1474
1967,4,2,4,46,3.7979
1967,4,2,5,37,7.5549
1967,4,3,1,47,4.7747
1967,4,3,2,83,3.0224
1967,4,3,3,84,2.8849
1967,4,3,4,86,5.9897
1967,4,3,5,109,6.2762
1967,5,1,1,160,1.1217
1967,5,1,2,71,-0.3066
1967,5,1,3,71,0.6910
1967,5,1,4,61,0.9039
1967,5,1,5,49,-0.8365
1967,5,2,1,48,-2.8988
1967,5,2,2,46,-1.7445
1967,5,2,3,49,-2.4072
1967,5,2,4,46,-0.6269
1967,5,2,5,37,-3.4851
1967,5,3,1,47,-1.5273
1967,5,3,2,83,-5.3059
1967,5,3,3,84,-3.4009
1967,5,3,4,86,-4.6923
1967,5,3,5,109,-4.9608
1967,6,1,1,160,14.2274
1967,6,1,2,71,13.7914
1967,6,1,3,71,11.2358
1967,6,1,4,61,9.3019
1967,6,1,5,49,13.2252
1967,6,2,1,48,9.0795
1967,6,2,2,46,9.9087
1967,6,2,3,49,5.0715
1967,6,2,4,46,7.5429
1967,6,2,5,37,7.5321
1967,6,3,1,46,4.1977
1967,6,3,2,83,2.8868
1967,6,3,3,84,1.7379
1967,6,3,4,86,1.6158
1967,6,3,5,109,2.1506
1967,7,1,1,233,10.5660
1967,7,1,2,113,7.8283
1967,7,1,3,81,8.0494
1967,7,1,4,91,10.2942
1967,7,1,5,63,11.1219
1967,7,2,1,60,9.2658
1967,7,2,2,50,11.0584
1967,7,2,3,56,7.1177
1967,7,2,4,51,6.1815
1967,7,2,5,56,7.2306
1967,7,3,1,49,9.6053
1967,7,3,2,84,2.0613
1967,7,3,3,90,7.8977
1967,7,3,4,92,5.3916
1967,7,3,5,109,4.4269
1967,8,1,1,233,-0.6471
1967,8,1,2,113,1.6083
1967,8,1,3,81,-0.0410
1967,8,1,4,91,0.4894
1967,8,1,5,63,2.4446
1967,8,2,1,60,-2.0298
1967,8,2,2,50,0.3939
1967,8,2,3,56,0.5679
1967,8,2,4,51,0.0117
1967,8,2,5,56,1.3098
1967,8,3,1,48,0.9211
1967,8,3,2,84,-0.2321
1967,8,3,3,90,-1.6276
1967,8,3,4,92,-0.3912
1967,8,3,5,109,-0.9094
1967,9,1,1,231,8.6508
1967,9,1,2,113,8.4197
1967,9,1,3,81,8.1277
1967,9,1,4,91,8.5017
1967,9,1,5,63,9.1179
1967,9,2,1,60,2.3323
1967,9,2,2,50,2.9924
1967,9,2,3,56,5.9533
1967,9,2,4,51,3.6452
1967,9,2,5,56,7.1186
1967,9,3,1,48,3.9453
1967,9,3,2,84,2.5052
1967,9,3,3,90,3.3800
1967,9,3,4,92,4.4803
1967,9,3,5,109,4.8633
1967,10,1,1,232,-0.3053
1967,10,1,2,113,-0.0023
1967,10,1,3,81,-0.8001
1967,10,1,4,91,-4.1777
1967,10,1,5,63,-3.9748
1967,10,2,1,60,-1.9915
1967,10,2,2,50,-4.6725
1967,10,2,3,55,-3.6584
1967,10,2,4,51,-4.5541
1967,10,2,5,56,-3.0002
1967,10,3,1,48,-2.7098
1967,10,3,2,84,-3.1477
1967,10,3,3,90,-2.5119
1967,10,3,4,92,-3.2027
1967,10,3,5,109,-0.8685
1967,11,1,1,232,-0.8562
1967,11,1,2,113,-1.7529
1967,11,1,3,81,1.7350
1967,11,1,4,91,1.3263
1967,11,1,5,63,1.3822
1967,11,2,1,59,0.7009
1967,11,2,2,50,-0.7434
1967,11,2,3,55,0.4523
1967,11,2,4,51,3.1574
1967,11,2,5,56,0.4088
1967,11,3,1,48,0.1607
1967,11,3,2,84,0.5119
1967,11,3,3,90,0.0440
1967,11,3,4,92,-1.1241
1967,11,3,5,109,1.1046
1967,12,1,1,230,11.8347
1967,12,1,2,113,8.5780
1967,12,1,3,81,7.0987
1967,12,1,4,91,9.4486
1967,12,1,5,63,8.3148
1967,12,2,1,59,10.2839
1967,12,2,2,50,5.1864
1967,12,2,3,55,5.8360
1967,12,2,4,51,5.7510
1967,12,2,5,56,5.8119
1967,12,3,1,48,3.8758
1967,12,3,2,84,2.8191
1967,12,3,3,90,2.0914
1967,12,3,4,92,3.3102
1967,12,3,5,109,2.4711
1968,1,1,1,231,5.4038
1968,1,1,2,113,3.1731
1968,1,1,3,80,1.5683
1968,1,1,4,91,1.9112
1968,1,1,5,63,-0.0191
1968,1,2,1,59,1.0635
1968,1,2,2,50,0.7699
1968,1,2,3,55,0.3727
1968,1,2,4,51,-3.6254
1968,1,2,5,56,-4.0487
1968,1,3,1,48,-6.4671
1968,1,3,2,84,-1.5656
1968,1,3,3,90,-4.3933
1968,1,3,4,92,-6.2719
1968,1,3,5,109,-6.4711
1968,2,1,1,230,-8.4584
1968,2,1,2,113,-7.2081
1968,2,1,3,79,-5.8206
1968,2,1,4,91,-6.3395
1968,2,1,5,63,-5.5451
1968,2,2,1,59,-4.0715
1968,2,2,2,49,-6.3213
1968,2,2,3,55,-5.8885
1968,2,2,4,51,-4.1366
1968,2,2,5,56,-5.2162
1968,2,3,1,48,-5.7257
1968,2,3,2,84,-2.6122
1968,2,3,3,90,-3.1315
1968,2,3,4,91,-3.6399
1968,2,3,5,109,-2.9592
1968,3,1,1,231,-1.9738
1968,3,1,2,113,-0.3492
1968,3,1,3,79,-0.6052
1968,3,1,4,91,-0.9783
