year,month,rank_ME,rank_OPE,nstocks,ret_vw
1967,1,1,1,166,18.0729
1967,1,1,2,65,20.8347
1967,1,1,3,49,17.9579
1967,1,1,4,62,17.1592
1967,1,1,5,74,18.4182
1967,1,2,1,52,17.4880
1967,1,2,2,42,15.6545
1967,1,2,3,45,13.0062
1967,1,2,4,46,15.7198
1967,1,2,5,50,18.8296
1967,1,3,1,58,7.7122
1967,1,3,2,101,6.7816
1967,1,3,3,119,6.8148
1967,1,3,4,110,7.2322
1967,1,3,5,108,8.6419
1967,2,1,1,165,5.7814
1967,2,1,2,65,3.5997
1967,2,1,3,49,4.1570
1967,2,1,4,62,4.7842
1967,2,1,5,74,6.3616
1967,2,2,1,52,2.7313
1967,2,2,2,42,-0.6236
1967,2,2,3,45,2.1760
1967,2,2,4,46,3.3529
1967,2,2,5,50,3.5980
1967,2,3,1,58,-0.6865
1967,2,3,2,101,-0.3500
1967,2,3,3,119,-0.2178
1967,2,3,4,110,1.1998
1967,2,3,5,108,2.4554
1967,3,1,1,166,6.3331
1967,3,1,2,65,8.7909
1967,3,1,3,49,5.5341
1967,3,1,4,62,6.6904
1967,3,1,5,74,5.9314
1967,3,2,1,52,5.6198
1967,3,2,2,42,7.5796
1967,3,2,3,45,4.6181
1967,3,2,4,46,7.2705
1967,3,2,5,50,5.8435
1967,3,3,1,58,3.8922
1967,3,3,2,101,3.4224
1967,3,3,3,119,3.9095
1967,3,3,4,110,4.0030
1967,3,3,5,108,5.2164
1967,4,1,1,166,5.5112
1967,4,1,2,65,3.3185
1967,4,1,3,49,4.4997
1967,4,1,4,62,4.9390
1967,4,1,5,74,3.9468
1967,4,2,1,52,3.8561
1967,4,2,2,42,1.6072
1967,4,2,3,45,5.1774
1967,4,2,4,46,4.5068
1967,4,2,5,50,6.0048
1967,4,3,1,58,2.4969
1967,4,3,2,101,2.6295
1967,4,3,3,119,2.5291
1967,4,3,4,110,4.1338
1967,4,3,5,108,7.0476
1967,5,1,1,166,1.5838
1967,5,1,2,65,-0.5188
1967,5,1,3,49,0.6583
1967,5,1,4,62,-0.1173
1967,5,1,5,74,0.7606
1967,5,2,1,52,-1.7508
1967,5,2,2,42,-1.3415
1967,5,2,3,45,-1.4413
1967,5,2,4,46,-0.6231
1967,5,2,5,50,-4.2320
1967,5,3,1,58,-3.0413
1967,5,3,2,101,-4.2596
1967,5,3,3,119,-2.4160
1967,5,3,4,110,-5.2099
1967,5,3,5,108,-5.5916
1967,6,1,1,166,13.0368
1967,6,1,2,65,15.8541
1967,6,1,3,49,9.1680
1967,6,1,4,62,12.0587
1967,6,1,5,74,11.2781
1967,6,2,1,52,7.4636
1967,6,2,2,42,8.1833
1967,6,2,3,45,6.0420
1967,6,2,4,46,6.4205
1967,6,2,5,50,6.4846
1967,6,3,1,57,1.8468
1967,6,3,2,101,2.2009
1967,6,3,3,119,1.4668
1967,6,3,4,110,0.5775
1967,6,3,5,108,2.1280
1967,7,1,1,219,9.4819
1967,7,1,2,89,7.4479
1967,7,1,3,69,8.0838
1967,7,1,4,69,12.2882
1967,7,1,5,123,9.8565
1967,7,2,1,61,8.4228
1967,7,2,2,47,9.5607
1967,7,2,3,51,7.0926
1967,7,2,4,54,6.1507
1967,7,2,5,63,6.7954
1967,7,3,1,62,7.2169
1967,7,3,2,105,2.4345
1967,7,3,3,120,5.4168
1967,7,3,4,115,7.0417
1967,7,3,5,115,4.0540
1967,8,1,1,219,1.3840
1967,8,1,2,89,-0.8312
1967,8,1,3,69,-1.6398
1967,8,1,4,69,1.4939
1967,8,1,5,123,0.5659
1967,8,2,1,61,-1.7869
1967,8,2,2,47,0.0470
1967,8,2,3,51,1.7134
1967,8,2,4,54,-1.2223
1967,8,2,5,63,1.8985
1967,8,3,1,61,-0.8062
1967,8,3,2,105,-0.8761
1967,8,3,3,120,-0.7495
1967,8,3,4,115,-0.5988
1967,8,3,5,115,-0.8007
1967,9,1,1,218,8.4223
1967,9,1,2,89,11.0859
1967,9,1,3,69,5.1835
1967,9,1,4,69,7.5101
1967,9,1,5,123,9.2457
1967,9,2,1,61,3.9507
1967,9,2,2,47,4.0405
1967,9,2,3,51,3.1175
1967,9,2,4,54,5.4621
1967,9,2,5,63,3.6971
1967,9,3,1,61,3.9869
1967,9,3,2,105,2.7160
1967,9,3,3,120,1.7672
1967,9,3,4,115,2.3778
1967,9,3,5,115,4.8084
1967,10,1,1,218,-0.3708
1967,10,1,2,89,0.3045
1967,10,1,3,69,-1.6261
1967,10,1,4,69,-1.8946
1967,10,1,5,123,-2.9903
1967,10,2,1,61,-5.6490
1967,10,2,2,47,-3.5895
1967,10,2,3,51,-2.2975
1967,10,2,4,54,-2.0840
1967,10,2,5,63,-3.1811
1967,10,3,1,61,-3.8232
1967,10,3,2,106,-2.8805
1967,10,3,3,120,-4.4639
1967,10,3,4,114,-3.5690
1967,10,3,5,115,-0.5531
1967,11,1,1,218,-1.6276
1967,11,1,2,89,-1.0402
1967,11,1,3,69,0.7590
1967,11,1,4,69,1.5949
1967,11,1,5,123,1.4233
1967,11,2,1,61,0.0466
1967,11,2,2,47,0.0513
1967,11,2,3,51,1.0229
1967,11,2,4,54,1.0263
1967,11,2,5,63,1.1819
1967,11,3,1,61,-0.1987
1967,11,3,2,106,0.4849
1967,11,3,3,120,1.9393
1967,11,3,4,115,-0.4302
1967,11,3,5,115,1.0180
1967,12,1,1,216,10.7401
1967,12,1,2,89,8.0821
1967,12,1,3,69,7.2788
1967,12,1,4,69,11.8830
1967,12,1,5,123,9.5813
1967,12,2,1,61,8.9316
1967,12,2,2,47,3.6274
1967,12,2,3,51,7.8208
1967,12,2,4,54,5.2766
1967,12,2,5,63,7.3387
1967,12,3,1,61,3.4623
1967,12,3,2,106,2.5008
1967,12,3,3,120,3.4385
1967,12,3,4,115,1.9847
1967,12,3,5,115,2.4713
1968,1,1,1,217,5.5682
1968,1,1,2,89,1.1552
1968,1,1,3,69,2.7649
1968,1,1,4,69,2.7127
1968,1,1,5,122,0.9434
1968,1,2,1,61,2.1696
1968,1,2,2,47,1.4814
1968,1,2,3,51,-1.5186
1968,1,2,4,54,-1.8106
1968,1,2,5,63,-2.2991
1968,1,3,1,61,-0.9586
1968,1,3,2,106,-1.8411
1968,1,3,3,120,-3.7787
1968,1,3,4,115,-5.3250
1968,1,3,5,115,-6.7767
1968,2,1,1,216,-7.6621
1968,2,1,2,89,-6.7505
1968,2,1,3,69,-5.0755
1968,2,1,4,69,-7.0068
1968,2,1,5,122,-6.4093
1968,2,2,1,60,-2.4751
1968,2,2,2,46,-5.1157
1968,2,2,3,51,-5.0749
1968,2,2,4,54,-5.5308
1968,2,2,5,63,-4.8958
1968,2,3,1,61,-3.2183
1968,2,3,2,106,-2.6088
1968,2,3,3,120,-2.6500
1968,2,3,4,115,-3.1649
1968,2,3,5,114,-3.3384
1968,3,1,1,217,-0.1749
1968,3,1,2,89,-0.4267
1968,3,1,3,69,-3.0490
1968,3,1,4,69,-2.5948
1968,3,1,5,122,-0.3934
1968,3,2,1,60,-1.5413
1968,3,2,2,46,-0.0579
1968,3,2,3,51,-2.1939
1968,3,2,4,54,-2.1063
1968,3,2,5,63,-0.0612
1968,3,3,1,61,0.6992
1968,3,3,2,106,-0.6817
1968,3,3,3,120,-0.3902
1968,3,3,4,115,-0.1902
1968,3,3,5,114,2.7027
1968,4,1,1,217,18.0504
1968,4,1,2,89,17.5242
1968,4,1,3,69,13.7402
1968,4,1,4,69,20.0113
1968,4,1,5,122,17.7792
1968,4,2,1,60,14.6646
1968,4,2,2,46,11.1762
1968,4,2,3,51,9.5702
1968,4,2,4,54,11.9122
1968,4,2,5,63,17.1973
1968,4,3,1,61,8.7240
1968,4,3,2,106,4.6530
1968,4,3,3,120,9.1023
