year,month,rank_ME,rank_Oq_1,nstocks,ret_vw
1976,1,1,1,8,29.8875
1976,1,1,2,3,26.2804
1976,1,1,3,15,20.4913
1976,1,1,4,17,30.1848
1976,1,1,5,54,22.7467
1976,1,2,1,9,17.0029
1976,1,2,2,10,22.0343
1976,1,2,3,14,24.3753
1976,1,2,4,18,22.7397
1976,1,2,5,21,13.4606
1976,1,3,1,49,12.9344
1976,1,3,2,46,18.7250
1976,1,3,3,40,12.7132
1976,1,3,4,31,13.4377
1976,1,3,5,15,16.8154
1976,2,1,1,12,16.4317
1976,2,1,2,9,20.3469
1976,2,1,3,17,14.8335
1976,2,1,4,34,14.5070
1976,2,1,5,81,13.8931
1976,2,2,1,21,8.8053
1976,2,2,2,21,7.9167
1976,2,2,3,23,6.3240
1976,2,2,4,21,8.9660
1976,2,2,5,33,6.3972
1976,2,3,1,63,-1.2388
1976,2,3,2,56,0.8296
1976,2,3,3,55,3.8774
1976,2,3,4,41,3.8833
1976,2,3,5,19,3.4053
1976,3,1,1,14,4.9797
1976,3,1,2,10,3.0488
1976,3,1,3,22,8.4062
1976,3,1,4,40,1.7927
1976,3,1,5,92,2.3719
1976,3,2,1,20,0.5173
1976,3,2,2,21,0.7826
1976,3,2,3,25,3.3966
1976,3,2,4,23,2.8718
1976,3,2,5,34,0.7658
1976,3,3,1,65,3.8728
1976,3,3,2,62,1.4715
1976,3,3,3,56,1.8995
1976,3,3,4,42,2.0528
1976,3,3,5,18,1.1692
1976,4,1,1,15,-2.4287
1976,4,1,2,14,1.8928
1976,4,1,3,20,-2.8789
1976,4,1,4,39,-2.1104
1976,4,1,5,95,-1.3501
1976,4,2,1,19,0.1454
1976,4,2,2,23,-3.7110
1976,4,2,3,27,-0.5236
1976,4,2,4,26,-0.4995
1976,4,2,5,36,0.5320
1976,4,3,1,64,1.4968
1976,4,3,2,60,-0.0682
1976,4,3,3,57,-0.2575
1976,4,3,4,43,0.1129
1976,4,3,5,17,-1.2940
1976,5,1,1,32,-3.3684
1976,5,1,2,20,-1.4641
1976,5,1,3,30,-3.7808
