year,month,rank_ME,rank_ROA_6,nstocks,ret_vw
1972,1,1,1,35,21.2999
1972,1,1,2,22,13.0951
1972,1,1,3,11,13.9031
1972,1,1,4,7,6.0648
1972,1,1,5,6,6.2051
1972,1,2,1,8,13.3731
1972,1,2,2,9,4.4943
1972,1,2,3,8,8.4131
1972,1,2,4,12,5.5339
1972,1,2,5,4,5.3686
1972,1,3,1,4,12.0607
1972,1,3,2,7,9.4125
1972,1,3,3,10,1.1025
1972,1,3,4,8,3.9361
1972,1,3,5,14,2.0249
1972,2,1,1,43,3.0887
1972,2,1,2,31,9.2712
1972,2,1,3,17,3.6847
1972,2,1,4,13,0.8584
1972,2,1,5,10,0.0293
1972,2,2,1,14,-0.2310
1972,2,2,2,13,-0.9507
1972,2,2,3,11,6.5445
1972,2,2,4,18,4.9320
1972,2,2,5,10,3.9004
1972,2,3,1,7,-3.7150
1972,2,3,2,13,4.4521
1972,2,3,3,16,4.0833
1972,2,3,4,16,4.9570
1972,2,3,5,20,7.0519
1972,3,1,1,55,-4.2317
1972,3,1,2,39,0.2204
1972,3,1,3,27,1.0236
1972,3,1,4,21,1.2631
1972,3,1,5,11,-0.4426
1972,3,2,1,20,-1.1945
1972,3,2,2,15,-3.5621
1972,3,2,3,18,-1.5665
1972,3,2,4,22,0.0028
1972,3,2,5,14,1.8836
1972,3,3,1,11,-1.6115
1972,3,3,2,21,-0.0766
1972,3,3,3,23,-1.8306
1972,3,3,4,22,2.2064
1972,3,3,5,26,0.3881
1972,4,1,1,72,4.3152
1972,4,1,2,45,2.4800
1972,4,1,3,33,-0.1619
1972,4,1,4,23,-1.3975
1972,4,1,5,14,2.0745
1972,4,2,1,21,3.0406
1972,4,2,2,20,2.7286
1972,4,2,3,24,2.4775
1972,4,2,4,24,1.3396
1972,4,2,5,16,-0.2869
1972,4,3,1,13,1.1667
1972,4,3,2,25,-0.0227
1972,4,3,3,26,-2.3589
1972,4,3,4,25,-0.4869
1972,4,3,5,29,1.6172
1972,5,1,1,157,-3.6125
1972,5,1,2,93,-3.8628
1972,5,1,3,67,-2.2282
1972,5,1,4,43,0.5476
1972,5,1,5,41,0.4242
1972,5,2,1,54,-3.8756
1972,5,2,2,48,-2.9483
1972,5,2,3,55,0.3736
1972,5,2,4,53,-0.9377
1972,5,2,5,42,-2.2039
1972,5,3,1,42,-1.1635
1972,5,3,2,79,0.3434
1972,5,3,3,98,2.8637
1972,5,3,4,94,2.5018
1972,5,3,5,111,6.3295
1972,6,1,1,209,-3.8310
1972,6,1,2,128,-5.0918
1972,6,1,3,99,-3.8673
1972,6,1,4,55,-4.2546
1972,6,1,5,59,0.7897
1972,6,2,1,69,-5.0950
1972,6,2,2,61,-3.7434
1972,6,2,3,71,-2.4850
1972,6,2,4,64,-2.1741
1972,6,2,5,53,-4.9704
1972,6,3,1,57,-6.3604
1972,6,3,2,96,-4.3462
1972,6,3,3,113,-4.0138
1972,6,3,4,116,-2.5966
1972,6,3,5,130,-1.7885
1972,7,1,1,226,-4.7009
1972,7,1,2,130,-3.9994
1972,7,1,3,108,-4.0419
1972,7,1,4,66,-2.7641
1972,7,1,5,63,-4.2548
1972,7,2,1,74,-2.0479
1972,7,2,2,68,-2.5302
1972,7,2,3,79,-3.6663
1972,7,2,4,63,-1.3072
1972,7,2,5,59,-0.7977
1972,7,3,1,60,-4.7232
1972,7,3,2,100,-1.7936
1972,7,3,3,117,-0.7990
1972,7,3,4,124,-1.4871
1972,7,3,5,142,1.7208
1972,8,1,1,231,1.4046
1972,8,1,2,134,1.3152
1972,8,1,3,108,-0.7973
1972,8,1,4,71,-1.0140
1972,8,1,5,66,-1.3730
1972,8,2,1,80,3.3297
1972,8,2,2,74,1.3941
1972,8,2,3,81,1.7603
1972,8,2,4,65,1.0969
1972,8,2,5,62,-0.1412
1972,8,3,1,59,4.4077
1972,8,3,2,100,4.1586
1972,8,3,3,121,3.8332
1972,8,3,4,127,5.7056
1972,8,3,5,150,1.9389
1972,9,1,1,239,-5.4081
1972,9,1,2,133,-4.0761
1972,9,1,3,112,-4.7699
1972,9,1,4,79,-4.9534
1972,9,1,5,67,-2.6715
1972,9,2,1,82,-3.2134
1972,9,2,2,72,-2.6880
1972,9,2,3,78,-2.3799
1972,9,2,4,69,-2.0849
1972,9,2,5,69,-3.2002
1972,9,3,1,61,-5.9957
1972,9,3,2,101,-2.0166
1972,9,3,3,122,-1.3943
1972,9,3,4,131,-1.5811
1972,9,3,5,155,0.1954
1972,10,1,1,220,-3.2879
1972,10,1,2,121,-2.4316
1972,10,1,3,102,-1.9116
1972,10,1,4,73,-1.9293
1972,10,1,5,71,0.5819
1972,10,2,1,83,-1.1198
1972,10,2,2,67,-1.4872
1972,10,2,3,69,-2.0174
1972,10,2,4,70,-0.7443
1972,10,2,5,67,-0.8124
1972,10,3,1,58,-0.2182
1972,10,3,2,96,0.5010
1972,10,3,3,113,1.6482
1972,10,3,4,126,1.3941
1972,10,3,5,147,-0.0416
1972,11,1,1,211,4.9857
1972,11,1,2,118,6.2646
1972,11,1,3,113,4.1589
1972,11,1,4,85,4.3462
1972,11,1,5,68,3.8651
1972,11,2,1,75,6.8262
1972,11,2,2,67,9.3763
1972,11,2,3,73,7.8454
1972,11,2,4,80,4.3922
1972,11,2,5,70,4.1600
1972,11,3,1,49,8.6893
1972,11,3,2,93,8.2065
1972,11,3,3,111,6.0591
1972,11,3,4,134,5.8851
1972,11,3,5,160,2.5826
1972,12,1,1,223,-4.0410
1972,12,1,2,118,-2.7077
1972,12,1,3,118,-1.5133
1972,12,1,4,84,-1.0368
1972,12,1,5,70,-0.0990
1972,12,2,1,75,-2.1946
1972,12,2,2,67,-3.7466
1972,12,2,3,72,-3.9281
1972,12,2,4,79,1.7452
1972,12,2,5,69,0.7661
1972,12,3,1,49,-4.5608
1972,12,3,2,94,-1.3737
1972,12,3,3,112,0.3487
1972,12,3,4,137,2.1958
1972,12,3,5,154,1.8918
1973,1,1,1,227,-4.8301
1973,1,1,2,121,-3.8018
1973,1,1,3,115,-5.6617
1973,1,1,4,80,-1.9475
1973,1,1,5,68,-7.1258
1973,1,2,1,69,-6.5703
1973,1,2,2,60,-7.0757
1973,1,2,3,68,-7.9979
1973,1,2,4,74,-5.0230
1973,1,2,5,62,-5.4146
1973,1,3,1,47,-9.4722
1973,1,3,2,90,-5.4086
1973,1,3,3,111,-3.5501
1973,1,3,4,133,-2.1406
1973,1,3,5,145,-1.8687
1973,2,1,1,230,-6.9467
1973,2,1,2,133,-10.0193
1973,2,1,3,122,-9.8137
1973,2,1,4,78,-10.0281
1973,2,1,5,67,-10.5793
1973,2,2,1,72,-7.9234
1973,2,2,2,67,-8.2997
1973,2,2,3,76,-9.2371
1973,2,2,4,72,-9.0098
1973,2,2,5,62,-7.8886
1973,2,3,1,46,-7.3134
1973,2,3,2,95,-6.0040
1973,2,3,3,108,-5.1574
1973,2,3,4,134,-6.3027
1973,2,3,5,143,-4.1043
1973,3,1,1,229,-5.5161
1973,3,1,2,140,-4.1825
1973,3,1,3,128,-1.1792
1973,3,1,4,80,-4.2571
1973,3,1,5,70,-4.3951
1973,3,2,1,73,-5.7684
1973,3,2,2,68,-3.8903
1973,3,2,3,77,-4.6772
1973,3,2,4,69,-5.6499
1973,3,2,5,62,-3.7618
1973,3,3,1,45,-1.5108
1973,3,3,2,100,-3.7507
1973,3,3,3,107,-3.3360
1973,3,3,4,139,-3.4061
1973,3,3,5,145,-3.3805
1973,4,1,1,143,-9.0566
1973,4,1,2,80,-10.0555
1973,4,1,3,70,-9.3780
1973,4,1,4,51,-9.2639
1973,4,1,5,30,-7.7599
1973,4,2,1,40,-11.1726
1973,4,2,2,36,-6.3663
1973,4,2,3,38,-7.1995
1973,4,2,4,39,-7.9792
1973,4,2,5,35,-10.0951
1973,4,3,1,15,-13.4406
1973,4,3,2,42,-8.3800
1973,4,3,3,45,-8.5201
1973,4,3,4,48,-6.0956
1973,4,3,5,53,-5.9152
1973,5,1,1,210,-10.7429
1973,5,1,2,122,-11.4145
1973,5,1,3,112,-8.4951
1973,5,1,4,86,-9.2722
1973,5,1,5,65,-11.6575
1973,5,2,1,77,-10.0216
1973,5,2,2,72,-9.1213
1973,5,2,3,77,-7.3283
1973,5,2,4,63,-8.8530
1973,5,2,5,70,-11.4672
1973,5,3,1,47,-9.5892
1973,5,3,2,90,-3.2753
1973,5,3,3,97,-6.4509
1973,5,3,4,127,-2.8457
1973,5,3,5,147,-3.8034
1973,6,1,1,284,-2.6822
1973,6,1,2,155,-3.6267
1973,6,1,3,137,-4.9596
1973,6,1,4,98,-4.8231
1973,6,1,5,90,-2.8065
1973,6,2,1,89,-3.7865
1973,6,2,2,80,-2.3385
1973,6,2,3,81,-7.1532
1973,6,2,4,72,-7.2545
1973,6,2,5,83,-5.0247
1973,6,3,1,57,0.3744
1973,6,3,2,107,-4.4246
1973,6,3,3,114,-4.2118
1973,6,3,4,147,-5.2901
1973,6,3,5,164,1.5171
1973,7,1,1,302,13.9521
1973,7,1,2,146,14.4890
1973,7,1,3,144,13.9884
1973,7,1,4,101,15.9341
1973,7,1,5,99,16.6574
1973,7,2,1,94,13.6978
1973,7,2,2,82,11.4590
1973,7,2,3,79,12.4482
1973,7,2,4,71,12.9266
1973,7,2,5,89,18.1628
1973,7,3,1,61,10.2343
1973,7,3,2,107,11.8984
1973,7,3,3,114,9.2816
1973,7,3,4,150,10.1190
1973,7,3,5,167,6.5995
1973,8,1,1,302,-5.7357
1973,8,1,2,150,-7.0983
1973,8,1,3,147,-7.1545
1973,8,1,4,101,-5.6141
1973,8,1,5,106,-5.9749
1973,8,2,1,95,-5.1933
1973,8,2,2,88,-4.5393
1973,8,2,3,82,-2.3791
1973,8,2,4,70,-2.5571
1973,8,2,5,92,-2.8604
1973,8,3,1,62,-0.7832
1973,8,3,2,107,-2.0759
1973,8,3,3,122,-3.0464
1973,8,3,4,152,-2.5901
1973,8,3,5,168,-4.8146
1973,9,1,1,309,8.8457
1973,9,1,2,155,10.5238
1973,9,1,3,147,9.5316
1973,9,1,4,102,9.8108
1973,9,1,5,105,9.0751
1973,9,2,1,97,11.5494
1973,9,2,2,87,12.6869
1973,9,2,3,79,12.1604
1973,9,2,4,77,12.1757
1973,9,2,5,94,9.9939
1973,9,3,1,63,11.3178
1973,9,3,2,107,9.1225
1973,9,3,3,123,8.8505
1973,9,3,4,148,8.0478
1973,9,3,5,171,0.7302
1973,10,1,1,289,0.7947
1973,10,1,2,149,0.6202
1973,10,1,3,142,-0.5547
1973,10,1,4,101,-0.4643
1973,10,1,5,113,-0.8830
1973,10,2,1,98,0.1677
1973,10,2,2,85,-1.7913
1973,10,2,3,76,-0.4228
1973,10,2,4,75,0.2185
1973,10,2,5,91,0.0767
1973,10,3,1,62,1.0298
1973,10,3,2,106,0.0828
1973,10,3,3,116,3.1712
1973,10,3,4,141,-0.3965
1973,10,3,5,162,0.5341
1973,11,1,1,286,-19.3345
1973,11,1,2,156,-20.7362
1973,11,1,3,155,-20.6358
1973,11,1,4,111,-21.3684
1973,11,1,5,119,-22.7146
1973,11,2,1,98,-18.6180
1973,11,2,2,90,-20.5425
1973,11,2,3,78,-22.1180
1973,11,2,4,79,-19.2160
1973,11,2,5,93,-21.6049
1973,11,3,1,55,-16.8444
1973,11,3,2,104,-14.4170
1973,11,3,3,115,-11.1832
1973,11,3,4,156,-14.7244
1973,11,3,5,172,-10.8503
1973,12,1,1,299,-7.3353
1973,12,1,2,161,-4.6196
1973,12,1,3,164,-4.5583
1973,12,1,4,113,-5.0390
1973,12,1,5,117,-3.4251
1973,12,2,1,98,-3.9929
1973,12,2,2,91,-1.4259
1973,12,2,3,80,-0.8273
1973,12,2,4,82,-3.9976
1973,12,2,5,95,1.3133
1973,12,3,1,53,-1.6295
1973,12,3,2,98,1.7018
1973,12,3,3,114,2.7769
1973,12,3,4,157,3.3687
1973,12,3,5,170,-1.5978
1974,1,1,1,294,23.3731
1974,1,1,2,163,15.1913
1974,1,1,3,160,16.4175
1974,1,1,4,110,14.9044
1974,1,1,5,114,11.4906
1974,1,2,1,92,14.5340
1974,1,2,2,84,12.6382
1974,1,2,3,75,10.9212
1974,1,2,4,77,8.2884
1974,1,2,5,88,8.1659
1974,1,3,1,46,15.5250
1974,1,3,2,97,0.1704
1974,1,3,3,109,0.8447
1974,1,3,4,156,-0.1029
1974,1,3,5,166,-1.2356
1974,2,1,1,298,-2.3308
1974,2,1,2,163,0.0891
1974,2,1,3,159,0.0673
1974,2,1,4,123,-2.0840
1974,2,1,5,122,-0.4314
1974,2,2,1,98,-1.0900
1974,2,2,2,84,2.4377
1974,2,2,3,78,0.4999
1974,2,2,4,80,-0.3557
1974,2,2,5,93,-1.1750
1974,2,3,1,66,2.5305
1974,2,3,2,117,2.6002
1974,2,3,3,125,1.6856
1974,2,3,4,161,1.9103
1974,2,3,5,170,-1.4588
1974,3,1,1,301,0.1607
1974,3,1,2,165,1.5016
1974,3,1,3,166,0.3215
1974,3,1,4,142,3.3971
1974,3,1,5,125,-0.4241
1974,3,2,1,102,-4.1273
1974,3,2,2,87,-2.2878
1974,3,2,3,80,-1.6137
1974,3,2,4,87,-0.6992
1974,3,2,5,92,2.0084
1974,3,3,1,69,-3.9711
1974,3,3,2,131,-2.9523
1974,3,3,3,143,-3.3995
1974,3,3,4,174,-2.0765
1974,3,3,5,178,-1.1837
1974,4,1,1,176,-7.2476
1974,4,1,2,90,-6.2565
1974,4,1,3,98,-5.9114
1974,4,1,4,100,-5.8794
1974,4,1,5,76,-5.4497
1974,4,2,1,63,-8.0107
1974,4,2,2,46,-6.1719
1974,4,2,3,36,-5.8510
1974,4,2,4,54,-4.5314
1974,4,2,5,54,-3.5682
1974,4,3,1,39,-5.8126
1974,4,3,2,65,-7.5111
1974,4,3,3,75,-6.9942
1974,4,3,4,73,-3.8561
1974,4,3,5,68,-0.1980
1974,5,1,1,257,-10.5177
1974,5,1,2,129,-7.8643
1974,5,1,3,147,-6.9591
1974,5,1,4,153,-6.4251
1974,5,1,5,109,-7.1238
1974,5,2,1,113,-9.7687
1974,5,2,2,83,-8.7559
1974,5,2,3,82,-6.9244
1974,5,2,4,86,-4.7880
1974,5,2,5,99,-6.5896
1974,5,3,1,76,-7.9603
1974,5,3,2,135,-6.0461
1974,5,3,3,154,-3.9769
1974,5,3,4,163,-3.4967
1974,5,3,5,193,-1.3247
1974,6,1,1,327,-3.8996
1974,6,1,2,175,-2.5371
1974,6,1,3,164,-3.2123
1974,6,1,4,172,-0.9232
1974,6,1,5,124,-3.5782
1974,6,2,1,132,-4.5860
1974,6,2,2,96,-1.9301
1974,6,2,3,92,-1.0263
1974,6,2,4,102,-1.7028
1974,6,2,5,121,-1.0257
1974,6,3,1,85,-8.7985
1974,6,3,2,154,-3.9738
1974,6,3,3,179,-3.3357
1974,6,3,4,182,-2.1939
1974,6,3,5,216,-1.5842
1974,7,1,1,345,-5.9306
1974,7,1,2,164,-4.4420
1974,7,1,3,157,-3.2520
1974,7,1,4,171,-3.6774
1974,7,1,5,127,-3.3139
1974,7,2,1,137,-4.3744
1974,7,2,2,94,-2.6552
1974,7,2,3,90,-2.0095
1974,7,2,4,99,-3.5682
1974,7,2,5,123,-5.7722
1974,7,3,1,88,-8.8153
1974,7,3,2,152,-5.3328
1974,7,3,3,176,-4.2651
1974,7,3,4,188,-7.8118
1974,7,3,5,221,-7.2568
1974,8,1,1,344,-9.1791
1974,8,1,2,177,-6.5753
1974,8,1,3,162,-6.8841
1974,8,1,4,180,-5.3557
1974,8,1,5,134,-7.1137
1974,8,2,1,141,-6.9028
1974,8,2,2,107,-7.1292
1974,8,2,3,103,-8.0046
1974,8,2,4,104,-6.4060
1974,8,2,5,133,-8.4366
1974,8,3,1,93,-6.6722
1974,8,3,2,162,-8.1721
1974,8,3,3,197,-10.1478
1974,8,3,4,202,-10.0272
1974,8,3,5,224,-9.6125
1974,9,1,1,362,-7.8161
1974,9,1,2,188,-8.7742
1974,9,1,3,164,-7.0984
1974,9,1,4,179,-7.5152
1974,9,1,5,133,-7.5260
1974,9,2,1,143,-8.4899
1974,9,2,2,109,-7.5586
1974,9,2,3,110,-6.7287
1974,9,2,4,106,-8.7524
1974,9,2,5,137,-11.6170
1974,9,3,1,93,-9.7119
1974,9,3,2,168,-6.2209
1974,9,3,3,200,-8.5492
1974,9,3,4,208,-12.2188
1974,9,3,5,228,-13.9577
1974,10,1,1,339,7.5872
1974,10,1,2,180,5.3876
1974,10,1,3,163,8.0710
1974,10,1,4,147,8.6568
1974,10,1,5,122,10.2590
1974,10,2,1,134,7.5857
1974,10,2,2,107,8.9712
1974,10,2,3,107,7.3366
1974,10,2,4,100,12.2394
1974,10,2,5,126,13.6019
1974,10,3,1,90,4.5473
1974,10,3,2,156,7.7113
1974,10,3,3,187,15.2958
1974,10,3,4,184,22.6623
1974,10,3,5,211,20.4705
1974,11,1,1,342,-9.2949
1974,11,1,2,175,-5.3831
1974,11,1,3,167,-4.7431
1974,11,1,4,162,-3.6793
1974,11,1,5,140,-4.0938
1974,11,2,1,128,-5.8743
1974,11,2,2,107,-2.4136
1974,11,2,3,112,-3.8250
1974,11,2,4,111,-2.7049
1974,11,2,5,133,-6.7207
1974,11,3,1,93,-3.8884
1974,11,3,2,151,-3.0978
1974,11,3,3,198,-3.1638
1974,11,3,4,202,-3.4608
1974,11,3,5,234,-4.4328
1974,12,1,1,360,-10.9475
1974,12,1,2,174,-9.4488
1974,12,1,3,168,-9.3837
1974,12,1,4,163,-7.4552
1974,12,1,5,138,-7.3357
1974,12,2,1,129,-6.5826
1974,12,2,2,105,-3.4645
1974,12,2,3,110,-3.9219
1974,12,2,4,109,-6.5985
1974,12,2,5,142,-8.0423
1974,12,3,1,94,-4.5192
1974,12,3,2,149,-2.0240
1974,12,3,3,190,-1.5997
1974,12,3,4,202,-3.1490
1974,12,3,5,234,-3.4157
1975,1,1,1,344,40.2532
1975,1,1,2,153,34.9192
1975,1,1,3,152,36.4226
1975,1,1,4,156,25.9550
1975,1,1,5,132,27.5454
1975,1,2,1,118,31.7607
1975,1,2,2,98,30.3296
1975,1,2,3,99,25.6696
1975,1,2,4,101,25.1086
1975,1,2,5,132,25.4919
1975,1,3,1,93,26.1757
1975,1,3,2,125,25.2681
1975,1,3,3,159,18.7017
1975,1,3,4,186,14.4684
1975,1,3,5,227,11.7573
1975,2,1,1,347,1.2189
1975,2,1,2,150,3.3990
1975,2,1,3,149,4.0494
1975,2,1,4,159,5.5317
1975,2,1,5,133,2.9183
1975,2,2,1,115,1.7811
1975,2,2,2,97,3.1727
1975,2,2,3,98,5.1818
1975,2,2,4,107,3.4956
1975,2,2,5,130,8.9259
1975,2,3,1,96,0.5423
1975,2,3,2,128,1.2530
1975,2,3,3,158,3.3430
1975,2,3,4,191,5.5036
1975,2,3,5,228,7.5379
