year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1967,1,1,1,47,19.2732
1967,1,1,2,17,15.2105
1967,1,1,3,11,21.1896
1967,1,1,4,29,16.7911
1967,1,1,5,36,21.9267
1967,1,2,1,35,14.0667
1967,1,2,2,25,16.2152
1967,1,2,3,21,15.0495
1967,1,2,4,24,18.1488
1967,1,2,5,30,17.7521
1967,1,3,1,63,8.0976
1967,1,3,2,91,5.4828
1967,1,3,3,93,5.5318
1967,1,3,4,91,9.0230
1967,1,3,5,81,9.3961
1967,2,1,1,74,2.9182
1967,2,1,2,29,2.6803
1967,2,1,3,29,1.2918
1967,2,1,4,44,4.4975
1967,2,1,5,53,5.1175
1967,2,2,1,48,1.0973
1967,2,2,2,38,0.7649
1967,2,2,3,33,1.6128
1967,2,2,4,35,2.9989
1967,2,2,5,42,3.1125
1967,2,3,1,90,-1.1216
1967,2,3,2,140,-0.7097
1967,2,3,3,144,-0.0243
1967,2,3,4,135,1.6701
1967,2,3,5,107,3.1163
1967,3,1,1,86,6.7586
1967,3,1,2,31,7.0091
1967,3,1,3,33,9.0826
1967,3,1,4,50,9.3377
1967,3,1,5,63,6.0418
1967,3,2,1,50,5.1250
1967,3,2,2,41,3.1826
1967,3,2,3,39,4.4301
1967,3,2,4,41,7.4354
1967,3,2,5,51,10.0007
1967,3,3,1,92,4.5006
1967,3,3,2,148,3.3325
1967,3,3,3,154,3.0615
1967,3,3,4,144,3.9524
1967,3,3,5,111,6.3537
1967,4,1,1,97,1.8417
1967,4,1,2,37,6.0361
1967,4,1,3,38,8.6049
1967,4,1,4,57,4.0443
1967,4,1,5,75,8.4214
1967,4,2,1,53,3.9149
1967,4,2,2,49,1.5707
1967,4,2,3,42,4.9986
1967,4,2,4,43,2.9947
1967,4,2,5,53,4.7637
1967,4,3,1,92,7.0798
1967,4,3,2,149,2.8121
1967,4,3,3,157,3.1517
1967,4,3,4,149,6.7228
1967,4,3,5,114,4.9851
1967,5,1,1,190,1.6817
1967,5,1,2,89,-0.2852
1967,5,1,3,79,-2.0025
1967,5,1,4,107,-0.5690
1967,5,1,5,143,0.4301
1967,5,2,1,77,-3.4271
1967,5,2,2,71,-2.7091
1967,5,2,3,71,-0.5192
1967,5,2,4,70,-0.4791
1967,5,2,5,89,-0.3619
1967,5,3,1,124,-5.6974
1967,5,3,2,194,-4.0433
1967,5,3,3,208,-3.4972
1967,5,3,4,197,-4.2788
1967,5,3,5,163,-5.4718
1967,6,1,1,202,11.5087
1967,6,1,2,94,12.8318
1967,6,1,3,91,10.3883
1967,6,1,4,122,10.2044
1967,6,1,5,153,14.3874
1967,6,2,1,87,5.9739
1967,6,2,2,77,4.8519
1967,6,2,3,75,7.8032
1967,6,2,4,76,6.7061
1967,6,2,5,96,9.3411
1967,6,3,1,128,0.8313
1967,6,3,2,199,1.8074
1967,6,3,3,214,0.8975
1967,6,3,4,206,2.4241
1967,6,3,5,173,2.0198
1967,7,1,1,204,10.7730
1967,7,1,2,92,10.6537
1967,7,1,3,88,6.7759
1967,7,1,4,112,9.2908
1967,7,1,5,149,10.1313
1967,7,2,1,89,8.0914
1967,7,2,2,66,9.2840
1967,7,2,3,72,8.4470
1967,7,2,4,73,7.2709
1967,7,2,5,96,6.7216
1967,7,3,1,110,7.6482
1967,7,3,2,186,5.7813
1967,7,3,3,182,5.6755
1967,7,3,4,180,5.1420
1967,7,3,5,161,4.0532
1967,8,1,1,261,0.4568
1967,8,1,2,136,-0.3293
1967,8,1,3,121,-0.6265
1967,8,1,4,135,-0.3775
1967,8,1,5,180,-0.3504
1967,8,2,1,101,-0.2771
1967,8,2,2,91,0.4401
1967,8,2,3,92,-0.4401
1967,8,2,4,94,0.5412
1967,8,2,5,111,-0.0115
1967,8,3,1,123,-0.7259
1967,8,3,2,207,-0.7370
1967,8,3,3,221,-0.7060
1967,8,3,4,225,-0.9414
1967,8,3,5,181,-0.9037
1967,9,1,1,271,8.3528
