year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1967,1,1,1,17,17.0270
1967,1,1,2,4,18.3730
1967,1,1,3,5,18.4634
1967,1,1,4,7,19.5554
1967,1,1,5,8,25.0526
1967,1,2,1,23,15.4379
1967,1,2,2,23,15.8017
1967,1,2,3,23,16.8853
1967,1,2,4,25,18.5836
1967,1,2,5,23,16.7351
1967,1,3,1,77,12.2883
1967,1,3,2,86,5.0354
1967,1,3,3,86,6.0853
1967,1,3,4,83,6.5435
1967,1,3,5,89,10.6620
1967,2,1,1,15,4.5136
1967,2,1,2,4,-1.3359
1967,2,1,3,2,1.6555
1967,2,1,4,10,-0.0654
1967,2,1,5,8,6.4881
1967,2,2,1,36,0.5334
1967,2,2,2,20,0.0564
1967,2,2,3,17,3.6864
1967,2,2,4,23,0.2527
1967,2,2,5,24,4.5452
1967,2,3,1,63,-1.5337
1967,2,3,2,89,-1.0294
1967,2,3,3,92,0.3102
1967,2,3,4,82,3.5969
1967,2,3,5,84,2.7507
1967,3,1,1,16,6.2858
1967,3,1,2,4,6.2994
1967,3,1,3,1,16.1972
1967,3,1,4,10,4.5723
1967,3,1,5,11,12.9314
1967,3,2,1,35,5.8261
1967,3,2,2,23,4.6658
1967,3,2,3,18,7.8505
1967,3,2,4,22,7.4003
1967,3,2,5,21,3.5607
1967,3,3,1,64,4.3120
1967,3,3,2,86,4.2610
1967,3,3,3,92,3.1115
1967,3,3,4,83,5.1989
1967,3,3,5,85,5.4222
1967,4,1,1,18,3.1077
1967,4,1,2,8,4.5892
1967,4,1,3,4,6.6091
1967,4,1,4,8,2.2239
1967,4,1,5,11,7.0387
1967,4,2,1,35,4.1318
1967,4,2,2,19,2.4119
1967,4,2,3,19,4.1811
1967,4,2,4,21,1.3222
1967,4,2,5,19,6.2243
1967,4,3,1,62,6.1660
1967,4,3,2,85,2.0713
1967,4,3,3,89,3.5000
1967,4,3,4,86,4.7798
1967,4,3,5,87,5.1241
1967,5,1,1,36,1.4474
1967,5,1,2,11,-0.2438
1967,5,1,3,10,3.9336
1967,5,1,4,14,-0.3422
1967,5,1,5,27,0.7814
1967,5,2,1,36,-4.8621
1967,5,2,2,27,-1.7672
1967,5,2,3,24,-1.9888
1967,5,2,4,19,-1.2620
1967,5,2,5,28,-0.4158
1967,5,3,1,69,-6.2964
1967,5,3,2,91,-4.5015
1967,5,3,3,95,-4.6603
1967,5,3,4,99,-4.8318
1967,5,3,5,87,-3.3170
1967,6,1,1,39,3.4111
1967,6,1,2,10,1.0174
1967,6,1,3,16,11.0464
1967,6,1,4,15,9.7252
1967,6,1,5,32,16.8575
