year,month,rank_ME,rank_TBIq_6,nstocks,ret_vw
1967,1,1,1,15,27.7874
1967,1,1,2,9,21.1159
1967,1,1,3,11,19.5991
1967,1,1,4,10,19.4445
1967,1,1,5,9,22.4749
1967,1,2,1,23,18.2080
1967,1,2,2,24,17.0198
1967,1,2,3,24,18.4826
1967,1,2,4,19,18.2898
1967,1,2,5,31,16.4450
1967,1,3,1,76,8.2495
1967,1,3,2,74,9.3334
1967,1,3,3,71,8.6197
1967,1,3,4,73,8.0333
1967,1,3,5,68,7.1971
1967,2,1,1,33,2.0994
1967,2,1,2,18,5.6243
1967,2,1,3,17,3.6769
1967,2,1,4,14,3.7813
1967,2,1,5,17,2.8963
1967,2,2,1,32,1.6634
1967,2,2,2,35,0.5240
1967,2,2,3,35,2.6982
1967,2,2,4,31,0.8961
1967,2,2,5,44,2.7568
1967,2,3,1,93,-0.7746
1967,2,3,2,107,-0.6315
1967,2,3,3,106,0.9652
1967,2,3,4,105,4.2186
1967,2,3,5,90,3.2776
1967,3,1,1,36,7.3731
1967,3,1,2,23,3.8342
1967,3,1,3,23,7.0519
1967,3,1,4,16,9.8126
1967,3,1,5,19,7.3788
1967,3,2,1,35,8.1365
1967,3,2,2,37,6.6640
1967,3,2,3,40,5.3206
1967,3,2,4,38,9.9898
1967,3,2,5,48,7.4138
1967,3,3,1,97,4.4675
1967,3,3,2,112,6.3419
1967,3,3,3,114,3.6097
1967,3,3,4,112,4.7310
1967,3,3,5,97,4.6212
1967,4,1,1,40,1.4180
1967,4,1,2,30,2.8893
1967,4,1,3,27,6.8470
1967,4,1,4,18,11.1709
1967,4,1,5,26,4.3464
1967,4,2,1,40,5.9172
1967,4,2,2,38,4.7539
1967,4,2,3,41,4.8510
1967,4,2,4,42,2.8236
1967,4,2,5,49,4.2336
1967,4,3,1,100,4.9337
1967,4,3,2,117,4.9547
1967,4,3,3,119,2.9738
1967,4,3,4,115,3.6363
1967,4,3,5,101,7.2794
1967,5,1,1,59,1.4858
1967,5,1,2,43,1.3154
1967,5,1,3,43,0.4402
1967,5,1,4,36,-0.5812
1967,5,1,5,42,-0.7183
1967,5,2,1,50,-2.9118
1967,5,2,2,60,0.0238
1967,5,2,3,54,-1.5472
1967,5,2,4,53,-0.5526
1967,5,2,5,65,-1.8995
1967,5,3,1,118,-3.9404
1967,5,3,2,159,-4.8130
1967,5,3,3,167,-5.0445
1967,5,3,4,146,-5.4853
1967,5,3,5,126,-4.4211
1967,6,1,1,60,11.0316
1967,6,1,2,48,14.1256
1967,6,1,3,44,11.1966
1967,6,1,4,40,8.9401
1967,6,1,5,46,12.8768
1967,6,2,1,54,10.7490
1967,6,2,2,64,8.0404
1967,6,2,3,57,5.1639
1967,6,2,4,55,8.3518
1967,6,2,5,68,6.6729
1967,6,3,1,118,1.1561
1967,6,3,2,161,1.2087
1967,6,3,3,175,2.3005
1967,6,3,4,153,2.3386
1967,6,3,5,130,4.6101
1967,7,1,1,57,10.7575
1967,7,1,2,46,8.5175
1967,7,1,3,39,7.7832
1967,7,1,4,43,6.5831
1967,7,1,5,48,8.6586
1967,7,2,1,53,10.2042
1967,7,2,2,60,8.6287
1967,7,2,3,50,8.0050
1967,7,2,4,47,7.6920
1967,7,2,5,63,9.1772
1967,7,3,1,108,7.3381
1967,7,3,2,137,4.2343
1967,7,3,3,162,1.2893
1967,7,3,4,146,5.1957
1967,7,3,5,114,5.4190
1967,8,1,1,87,0.4745
1967,8,1,2,72,0.5023
1967,8,1,3,68,0.4825
1967,8,1,4,68,-0.6697
1967,8,1,5,86,1.9080
1967,8,2,1,75,-0.6256
1967,8,2,2,81,-0.2967
1967,8,2,3,70,0.5033
1967,8,2,4,68,0.4448
1967,8,2,5,75,0.6974
1967,8,3,1,123,-0.9504
1967,8,3,2,159,-0.6407
1967,8,3,3,181,-0.7370
1967,8,3,4,160,0.1715
1967,8,3,5,131,-0.8425
1967,9,1,1,93,10.0461
1967,9,1,2,78,6.5976
1967,9,1,3,71,5.7867
1967,9,1,4,74,7.4445
1967,9,1,5,94,5.8183
1967,9,2,1,78,5.3204
1967,9,2,2,84,3.9136
1967,9,2,3,73,3.3446
1967,9,2,4,68,5.8760
1967,9,2,5,73,4.4886
1967,9,3,1,124,3.6046
1967,9,3,2,163,2.9317
1967,9,3,3,187,3.9736
1967,9,3,4,162,4.0288
1967,9,3,5,132,4.9370
1967,10,1,1,85,-1.7014
1967,10,1,2,67,-2.4935
1967,10,1,3,70,-1.1996
1967,10,1,4,69,-2.6243
1967,10,1,5,96,-2.6158
1967,10,2,1,75,-1.8166
1967,10,2,2,78,-3.9803
1967,10,2,3,64,-2.1929
1967,10,2,4,67,-2.2966
1967,10,2,5,70,-4.5709
