year,month,rank_ME,rank_BM,nstocks,ret_vw
1967,1,1,1,56,18.6967
1967,1,1,2,53,19.1331
1967,1,1,3,65,17.5124
1967,1,1,4,83,19.9690
1967,1,1,5,154,17.4358
1967,1,2,1,42,20.6505
1967,1,2,2,37,15.6389
1967,1,2,3,44,13.7047
1967,1,2,4,55,15.2962
1967,1,2,5,56,16.2317
1967,1,3,1,136,8.1531
1967,1,3,2,122,7.0755
1967,1,3,3,108,5.3032
1967,1,3,4,85,8.3683
1967,1,3,5,43,14.0436
1967,2,1,1,56,7.8617
1967,2,1,2,53,4.3000
1967,2,1,3,65,5.9163
1967,2,1,4,83,3.7149
1967,2,1,5,154,4.8796
1967,2,2,1,42,4.5526
1967,2,2,2,37,2.8923
1967,2,2,3,44,2.2515
1967,2,2,4,55,-0.1604
1967,2,2,5,56,2.4318
1967,2,3,1,136,2.4521
1967,2,3,2,122,0.6793
1967,2,3,3,108,-0.4529
1967,2,3,4,85,-1.1290
1967,2,3,5,43,-0.7677
1967,3,1,1,57,8.0542
1967,3,1,2,53,7.3269
1967,3,1,3,65,5.3355
1967,3,1,4,83,7.0995
1967,3,1,5,154,5.7851
1967,3,2,1,42,5.0879
1967,3,2,2,37,7.0509
1967,3,2,3,44,7.3606
1967,3,2,4,55,6.7811
1967,3,2,5,56,4.6487
1967,3,3,1,136,4.6173
1967,3,3,2,122,3.4471
1967,3,3,3,108,3.6581
1967,3,3,4,85,4.8312
1967,3,3,5,43,5.6951
1967,4,1,1,57,5.3583
1967,4,1,2,53,3.0818
1967,4,1,3,65,2.9206
1967,4,1,4,83,5.9363
1967,4,1,5,154,4.9095
1967,4,2,1,42,6.9404
1967,4,2,2,37,2.8438
1967,4,2,3,44,5.2815
1967,4,2,4,55,2.8910
1967,4,2,5,56,3.5304
1967,4,3,1,136,7.2633
1967,4,3,2,122,3.0563
1967,4,3,3,108,0.5862
1967,4,3,4,85,4.0819
1967,4,3,5,43,3.1203
1967,5,1,1,57,-0.1246
1967,5,1,2,53,1.7200
1967,5,1,3,65,2.3753
1967,5,1,4,83,0.4250
1967,5,1,5,154,0.1611
1967,5,2,1,42,-3.6608
1967,5,2,2,37,-1.3862
1967,5,2,3,44,-1.4800
1967,5,2,4,55,-1.6620
1967,5,2,5,56,-2.0026
1967,5,3,1,136,-5.6135
1967,5,3,2,122,-3.2189
1967,5,3,3,108,-4.6069
1967,5,3,4,85,-2.7980
1967,5,3,5,43,-3.3532
1967,6,1,1,57,16.7401
1967,6,1,2,52,6.7360
1967,6,1,3,65,12.1057
