year,month,rank_ME,rank_BMJ,nstocks,ret_vw
1967,1,1,1,58,20.3331
1967,1,1,2,70,16.2355
1967,1,1,3,66,16.4195
1967,1,1,4,93,20.4721
1967,1,1,5,129,17.7826
1967,1,2,1,46,20.2675
1967,1,2,2,34,17.1131
1967,1,2,3,44,13.7905
1967,1,2,4,43,13.2521
1967,1,2,5,68,16.4814
1967,1,3,1,136,8.2561
1967,1,3,2,122,6.8595
1967,1,3,3,107,5.3098
1967,1,3,4,90,7.0626
1967,1,3,5,41,15.2695
1967,2,1,1,58,7.6616
1967,2,1,2,70,4.7237
1967,2,1,3,66,5.1792
1967,2,1,4,93,5.1100
1967,2,1,5,129,4.0943
1967,2,2,1,46,4.7743
1967,2,2,2,34,2.5523
1967,2,2,3,44,1.6416
1967,2,2,4,43,1.3210
1967,2,2,5,68,1.3858
1967,2,3,1,136,2.6575
1967,2,3,2,122,0.4522
1967,2,3,3,107,-1.1809
1967,2,3,4,90,-0.3871
1967,2,3,5,41,-0.9045
1967,3,1,1,59,8.2484
1967,3,1,2,70,6.1720
1967,3,1,3,66,8.1777
1967,3,1,4,93,5.4856
1967,3,1,5,129,5.6511
1967,3,2,1,46,8.0550
1967,3,2,2,34,3.9919
1967,3,2,3,44,6.9331
1967,3,2,4,43,5.3698
1967,3,2,5,68,5.5923
1967,3,3,1,136,4.8481
1967,3,3,2,122,3.0963
1967,3,3,3,107,4.0806
1967,3,3,4,90,4.2166
1967,3,3,5,41,4.4568
1967,4,1,1,59,4.8301
1967,4,1,2,70,3.7072
1967,4,1,3,66,5.3325
1967,4,1,4,93,4.5234
1967,4,1,5,129,4.6878
1967,4,2,1,46,5.9910
1967,4,2,2,34,5.7576
1967,4,2,3,44,3.3332
1967,4,2,4,43,3.4657
1967,4,2,5,68,3.4768
1967,4,3,1,136,7.4907
1967,4,3,2,122,2.5392
1967,4,3,3,107,1.6176
1967,4,3,4,90,2.2586
1967,4,3,5,41,2.6204
1967,5,1,1,59,-1.2081
1967,5,1,2,70,2.2080
1967,5,1,3,66,1.3583
1967,5,1,4,93,0.0425
1967,5,1,5,129,1.1061
1967,5,2,1,46,-3.4354
1967,5,2,2,34,-0.6583
1967,5,2,3,44,-2.1140
1967,5,2,4,43,-1.2290
1967,5,2,5,68,-2.0045
1967,5,3,1,136,-5.6495
1967,5,3,2,122,-2.8347
1967,5,3,3,107,-3.9866
1967,5,3,4,90,-4.0958
1967,5,3,5,41,-3.8216
1967,6,1,1,59,14.1006
1967,6,1,2,69,10.2592
1967,6,1,3,65,13.3796
1967,6,1,4,93,12.9360
1967,6,1,5,129,10.6633
1967,6,2,1,46,7.7119
1967,6,2,2,34,9.9811
1967,6,2,3,44,5.0158
1967,6,2,4,43,3.4852
1967,6,2,5,68,7.9499
1967,6,3,1,136,1.9218
1967,6,3,2,122,0.1751
1967,6,3,3,106,1.5346
1967,6,3,4,90,3.2738
1967,6,3,5,41,2.1658
1967,7,1,1,116,6.7179
1967,7,1,2,94,11.7604
1967,7,1,3,98,8.4653
1967,7,1,4,87,10.1933
1967,7,1,5,175,10.5298
1967,7,2,1,61,5.9381
1967,7,2,2,61,6.6371
1967,7,2,3,42,6.8554
1967,7,2,4,53,8.2435
1967,7,2,5,59,9.8420
1967,7,3,1,146,4.7733
1967,7,3,2,113,5.3810
1967,7,3,3,112,5.7431
1967,7,3,4,94,1.4556
1967,7,3,5,52,7.2990
1967,8,1,1,116,-0.8986
1967,8,1,2,94,-0.7744
1967,8,1,3,98,0.7208
1967,8,1,4,87,1.4004
1967,8,1,5,175,1.9350
1967,8,2,1,61,-1.1254
1967,8,2,2,61,0.0248
1967,8,2,3,42,1.1770
1967,8,2,4,53,1.2867
1967,8,2,5,59,-0.3142
1967,8,3,1,146,-0.8000
1967,8,3,2,113,-0.4704
1967,8,3,3,111,-1.0624
1967,8,3,4,94,-1.4072
1967,8,3,5,52,0.9054
1967,9,1,1,115,13.0706
1967,9,1,2,94,8.7289
1967,9,1,3,98,8.2118
1967,9,1,4,87,4.6259
1967,9,1,5,175,7.0079
1967,9,2,1,61,4.9265
1967,9,2,2,61,4.1964
1967,9,2,3,42,5.9706
1967,9,2,4,53,3.3489
1967,9,2,5,59,2.3864
1967,9,3,1,146,4.5124
1967,9,3,2,113,2.4884
1967,9,3,3,111,2.2130
1967,9,3,4,93,3.1216
1967,9,3,5,52,2.3001
1967,10,1,1,115,-0.2382
1967,10,1,2,94,-0.4895
1967,10,1,3,98,-1.5491
1967,10,1,4,87,-2.0436
1967,10,1,5,175,-2.1895
1967,10,2,1,61,-1.6282
1967,10,2,2,61,-1.6908
1967,10,2,3,42,-2.2191
1967,10,2,4,53,-6.5028
1967,10,2,5,59,-4.6164
1967,10,3,1,146,0.2862
1967,10,3,2,113,-3.8634
1967,10,3,3,112,-5.2778
1967,10,3,4,93,-3.2605
1967,10,3,5,52,-5.0846
1967,11,1,1,115,0.5979
1967,11,1,2,94,0.2229
1967,11,1,3,98,1.4806
1967,11,1,4,87,0.1942
1967,11,1,5,173,-1.8439
1967,11,2,1,61,1.4560
1967,11,2,2,61,2.9164
1967,11,2,3,42,1.8863
1967,11,2,4,53,-0.6845
1967,11,2,5,59,-2.0774
1967,11,3,1,146,1.2692
1967,11,3,2,113,1.0404
1967,11,3,3,112,0.4942
1967,11,3,4,94,-0.3069
1967,11,3,5,52,0.4935
1967,12,1,1,115,15.0051
1967,12,1,2,93,8.3931
1967,12,1,3,98,9.0681
1967,12,1,4,87,7.2562
1967,12,1,5,173,8.1124
1967,12,2,1,61,12.3074
1967,12,2,2,61,5.2557
1967,12,2,3,42,5.2613
1967,12,2,4,53,4.3756
1967,12,2,5,59,5.7300
1967,12,3,1,146,1.7293
1967,12,3,2,113,3.0530
