year,month,rank_ME,rank_BMq_12,nstocks,ret_vw
1967,1,1,1,17,23.4685
1967,1,1,2,18,20.1188
1967,1,1,3,28,14.9334
1967,1,1,4,28,20.4675
1967,1,1,5,59,20.0080
1967,1,2,1,18,20.4618
1967,1,2,2,18,12.5675
1967,1,2,3,26,15.9016
1967,1,2,4,30,14.5942
1967,1,2,5,46,17.1729
1967,1,3,1,109,7.1785
1967,1,3,2,101,8.2490
1967,1,3,3,83,4.3424
1967,1,3,4,83,8.9885
1967,1,3,5,45,16.5499
1967,2,1,1,30,6.1192
1967,2,1,2,29,5.4531
1967,2,1,3,44,2.6401
1967,2,1,4,43,2.2383
1967,2,1,5,75,2.9917
1967,2,2,1,24,5.7174
1967,2,2,2,23,-0.3073
1967,2,2,3,40,2.8986
1967,2,2,4,36,1.4679
1967,2,2,5,51,0.8820
1967,2,3,1,119,3.7458
1967,2,3,2,115,-0.6461
1967,2,3,3,101,-0.6842
1967,2,3,4,100,-1.5412
1967,2,3,5,51,-1.1802
1967,3,1,1,40,12.6540
1967,3,1,2,37,5.6461
1967,3,1,3,51,5.7047
1967,3,1,4,58,6.0379
1967,3,1,5,83,7.1074
1967,3,2,1,27,8.7349
1967,3,2,2,33,7.8618
1967,3,2,3,43,5.6550
1967,3,2,4,40,6.4193
1967,3,2,5,55,4.8598
1967,3,3,1,126,4.7497
1967,3,3,2,119,4.1415
1967,3,3,3,105,3.0202
1967,3,3,4,104,3.9687
1967,3,3,5,56,5.8336
1967,4,1,1,44,9.7967
1967,4,1,2,47,5.0156
1967,4,1,3,63,4.3251
1967,4,1,4,66,3.6127
1967,4,1,5,96,3.7462
1967,4,2,1,31,5.3922
1967,4,2,2,38,2.8720
1967,4,2,3,47,2.0691
1967,4,2,4,46,4.0191
1967,4,2,5,59,4.3558
1967,4,3,1,127,6.7986
1967,4,3,2,131,4.8895
1967,4,3,3,119,3.2400
1967,4,3,4,112,3.1136
1967,4,3,5,59,3.7180
1967,5,1,1,114,-0.2594
1967,5,1,2,86,-2.1414
1967,5,1,3,113,1.6478
1967,5,1,4,121,2.4030
1967,5,1,5,188,-0.2014
1967,5,2,1,51,-1.5895
1967,5,2,2,63,-0.9376
1967,5,2,3,72,0.2128
1967,5,2,4,76,-2.4404
1967,5,2,5,77,-2.1095
1967,5,3,1,159,-5.5148
1967,5,3,2,158,-4.1916
1967,5,3,3,148,-4.8167
1967,5,3,4,132,-3.1943
1967,5,3,5,67,-4.0453
1967,6,1,1,122,18.0357
1967,6,1,2,107,14.0920
1967,6,1,3,136,10.0870
1967,6,1,4,142,10.0386
1967,6,1,5,208,9.6407
1967,6,2,1,61,9.4146
1967,6,2,2,68,5.9322
1967,6,2,3,82,8.7627
1967,6,2,4,80,5.3370
1967,6,2,5,83,6.1991
1967,6,3,1,167,2.8420
1967,6,3,2,169,-0.2234
1967,6,3,3,165,1.6307
1967,6,3,4,138,1.9938
1967,6,3,5,69,2.2032
1967,7,1,1,139,7.6249
1967,7,1,2,128,10.8888
1967,7,1,3,158,9.2814
1967,7,1,4,165,10.5447
1967,7,1,5,223,10.2796
1967,7,2,1,67,6.2636
1967,7,2,2,80,6.6687
1967,7,2,3,86,6.0827
1967,7,2,4,87,7.6439
1967,7,2,5,90,11.1334
1967,7,3,1,173,4.5911
1967,7,3,2,177,5.4729
1967,7,3,3,178,5.4875
1967,7,3,4,142,4.6243
1967,7,3,5,74,6.9590
1967,8,1,1,149,-0.3730
1967,8,1,2,145,-0.0512
1967,8,1,3,175,0.3647
1967,8,1,4,179,0.6832
1967,8,1,5,229,0.7432
1967,8,2,1,74,-2.5453
1967,8,2,2,89,0.5115
1967,8,2,3,97,-0.1318
1967,8,2,4,93,1.3281
1967,8,2,5,101,-0.1026
1967,8,3,1,175,-0.7546
1967,8,3,2,186,-0.7865
1967,8,3,3,190,-0.8916
1967,8,3,4,152,-1.4696
1967,8,3,5,80,1.1164
1967,9,1,1,157,13.9085
1967,9,1,2,158,9.9203
1967,9,1,3,185,7.5597
1967,9,1,4,188,5.7202
1967,9,1,5,237,6.6187
1967,9,2,1,80,7.5437
1967,9,2,2,97,2.5592
1967,9,2,3,105,4.9659
1967,9,2,4,97,2.4390
1967,9,2,5,101,3.5338
1967,9,3,1,176,4.4016
1967,9,3,2,190,2.7668
1967,9,3,3,197,2.5990
1967,9,3,4,154,3.1006
1967,9,3,5,83,2.3644
1967,10,1,1,167,2.5736
1967,10,1,2,177,-2.3101
1967,10,1,3,192,-2.0509
1967,10,1,4,197,-2.2280
1967,10,1,5,243,-3.4660
1967,10,2,1,92,-3.1039
1967,10,2,2,98,-1.9353
1967,10,2,3,111,-2.1742
1967,10,2,4,104,-5.3482
1967,10,2,5,103,-2.3247
1967,10,3,1,178,0.0745
1967,10,3,2,195,-4.2840
1967,10,3,3,206,-4.7256
1967,10,3,4,159,-3.4966
1967,10,3,5,85,-5.7220
1967,11,1,1,180,-0.4797
1967,11,1,2,190,1.3458
1967,11,1,3,210,2.0706
1967,11,1,4,204,1.9023
1967,11,1,5,247,-0.4882
1967,11,2,1,105,2.6719
1967,11,2,2,100,1.5781
1967,11,2,3,115,1.3470
1967,11,2,4,106,-0.3320
1967,11,2,5,107,-1.9904
1967,11,3,1,185,1.3717
1967,11,3,2,202,0.5061
1967,11,3,3,213,0.4136
1967,11,3,4,168,0.1355
1967,11,3,5,88,0.1588
1967,12,1,1,185,13.8202
1967,12,1,2,195,9.4024
1967,12,1,3,220,8.5769
1967,12,1,4,210,9.7734
1967,12,1,5,248,8.3801
1967,12,2,1,110,8.5484
1967,12,2,2,102,5.7090
1967,12,2,3,119,4.9891
1967,12,2,4,111,3.3503
1967,12,2,5,110,6.5925
1967,12,3,1,190,1.7171
1967,12,3,2,206,2.9712
1967,12,3,3,215,3.9975
1967,12,3,4,172,3.7961
1967,12,3,5,88,3.6740
1968,1,1,1,193,-0.2257
1968,1,1,2,199,4.6184
1968,1,1,3,223,3.1682
1968,1,1,4,210,2.5588
1968,1,1,5,245,4.3313
1968,1,2,1,114,-6.0223
1968,1,2,2,107,-1.5890
1968,1,2,3,120,-1.0061
1968,1,2,4,107,2.7532
1968,1,2,5,114,3.8077
1968,1,3,1,193,-7.5912
1968,1,3,2,210,-4.2323
1968,1,3,3,217,-3.3435
1968,1,3,4,178,-1.7686
1968,1,3,5,88,0.0502
1968,2,1,1,212,-10.6391
1968,2,1,2,205,-6.5321
1968,2,1,3,234,-6.7029
1968,2,1,4,214,-4.5747
1968,2,1,5,241,-4.4656
1968,2,2,1,121,-8.7477
1968,2,2,2,111,-5.9910
1968,2,2,3,117,-4.3565
1968,2,2,4,108,-2.0082
1968,2,2,5,113,-2.7369
1968,2,3,1,192,-2.9626
1968,2,3,2,206,-3.5598
1968,2,3,3,216,-2.2091
1968,2,3,4,180,-1.7774
1968,2,3,5,94,-3.2759
1968,3,1,1,214,-1.1220
1968,3,1,2,216,0.1533
1968,3,1,3,236,-1.3660
1968,3,1,4,213,-1.9973
1968,3,1,5,241,-0.2577
1968,3,2,1,129,0.6077
1968,3,2,2,114,-0.7146
1968,3,2,3,118,-3.0922
1968,3,2,4,107,-2.1542
1968,3,2,5,112,-0.6812
1968,3,3,1,193,3.6926
