year,month,rank_ME,rank_CP,nstocks,ret_vw
1967,1,1,1,65,21.5143
1967,1,1,2,61,14.2991
1967,1,1,3,64,16.5781
1967,1,1,4,81,18.6509
1967,1,1,5,133,19.4474
1967,1,2,1,42,19.5097
1967,1,2,2,45,14.3652
1967,1,2,3,44,18.1022
1967,1,2,4,56,13.0351
1967,1,2,5,72,17.0441
1967,1,3,1,145,7.1452
1967,1,3,2,112,8.8395
1967,1,3,3,106,5.6671
1967,1,3,4,87,8.2203
1967,1,3,5,58,11.5287
1967,2,1,1,65,7.6784
1967,2,1,2,61,5.5746
1967,2,1,3,64,4.5187
1967,2,1,4,81,4.2028
1967,2,1,5,133,3.8765
1967,2,2,1,42,4.5702
1967,2,2,2,45,1.5972
1967,2,2,3,44,2.3930
1967,2,2,4,56,0.8459
1967,2,2,5,72,2.2484
1967,2,3,1,145,3.0908
1967,2,3,2,112,-0.5974
1967,2,3,3,106,0.0245
1967,2,3,4,87,-0.3038
1967,2,3,5,58,-1.1990
1967,3,1,1,65,8.1850
1967,3,1,2,61,5.7686
1967,3,1,3,64,5.5073
1967,3,1,4,81,8.5107
1967,3,1,5,133,6.3347
1967,3,2,1,42,7.4387
1967,3,2,2,45,5.2234
1967,3,2,3,44,8.1878
1967,3,2,4,56,4.9307
1967,3,2,5,72,6.0496
1967,3,3,1,145,4.3586
1967,3,3,2,112,3.6724
1967,3,3,3,106,4.5938
1967,3,3,4,87,4.3250
1967,3,3,5,58,4.9701
1967,4,1,1,65,6.9623
1967,4,1,2,61,3.5122
1967,4,1,3,64,4.7001
1967,4,1,4,81,5.3375
1967,4,1,5,133,3.8273
1967,4,2,1,42,6.4991
1967,4,2,2,45,2.6142
1967,4,2,3,44,4.5061
1967,4,2,4,56,2.4589
1967,4,2,5,72,5.2906
1967,4,3,1,145,6.6116
1967,4,3,2,112,5.4280
1967,4,3,3,106,0.9907
1967,4,3,4,87,3.7371
1967,4,3,5,58,3.4413
1967,5,1,1,65,-1.3971
1967,5,1,2,61,0.4780
1967,5,1,3,64,0.1392
1967,5,1,4,81,1.9526
1967,5,1,5,133,0.0827
1967,5,2,1,42,-2.4126
1967,5,2,2,45,-2.2646
1967,5,2,3,44,-1.9759
1967,5,2,4,56,-2.0838
1967,5,2,5,72,-2.2601
1967,5,3,1,145,-5.0019
1967,5,3,2,112,-5.1048
1967,5,3,3,106,-4.3099
1967,5,3,4,87,-3.2926
1967,5,3,5,58,-3.4486
1967,6,1,1,65,16.0527
1967,6,1,2,61,15.9721
1967,6,1,3,64,9.6672
1967,6,1,4,81,10.4158
1967,6,1,5,133,9.7283
1967,6,2,1,42,10.0847
1967,6,2,2,45,5.7186
1967,6,2,3,44,7.9705
1967,6,2,4,56,3.4150
1967,6,2,5,72,8.3877
1967,6,3,1,145,2.3548
1967,6,3,2,111,-0.2978
1967,6,3,3,106,2.0719
1967,6,3,4,87,2.0609
1967,6,3,5,58,3.4256
1967,7,1,1,90,8.4714
1967,7,1,2,79,8.9915
1967,7,1,3,92,5.9222
1967,7,1,4,115,10.5748
1967,7,1,5,203,11.4151
1967,7,2,1,51,5.9371
1967,7,2,2,53,5.2864
1967,7,2,3,57,6.8259
1967,7,2,4,72,9.8157
1967,7,2,5,71,8.3447
1967,7,3,1,162,4.4197
1967,7,3,2,131,4.3732
1967,7,3,3,115,3.7102
1967,7,3,4,75,6.2568
1967,7,3,5,51,7.2612
1967,8,1,1,90,-0.0035
1967,8,1,2,79,0.7071
1967,8,1,3,92,1.4218
1967,8,1,4,115,1.3661
1967,8,1,5,203,0.4480
1967,8,2,1,51,-2.6642
1967,8,2,2,53,-0.1563
1967,8,2,3,57,0.8134
1967,8,2,4,72,0.2825
1967,8,2,5,71,0.5730
1967,8,3,1,161,-0.7373
1967,8,3,2,131,-0.2690
1967,8,3,3,115,-1.3089
1967,8,3,4,75,-2.4933
1967,8,3,5,51,2.0135
1967,9,1,1,90,10.5571
1967,9,1,2,79,7.3553
1967,9,1,3,92,12.1952
1967,9,1,4,115,7.4357
1967,9,1,5,203,6.8819
1967,9,2,1,51,8.5199
1967,9,2,2,53,5.0289
1967,9,2,3,57,1.5957
1967,9,2,4,72,3.3303
1967,9,2,5,71,3.4958
1967,9,3,1,161,4.0539
1967,9,3,2,131,3.0980
1967,9,3,3,115,3.2189
1967,9,3,4,75,0.6505
1967,9,3,5,50,2.8635
1967,10,1,1,90,2.5167
1967,10,1,2,79,-0.8138
1967,10,1,3,92,-2.9552
1967,10,1,4,115,-2.6553
1967,10,1,5,203,-2.2058
1967,10,2,1,51,-2.8933
1967,10,2,2,53,-0.8239
1967,10,2,3,57,-4.8117
1967,10,2,4,71,-2.4363
1967,10,2,5,71,-6.1485
1967,10,3,1,161,0.0011
1967,10,3,2,132,-4.0114
1967,10,3,3,115,-3.1215
1967,10,3,4,75,-5.9831
1967,10,3,5,50,-5.3772
1967,11,1,1,88,-1.2426
1967,11,1,2,79,-0.5239
1967,11,1,3,92,0.1887
1967,11,1,4,115,1.6015
1967,11,1,5,203,0.3501
1967,11,2,1,51,-0.0082
1967,11,2,2,53,2.1896
1967,11,2,3,57,2.2358
1967,11,2,4,70,-0.0509
1967,11,2,5,71,-0.0687
1967,11,3,1,161,1.9013
1967,11,3,2,132,0.1446
1967,11,3,3,115,0.1408
1967,11,3,4,75,-0.8398
1967,11,3,5,51,-0.0334
1967,12,1,1,88,12.0977
1967,12,1,2,79,8.2505
1967,12,1,3,91,10.5390
1967,12,1,4,115,8.3536
1967,12,1,5,203,8.8964
1967,12,2,1,51,12.0531
1967,12,2,2,53,4.5970
1967,12,2,3,57,5.8321
1967,12,2,4,70,4.7196
1967,12,2,5,71,5.3760
1967,12,3,1,161,1.4449
1967,12,3,2,132,3.4245
1967,12,3,3,115,2.7334
1967,12,3,4,75,5.1701
1967,12,3,5,51,4.3387
1968,1,1,1,89,0.5521
1968,1,1,2,79,2.8831
1968,1,1,3,91,2.3981
1968,1,1,4,115,4.0047
1968,1,1,5,202,2.8026
1968,1,2,1,51,-7.6067
1968,1,2,2,53,-0.0883
1968,1,2,3,57,-0.0342
1968,1,2,4,70,0.8625
1968,1,2,5,71,1.4045
1968,1,3,1,161,-7.0220
1968,1,3,2,132,-4.4648
1968,1,3,3,115,-1.5284
1968,1,3,4,75,-2.3363
1968,1,3,5,51,-2.7196
1968,2,1,1,89,-9.1874
1968,2,1,2,79,-8.7741
1968,2,1,3,91,-7.8002
1968,2,1,4,114,-5.5288
1968,2,1,5,202,-5.0114
1968,2,2,1,51,-5.4548
1968,2,2,2,53,-5.6117
1968,2,2,3,56,-5.4580
1968,2,2,4,69,-5.1322
1968,2,2,5,71,-2.4405
1968,2,3,1,160,-3.2379
1968,2,3,2,132,-3.1319
1968,2,3,3,115,-2.5844
1968,2,3,4,75,-2.8244
1968,2,3,5,51,-3.4425
1968,3,1,1,89,-1.7922
