year,month,rank_ME,rank_CPq_12,nstocks,ret_vw
1967,1,1,1,21,19.5927
1967,1,1,2,9,10.5350
1967,1,1,3,17,12.1674
1967,1,1,4,34,21.1115
1967,1,1,5,71,19.7441
1967,1,2,1,9,8.9891
1967,1,2,2,14,11.3080
1967,1,2,3,21,16.9735
1967,1,2,4,22,17.3819
1967,1,2,5,38,18.4309
1967,1,3,1,77,4.9990
1967,1,3,2,72,4.6857
1967,1,3,3,53,10.0324
1967,1,3,4,52,9.1365
1967,1,3,5,25,16.9085
1967,2,1,1,35,3.4398
1967,2,1,2,15,3.8587
1967,2,1,3,27,1.6027
1967,2,1,4,52,2.1116
1967,2,1,5,91,1.5965
1967,2,2,1,15,2.3201
1967,2,2,2,24,-0.6213
1967,2,2,3,36,1.7780
1967,2,2,4,35,1.3991
1967,2,2,5,52,1.6484
1967,2,3,1,98,2.2372
1967,2,3,2,108,-1.5599
1967,2,3,3,88,-1.5649
1967,2,3,4,79,-0.7211
1967,2,3,5,41,-0.7885
1967,3,1,1,36,11.0017
1967,3,1,2,17,5.5475
1967,3,1,3,32,6.5580
1967,3,1,4,62,5.5951
1967,3,1,5,106,6.8143
1967,3,2,1,19,4.6570
1967,3,2,2,24,4.7938
1967,3,2,3,40,6.1759
1967,3,2,4,40,8.5360
1967,3,2,5,63,6.8044
1967,3,3,1,101,4.1459
1967,3,3,2,114,4.0459
1967,3,3,3,96,4.1476
1967,3,3,4,85,4.3945
1967,3,3,5,49,5.6018
1967,4,1,1,37,3.6439
1967,4,1,2,21,1.9232
1967,4,1,3,35,3.0979
1967,4,1,4,66,3.4034
1967,4,1,5,119,4.6809
1967,4,2,1,22,1.1446
1967,4,2,2,25,3.9497
1967,4,2,3,46,4.2202
1967,4,2,4,44,3.4907
1967,4,2,5,67,5.3898
1967,4,3,1,104,4.3954
1967,4,3,2,121,3.2283
1967,4,3,3,102,2.4137
1967,4,3,4,91,5.0732
1967,4,3,5,53,3.1618
1967,5,1,1,71,1.6681
1967,5,1,2,52,2.1434
1967,5,1,3,87,-0.2219
1967,5,1,4,135,-0.3645
1967,5,1,5,226,-0.7684
1967,5,2,1,43,0.7349
1967,5,2,2,50,-2.6135
1967,5,2,3,80,-3.2147
1967,5,2,4,83,-1.5856
1967,5,2,5,111,-1.4452
1967,5,3,1,158,-5.4896
1967,5,3,2,164,-4.5228
1967,5,3,3,162,-3.7258
1967,5,3,4,149,-3.8987
1967,5,3,5,95,-2.6442
1967,6,1,1,82,13.1339
1967,6,1,2,62,11.3972
1967,6,1,3,109,7.6272
1967,6,1,4,159,8.3970
1967,6,1,5,246,8.7583
1967,6,2,1,51,5.4696
1967,6,2,2,57,4.8635
1967,6,2,3,85,5.7165
1967,6,2,4,95,6.8505
1967,6,2,5,121,8.6609
1967,6,3,1,166,0.7865
1967,6,3,2,177,0.1467
1967,6,3,3,176,1.2666
1967,6,3,4,161,2.5868
1967,6,3,5,99,2.3058
1967,7,1,1,95,8.7651
1967,7,1,2,74,7.3092
1967,7,1,3,121,9.2862
1967,7,1,4,173,9.8885
1967,7,1,5,252,11.1755
1967,7,2,1,56,4.7938
1967,7,2,2,65,5.7916
1967,7,2,3,92,7.2047
1967,7,2,4,102,7.5917
1967,7,2,5,130,9.9263
1967,7,3,1,171,3.6616
1967,7,3,2,182,4.4501
1967,7,3,3,180,7.4338
1967,7,3,4,169,5.9858
1967,7,3,5,102,6.3580
1967,8,1,1,104,0.0702
1967,8,1,2,86,2.4894
1967,8,1,3,128,-0.3550
1967,8,1,4,182,-0.8989
1967,8,1,5,275,0.5688
1967,8,2,1,60,-2.5620
1967,8,2,2,72,-0.1841
1967,8,2,3,99,1.0028
1967,8,2,4,111,0.6104
1967,8,2,5,141,0.7264
1967,8,3,1,181,-1.1878
1967,8,3,2,195,-0.4667
1967,8,3,3,203,-1.5505
1967,8,3,4,199,-0.7522
1967,8,3,5,120,0.7546
1967,9,1,1,108,12.1449
1967,9,1,2,90,7.5141
1967,9,1,3,135,6.4618
1967,9,1,4,184,7.7694
1967,9,1,5,286,6.2248
1967,9,2,1,62,2.5094
1967,9,2,2,76,1.4708
1967,9,2,3,100,2.1656
1967,9,2,4,113,2.7559
1967,9,2,5,146,3.9579
1967,9,3,1,186,2.5675
1967,9,3,2,199,4.2748
1967,9,3,3,207,2.8034
1967,9,3,4,206,2.4392
1967,9,3,5,125,2.7415
1967,10,1,1,114,3.5186
1967,10,1,2,95,-1.1848
1967,10,1,3,136,-3.3234
1967,10,1,4,189,-3.3676
1967,10,1,5,292,-2.5964
1967,10,2,1,65,-3.5900
1967,10,2,2,78,-5.5207
1967,10,2,3,105,-5.0353
1967,10,2,4,115,-1.6387
1967,10,2,5,149,-2.6103
1967,10,3,1,188,-3.3578
1967,10,3,2,206,-3.5229
1967,10,3,3,209,-3.7513
1967,10,3,4,210,-4.4305
1967,10,3,5,133,-6.0673
1967,11,1,1,122,1.1637
1967,11,1,2,104,2.3795
1967,11,1,3,146,1.8765
1967,11,1,4,192,0.9435
1967,11,1,5,298,-0.1822
1967,11,2,1,81,5.2742
1967,11,2,2,84,1.2709
1967,11,2,3,112,1.6464
1967,11,2,4,121,1.4346
1967,11,2,5,153,-0.1518
1967,11,3,1,195,1.5351
1967,11,3,2,213,-0.2206
1967,11,3,3,221,0.3357
1967,11,3,4,221,0.2780
1967,11,3,5,149,-0.2479
1967,12,1,1,125,14.4868
1967,12,1,2,113,8.1746
1967,12,1,3,148,8.4086
1967,12,1,4,195,7.8573
1967,12,1,5,298,7.8422
1967,12,2,1,85,10.2222
1967,12,2,2,88,4.4969
1967,12,2,3,116,3.9863
1967,12,2,4,124,4.3436
1967,12,2,5,155,5.5988
1967,12,3,1,199,1.9659
1967,12,3,2,216,3.5241
1967,12,3,3,224,3.0937
1967,12,3,4,229,3.9699
1967,12,3,5,149,4.1101
1968,1,1,1,131,1.4501
1968,1,1,2,115,3.0930
1968,1,1,3,141,4.1199
1968,1,1,4,185,3.1174
1968,1,1,5,290,4.2725
1968,1,2,1,87,-1.5791
1968,1,2,2,87,-0.2053
1968,1,2,3,112,0.4041
1968,1,2,4,114,0.3647
1968,1,2,5,152,1.8078
1968,1,3,1,191,-7.8821
1968,1,3,2,209,-3.9953
1968,1,3,3,219,-2.8837
1968,1,3,4,224,-2.3340
1968,1,3,5,149,-2.9571
1968,2,1,1,136,-7.9839
1968,2,1,2,120,-5.9486
1968,2,1,3,141,-7.2912
1968,2,1,4,185,-5.0642
1968,2,1,5,291,-4.3171
1968,2,2,1,93,-1.5897
1968,2,2,2,95,-5.7666
1968,2,2,3,107,-3.5297
1968,2,2,4,117,-3.0874
1968,2,2,5,157,-2.7502
1968,2,3,1,199,-3.6816
1968,2,3,2,220,-3.2000
1968,2,3,3,223,-2.1848
1968,2,3,4,231,-3.0264
1968,2,3,5,148,-4.2177
1968,3,1,1,136,0.9772
1968,3,1,2,125,-2.6088
1968,3,1,3,140,-2.4579
