year,month,rank_ME,rank_DP,nstocks,ret_vw
1967,1,1,1,101,19.3363
1967,1,1,2,81,16.6355
1967,1,1,3,77,15.7372
1967,1,1,4,78,15.1864
1967,1,1,5,110,15.7985
1967,1,2,1,69,16.2044
1967,1,2,2,57,17.2030
1967,1,2,3,65,14.3017
1967,1,2,4,66,12.8509
1967,1,2,5,66,16.3048
1967,1,3,1,137,8.7619
1967,1,3,2,123,6.1919
1967,1,3,3,106,5.9745
1967,1,3,4,106,6.3529
1967,1,3,5,89,12.7475
1967,2,1,1,101,5.7533
1967,2,1,2,81,7.4012
1967,2,1,3,77,4.3003
1967,2,1,4,78,3.0626
1967,2,1,5,110,1.8657
1967,2,2,1,69,3.0959
1967,2,2,2,56,2.3228
1967,2,2,3,64,1.8179
1967,2,2,4,66,1.6708
1967,2,2,5,66,0.6300
1967,2,3,1,137,4.0594
1967,2,3,2,123,1.4223
1967,2,3,3,106,-0.3292
1967,2,3,4,106,-1.6107
1967,2,3,5,90,-1.1159
1967,3,1,1,101,8.7475
1967,3,1,2,80,5.3625
1967,3,1,3,77,6.1165
1967,3,1,4,78,7.9956
1967,3,1,5,110,4.1501
1967,3,2,1,69,6.3195
1967,3,2,2,56,6.4366
1967,3,2,3,64,7.8263
1967,3,2,4,66,6.2209
1967,3,2,5,65,3.7304
1967,3,3,1,137,5.2899
1967,3,3,2,123,3.8215
1967,3,3,3,106,3.5061
1967,3,3,4,106,4.2904
1967,3,3,5,90,3.9109
1967,4,1,1,100,4.9900
1967,4,1,2,80,4.4580
1967,4,1,3,77,3.3227
1967,4,1,4,78,4.1989
1967,4,1,5,110,4.0957
1967,4,2,1,69,4.4274
1967,4,2,2,56,4.9382
1967,4,2,3,64,4.0108
1967,4,2,4,65,2.8238
1967,4,2,5,65,2.1460
1967,4,3,1,137,6.2740
1967,4,3,2,123,5.2364
1967,4,3,3,105,2.0241
1967,4,3,4,106,2.1671
1967,4,3,5,90,5.2349
1967,5,1,1,97,-0.4696
1967,5,1,2,80,-1.8498
1967,5,1,3,77,-0.0542
1967,5,1,4,78,-0.4494
1967,5,1,5,110,1.3219
1967,5,2,1,69,-2.4394
1967,5,2,2,56,0.0514
1967,5,2,3,63,-0.4832
1967,5,2,4,65,-1.7549
1967,5,2,5,65,-3.1125
1967,5,3,1,137,-4.8119
1967,5,3,2,122,-4.4015
1967,5,3,3,105,-4.5363
