year,month,rank_ME,rank_Dur,nstocks,ret_vw
1967,1,1,1,20,13.8725
1967,1,1,2,7,8.3722
1967,1,1,3,5,16.7767
1967,1,1,4,2,12.9456
1967,1,1,5,3,6.6918
1967,1,2,1,31,14.0315
1967,1,2,2,18,12.9478
1967,1,2,3,16,15.2143
1967,1,2,4,7,20.9534
1967,1,2,5,7,16.8821
1967,1,3,1,34,12.9710
1967,1,3,2,53,10.1301
1967,1,3,3,56,4.5874
1967,1,3,4,73,8.8252
1967,1,3,5,71,6.2288
1967,2,1,1,20,-0.0829
1967,2,1,2,7,1.0957
1967,2,1,3,5,18.2161
1967,2,1,4,2,3.9266
1967,2,1,5,3,12.9795
1967,2,2,1,31,2.6020
1967,2,2,2,18,0.4186
1967,2,2,3,16,2.7732
1967,2,2,4,7,4.6478
1967,2,2,5,7,6.6052
1967,2,3,1,34,-0.1095
1967,2,3,2,53,-1.5691
1967,2,3,3,56,-0.4428
1967,2,3,4,73,-0.3144
1967,2,3,5,71,3.2366
1967,3,1,1,20,4.4907
1967,3,1,2,7,4.1517
1967,3,1,3,5,7.3477
1967,3,1,4,2,14.5433
1967,3,1,5,3,6.8368
1967,3,2,1,31,4.8886
1967,3,2,2,18,4.2560
1967,3,2,3,16,4.7573
1967,3,2,4,7,5.0329
1967,3,2,5,7,6.7282
1967,3,3,1,34,4.8344
1967,3,3,2,53,5.3548
1967,3,3,3,56,3.6307
1967,3,3,4,73,3.9043
1967,3,3,5,71,3.6275
1967,4,1,1,20,4.3453
1967,4,1,2,7,7.7689
1967,4,1,3,5,-3.5370
1967,4,1,4,2,-1.4483
1967,4,1,5,3,-2.7472
1967,4,2,1,31,3.9147
1967,4,2,2,18,1.1743
1967,4,2,3,16,3.6787
1967,4,2,4,7,3.4377
1967,4,2,5,7,1.9105
1967,4,3,1,34,2.2966
1967,4,3,2,53,3.2537
1967,4,3,3,56,0.3613
1967,4,3,4,73,6.1634
1967,4,3,5,71,5.7246
1967,5,1,1,20,0.8312
1967,5,1,2,7,0.1077
1967,5,1,3,5,4.2027
1967,5,1,4,2,2.5325
1967,5,1,5,3,10.7400
1967,5,2,1,31,-1.3583
1967,5,2,2,18,-1.6589
1967,5,2,3,16,-4.0118
1967,5,2,4,7,-3.5166
1967,5,2,5,7,-4.9628
1967,5,3,1,34,-2.8329
1967,5,3,2,53,-3.4638
1967,5,3,3,56,-4.9914
1967,5,3,4,73,-5.3135
1967,5,3,5,71,-5.4041
1967,6,1,1,20,6.4333
1967,6,1,2,7,7.0941
1967,6,1,3,5,15.1323
1967,6,1,4,2,3.8177
1967,6,1,5,3,1.7462
1967,6,2,1,31,8.6672
1967,6,2,2,18,7.8224
1967,6,2,3,16,6.9859
1967,6,2,4,7,5.0726
1967,6,2,5,7,3.1551
1967,6,3,1,34,2.3283
1967,6,3,2,53,4.1506
1967,6,3,3,56,2.2919
1967,6,3,4,72,-1.2366
1967,6,3,5,71,2.3433
1967,7,1,1,67,11.0522
1967,7,1,2,47,10.5851
1967,7,1,3,20,9.2770
1967,7,1,4,14,11.8308
1967,7,1,5,18,7.9069
1967,7,2,1,42,10.0351
