year,month,rank_ME,rank_EBP,nstocks,ret_vw
1967,1,1,1,20,21.2510
1967,1,1,2,29,16.4087
1967,1,1,3,35,21.2639
1967,1,1,4,41,22.3973
1967,1,1,5,57,14.0059
1967,1,2,1,12,16.3120
1967,1,2,2,18,22.0266
1967,1,2,3,20,18.2610
1967,1,2,4,22,17.2805
1967,1,2,5,34,15.8416
1967,1,3,1,72,8.4048
1967,1,3,2,66,6.8169
1967,1,3,3,57,7.1130
1967,1,3,4,41,9.5038
1967,1,3,5,23,17.3725
1967,2,1,1,20,4.4810
1967,2,1,2,29,8.5911
1967,2,1,3,35,1.9864
1967,2,1,4,41,3.9882
1967,2,1,5,57,4.2828
1967,2,2,1,12,5.4657
1967,2,2,2,18,1.2024
1967,2,2,3,20,2.3089
1967,2,2,4,22,2.8926
1967,2,2,5,34,2.0419
1967,2,3,1,72,3.1375
1967,2,3,2,66,0.4508
1967,2,3,3,57,0.5868
1967,2,3,4,41,-1.9048
1967,2,3,5,23,-1.0879
1967,3,1,1,20,9.7250
1967,3,1,2,30,8.5541
1967,3,1,3,35,12.5478
1967,3,1,4,41,7.4043
1967,3,1,5,57,6.6808
1967,3,2,1,12,5.1714
1967,3,2,2,18,11.0194
1967,3,2,3,20,8.5412
1967,3,2,4,22,7.1277
1967,3,2,5,34,5.6461
1967,3,3,1,72,4.6018
1967,3,3,2,66,3.9036
1967,3,3,3,57,3.9406
1967,3,3,4,41,5.2795
1967,3,3,5,23,7.3587
1967,4,1,1,20,6.1720
1967,4,1,2,30,5.2553
1967,4,1,3,35,2.5474
1967,4,1,4,41,7.8448
1967,4,1,5,57,4.7469
1967,4,2,1,12,5.7241
1967,4,2,2,18,3.6728
1967,4,2,3,20,4.3289
1967,4,2,4,22,6.2767
1967,4,2,5,34,3.9199
1967,4,3,1,72,7.7816
1967,4,3,2,66,1.5441
1967,4,3,3,57,0.9601
1967,4,3,4,41,3.4925
1967,4,3,5,23,2.8822
1967,5,1,1,20,-0.5594
1967,5,1,2,30,-1.9330
1967,5,1,3,35,0.2292
1967,5,1,4,41,1.1096
1967,5,1,5,57,-0.5605
1967,5,2,1,12,-0.1034
1967,5,2,2,18,-1.5667
1967,5,2,3,20,-3.6033
1967,5,2,4,22,-0.2871
1967,5,2,5,34,-1.8762
1967,5,3,1,72,-5.6795
1967,5,3,2,66,-3.6328
1967,5,3,3,57,-5.7063
1967,5,3,4,41,-0.8803
1967,5,3,5,23,-4.5034
1967,6,1,1,20,14.5167
1967,6,1,2,30,11.1431
1967,6,1,3,34,8.6442
1967,6,1,4,41,16.9825
1967,6,1,5,57,10.8856
1967,6,2,1,12,4.5296
1967,6,2,2,18,10.5829
1967,6,2,3,20,6.4383
1967,6,2,4,22,10.4503
1967,6,2,5,34,9.1477
1967,6,3,1,72,2.0091
1967,6,3,2,66,0.4153
1967,6,3,3,56,2.4396
1967,6,3,4,41,4.3679
1967,6,3,5,23,1.5138
1967,7,1,1,47,9.3271
1967,7,1,2,55,6.7700
1967,7,1,3,59,11.3206
1967,7,1,4,106,9.3217
1967,7,1,5,133,11.4593
1967,7,2,1,34,3.5520
1967,7,2,2,42,6.5103
1967,7,2,3,38,10.8777
1967,7,2,4,50,7.7811
1967,7,2,5,50,10.9692
1967,7,3,1,115,5.6733
1967,7,3,2,100,4.8889
1967,7,3,3,88,2.4006
1967,7,3,4,54,6.5428
1967,7,3,5,35,8.0134
1967,8,1,1,47,1.3172
1967,8,1,2,55,0.7818
1967,8,1,3,59,-0.8368
1967,8,1,4,106,0.2810
1967,8,1,5,133,1.5514
1967,8,2,1,34,-1.3999
1967,8,2,2,42,0.8950
1967,8,2,3,38,0.4389
1967,8,2,4,50,0.5792
1967,8,2,5,50,-1.8119
1967,8,3,1,115,-0.6768
1967,8,3,2,100,-0.9993
1967,8,3,3,87,-1.7078
1967,8,3,4,54,0.9417
1967,8,3,5,35,1.9232
1967,9,1,1,47,12.6643
1967,9,1,2,55,11.2839
1967,9,1,3,59,7.2054
1967,9,1,4,106,8.4093
1967,9,1,5,133,5.7532
1967,9,2,1,34,6.5454
1967,9,2,2,42,4.7020
1967,9,2,3,38,3.9252
1967,9,2,4,50,4.0423
1967,9,2,5,50,4.3719
1967,9,3,1,115,4.2396
1967,9,3,2,100,3.7670
1967,9,3,3,86,2.8094
1967,9,3,4,54,2.8245
1967,9,3,5,35,1.5592
1967,10,1,1,47,1.5341
1967,10,1,2,55,-4.0617
1967,10,1,3,59,-0.7455
1967,10,1,4,106,-1.4856
1967,10,1,5,133,-2.1985
1967,10,2,1,34,1.7403
1967,10,2,2,42,-2.3725
1967,10,2,3,38,-4.9550
1967,10,2,4,50,-2.9573
1967,10,2,5,50,-5.7598
1967,10,3,1,115,-0.4075
1967,10,3,2,100,-2.7674
1967,10,3,3,86,-3.0826
1967,10,3,4,54,-5.7049
1967,10,3,5,35,-4.3451
1967,11,1,1,47,-0.3619
1967,11,1,2,55,3.4304
1967,11,1,3,59,0.1760
1967,11,1,4,106,0.0336
1967,11,1,5,131,-1.4661
1967,11,2,1,34,1.6473
1967,11,2,2,42,1.3639
1967,11,2,3,38,1.4020
1967,11,2,4,50,0.5409
1967,11,2,5,50,-2.1514
1967,11,3,1,115,1.0589
1967,11,3,2,100,1.0206
1967,11,3,3,87,-0.1701
1967,11,3,4,54,0.6441
1967,11,3,5,35,-0.5915
1967,12,1,1,47,8.7704
1967,12,1,2,54,13.9817
1967,12,1,3,59,7.7581
1967,12,1,4,106,9.1201
1967,12,1,5,131,9.5569
1967,12,2,1,34,10.6907
1967,12,2,2,42,6.2520
1967,12,2,3,38,4.0915
1967,12,2,4,50,8.9767
1967,12,2,5,50,5.2481
1967,12,3,1,115,1.5146
1967,12,3,2,100,3.1071
1967,12,3,3,87,2.9501
1967,12,3,4,54,7.4799
1967,12,3,5,35,3.4862
1968,1,1,1,47,-0.7059
1968,1,1,2,54,5.3654
1968,1,1,3,59,2.7585
1968,1,1,4,106,1.1300
1968,1,1,5,131,4.4735
1968,1,2,1,34,-5.5633
1968,1,2,2,42,-1.5769
1968,1,2,3,38,-1.8287
1968,1,2,4,50,3.0589
1968,1,2,5,50,1.2329
1968,1,3,1,115,-7.2708
1968,1,3,2,100,-6.4983
1968,1,3,3,87,-0.8370
1968,1,3,4,54,-3.6628
1968,1,3,5,35,-2.4144
1968,2,1,1,47,-9.6992
1968,2,1,2,54,-9.0420
1968,2,1,3,59,-7.3684
1968,2,1,4,106,-6.4249
1968,2,1,5,131,-5.2389
1968,2,2,1,34,-6.5517
