year,month,rank_ME,rank_EM,nstocks,ret_vw
1967,1,1,1,111,18.0656
1967,1,1,2,73,18.1266
1967,1,1,3,44,19.4016
1967,1,1,4,48,20.4690
1967,1,1,5,67,20.5441
1967,1,2,1,57,15.0064
1967,1,2,2,36,14.8969
1967,1,2,3,43,17.0302
1967,1,2,4,33,18.0105
1967,1,2,5,35,19.8869
1967,1,3,1,47,14.3862
1967,1,3,2,78,9.6920
1967,1,3,3,80,6.5224
1967,1,3,4,95,7.8610
1967,1,3,5,97,7.4925
1967,2,1,1,111,3.9693
1967,2,1,2,73,3.8545
1967,2,1,3,44,3.2849
1967,2,1,4,48,8.7180
1967,2,1,5,67,6.5051
1967,2,2,1,57,2.6627
1967,2,2,2,36,0.3421
1967,2,2,3,43,2.2359
1967,2,2,4,33,3.3285
1967,2,2,5,35,4.4394
1967,2,3,1,47,-1.0725
1967,2,3,2,78,-0.7844
1967,2,3,3,80,-0.3225
1967,2,3,4,95,0.6036
1967,2,3,5,97,3.7530
1967,3,1,1,111,5.0147
1967,3,1,2,73,7.5041
1967,3,1,3,44,8.2683
1967,3,1,4,48,8.6662
1967,3,1,5,67,6.6750
1967,3,2,1,57,6.4237
1967,3,2,2,36,5.4825
1967,3,2,3,43,6.9502
1967,3,2,4,33,8.1571
1967,3,2,5,35,6.0267
1967,3,3,1,47,6.4670
1967,3,3,2,78,4.4464
1967,3,3,3,80,5.3998
1967,3,3,4,95,4.7310
1967,3,3,5,97,4.3012
1967,4,1,1,111,4.7187
1967,4,1,2,73,4.2674
1967,4,1,3,44,3.5959
1967,4,1,4,48,5.7599
1967,4,1,5,67,5.7750
1967,4,2,1,57,5.4469
1967,4,2,2,36,2.2992
1967,4,2,3,43,5.7602
1967,4,2,4,33,6.2155
1967,4,2,5,35,3.5445
1967,4,3,1,47,3.1153
1967,4,3,2,78,7.1123
1967,4,3,3,80,2.5853
1967,4,3,4,95,2.4449
1967,4,3,5,97,6.2876
1967,5,1,1,111,-0.8501
1967,5,1,2,73,1.3887
1967,5,1,3,44,-0.0449
1967,5,1,4,48,1.8635
1967,5,1,5,67,0.3174
1967,5,2,1,57,-0.7949
1967,5,2,2,36,-2.9590
1967,5,2,3,43,-0.5074
1967,5,2,4,33,-2.9108
1967,5,2,5,35,-2.7043
1967,5,3,1,47,-3.2883
1967,5,3,2,78,-4.2349
1967,5,3,3,80,-4.2834
1967,5,3,4,95,-4.5641
1967,5,3,5,97,-4.9804
1967,6,1,1,111,10.1720
1967,6,1,2,73,8.5655
1967,6,1,3,44,13.1127
1967,6,1,4,48,16.5563
1967,6,1,5,66,17.0025
1967,6,2,1,57,8.6819
1967,6,2,2,36,3.2256
1967,6,2,3,43,4.9319
1967,6,2,4,33,9.9025
1967,6,2,5,35,9.2476
1967,6,3,1,47,2.3720
1967,6,3,2,78,2.3948
1967,6,3,3,80,1.9184
1967,6,3,4,95,1.6839
1967,6,3,5,96,2.6172
1967,7,1,1,134,10.6781
1967,7,1,2,106,10.0505
1967,7,1,3,60,7.9328
1967,7,1,4,64,9.4228
1967,7,1,5,96,9.4868
1967,7,2,1,57,7.9525
1967,7,2,2,66,8.9765
1967,7,2,3,38,6.6503
1967,7,2,4,33,10.0994
1967,7,2,5,44,6.2408
1967,7,3,1,54,7.8721
1967,7,3,2,53,8.3497
1967,7,3,3,100,6.7678
1967,7,3,4,103,1.0927
1967,7,3,5,112,4.5748
1967,8,1,1,134,1.4569
1967,8,1,2,106,1.2247
1967,8,1,3,60,0.2994
1967,8,1,4,64,-0.2670
1967,8,1,5,96,0.7682
1967,8,2,1,57,1.4125
1967,8,2,2,66,1.3492
1967,8,2,3,38,-0.5480
1967,8,2,4,33,-2.3800
1967,8,2,5,44,-0.8844
1967,8,3,1,54,1.7933
1967,8,3,2,53,-1.1793
