year,month,rank_ME,rank_EMq_1,nstocks,ret_vw
1976,1,1,1,140,24.2923
1976,1,1,2,77,27.0932
1976,1,1,3,40,24.4776
1976,1,1,4,34,23.5575
1976,1,1,5,52,18.8684
1976,1,2,1,51,20.9837
1976,1,2,2,47,21.7334
1976,1,2,3,40,20.3851
1976,1,2,4,30,15.4218
1976,1,2,5,33,22.2207
1976,1,3,1,44,14.2531
1976,1,3,2,47,8.6206
1976,1,3,3,60,16.3207
1976,1,3,4,60,14.0015
1976,1,3,5,66,15.6341
1976,2,1,1,122,14.6498
1976,2,1,2,70,15.5861
1976,2,1,3,46,8.9382
1976,2,1,4,39,14.7031
1976,2,1,5,48,15.9596
1976,2,2,1,59,7.5806
1976,2,2,2,39,9.4088
1976,2,2,3,37,7.5330
1976,2,2,4,36,7.5814
1976,2,2,5,25,2.6647
1976,2,3,1,46,-1.5552
1976,2,3,2,47,-1.0481
1976,2,3,3,55,0.6862
1976,2,3,4,66,2.3255
1976,2,3,5,68,0.9601
1976,3,1,1,130,2.1283
1976,3,1,2,67,0.2837
1976,3,1,3,51,2.8545
1976,3,1,4,46,1.8750
1976,3,1,5,42,3.8911
1976,3,2,1,54,0.8993
1976,3,2,2,42,1.9923
1976,3,2,3,33,1.6373
1976,3,2,4,36,0.8784
1976,3,2,5,25,3.5505
1976,3,3,1,52,6.1991
1976,3,3,2,46,3.5164
1976,3,3,3,56,4.4215
1976,3,3,4,59,-1.3982
1976,3,3,5,70,2.5311
1976,4,1,1,148,-2.2684
1976,4,1,2,64,-3.7165
1976,4,1,3,56,1.0630
1976,4,1,4,39,-2.5590
1976,4,1,5,41,-2.7801
1976,4,2,1,58,-0.8517
1976,4,2,2,42,-1.8668
1976,4,2,3,30,-1.3876
1976,4,2,4,35,0.0158
1976,4,2,5,29,-0.2416
1976,4,3,1,41,1.7659
1976,4,3,2,47,-0.9978
1976,4,3,3,55,0.9469
1976,4,3,4,63,0.0568
1976,4,3,5,69,-1.5316
1976,5,1,1,209,-2.8448
1976,5,1,2,140,-0.6765
1976,5,1,3,118,-2.1719
1976,5,1,4,77,-1.9180
1976,5,1,5,101,-2.1879
1976,5,2,1,98,-0.5189
1976,5,2,2,64,-2.7100
1976,5,2,3,72,1.1005
1976,5,2,4,46,-1.1167
1976,5,2,5,60,-0.5329
1976,5,3,1,78,1.3362
1976,5,3,2,104,1.1573
1976,5,3,3,95,-1.2835
1976,5,3,4,114,1.1347
1976,5,3,5,122,-2.4401
1976,6,1,1,215,2.9692
1976,6,1,2,142,3.6949
1976,6,1,3,122,3.5340
1976,6,1,4,78,4.0216
1976,6,1,5,109,3.7989
1976,6,2,1,96,5.1044
1976,6,2,2,67,3.2197
1976,6,2,3,72,3.5459
1976,6,2,4,51,5.9175
1976,6,2,5,62,4.1365
1976,6,3,1,77,6.8619
1976,6,3,2,104,5.6471
1976,6,3,3,101,3.5094
1976,6,3,4,115,5.2007
1976,6,3,5,118,2.1792
1976,7,1,1,214,0.3729
1976,7,1,2,141,0.5161
1976,7,1,3,114,1.0371
1976,7,1,4,89,-1.8914
1976,7,1,5,109,-0.0252
1976,7,2,1,111,0.8627
1976,7,2,2,62,0.0503
