year,month,rank_ME,rank_EP,nstocks,ret_vw
1967,1,1,1,76,21.4559
1967,1,1,2,54,15.2062
1967,1,1,3,51,19.0959
1967,1,1,4,65,16.2737
1967,1,1,5,150,18.9802
1967,1,2,1,31,17.3403
1967,1,2,2,44,16.3088
1967,1,2,3,46,17.0335
1967,1,2,4,58,15.1656
1967,1,2,5,78,16.0405
1967,1,3,1,138,7.1060
1967,1,3,2,121,5.8540
1967,1,3,3,115,6.4376
1967,1,3,4,91,11.8370
1967,1,3,5,44,13.6410
1967,2,1,1,76,7.0628
1967,2,1,2,54,5.5407
1967,2,1,3,51,4.7469
1967,2,1,4,65,4.7350
1967,2,1,5,150,3.8307
1967,2,2,1,31,4.8656
1967,2,2,2,44,3.6919
1967,2,2,3,46,1.3574
1967,2,2,4,58,0.0084
1967,2,2,5,78,2.2068
1967,2,3,1,138,3.1981
1967,2,3,2,121,0.0277
1967,2,3,3,115,-0.2461
1967,2,3,4,91,-1.5416
1967,2,3,5,44,-1.7150
1967,3,1,1,76,10.0618
1967,3,1,2,54,8.1008
1967,3,1,3,51,4.7500
1967,3,1,4,65,6.7851
1967,3,1,5,150,5.3911
1967,3,2,1,31,7.6280
1967,3,2,2,44,5.3049
1967,3,2,3,46,8.3489
1967,3,2,4,58,6.4264
1967,3,2,5,78,4.9197
1967,3,3,1,138,3.9658
1967,3,3,2,121,3.9136
1967,3,3,3,115,4.1812
1967,3,3,4,91,5.7254
1967,3,3,5,44,6.2218
1967,4,1,1,76,4.9958
1967,4,1,2,54,4.1122
1967,4,1,3,51,2.7036
1967,4,1,4,65,5.6400
1967,4,1,5,150,4.8576
1967,4,2,1,31,4.0546
1967,4,2,2,44,4.8880
1967,4,2,3,46,3.4707
1967,4,2,4,58,4.1090
1967,4,2,5,78,4.8786
1967,4,3,1,138,6.4845
1967,4,3,2,121,1.1587
1967,4,3,3,115,3.4820
1967,4,3,4,91,6.4765
1967,4,3,5,44,3.5095
1967,5,1,1,76,-0.6504
1967,5,1,2,54,3.1562
1967,5,1,3,51,0.7078
1967,5,1,4,65,0.2824
1967,5,1,5,150,-0.0921
1967,5,2,1,31,-3.5651
1967,5,2,2,44,-1.2497
1967,5,2,3,46,-2.7208
1967,5,2,4,58,-1.5293
1967,5,2,5,78,-2.3059
1967,5,3,1,138,-5.2945
1967,5,3,2,121,-4.0778
1967,5,3,3,115,-4.0686
1967,5,3,4,91,-4.1389
1967,5,3,5,44,-3.5000
1967,6,1,1,76,13.8012
1967,6,1,2,54,16.8909
1967,6,1,3,51,11.1615
1967,6,1,4,65,10.0528
1967,6,1,5,150,10.0152
1967,6,2,1,31,10.6512
1967,6,2,2,44,5.9835
1967,6,2,3,46,6.6685
1967,6,2,4,58,5.3984
1967,6,2,5,78,7.8388
1967,6,3,1,137,2.5310
1967,6,3,2,121,0.5816
1967,6,3,3,115,1.4430
1967,6,3,4,91,2.2439
1967,6,3,5,44,3.0829
1967,7,1,1,104,9.9785
1967,7,1,2,63,7.0286
1967,7,1,3,76,9.2588
1967,7,1,4,116,7.8345
1967,7,1,5,206,11.4034
1967,7,2,1,52,7.8854
1967,7,2,2,42,4.5823
1967,7,2,3,57,7.2189
1967,7,2,4,85,7.1374
1967,7,2,5,69,9.6091
1967,7,3,1,159,4.3392
1967,7,3,2,140,1.4894
1967,7,3,3,112,7.2836
1967,7,3,4,69,7.9023
1967,7,3,5,53,6.3529
