year,month,rank_ME,rank_EPq_12,nstocks,ret_vw
1967,1,1,1,72,18.3993
1967,1,1,2,44,23.5689
1967,1,1,3,64,16.8603
1967,1,1,4,97,18.9432
1967,1,1,5,167,21.0328
1967,1,2,1,36,11.5833
1967,1,2,2,27,13.7643
1967,1,2,3,50,15.6770
1967,1,2,4,62,18.4616
1967,1,2,5,69,19.8607
1967,1,3,1,139,6.4305
1967,1,3,2,128,6.0924
1967,1,3,3,98,6.7219
1967,1,3,4,80,13.3971
1967,1,3,5,46,15.1268
1967,2,1,1,132,5.4340
1967,2,1,2,75,5.3092
1967,2,1,3,105,5.5911
1967,2,1,4,150,4.0462
1967,2,1,5,232,3.1368
1967,2,2,1,64,2.0780
1967,2,2,2,55,2.7933
1967,2,2,3,80,2.2155
1967,2,2,4,95,1.8436
1967,2,2,5,101,1.2316
1967,2,3,1,179,3.2421
1967,2,3,2,197,0.3630
1967,2,3,3,172,-0.7442
1967,2,3,4,136,-1.6378
1967,2,3,5,71,-0.4584
1967,3,1,1,149,8.6745
1967,3,1,2,97,7.4867
1967,3,1,3,134,7.4812
1967,3,1,4,167,7.1538
1967,3,1,5,262,6.5352
1967,3,2,1,75,5.8573
1967,3,2,2,65,6.3177
1967,3,2,3,89,6.4665
1967,3,2,4,114,6.7188
1967,3,2,5,111,6.6263
1967,3,3,1,190,4.5013
1967,3,3,2,214,3.5214
1967,3,3,3,188,4.2251
1967,3,3,4,146,5.4202
1967,3,3,5,84,6.8190
1967,4,1,1,160,4.7866
1967,4,1,2,119,4.8167
1967,4,1,3,150,4.9605
1967,4,1,4,191,3.7555
1967,4,1,5,289,5.1725
1967,4,2,1,82,2.5860
1967,4,2,2,77,4.6832
1967,4,2,3,97,3.9604
1967,4,2,4,123,4.4837
1967,4,2,5,119,5.0423
1967,4,3,1,194,6.9746
1967,4,3,2,228,2.8003
1967,4,3,3,200,2.4268
1967,4,3,4,159,4.4594
1967,4,3,5,92,3.0691
1967,5,1,1,194,0.3657
1967,5,1,2,143,-1.0349
1967,5,1,3,185,0.7556
1967,5,1,4,242,-0.3513
1967,5,1,5,342,0.2057
1967,5,2,1,99,-2.2012
1967,5,2,2,106,-3.2577
1967,5,2,3,121,-1.6220
1967,5,2,4,149,-1.0374
1967,5,2,5,139,-2.0822
1967,5,3,1,232,-5.4639
1967,5,3,2,262,-5.1879
1967,5,3,3,249,-2.9642
1967,5,3,4,188,-3.8960
1967,5,3,5,128,-1.7113
1967,6,1,1,204,13.1622
1967,6,1,2,159,15.6369
1967,6,1,3,200,11.0964
1967,6,1,4,258,9.8544
1967,6,1,5,353,9.3534
1967,6,2,1,114,9.3568
1967,6,2,2,112,6.2705
1967,6,2,3,132,5.4973
1967,6,2,4,157,6.8131
1967,6,2,5,148,8.2692
1967,6,3,1,234,2.5845
1967,6,3,2,276,1.9473
1967,6,3,3,265,0.8076
1967,6,3,4,202,1.5524
1967,6,3,5,137,3.3174
1967,7,1,1,216,8.9847
1967,7,1,2,174,7.9547
1967,7,1,3,210,8.6264
1967,7,1,4,274,10.4842
1967,7,1,5,356,9.8043
1967,7,2,1,125,6.5689
1967,7,2,2,123,6.0238
1967,7,2,3,142,7.7449
1967,7,2,4,164,8.0901
1967,7,2,5,153,9.9494
1967,7,3,1,237,4.4121
1967,7,3,2,290,1.5510
1967,7,3,3,280,6.1955
1967,7,3,4,213,7.2303
1967,7,3,5,144,6.0869
1967,8,1,1,256,-1.1949
1967,8,1,2,215,-0.4074
1967,8,1,3,237,1.8484
1967,8,1,4,298,-0.4930
1967,8,1,5,369,1.1080
1967,8,2,1,138,-1.5234
1967,8,2,2,139,-1.1092
1967,8,2,3,161,-0.0248
1967,8,2,4,183,0.3571
1967,8,2,5,166,1.0292
1967,8,3,1,250,-0.8625
1967,8,3,2,311,-0.3755
1967,8,3,3,309,-1.3905
1967,8,3,4,251,-0.8656
1967,8,3,5,184,0.1654
1967,9,1,1,267,10.7503
1967,9,1,2,229,8.9620
1967,9,1,3,248,8.8428
1967,9,1,4,303,6.7499
1967,9,1,5,378,6.4460
1967,9,2,1,142,5.6700
1967,9,2,2,147,4.0155
1967,9,2,3,167,4.2521
1967,9,2,4,191,4.5031
1967,9,2,5,177,3.9379
1967,9,3,1,253,4.1724
1967,9,3,2,321,2.6810
1967,9,3,3,317,2.8858
1967,9,3,4,260,3.1876
1967,9,3,5,189,3.2747
1967,10,1,1,278,0.6375
1967,10,1,2,240,-0.7819
1967,10,1,3,263,-2.2951
1967,10,1,4,313,-3.2357
1967,10,1,5,384,-2.4354
1967,10,2,1,150,-2.3321
1967,10,2,2,154,-3.8200
1967,10,2,3,176,-3.4027
1967,10,2,4,197,-2.6848
1967,10,2,5,183,-3.7721
1967,10,3,1,255,0.5166
1967,10,3,2,333,-4.1914
1967,10,3,3,323,-3.6486
1967,10,3,4,266,-4.2227
1967,10,3,5,198,-5.9015
1967,11,1,1,308,-0.0301
1967,11,1,2,271,0.7642
1967,11,1,3,286,1.6850
1967,11,1,4,325,-0.0800
1967,11,1,5,393,0.5477
1967,11,2,1,164,2.7306
1967,11,2,2,169,1.9948
1967,11,2,3,194,1.1962
1967,11,2,4,215,0.0394
1967,11,2,5,192,0.4303
1967,11,3,1,267,2.0837
1967,11,3,2,343,-0.0150
1967,11,3,3,349,-0.2126
1967,11,3,4,290,-0.1116
1967,11,3,5,223,0.6595
1967,12,1,1,313,11.9979
1967,12,1,2,282,11.6415
1967,12,1,3,298,9.4392
1967,12,1,4,334,8.0179
1967,12,1,5,399,8.2979
1967,12,2,1,172,8.6402
1967,12,2,2,176,5.6011
1967,12,2,3,203,4.4354
1967,12,2,4,220,4.9727
1967,12,2,5,197,6.3665
1967,12,3,1,270,1.7106
1967,12,3,2,347,2.4976
1967,12,3,3,353,3.4358
1967,12,3,4,296,3.7709
1967,12,3,5,228,4.1167
1968,1,1,1,316,1.4727
1968,1,1,2,287,1.5171
1968,1,1,3,294,1.1334
1968,1,1,4,310,2.6970
1968,1,1,5,375,4.4428
1968,1,2,1,174,-4.4574
1968,1,2,2,174,-2.6556
1968,1,2,3,202,-0.6823
1968,1,2,4,207,1.2225
1968,1,2,5,194,2.4863
1968,1,3,1,252,-7.8737
1968,1,3,2,335,-4.0508
1968,1,3,3,345,-1.7973
1968,1,3,4,291,-2.0560
1968,1,3,5,231,-2.7697
1968,2,1,1,354,-9.3331
1968,2,1,2,301,-7.6724
1968,2,1,3,299,-6.1996
1968,2,1,4,325,-5.5070
1968,2,1,5,387,-4.7939
1968,2,2,1,188,-5.3510
1968,2,2,2,183,-5.9990
1968,2,2,3,208,-4.5978
1968,2,2,4,215,-3.8558
1968,2,2,5,204,-4.4181
1968,2,3,1,266,-2.9442
1968,2,3,2,348,-3.2949
1968,2,3,3,363,-2.5346
1968,2,3,4,308,-2.5664
1968,2,3,5,249,-4.1023
1968,3,1,1,356,-0.9310
1968,3,1,2,308,-1.9116
1968,3,1,3,296,-1.0681
1968,3,1,4,328,-0.4937
1968,3,1,5,387,-0.7454
1968,3,2,1,198,-2.6483
1968,3,2,2,191,-1.3079
1968,3,2,3,212,-1.7948
1968,3,2,4,212,-0.5691
1968,3,2,5,203,-1.3026
1968,3,3,1,267,3.7219
1968,3,3,2,346,-0.0492
1968,3,3,3,366,-0.8797
1968,3,3,4,316,-0.9629
1968,3,3,5,253,-0.0448
1968,4,1,1,340,18.2181
1968,4,1,2,309,17.4828
1968,4,1,3,280,17.4546
1968,4,1,4,319,15.2614
1968,4,1,5,371,15.2560
1968,4,2,1,191,17.7273
1968,4,2,2,192,14.9303
1968,4,2,3,210,12.5698
1968,4,2,4,202,10.8605
1968,4,2,5,196,11.6107
1968,4,3,1,254,11.2088
1968,4,3,2,333,10.1934
1968,4,3,3,351,6.6431
1968,4,3,4,301,5.6228
1968,4,3,5,251,9.4262
1968,5,1,1,370,12.9402
1968,5,1,2,342,11.8235
1968,5,1,3,295,9.3871
1968,5,1,4,327,10.7877
1968,5,1,5,381,9.4667
1968,5,2,1,202,7.9494
1968,5,2,2,199,8.4821
