year,month,rank_ME,rank_IR,nstocks,ret_vw
1967,1,1,1,28,18.6951
1967,1,1,2,14,23.5556
1967,1,1,3,10,16.8978
1967,1,1,4,11,22.4531
1967,1,1,5,4,19.2866
1967,1,2,1,24,18.7889
1967,1,2,2,13,11.9115
1967,1,2,3,15,14.3954
1967,1,2,4,14,10.7175
1967,1,2,5,14,24.5602
1967,1,3,1,29,15.1039
1967,1,3,2,54,8.3531
1967,1,3,3,56,7.9739
1967,1,3,4,56,4.7599
1967,1,3,5,62,10.0099
1967,2,1,1,28,7.1173
1967,2,1,2,14,-2.6167
1967,2,1,3,10,5.7952
1967,2,1,4,11,2.9904
1967,2,1,5,4,11.6303
1967,2,2,1,24,1.5383
1967,2,2,2,13,2.1799
1967,2,2,3,15,0.0655
1967,2,2,4,14,-0.0789
1967,2,2,5,14,2.6264
1967,2,3,1,29,-1.1305
1967,2,3,2,54,-0.3006
1967,2,3,3,56,0.7848
1967,2,3,4,56,1.5598
1967,2,3,5,62,0.9950
1967,3,1,1,28,6.5431
1967,3,1,2,14,5.8492
1967,3,1,3,10,4.3015
1967,3,1,4,11,11.8715
1967,3,1,5,4,9.1751
1967,3,2,1,24,6.1481
1967,3,2,2,13,5.4482
1967,3,2,3,15,6.2862
1967,3,2,4,14,7.0449
1967,3,2,5,14,5.2433
1967,3,3,1,29,5.3922
1967,3,3,2,54,4.3516
1967,3,3,3,56,4.8321
1967,3,3,4,56,3.9133
1967,3,3,5,62,4.4079
1967,4,1,1,28,5.4924
1967,4,1,2,14,7.2318
1967,4,1,3,10,8.6218
1967,4,1,4,11,4.0094
1967,4,1,5,4,-3.2960
1967,4,2,1,24,4.0652
1967,4,2,2,13,0.6575
1967,4,2,3,15,4.3564
1967,4,2,4,14,8.3533
1967,4,2,5,14,4.0930
1967,4,3,1,29,4.2152
1967,4,3,2,54,0.8457
1967,4,3,3,56,2.2472
1967,4,3,4,56,4.4914
1967,4,3,5,62,8.7087
1967,5,1,1,28,5.5487
1967,5,1,2,14,2.1170
1967,5,1,3,10,0.0928
1967,5,1,4,11,-1.7404
1967,5,1,5,4,-4.4682
1967,5,2,1,24,-2.5169
1967,5,2,2,13,0.2625
1967,5,2,3,15,-4.1327
1967,5,2,4,14,-2.1817
1967,5,2,5,14,-1.2239
1967,5,3,1,29,-4.5012
1967,5,3,2,54,-5.0228
1967,5,3,3,56,-2.0604
1967,5,3,4,56,-4.3714
1967,5,3,5,62,-6.5268
1967,6,1,1,28,14.4731
1967,6,1,2,14,6.9073
1967,6,1,3,10,9.4206
1967,6,1,4,11,11.5705
1967,6,1,5,4,11.4417
1967,6,2,1,24,6.3101
1967,6,2,2,13,7.2678
1967,6,2,3,15,4.9939
1967,6,2,4,14,2.7109
1967,6,2,5,14,6.4368
1967,6,3,1,29,0.7194
1967,6,3,2,54,3.4854
1967,6,3,3,56,2.6931
1967,6,3,4,56,2.2474
1967,6,3,5,62,1.2770
1967,7,1,1,30,9.6389
1967,7,1,2,15,9.8910
1967,7,1,3,16,9.4872
1967,7,1,4,7,2.6967
1967,7,1,5,6,10.8384
1967,7,2,1,33,11.0988
1967,7,2,2,22,8.6550
1967,7,2,3,21,7.4716
1967,7,2,4,15,7.6995
1967,7,2,5,11,7.4108
1967,7,3,1,39,6.2543
1967,7,3,2,63,-1.1058
1967,7,3,3,64,4.8886
1967,7,3,4,77,5.9276
1967,7,3,5,83,4.9999
1967,8,1,1,30,1.6523
1967,8,1,2,15,-1.7786
1967,8,1,3,16,-0.1476
1967,8,1,4,7,0.8811
1967,8,1,5,6,1.4816
1967,8,2,1,33,0.0667
1967,8,2,2,22,-0.3199
1967,8,2,3,21,2.3301
1967,8,2,4,15,0.8977
1967,8,2,5,11,1.1451
1967,8,3,1,39,-0.2915
1967,8,3,2,63,-1.1082
1967,8,3,3,64,-0.7688
1967,8,3,4,77,-0.8645
1967,8,3,5,83,-0.5487
1967,9,1,1,30,6.7499
1967,9,1,2,15,6.9581
1967,9,1,3,16,2.0234
1967,9,1,4,7,3.7581
1967,9,1,5,6,1.9113
1967,9,2,1,33,4.5497
1967,9,2,2,22,4.2832
1967,9,2,3,21,2.8240
1967,9,2,4,15,-0.9709
1967,9,2,5,11,5.8553
1967,9,3,1,38,1.7144
1967,9,3,2,63,2.3617
1967,9,3,3,64,2.1233
1967,9,3,4,77,4.8042
1967,9,3,5,83,2.8002
1967,10,1,1,30,-3.4780
1967,10,1,2,15,-2.2525
1967,10,1,3,16,-0.4762
1967,10,1,4,7,-1.6112
1967,10,1,5,6,-5.5778
1967,10,2,1,33,-1.7241
1967,10,2,2,22,-1.4764
1967,10,2,3,21,-2.5942
1967,10,2,4,15,-4.8060
1967,10,2,5,11,-7.9631
1967,10,3,1,38,-4.4267
1967,10,3,2,63,-4.2087
1967,10,3,3,64,-4.9381
1967,10,3,4,78,-1.4819
1967,10,3,5,83,-3.7095
1967,11,1,1,30,0.7306
1967,11,1,2,15,0.2571
1967,11,1,3,16,1.3487
