year,month,rank_ME,rank_NOP,nstocks,ret_vw
1972,7,1,1,116,-6.2776
1972,7,1,2,99,-5.3288
1972,7,1,3,70,-3.0058
1972,7,1,4,54,-2.5428
1972,7,1,5,93,-1.2573
1972,7,2,1,65,-5.5792
1972,7,2,2,57,-4.1384
1972,7,2,3,48,-1.1392
1972,7,2,4,47,-3.1113
1972,7,2,5,49,-0.8696
1972,7,3,1,87,-3.0515
1972,7,3,2,99,1.9089
1972,7,3,3,92,0.4990
1972,7,3,4,92,-0.3652
1972,7,3,5,63,-1.1953
1972,8,1,1,116,0.0318
1972,8,1,2,99,-0.7979
1972,8,1,3,70,0.6386
1972,8,1,4,54,0.9930
1972,8,1,5,93,1.7972
1972,8,2,1,65,2.0600
1972,8,2,2,57,-0.9595
1972,8,2,3,48,3.6472
1972,8,2,4,47,2.3927
1972,8,2,5,49,2.8377
1972,8,3,1,87,0.8907
1972,8,3,2,99,1.4257
1972,8,3,3,92,1.6420
1972,8,3,4,92,7.2989
1972,8,3,5,63,8.7695
1972,9,1,1,116,-4.7852
1972,9,1,2,100,-4.5817
1972,9,1,3,69,-4.7967
1972,9,1,4,54,-4.9154
1972,9,1,5,93,-2.8200
1972,9,2,1,65,-3.2544
1972,9,2,2,57,-2.5278
1972,9,2,3,48,-2.7656
1972,9,2,4,47,-3.2487
1972,9,2,5,49,-1.9921
1972,9,3,1,87,-2.6261
1972,9,3,2,99,-0.5266
1972,9,3,3,92,-0.4909
1972,9,3,4,92,-1.8987
1972,9,3,5,63,1.3687
1972,10,1,1,116,-2.3468
1972,10,1,2,100,-2.8728
1972,10,1,3,69,-2.3981
1972,10,1,4,54,-1.8878
1972,10,1,5,93,-1.4302
1972,10,2,1,65,-1.1424
1972,10,2,2,57,-1.9462
1972,10,2,3,48,-0.6189
1972,10,2,4,47,-1.9563
1972,10,2,5,49,0.6571
1972,10,3,1,87,0.6657
1972,10,3,2,99,0.4967
1972,10,3,3,91,0.6552
1972,10,3,4,92,-1.0159
1972,10,3,5,63,2.0795
1972,11,1,1,116,7.5114
1972,11,1,2,100,5.0550
1972,11,1,3,70,4.5422
1972,11,1,4,54,4.4856
1972,11,1,5,93,5.9650
1972,11,2,1,65,4.4152
1972,11,2,2,57,6.4012
1972,11,2,3,48,6.1804
1972,11,2,4,47,5.6682
1972,11,2,5,49,9.7432
1972,11,3,1,87,6.0360
1972,11,3,2,99,0.3744
