year,month,rank_ME,rank_OCP,nstocks,ret_vw
1972,7,1,1,66,-4.5096
1972,7,1,2,84,-2.1560
1972,7,1,3,86,-6.4865
1972,7,1,4,87,-2.9516
1972,7,1,5,147,-2.9671
1972,7,2,1,54,-3.0288
1972,7,2,2,54,-2.6263
1972,7,2,3,48,-3.8065
1972,7,2,4,54,-3.2896
1972,7,2,5,43,-2.5366
1972,7,3,1,110,1.7971
1972,7,3,2,84,0.6656
1972,7,3,3,84,-1.3088
1972,7,3,4,80,-1.0370
1972,7,3,5,63,0.0906
1972,8,1,1,66,-0.4257
1972,8,1,2,84,-1.9878
1972,8,1,3,86,1.5561
1972,8,1,4,87,1.2812
1972,8,1,5,147,1.3170
1972,8,2,1,54,2.2849
1972,8,2,2,54,0.7888
1972,8,2,3,48,1.2591
1972,8,2,4,54,2.2206
1972,8,2,5,43,4.8076
1972,8,3,1,110,-0.5299
1972,8,3,2,84,2.8346
1972,8,3,3,84,6.8898
1972,8,3,4,80,7.4432
1972,8,3,5,63,9.5774
1972,9,1,1,66,-4.7114
1972,9,1,2,85,-3.4108
1972,9,1,3,86,-5.6426
1972,9,1,4,87,-3.8061
1972,9,1,5,147,-4.5304
1972,9,2,1,54,-2.3290
1972,9,2,2,54,-2.7140
1972,9,2,3,48,-1.6044
1972,9,2,4,54,-2.5824
1972,9,2,5,43,-3.0324
1972,9,3,1,110,0.0412
1972,9,3,2,84,-0.6271
1972,9,3,3,84,-2.7609
1972,9,3,4,80,0.4576
1972,9,3,5,63,-1.3149
1972,10,1,1,66,-3.6793
1972,10,1,2,85,-3.7804
1972,10,1,3,86,-3.0280
1972,10,1,4,87,0.2740
1972,10,1,5,147,-0.9062
1972,10,2,1,54,-0.4064
1972,10,2,2,54,-1.7871
1972,10,2,3,48,0.4956
1972,10,2,4,54,-2.4454
1972,10,2,5,43,-0.6900
1972,10,3,1,110,2.4092
1972,10,3,2,84,-1.6221
1972,10,3,3,84,0.0434
1972,10,3,4,80,2.1779
1972,10,3,5,63,1.7778
1972,11,1,1,66,5.3278
1972,11,1,2,85,3.1346
1972,11,1,3,86,5.9370
1972,11,1,4,87,5.3056
