year,month,rank_ME,rank_OCPq_1,nstocks,ret_vw
1985,1,1,1,757,15.5608
1985,1,1,2,285,15.0366
1985,1,1,3,284,13.8531
1985,1,1,4,315,12.8488
1985,1,1,5,436,14.2729
1985,1,2,1,175,13.9706
1985,1,2,2,108,11.4530
1985,1,2,3,72,13.5056
1985,1,2,4,81,10.6944
1985,1,2,5,79,11.5474
1985,1,3,1,121,10.4684
1985,1,3,2,110,8.9154
1985,1,3,3,110,7.3660
1985,1,3,4,106,7.0552
1985,1,3,5,81,7.4457
1985,2,1,1,740,4.0289
1985,2,1,2,343,3.3485
1985,2,1,3,299,2.4296
1985,2,1,4,278,3.8339
1985,2,1,5,439,4.3003
1985,2,2,1,163,3.0291
1985,2,2,2,127,2.1813
1985,2,2,3,79,3.1253
1985,2,2,4,89,1.6369
1985,2,2,5,60,1.4927
1985,2,3,1,124,1.1984
1985,2,3,2,99,0.6695
1985,2,3,3,124,2.0950
1985,2,3,4,96,2.5554
1985,2,3,5,86,1.5287
1985,3,1,1,750,-2.7434
1985,3,1,2,329,-0.8474
1985,3,1,3,279,-2.1252
1985,3,1,4,314,-2.1795
1985,3,1,5,428,-2.4913
1985,3,2,1,163,-6.5181
1985,3,2,2,124,-3.7417
1985,3,2,3,77,-2.5607
1985,3,2,4,92,-2.2623
1985,3,2,5,61,1.4331
1985,3,3,1,127,-0.9717
1985,3,3,2,101,1.5199
1985,3,3,3,113,-1.3473
1985,3,3,4,98,-1.4948
1985,3,3,5,87,0.5390
1985,4,1,1,766,-2.7545
1985,4,1,2,325,-2.3749
1985,4,1,3,266,-1.0538
1985,4,1,4,311,-1.5511
1985,4,1,5,419,-1.7285
1985,4,2,1,150,-3.3742
1985,4,2,2,133,-1.7230
1985,4,2,3,87,-2.0016
1985,4,2,4,88,-0.1645
1985,4,2,5,55,-0.4505
1985,4,3,1,127,-2.1745
1985,4,3,2,96,-1.9508
1985,4,3,3,116,-1.1358
1985,4,3,4,99,-1.9780
1985,4,3,5,85,2.6337
1985,5,1,1,706,2.9240
1985,5,1,2,327,2.1734
1985,5,1,3,298,2.6949
1985,5,1,4,276,0.9990
1985,5,1,5,411,0.7381
1985,5,2,1,156,3.8019
1985,5,2,2,116,3.6583
1985,5,2,3,93,4.0513
1985,5,2,4,77,2.8009
1985,5,2,5,65,2.5351
1985,5,3,1,120,7.9922
1985,5,3,2,108,6.9965
1985,5,3,3,106,6.4751
1985,5,3,4,110,5.2935
1985,5,3,5,78,4.7573
1985,6,1,1,690,-0.0650
1985,6,1,2,314,0.5396
1985,6,1,3,289,0.6908
1985,6,1,4,292,0.4457
1985,6,1,5,424,-0.5714
1985,6,2,1,168,1.1372
1985,6,2,2,93,1.4763
