year,month,rank_ME,rank_OP,nstocks,ret_vw
1972,7,1,1,82,-5.8452
1972,7,1,2,53,-4.8298
1972,7,1,3,59,-1.9438
1972,7,1,4,44,-2.7851
1972,7,1,5,79,-1.0274
1972,7,2,1,37,-2.8740
1972,7,2,2,42,-1.7445
1972,7,2,3,43,-3.1311
1972,7,2,4,42,-2.3918
1972,7,2,5,41,-1.0812
1972,7,3,1,97,1.0951
1972,7,3,2,82,1.3471
1972,7,3,3,78,-0.9735
1972,7,3,4,76,-1.2170
1972,7,3,5,60,-0.7100
1972,8,1,1,82,-0.0827
1972,8,1,2,53,1.0941
1972,8,1,3,59,-0.9481
1972,8,1,4,44,0.4830
1972,8,1,5,79,2.3680
1972,8,2,1,37,0.8349
1972,8,2,2,42,0.2001
1972,8,2,3,43,2.5032
1972,8,2,4,42,3.7498
1972,8,2,5,41,3.1359
1972,8,3,1,97,0.9572
1972,8,3,2,82,0.9659
1972,8,3,3,78,6.5948
1972,8,3,4,76,8.6937
1972,8,3,5,60,7.5974
1972,9,1,1,82,-5.3240
1972,9,1,2,53,-3.8952
1972,9,1,3,59,-4.2234
1972,9,1,4,44,-5.2510
1972,9,1,5,79,-2.9507
1972,9,2,1,37,-2.6701
1972,9,2,2,42,-3.2905
1972,9,2,3,43,-3.3163
1972,9,2,4,42,-1.6250
1972,9,2,5,41,-2.4371
1972,9,3,1,97,-0.8357
1972,9,3,2,82,0.0769
1972,9,3,3,78,-3.0441
1972,9,3,4,76,-0.5412
1972,9,3,5,60,1.0002
1972,10,1,1,82,-2.8928
1972,10,1,2,53,-3.4496
1972,10,1,3,59,-2.0405
1972,10,1,4,44,-2.7560
1972,10,1,5,79,-0.7473
1972,10,2,1,37,-1.3055
1972,10,2,2,42,-0.6536
1972,10,2,3,43,-0.6795
1972,10,2,4,42,1.7817
1972,10,2,5,41,-1.6197
1972,10,3,1,97,2.4526
1972,10,3,2,81,-0.5198
1972,10,3,3,78,-0.0002
1972,10,3,4,76,-1.3024
1972,10,3,5,60,2.7600
1972,11,1,1,82,4.6451
1972,11,1,2,53,4.4871
1972,11,1,3,59,5.2825
1972,11,1,4,44,8.4423
1972,11,1,5,79,5.0207
1972,11,2,1,37,5.0310
1972,11,2,2,42,3.8125
1972,11,2,3,43,6.3819
1972,11,2,4,42,6.6590
1972,11,2,5,41,9.2210
1972,11,3,1,97,0.2273
1972,11,3,2,81,2.9301
1972,11,3,3,78,6.7150
1972,11,3,4,76,8.8302
1972,11,3,5,60,8.8882
1972,12,1,1,82,-1.1456
1972,12,1,2,53,-3.1615
1972,12,1,3,59,-0.7887
1972,12,1,4,44,-3.0417
1972,12,1,5,79,-0.9512
1972,12,2,1,37,1.7992
1972,12,2,2,42,-0.7150
1972,12,2,3,43,0.2632
1972,12,2,4,42,-1.0003
1972,12,2,5,41,-1.0534
1972,12,3,1,97,4.1108
1972,12,3,2,82,3.1152
1972,12,3,3,78,0.0823
1972,12,3,4,76,-0.4201
1972,12,3,5,60,0.9843
1973,1,1,1,82,-4.0100
1973,1,1,2,53,-6.2740
1973,1,1,3,59,-3.4429
1973,1,1,4,44,-2.4681
1973,1,1,5,79,-1.8864
1973,1,2,1,37,-5.8617
1973,1,2,2,42,-7.0535
1973,1,2,3,43,-6.2412
1973,1,2,4,42,-6.8204
1973,1,2,5,41,-3.5957
1973,1,3,1,97,-3.7336
1973,1,3,2,82,-0.0235
1973,1,3,3,78,-4.8438
1973,1,3,4,76,-1.9041
1973,1,3,5,60,-0.3171
1973,2,1,1,82,-10.5514
1973,2,1,2,53,-8.0039
1973,2,1,3,59,-5.4814
1973,2,1,4,44,-5.6865
1973,2,1,5,79,-5.0380
1973,2,2,1,37,-11.2756
1973,2,2,2,42,-8.2157
1973,2,2,3,43,-8.7631
1973,2,2,4,42,-6.1707
1973,2,2,5,41,-5.5630
1973,2,3,1,97,-1.9626
1973,2,3,2,82,-2.3586
