year,month,rank_ME,rank_Rev_12,nstocks,ret_vw
1967,1,1,1,62,19.8225
1967,1,1,2,26,17.7066
1967,1,1,3,27,14.5746
1967,1,1,4,28,19.5716
1967,1,1,5,29,20.1139
1967,1,2,1,48,20.8286
1967,1,2,2,54,14.6411
1967,1,2,3,44,11.8225
1967,1,2,4,47,12.5271
1967,1,2,5,51,19.1675
1967,1,3,1,74,8.1431
1967,1,3,2,102,8.8737
1967,1,3,3,113,6.0596
1967,1,3,4,108,5.9390
1967,1,3,5,104,9.6444
1967,2,1,1,65,5.5708
1967,2,1,2,37,3.1581
1967,2,1,3,43,2.1663
1967,2,1,4,35,3.2151
1967,2,1,5,33,-0.3104
1967,2,2,1,60,3.1117
1967,2,2,2,74,2.1314
1967,2,2,3,63,1.0861
1967,2,2,4,62,2.1772
1967,2,2,5,58,0.2097
1967,2,3,1,86,0.7965
1967,2,3,2,134,2.0760
1967,2,3,3,144,-0.0310
1967,2,3,4,138,-0.0565
1967,2,3,5,118,1.0637
1967,3,1,1,68,5.3761
1967,3,1,2,42,6.9063
1967,3,1,3,50,5.3499
1967,3,1,4,46,7.4443
1967,3,1,5,41,6.4433
1967,3,2,1,68,6.8766
1967,3,2,2,82,4.8015
1967,3,2,3,72,5.1503
1967,3,2,4,73,5.4488
1967,3,2,5,63,5.6667
1967,3,3,1,99,3.7364
1967,3,3,2,165,4.7581
1967,3,3,3,173,2.7655
1967,3,3,4,153,4.1618
1967,3,3,5,124,5.3669
1967,4,1,1,74,4.0503
1967,4,1,2,48,3.8346
1967,4,1,3,56,3.3960
1967,4,1,4,51,5.6166
1967,4,1,5,45,3.7812
1967,4,2,1,74,1.8780
1967,4,2,2,91,2.2577
1967,4,2,3,83,2.8137
1967,4,2,4,81,5.1443
1967,4,2,5,65,3.0272
1967,4,3,1,107,0.8714
1967,4,3,2,174,4.4267
1967,4,3,3,186,4.1720
1967,4,3,4,161,5.0032
1967,4,3,5,129,6.1624
1967,5,1,1,76,1.0588
1967,5,1,2,53,-1.1409
1967,5,1,3,62,-1.9263
1967,5,1,4,59,1.7801
1967,5,1,5,47,1.0629
1967,5,2,1,83,-1.9240
1967,5,2,2,99,-1.7153
1967,5,2,3,98,-2.6810
1967,5,2,4,91,-0.2552
1967,5,2,5,69,-1.6359
1967,5,3,1,118,-4.4994
1967,5,3,2,199,-3.8349
1967,5,3,3,200,-4.0297
1967,5,3,4,175,-4.3493
1967,5,3,5,136,-5.6462
1967,6,1,1,79,9.2002
1967,6,1,2,58,6.5417
1967,6,1,3,66,10.1124
1967,6,1,4,64,7.0751
1967,6,1,5,48,9.0811
1967,6,2,1,86,7.9082
1967,6,2,2,98,5.7147
1967,6,2,3,98,6.1062
1967,6,2,4,96,5.7815
1967,6,2,5,74,5.7900
1967,6,3,1,123,2.4953
1967,6,3,2,206,2.3817
1967,6,3,3,213,1.1341
1967,6,3,4,184,2.1769
1967,6,3,5,142,1.9124
1967,7,1,1,81,8.7882
1967,7,1,2,61,8.7414
1967,7,1,3,70,9.3086
1967,7,1,4,65,10.2717
1967,7,1,5,51,9.6246
1967,7,2,1,91,8.1766
1967,7,2,2,112,9.1185
1967,7,2,3,106,8.1650
1967,7,2,4,106,8.3730
1967,7,2,5,78,5.8338
1967,7,3,1,130,-0.0420
1967,7,3,2,223,3.9251
1967,7,3,3,223,5.7250
1967,7,3,4,198,6.6626
1967,7,3,5,150,4.9914
1967,8,1,1,260,0.8354
1967,8,1,2,144,-0.9606
1967,8,1,3,132,-1.4228
1967,8,1,4,128,-0.2025
1967,8,1,5,125,0.7798
1967,8,2,1,110,0.0756
1967,8,2,2,119,0.1052
1967,8,2,3,120,-0.2597
1967,8,2,4,136,0.9840
1967,8,2,5,101,0.0656
1967,8,3,1,142,-0.7633
1967,8,3,2,234,-0.7324
1967,8,3,3,239,-0.6023
1967,8,3,4,213,-0.5780
1967,8,3,5,172,-0.9517
1967,9,1,1,298,7.2949
1967,9,1,2,169,4.1409
1967,9,1,3,162,4.9489
1967,9,1,4,158,6.0856
1967,9,1,5,133,5.7253
1967,9,2,1,118,3.2798
1967,9,2,2,133,2.4131
1967,9,2,3,131,5.3197
1967,9,2,4,141,5.4372
1967,9,2,5,108,3.9614
1967,9,3,1,149,1.9079
1967,9,3,2,239,3.2001
1967,9,3,3,247,3.2873
1967,9,3,4,221,3.4922
1967,9,3,5,179,2.8882
1967,10,1,1,307,-0.8224
1967,10,1,2,189,-2.9440
1967,10,1,3,183,-2.8385
1967,10,1,4,169,-2.8158
1967,10,1,5,138,-4.4677
1967,10,2,1,127,-1.2733
1967,10,2,2,138,-2.6885
1967,10,2,3,137,-2.9357
1967,10,2,4,149,-2.2658
1967,10,2,5,112,-3.9856
1967,10,3,1,149,-3.6694
1967,10,3,2,246,-3.2765
1967,10,3,3,257,-1.8058
1967,10,3,4,231,-3.8104
1967,10,3,5,184,-2.6754
1967,11,1,1,321,1.1954
1967,11,1,2,212,-0.5193
1967,11,1,3,199,-1.2752
1967,11,1,4,180,0.2700
1967,11,1,5,148,1.1394
1967,11,2,1,127,0.8410
1967,11,2,2,143,0.0949
1967,11,2,3,141,0.2285
1967,11,2,4,154,1.4842
1967,11,2,5,122,0.3236
1967,11,3,1,157,-0.4917
1967,11,3,2,257,0.9853
1967,11,3,3,269,0.7960
1967,11,3,4,239,0.9059
1967,11,3,5,190,1.0278
1967,12,1,1,329,12.3918
1967,12,1,2,224,8.4273
1967,12,1,3,226,9.8886
1967,12,1,4,201,9.0653
1967,12,1,5,153,9.8817
1967,12,2,1,131,7.7098
1967,12,2,2,147,5.0795
1967,12,2,3,152,6.5316
1967,12,2,4,159,6.3863
1967,12,2,5,126,6.1646
1967,12,3,1,160,2.7391
1967,12,3,2,262,4.2634
1967,12,3,3,279,2.7956
1967,12,3,4,249,1.7585
1967,12,3,5,194,1.8960
1968,1,1,1,325,4.8996
1968,1,1,2,236,4.0264
1968,1,1,3,243,3.8014
1968,1,1,4,218,1.8519
1968,1,1,5,158,0.4362
1968,1,2,1,136,2.8603
1968,1,2,2,154,1.2696
1968,1,2,3,152,1.3074
1968,1,2,4,161,-1.9690
1968,1,2,5,133,-1.9263
1968,1,3,1,156,-0.8505
1968,1,3,2,261,-2.7303
1968,1,3,3,272,-3.3181
1968,1,3,4,247,-3.6372
1968,1,3,5,193,-8.9653
1968,2,1,1,331,-7.4675
1968,2,1,2,244,-3.8578
1968,2,1,3,258,-5.5137
1968,2,1,4,236,-6.2771
1968,2,1,5,164,-5.5305
1968,2,2,1,130,-4.5310
1968,2,2,2,149,-2.9562
1968,2,2,3,151,-3.3585
1968,2,2,4,154,-4.5330
1968,2,2,5,139,-5.9499
1968,2,3,1,151,-2.1851
1968,2,3,2,255,-2.4008
1968,2,3,3,266,-2.2325
1968,2,3,4,239,-3.4143
1968,2,3,5,184,-4.3032
1968,3,1,1,332,-0.6316
1968,3,1,2,261,-1.3128
1968,3,1,3,280,-1.5217
1968,3,1,4,254,-0.8701
1968,3,1,5,169,-0.6603
1968,3,2,1,130,-0.9270
1968,3,2,2,152,-1.6072
1968,3,2,3,149,-2.7292
1968,3,2,4,158,-2.3717
1968,3,2,5,141,-1.3983
1968,3,3,1,153,-1.2650
1968,3,3,2,248,-1.0078
1968,3,3,3,262,0.4347
1968,3,3,4,236,1.8482
1968,3,3,5,185,2.5531
1968,4,1,1,332,16.1979
1968,4,1,2,274,13.7896
1968,4,1,3,292,14.1347
1968,4,1,4,258,12.7326
1968,4,1,5,183,14.5666
1968,4,2,1,128,12.6173
1968,4,2,2,152,9.9676
1968,4,2,3,159,12.0110
1968,4,2,4,160,12.9553
1968,4,2,5,141,15.5161
1968,4,3,1,152,5.1212
1968,4,3,2,253,6.9340
1968,4,3,3,265,8.4193
1968,4,3,4,236,9.8563
1968,4,3,5,191,11.3762
1968,5,1,1,339,12.8451
1968,5,1,2,293,12.0514
1968,5,1,3,306,12.0369
1968,5,1,4,269,11.0058
1968,5,1,5,187,8.8956
1968,5,2,1,130,6.5818
1968,5,2,2,153,5.8445
1968,5,2,3,163,7.1018
1968,5,2,4,163,6.3743
1968,5,2,5,147,7.0467
1968,5,3,1,157,0.4487
1968,5,3,2,250,1.0832
1968,5,3,3,262,1.3356
1968,5,3,4,238,2.2793
1968,5,3,5,191,3.6348
1968,6,1,1,346,0.4945
1968,6,1,2,310,1.0994
1968,6,1,3,327,1.4548
1968,6,1,4,278,1.0169
1968,6,1,5,197,-0.6752
1968,6,2,1,129,0.3057
1968,6,2,2,151,2.3282
1968,6,2,3,164,0.6695
1968,6,2,4,160,-0.3998
1968,6,2,5,145,1.2852
1968,6,3,1,157,2.9555
1968,6,3,2,247,2.4532
1968,6,3,3,260,1.0386
1968,6,3,4,241,0.5119
1968,6,3,5,190,-0.9810
1968,7,1,1,340,-1.5237
1968,7,1,2,320,-2.8485
1968,7,1,3,338,-3.1378
1968,7,1,4,299,-4.1777
1968,7,1,5,204,-4.7207
1968,7,2,1,128,-1.9090
1968,7,2,2,148,-0.9932
1968,7,2,3,169,-2.7260
1968,7,2,4,166,-3.4324
1968,7,2,5,145,-6.9387
1968,7,3,1,155,-0.0357
1968,7,3,2,252,-0.1282
1968,7,3,3,253,-1.0433
1968,7,3,4,241,-2.8991
1968,7,3,5,191,-5.5911
1968,8,1,1,332,4.8985
1968,8,1,2,322,5.0643
1968,8,1,3,349,4.1192
1968,8,1,4,303,3.0673
1968,8,1,5,203,2.2240
1968,8,2,1,127,1.9227
1968,8,2,2,152,3.0554
