year,month,rank_ME,rank_SP,nstocks,ret_vw
1967,1,1,1,31,14.8927
1967,1,1,2,46,15.9053
1967,1,1,3,67,17.7130
1967,1,1,4,100,19.6075
1967,1,1,5,189,19.6266
1967,1,2,1,37,14.1762
1967,1,2,2,35,14.4831
1967,1,2,3,56,17.5300
1967,1,2,4,69,16.3528
1967,1,2,5,63,17.5907
1967,1,3,1,153,5.6407
1967,1,3,2,133,8.5288
1967,1,3,3,104,8.6103
1967,1,3,4,69,11.4320
1967,1,3,5,53,13.9516
1967,2,1,1,31,5.4730
1967,2,1,2,46,7.5204
1967,2,1,3,67,5.6694
1967,2,1,4,100,3.4300
1967,2,1,5,189,4.9345
1967,2,2,1,37,4.7915
1967,2,2,2,35,-0.7794
1967,2,2,3,56,1.8810
1967,2,2,4,69,2.4030
1967,2,2,5,63,2.6836
1967,2,3,1,153,2.0760
1967,2,3,2,133,-0.7796
1967,2,3,3,104,1.2776
1967,2,3,4,69,-0.3598
1967,2,3,5,53,1.7452
1967,3,1,1,32,12.0596
1967,3,1,2,46,5.6959
1967,3,1,3,67,7.2574
1967,3,1,4,100,7.8872
1967,3,1,5,189,5.0827
1967,3,2,1,37,4.9103
1967,3,2,2,35,3.4331
1967,3,2,3,56,7.7911
1967,3,2,4,69,7.5095
1967,3,2,5,63,6.1878
1967,3,3,1,153,3.7475
1967,3,3,2,133,4.3847
1967,3,3,3,104,4.4818
1967,3,3,4,69,6.5785
1967,3,3,5,53,6.1808
1967,4,1,1,32,7.3021
1967,4,1,2,46,3.8436
1967,4,1,3,67,4.9342
1967,4,1,4,100,6.0438
1967,4,1,5,189,3.4832
1967,4,2,1,37,4.5111
1967,4,2,2,35,4.6926
1967,4,2,3,56,4.1174
1967,4,2,4,69,3.6200
1967,4,2,5,63,4.8804
1967,4,3,1,153,3.2770
1967,4,3,2,133,6.4049
1967,4,3,3,104,3.8277
1967,4,3,4,69,3.8981
1967,4,3,5,53,4.1705
1967,5,1,1,32,-0.9741
1967,5,1,2,46,1.2179
1967,5,1,3,67,1.5087
