year,month,rank_ME,rank_SPq_12,nstocks,ret_vw
1967,1,1,1,38,17.2112
1967,1,1,2,45,20.6370
1967,1,1,3,73,20.8546
1967,1,1,4,101,19.0916
1967,1,1,5,234,21.2457
1967,1,2,1,27,7.5389
1967,1,2,2,40,16.6567
1967,1,2,3,56,18.6994
1967,1,2,4,56,18.4293
1967,1,2,5,66,17.4573
1967,1,3,1,154,5.5994
1967,1,3,2,127,7.8607
1967,1,3,3,90,9.2939
1967,1,3,4,78,11.8365
1967,1,3,5,42,15.5535
1967,2,1,1,49,5.5510
1967,2,1,2,70,5.4916
1967,2,1,3,106,4.1625
1967,2,1,4,150,4.4978
1967,2,1,5,263,4.5223
1967,2,2,1,36,1.8429
1967,2,2,2,52,2.6200
1967,2,2,3,78,1.8077
1967,2,2,4,81,1.1217
1967,2,2,5,81,2.1220
1967,2,3,1,165,2.1117
1967,2,3,2,158,-0.8605
1967,2,3,3,116,0.9552
1967,2,3,4,99,0.8386
1967,2,3,5,51,1.5919
1967,3,1,1,52,12.3868
1967,3,1,2,83,5.3685
1967,3,1,3,125,8.1597
1967,3,1,4,178,8.4144
1967,3,1,5,279,5.0416
1967,3,2,1,41,5.3539
1967,3,2,2,63,5.8021
1967,3,2,3,84,7.3449
1967,3,2,4,87,7.5516
1967,3,2,5,88,5.7732
1967,3,3,1,169,3.8471
1967,3,3,2,163,4.6443
1967,3,3,3,129,4.5902
1967,3,3,4,110,4.9358
1967,3,3,5,57,7.0282
1967,4,1,1,54,5.3184
1967,4,1,2,93,4.3205
1967,4,1,3,138,5.3987
1967,4,1,4,195,3.0556
1967,4,1,5,297,5.6142
1967,4,2,1,47,4.3875
1967,4,2,2,74,2.6177
1967,4,2,3,90,5.1231
1967,4,2,4,91,5.0157
1967,4,2,5,90,3.5625
1967,4,3,1,172,3.3063
1967,4,3,2,172,5.3634
1967,4,3,3,139,4.7969
1967,4,3,4,114,4.4400
1967,4,3,5,61,4.2904
1967,5,1,1,70,1.7128
1967,5,1,2,108,-0.6733
1967,5,1,3,158,0.6681
1967,5,1,4,220,-0.9274
1967,5,1,5,316,0.2283
1967,5,2,1,55,-1.0709
1967,5,2,2,83,-3.7905
1967,5,2,3,105,-2.3720
1967,5,2,4,102,-2.2657
1967,5,2,5,98,-0.4494
1967,5,3,1,185,-5.0048
1967,5,3,2,184,-4.8783
1967,5,3,3,152,-4.5039
1967,5,3,4,129,-2.3373
1967,5,3,5,80,-3.0752
1967,6,1,1,71,11.6404
1967,6,1,2,117,10.1096
1967,6,1,3,166,13.3062
1967,6,1,4,234,10.5711
1967,6,1,5,323,11.4524
1967,6,2,1,58,8.3880
1967,6,2,2,93,4.8572
1967,6,2,3,110,8.6567
1967,6,2,4,110,7.2699
1967,6,2,5,101,6.7908
1967,6,3,1,190,1.6413
1967,6,3,2,187,1.1496
1967,6,3,3,161,2.5630
1967,6,3,4,132,3.9336
1967,6,3,5,82,4.9714
1967,7,1,1,74,10.0797
1967,7,1,2,130,7.2969
1967,7,1,3,182,9.1018
1967,7,1,4,244,9.7603
1967,7,1,5,326,9.8241
1967,7,2,1,63,5.1867
1967,7,2,2,100,7.1901
1967,7,2,3,115,7.8146
1967,7,2,4,117,8.5237
1967,7,2,5,104,9.5882
1967,7,3,1,190,0.8518
1967,7,3,2,194,7.1620
1967,7,3,3,169,6.5191
1967,7,3,4,138,6.6511
1967,7,3,5,84,7.1728
1967,8,1,1,89,-1.2481
1967,8,1,2,137,-0.5372
1967,8,1,3,200,0.7111
1967,8,1,4,260,0.5943
1967,8,1,5,335,0.2268
1967,8,2,1,76,-2.5331
1967,8,2,2,109,-0.1218
1967,8,2,3,125,1.1645
1967,8,2,4,127,0.0423
1967,8,2,5,107,-0.1271
1967,8,3,1,202,-0.8768
1967,8,3,2,213,-1.0865
1967,8,3,3,186,-0.6383
1967,8,3,4,150,-0.2833
1967,8,3,5,91,-0.0236
1967,9,1,1,94,13.1796
1967,9,1,2,141,8.7536
1967,9,1,3,205,8.8764
1967,9,1,4,262,7.0919
1967,9,1,5,343,6.8099
1967,9,2,1,76,5.2229
1967,9,2,2,113,4.9246
1967,9,2,3,131,4.0807
1967,9,2,4,133,3.7625
1967,9,2,5,111,4.8294
1967,9,3,1,204,3.8964
1967,9,3,2,218,2.8024
1967,9,3,3,195,3.4740
1967,9,3,4,154,2.3048
1967,9,3,5,93,3.7284
1967,10,1,1,95,-0.1195
1967,10,1,2,150,-1.6606
1967,10,1,3,218,-1.1132
1967,10,1,4,272,-1.5664
1967,10,1,5,346,-1.8001
1967,10,2,1,84,-3.6198
1967,10,2,2,119,-4.0214
1967,10,2,3,135,-3.3653
1967,10,2,4,137,-4.1379
1967,10,2,5,119,-1.8755
1967,10,3,1,205,-0.7015
1967,10,3,2,222,-4.8373
1967,10,3,3,199,-2.9538
1967,10,3,4,162,-4.2805
1967,10,3,5,95,-3.2057
1967,11,1,1,101,-0.7592
1967,11,1,2,163,-0.8268
1967,11,1,3,237,0.9468
1967,11,1,4,287,1.2989
1967,11,1,5,352,0.2923
1967,11,2,1,96,3.9003
1967,11,2,2,128,0.4822
1967,11,2,3,146,0.8791
1967,11,2,4,145,0.8610
1967,11,2,5,126,0.1046
1967,11,3,1,210,1.9390
1967,11,3,2,228,-0.5847
1967,11,3,3,210,-0.2405
1967,11,3,4,176,0.3788
1967,11,3,5,106,0.8421
1967,12,1,1,103,12.4289
1967,12,1,2,171,9.8111
1967,12,1,3,248,9.6366
1967,12,1,4,291,11.0012
1967,12,1,5,355,9.3551
1967,12,2,1,100,9.7409
1967,12,2,2,133,4.3026
1967,12,2,3,150,5.2433
1967,12,2,4,151,6.4275
1967,12,2,5,130,5.9387
1967,12,3,1,212,2.5753
1967,12,3,2,234,1.8858
1967,12,3,3,213,3.5662
1967,12,3,4,179,4.2158
1967,12,3,5,108,4.0675
1968,1,1,1,112,3.1586
1968,1,1,2,169,-0.6699
1968,1,1,3,247,2.0594
1968,1,1,4,287,2.4726
1968,1,1,5,347,5.2185
1968,1,2,1,106,-3.9780
1968,1,2,2,137,-1.6398
1968,1,2,3,151,-1.8767
1968,1,2,4,150,-0.0856
1968,1,2,5,130,2.3319
1968,1,3,1,215,-4.6066
1968,1,3,2,231,-5.4767
1968,1,3,3,215,-3.6130
1968,1,3,4,180,-2.8511
1968,1,3,5,107,-4.2857
1968,2,1,1,117,-7.4590
1968,2,1,2,181,-9.3356
1968,2,1,3,260,-8.2336
1968,2,1,4,302,-6.6878
1968,2,1,5,345,-5.1448
1968,2,2,1,109,-4.2176
1968,2,2,2,148,-5.4496
1968,2,2,3,153,-6.5709
1968,2,2,4,150,-4.4507
1968,2,2,5,135,-3.8808
1968,2,3,1,221,-3.0855
1968,2,3,2,235,-2.6139
1968,2,3,3,222,-2.9213
1968,2,3,4,185,-3.6317
1968,2,3,5,110,-3.4140
1968,3,1,1,119,-1.3282
1968,3,1,2,187,-2.3056
1968,3,1,3,261,-1.3845
1968,3,1,4,305,-1.0720
1968,3,1,5,348,-0.1341
1968,3,2,1,113,-3.1366
1968,3,2,2,148,-3.2204
1968,3,2,3,158,-0.9464
1968,3,2,4,149,-1.1947
1968,3,2,5,135,0.0758
1968,3,3,1,223,1.2628
1968,3,3,2,231,0.5696
1968,3,3,3,220,0.1393
1968,3,3,4,188,-0.3522
1968,3,3,5,112,1.2390
1968,4,1,1,123,15.8833
1968,4,1,2,181,16.9306
1968,4,1,3,254,18.5030
1968,4,1,4,304,17.2135
1968,4,1,5,342,16.9487
1968,4,2,1,113,13.8651
1968,4,2,2,146,13.9294
1968,4,2,3,159,15.7505
1968,4,2,4,144,13.1995
1968,4,2,5,134,11.7940
1968,4,3,1,220,7.7283
1968,4,3,2,226,9.5530
1968,4,3,3,223,7.9247
1968,4,3,4,190,10.2937
1968,4,3,5,108,12.3424
1968,5,1,1,136,13.5305
1968,5,1,2,192,11.4019
1968,5,1,3,263,10.7176
1968,5,1,4,314,10.4824
1968,5,1,5,344,9.9919
1968,5,2,1,116,9.8145
1968,5,2,2,155,6.1298
1968,5,2,3,163,7.0778
1968,5,2,4,144,6.5555
1968,5,2,5,137,7.8003
1968,5,3,1,219,2.3294
1968,5,3,2,229,0.6200
1968,5,3,3,223,0.4105
1968,5,3,4,195,2.9172
1968,5,3,5,110,2.3973
1968,6,1,1,141,2.1732
1968,6,1,2,196,-1.0172
1968,6,1,3,268,0.2549
1968,6,1,4,318,0.4148
1968,6,1,5,340,2.5283
1968,6,2,1,124,0.1288
1968,6,2,2,155,-0.1785
1968,6,2,3,165,0.5325
1968,6,2,4,148,0.2090
1968,6,2,5,134,0.0133
1968,6,3,1,218,1.2228
1968,6,3,2,224,0.7865
1968,6,3,3,222,1.5723
1968,6,3,4,198,0.4105
1968,6,3,5,113,-1.5545
1968,7,1,1,139,-4.9082
1968,7,1,2,194,-4.4420
1968,7,1,3,267,-3.5818
1968,7,1,4,316,-3.0583
1968,7,1,5,339,-2.3111
1968,7,2,1,119,-4.8090
1968,7,2,2,149,-4.2052
1968,7,2,3,161,-3.8524
1968,7,2,4,142,-3.1035
1968,7,2,5,130,-3.8827
1968,7,3,1,213,-2.8549
1968,7,3,2,212,-2.6842
1968,7,3,3,211,0.9003
1968,7,3,4,191,-2.2418
1968,7,3,5,102,-3.3767
1968,8,1,1,150,5.3595
1968,8,1,2,211,3.4154
1968,8,1,3,272,4.5128
1968,8,1,4,322,4.5780
1968,8,1,5,345,5.8225
1968,8,2,1,128,1.7765
1968,8,2,2,154,3.5976
1968,8,2,3,172,4.2606
1968,8,2,4,153,4.4117
1968,8,2,5,129,4.7911
1968,8,3,1,221,0.7627
1968,8,3,2,218,1.8992
1968,8,3,3,218,1.5586
1968,8,3,4,194,1.5053
1968,8,3,5,107,2.0047
1968,9,1,1,152,10.5421
1968,9,1,2,221,5.8012
1968,9,1,3,274,6.6006
1968,9,1,4,323,6.5976
1968,9,1,5,343,7.7106
1968,9,2,1,137,5.7208
1968,9,2,2,156,5.8577
1968,9,2,3,174,7.1823
1968,9,2,4,152,8.6692
1968,9,2,5,132,7.0858
1968,9,3,1,224,2.0868
1968,9,3,2,220,4.7271
1968,9,3,3,214,4.8076
1968,9,3,4,195,7.0286
1968,9,3,5,108,6.9907
1968,10,1,1,156,-3.5231
1968,10,1,2,221,-0.2751
1968,10,1,3,272,0.7920
1968,10,1,4,321,0.4244
1968,10,1,5,334,1.3016
1968,10,2,1,142,-0.0122
1968,10,2,2,153,0.1123
1968,10,2,3,171,1.7568
1968,10,2,4,151,1.0046
1968,10,2,5,127,1.6719
1968,10,3,1,224,-1.0938
1968,10,3,2,227,1.4737
1968,10,3,3,213,2.2923
1968,10,3,4,188,2.0492
1968,10,3,5,107,1.4776
1968,11,1,1,162,9.7111
1968,11,1,2,230,6.4202
1968,11,1,3,289,5.9633
1968,11,1,4,330,7.9854
1968,11,1,5,342,6.9186
1968,11,2,1,148,8.0777
1968,11,2,2,157,8.8403
1968,11,2,3,175,7.4120
1968,11,2,4,154,8.4173
1968,11,2,5,134,7.1838
1968,11,3,1,225,6.9181
1968,11,3,2,229,4.8192
1968,11,3,3,221,4.7908
1968,11,3,4,188,5.2684
1968,11,3,5,113,4.4470
1968,12,1,1,166,7.4197
1968,12,1,2,235,1.6187
