year,month,rank_ME,rank_VFP,nstocks,ret_vw
1976,7,1,1,1,-3.4091
1976,7,1,2,2,-8.1235
1976,7,1,3,4,0.4977
1976,7,1,4,1,-8.0645
1976,7,1,5,6,2.1586
1976,7,2,1,2,-1.6044
1976,7,2,2,12,-3.2354
1976,7,2,3,7,-3.1996
1976,7,2,4,9,-0.5421
1976,7,2,5,22,1.1189
1976,7,3,1,67,-2.0278
1976,7,3,2,61,-1.5985
1976,7,3,3,64,-1.9524
1976,7,3,4,59,-0.8233
1976,7,3,5,47,-0.3984
1976,8,1,1,1,-11.7647
1976,8,1,2,2,-15.0087
1976,8,1,3,4,-3.7759
1976,8,1,4,0,
1976,8,1,5,6,-5.6112
1976,8,2,1,2,-9.3649
1976,8,2,2,11,-5.3627
1976,8,2,3,7,0.1162
1976,8,2,4,9,-2.5005
1976,8,2,5,22,-3.2554
1976,8,3,1,67,0.1721
1976,8,3,2,61,-2.2261
1976,8,3,3,64,-1.2604
1976,8,3,4,59,0.0373
1976,8,3,5,47,-0.4844
1976,9,1,1,1,-25.3333
1976,9,1,2,2,14.9541
1976,9,1,3,4,4.9867
1976,9,1,4,0,
1976,9,1,5,6,-0.3783
1976,9,2,1,2,-3.7969
1976,9,2,2,11,3.3785
1976,9,2,3,7,0.5883
1976,9,2,4,9,5.2706
1976,9,2,5,22,4.0446
1976,9,3,1,67,1.9358
1976,9,3,2,61,2.0696
1976,9,3,3,64,0.8327
1976,9,3,4,59,3.6438
1976,9,3,5,47,6.0194
1976,10,1,1,1,3.5714
1976,10,1,2,2,-5.5202
1976,10,1,3,4,-2.7059
1976,10,1,4,1,-8.1967
1976,10,1,5,6,-3.5318
1976,10,2,1,2,0.7679
1976,10,2,2,11,-4.8562
1976,10,2,3,7,-3.8082
1976,10,2,4,9,-1.4846
1976,10,2,5,22,-4.3252
1976,10,3,1,67,-3.1824
1976,10,3,2,61,-2.6492
1976,10,3,3,64,-2.2141
1976,10,3,4,59,-2.2457
1976,10,3,5,47,-1.2502
1976,11,1,1,1,-6.8966
1976,11,1,2,2,9.8277
1976,11,1,3,4,25.8691
1976,11,1,4,1,-6.2143
1976,11,1,5,6,5.8812
1976,11,2,1,2,-4.6788
1976,11,2,2,11,2.0501
1976,11,2,3,7,8.7001
1976,11,2,4,9,8.2431
1976,11,2,5,22,3.7106
1976,11,3,1,67,-2.7173
1976,11,3,2,61,0.3363
1976,11,3,3,64,-0.9450
1976,11,3,4,59,1.9225
1976,11,3,5,47,1.6655
1976,12,1,1,1,25.9259
1976,12,1,2,1,21.1538
1976,12,1,3,4,6.9475
1976,12,1,4,1,21.1538
1976,12,1,5,6,7.1966
1976,12,2,1,2,13.6294
1976,12,2,2,12,10.7419
1976,12,2,3,7,8.0311
1976,12,2,4,9,12.0294
1976,12,2,5,22,8.9901
