year,month,rank_ME,rank_VHP,nstocks,ret_vw
1967,1,1,1,19,19.9568
1967,1,1,2,11,20.6761
1967,1,1,3,15,18.1794
1967,1,1,4,18,18.2556
1967,1,1,5,40,16.1421
1967,1,2,1,6,16.2413
1967,1,2,2,11,13.1751
1967,1,2,3,16,14.6253
1967,1,2,4,21,18.9038
1967,1,2,5,38,15.6793
1967,1,3,1,75,6.0682
1967,1,3,2,68,5.5309
1967,1,3,3,65,5.0644
1967,1,3,4,56,11.8380
1967,1,3,5,30,14.7767
1967,2,1,1,19,9.1450
1967,2,1,2,11,2.3012
1967,2,1,3,15,0.0003
1967,2,1,4,18,3.6736
1967,2,1,5,40,2.5536
1967,2,2,1,6,0.9567
1967,2,2,2,11,5.5159
1967,2,2,3,16,-0.6268
1967,2,2,4,21,4.2164
1967,2,2,5,38,1.4355
1967,2,3,1,75,3.4639
1967,2,3,2,68,-0.0996
1967,2,3,3,65,-0.4178
1967,2,3,4,56,-1.5601
1967,2,3,5,30,-1.3124
1967,3,1,1,19,5.9542
1967,3,1,2,11,9.3640
1967,3,1,3,15,12.0488
1967,3,1,4,18,5.8555
1967,3,1,5,40,6.3943
1967,3,2,1,6,8.4474
1967,3,2,2,11,3.8873
1967,3,2,3,16,7.4537
1967,3,2,4,21,4.9711
1967,3,2,5,38,5.1873
1967,3,3,1,75,3.2116
1967,3,3,2,68,3.3418
1967,3,3,3,65,3.9558
1967,3,3,4,56,4.8892
1967,3,3,5,30,7.8350
1967,4,1,1,19,6.4622
1967,4,1,2,11,10.6384
1967,4,1,3,15,-1.3815
1967,4,1,4,18,10.6777
1967,4,1,5,40,5.3525
1967,4,2,1,6,0.4205
1967,4,2,2,11,0.1953
1967,4,2,3,16,-2.1403
1967,4,2,4,21,5.8930
1967,4,2,5,38,5.2571
1967,4,3,1,75,5.8436
1967,4,3,2,68,0.4602
1967,4,3,3,65,2.0967
1967,4,3,4,56,6.9577
1967,4,3,5,30,4.7297
1967,5,1,1,19,1.5219
1967,5,1,2,11,-2.8594
1967,5,1,3,15,1.4556
1967,5,1,4,18,-2.0312
1967,5,1,5,40,-0.3941
1967,5,2,1,6,-1.1189
1967,5,2,2,11,-4.6020
1967,5,2,3,16,1.1357
1967,5,2,4,21,-5.6168
1967,5,2,5,38,-1.9930
1967,5,3,1,75,-5.3521
1967,5,3,2,68,-5.3920
1967,5,3,3,65,-4.0481
1967,5,3,4,56,-4.9944
1967,5,3,5,30,-4.0368
1967,6,1,1,19,8.5648
1967,6,1,2,11,18.6074
1967,6,1,3,15,9.4984
1967,6,1,4,18,13.8633
1967,6,1,5,40,12.6163
1967,6,2,1,6,8.1235
1967,6,2,2,11,6.7022
1967,6,2,3,16,7.1797
1967,6,2,4,21,4.3329
1967,6,2,5,38,9.9486
1967,6,3,1,74,2.5915
1967,6,3,2,68,1.5811
1967,6,3,3,65,-0.6356
1967,6,3,4,56,1.4424
1967,6,3,5,30,2.7433
1967,7,1,1,16,14.5183
1967,7,1,2,13,6.2011
1967,7,1,3,22,7.5954
1967,7,1,4,34,8.5676
1967,7,1,5,72,12.0179
1967,7,2,1,13,8.4366
1967,7,2,2,9,2.1050
1967,7,2,3,28,6.6080
1967,7,2,4,31,10.5138
1967,7,2,5,42,7.5234
1967,7,3,1,88,4.1292
1967,7,3,2,87,-0.4889
1967,7,3,3,71,5.9168
1967,7,3,4,59,8.0202
1967,7,3,5,41,6.8484
1967,8,1,1,16,-0.6551
1967,8,1,2,13,-1.6599
1967,8,1,3,22,-1.3252
1967,8,1,4,34,4.2852
1967,8,1,5,72,-0.9482
1967,8,2,1,13,-3.9535
1967,8,2,2,9,0.0386
1967,8,2,3,28,-0.2659
1967,8,2,4,31,-0.2637
1967,8,2,5,42,0.8706
1967,8,3,1,88,-1.0790
1967,8,3,2,87,-0.1881
1967,8,3,3,70,-1.3079
1967,8,3,4,59,-1.4997
1967,8,3,5,41,0.1440
1967,9,1,1,16,2.0883
1967,9,1,2,13,5.7282
1967,9,1,3,22,7.9682
1967,9,1,4,34,8.3213
1967,9,1,5,72,10.0228
1967,9,2,1,13,1.6070
1967,9,2,2,9,-0.4851
1967,9,2,3,28,2.4438
1967,9,2,4,31,6.5646
1967,9,2,5,42,4.2328
1967,9,3,1,88,3.6896
1967,9,3,2,87,2.7412
1967,9,3,3,70,4.6533
1967,9,3,4,59,3.3149
1967,9,3,5,41,3.0584
1967,10,1,1,16,-3.1708
1967,10,1,2,13,-3.6782
1967,10,1,3,22,-3.6905
1967,10,1,4,34,-1.0154
1967,10,1,5,72,-3.0302
1967,10,2,1,13,-3.6268
1967,10,2,2,9,-1.6862
1967,10,2,3,28,-4.3012
1967,10,2,4,31,-4.1281
1967,10,2,5,42,-4.1617
1967,10,3,1,88,-0.2434
1967,10,3,2,88,-3.5150
1967,10,3,3,70,-3.3526
1967,10,3,4,59,-4.9670
1967,10,3,5,41,-5.3201
1967,11,1,1,16,-1.6839
1967,11,1,2,13,-2.5473
1967,11,1,3,22,-1.8337
1967,11,1,4,34,2.8107
1967,11,1,5,72,0.2572
1967,11,2,1,13,4.3971
1967,11,2,2,9,3.1819
1967,11,2,3,28,0.6034
