year,month,rank_ME,rank_BM,nstocks,ret_vw
1967,1,1,1,57,18.6520
1967,1,1,2,53,19.1527
1967,1,1,3,65,17.5173
1967,1,1,4,83,19.9734
1967,1,1,5,155,17.6308
1967,1,2,1,42,20.6630
1967,1,2,2,37,15.6446
1967,1,2,3,44,13.7105
1967,1,2,4,55,15.3052
1967,1,2,5,56,16.2341
1967,1,3,1,136,8.1551
1967,1,3,2,122,7.0779
1967,1,3,3,108,5.3038
1967,1,3,4,85,8.3718
1967,1,3,5,43,14.0403
1967,2,1,1,56,7.8609
1967,2,1,2,53,4.3036
1967,2,1,3,65,5.9140
1967,2,1,4,83,3.7115
1967,2,1,5,155,4.7684
1967,2,2,1,42,4.5540
1967,2,2,2,37,2.8917
1967,2,2,3,44,2.2526
1967,2,2,4,55,-0.1665
1967,2,2,5,56,2.4173
1967,2,3,1,136,2.4504
1967,2,3,2,122,0.6773
1967,2,3,3,108,-0.4658
1967,2,3,4,85,-1.1471
1967,2,3,5,43,-0.7764
1967,3,1,1,57,8.0568
1967,3,1,2,53,7.3304
1967,3,1,3,65,5.3377
1967,3,1,4,83,7.1082
1967,3,1,5,155,5.9395
1967,3,2,1,42,5.0918
1967,3,2,2,37,7.0524
1967,3,2,3,44,7.3631
1967,3,2,4,55,6.7873
1967,3,2,5,56,4.6630
1967,3,3,1,136,4.6180
1967,3,3,2,122,3.4501
1967,3,3,3,108,3.6599
1967,3,3,4,85,4.8359
1967,3,3,5,43,5.6955
1967,4,1,1,57,5.3607
1967,4,1,2,53,3.0882
1967,4,1,3,65,2.9218
1967,4,1,4,83,5.9497
1967,4,1,5,155,4.8974
1967,4,2,1,42,6.9454
1967,4,2,2,37,2.8469
1967,4,2,3,44,5.2863
1967,4,2,4,55,2.8953
1967,4,2,5,56,3.5326
1967,4,3,1,136,7.2666
1967,4,3,2,122,3.0579
1967,4,3,3,108,0.5873
1967,4,3,4,85,4.0840
1967,4,3,5,43,3.1213
1967,5,1,1,57,-0.1266
1967,5,1,2,53,1.7189
1967,5,1,3,65,2.3678
1967,5,1,4,83,0.4145
1967,5,1,5,155,0.2178
1967,5,2,1,42,-3.6651
1967,5,2,2,37,-1.3944
1967,5,2,3,44,-1.4906
1967,5,2,4,55,-1.6692
1967,5,2,5,56,-2.0193
1967,5,3,1,136,-5.6278
1967,5,3,2,122,-3.2315
1967,5,3,3,108,-4.6364
1967,5,3,4,85,-2.8265
1967,5,3,5,43,-3.3796
1967,6,1,1,57,16.7458
1967,6,1,2,53,8.4233
1967,6,1,3,65,12.1144
1967,6,1,4,83,14.0395
1967,6,1,5,155,10.8631
1967,6,2,1,42,6.9134
1967,6,2,2,37,7.9823
1967,6,2,3,44,7.6362
1967,6,2,4,55,5.3756
1967,6,2,5,56,6.6386
1967,6,3,1,136,1.7340
1967,6,3,2,122,0.6694
1967,6,3,3,107,2.0020
1967,6,3,4,85,3.0477
1967,6,3,5,43,2.8447
1967,7,1,1,80,8.8459
1967,7,1,2,77,9.7121
1967,7,1,3,84,9.7671
1967,7,1,4,123,8.4179
1967,7,1,5,206,10.3189
1967,7,2,1,49,5.0024
1967,7,2,2,44,6.6476
1967,7,2,3,62,6.3919
1967,7,2,4,59,8.1718
1967,7,2,5,62,10.8863
1967,7,3,1,159,4.5541
1967,7,3,2,128,5.4166
1967,7,3,3,102,2.0862
1967,7,3,4,87,6.5603
1967,7,3,5,41,7.3579
1967,8,1,1,80,-1.7182
1967,8,1,2,77,1.0065
1967,8,1,3,84,1.2165
1967,8,1,4,123,-0.1785
1967,8,1,5,206,1.4979
1967,8,2,1,49,-1.3238
1967,8,2,2,44,1.7506
1967,8,2,3,62,0.2047
1967,8,2,4,59,1.4256
1967,8,2,5,62,-1.1027
1967,8,3,1,159,-0.6612
1967,8,3,2,128,-1.2522
1967,8,3,3,102,-0.8369
1967,8,3,4,86,-1.4847
1967,8,3,5,41,1.9362
1967,9,1,1,79,12.2514
1967,9,1,2,77,9.9050
1967,9,1,3,84,8.7212
1967,9,1,4,123,7.2082
1967,9,1,5,206,6.8284
1967,9,2,1,49,4.7388
1967,9,2,2,44,3.3347
1967,9,2,3,62,5.2721
1967,9,2,4,59,2.3415
1967,9,2,5,62,4.3663
1967,9,3,1,159,4.1363
1967,9,3,2,128,2.8646
1967,9,3,3,102,3.2730
1967,9,3,4,86,1.7097
1967,9,3,5,41,1.8521
1967,10,1,1,79,3.2000
1967,10,1,2,77,-4.2589
1967,10,1,3,84,-2.5777
1967,10,1,4,123,-1.6755
1967,10,1,5,206,-1.2027
1967,10,2,1,49,-2.2760
1967,10,2,2,44,-0.5368
1967,10,2,3,62,-2.2282
1967,10,2,4,59,-5.0751
1967,10,2,5,62,-5.8345
1967,10,3,1,159,-0.4414
1967,10,3,2,129,-3.9662
1967,10,3,3,102,-2.9008
1967,10,3,4,85,-5.6167
1967,10,3,5,41,-4.7271
1967,11,1,1,79,-2.4560
1967,11,1,2,77,2.8775
1967,11,1,3,84,2.4327
1967,11,1,4,123,-0.5441
1967,11,1,5,206,-1.1483
1967,11,2,1,49,1.3118
1967,11,2,2,44,2.3020
1967,11,2,3,62,1.8234
1967,11,2,4,59,-0.2203
1967,11,2,5,62,-1.3774
1967,11,3,1,159,1.5685
1967,11,3,2,129,0.5419
1967,11,3,3,102,0.3391
1967,11,3,4,86,-0.6441
1967,11,3,5,41,-0.6589
1967,12,1,1,79,12.6069
1967,12,1,2,77,11.6441
1967,12,1,3,84,6.9300
1967,12,1,4,123,7.6901
1967,12,1,5,204,10.4026
1967,12,2,1,49,11.1114
1967,12,2,2,44,4.3556
1967,12,2,3,62,6.5522
1967,12,2,4,59,5.1004
1967,12,2,5,62,6.4556
1967,12,3,1,159,1.7725
1967,12,3,2,129,3.0911
1967,12,3,3,102,2.3982
1967,12,3,4,86,5.6623
1967,12,3,5,41,3.6313
1968,1,1,1,79,3.8062
1968,1,1,2,76,2.1242
1968,1,1,3,84,3.3300
1968,1,1,4,123,1.1490
1968,1,1,5,205,4.1102
1968,1,2,1,49,-6.0126
1968,1,2,2,44,-0.8795
1968,1,2,3,62,-0.5340
1968,1,2,4,59,3.3347
1968,1,2,5,62,1.0131
1968,1,3,1,159,-7.0771
1968,1,3,2,129,-4.4815
1968,1,3,3,102,-0.3459
1968,1,3,4,86,-3.0032
1968,1,3,5,41,-2.0348
1968,2,1,1,79,-10.5336
1968,2,1,2,76,-7.0596
1968,2,1,3,84,-4.9044
1968,2,1,4,123,-6.5297
1968,2,1,5,204,-5.9949
1968,2,2,1,49,-7.1748
1968,2,2,2,44,-5.5330
1968,2,2,3,62,-4.6266
1968,2,2,4,57,-2.7838
1968,2,2,5,62,-3.4039
1968,2,3,1,158,-3.3017
1968,2,3,2,129,-3.1940
1968,2,3,3,102,-2.0192
1968,2,3,4,86,-3.3935
1968,2,3,5,41,-3.2977
1968,3,1,1,79,-1.3515
1968,3,1,2,76,-1.0551
1968,3,1,3,84,-1.5232
1968,3,1,4,123,-0.3522
1968,3,1,5,205,-0.8013
1968,3,2,1,49,-0.2307
1968,3,2,2,44,-1.4920
1968,3,2,3,62,-1.5530
1968,3,2,4,57,-1.4351
1968,3,2,5,62,-1.0775
1968,3,3,1,158,3.0212
1968,3,3,2,129,-1.2304
1968,3,3,3,102,-0.1249
1968,3,3,4,86,-1.9284
1968,3,3,5,41,0.0758
1968,4,1,1,79,23.3963
1968,4,1,2,76,17.3829
1968,4,1,3,84,15.5926
1968,4,1,4,123,17.1025
1968,4,1,5,205,16.7405
1968,4,2,1,49,16.9691
1968,4,2,2,44,13.6673
1968,4,2,3,62,13.8349
1968,4,2,4,57,11.1418
1968,4,2,5,62,10.8143
1968,4,3,1,158,11.4515
1968,4,3,2,129,7.7331
1968,4,3,3,102,3.8691
1968,4,3,4,86,8.7531
1968,4,3,5,41,11.9407
1968,5,1,1,79,9.2690
1968,5,1,2,76,12.6605
1968,5,1,3,84,11.8335
1968,5,1,4,123,11.0378
1968,5,1,5,204,10.9525
1968,5,2,1,49,10.9104
1968,5,2,2,44,6.7258
1968,5,2,3,62,8.3370
1968,5,2,4,57,5.6400
1968,5,2,5,62,6.4618
1968,5,3,1,158,2.6867
1968,5,3,2,129,1.6887
1968,5,3,3,102,-0.2836
1968,5,3,4,86,0.8305
1968,5,3,5,41,2.6666
1968,6,1,1,79,-0.9095
1968,6,1,2,76,-0.5207
1968,6,1,3,84,1.4297
1968,6,1,4,123,2.6353
1968,6,1,5,204,0.2353
1968,6,2,1,49,-2.1982
1968,6,2,2,44,-0.3152
1968,6,2,3,62,-0.0511
1968,6,2,4,56,2.2408
1968,6,2,5,62,0.5304
1968,6,3,1,158,-0.4140
1968,6,3,2,129,1.4585
1968,6,3,3,102,3.2946
1968,6,3,4,86,2.7422
1968,6,3,5,41,-1.3218
1968,7,1,1,162,-5.6748
1968,7,1,2,117,-4.8210
1968,7,1,3,95,-3.7900
1968,7,1,4,88,-1.9484
1968,7,1,5,152,-0.5364
1968,7,2,1,82,-7.0047
1968,7,2,2,64,-5.3284
1968,7,2,3,44,-2.9719
1968,7,2,4,55,-0.0059
1968,7,2,5,66,-0.0394
1968,7,3,1,143,-5.6387
1968,7,3,2,109,-1.4469
1968,7,3,3,110,-1.0876
1968,7,3,4,104,2.0961
1968,7,3,5,52,0.5623
1968,8,1,1,162,4.2938
1968,8,1,2,117,6.2611
1968,8,1,3,95,3.7997
1968,8,1,4,88,4.1038
1968,8,1,5,152,4.7614
1968,8,2,1,82,3.6018
1968,8,2,2,64,2.8065
1968,8,2,3,44,3.6538
1968,8,2,4,54,1.3355
1968,8,2,5,66,6.1090
1968,8,3,1,143,0.9313
1968,8,3,2,109,1.1189
1968,8,3,3,109,1.3506
1968,8,3,4,104,2.0127
1968,8,3,5,52,2.2714
1968,9,1,1,161,6.5107
1968,9,1,2,117,9.1933
1968,9,1,3,95,6.6614
