year,month,rank_ME,rank_BMJ,nstocks,ret_vw
1967,1,1,1,59,20.2867
1967,1,1,2,70,16.2382
1967,1,1,3,66,16.4276
1967,1,1,4,93,20.4758
1967,1,1,5,130,18.0195
1967,1,2,1,46,20.2706
1967,1,2,2,34,17.1297
1967,1,2,3,44,13.7962
1967,1,2,4,43,13.2629
1967,1,2,5,68,16.4845
1967,1,3,1,136,8.2585
1967,1,3,2,122,6.8598
1967,1,3,3,107,5.3133
1967,1,3,4,90,7.0629
1967,1,3,5,41,15.2698
1967,2,1,1,58,7.6602
1967,2,1,2,70,4.7266
1967,2,1,3,66,5.1770
1967,2,1,4,93,5.1108
1967,2,1,5,130,3.9629
1967,2,2,1,46,4.7755
1967,2,2,2,34,2.5519
1967,2,2,3,44,1.6435
1967,2,2,4,43,1.3133
1967,2,2,5,68,1.3733
1967,2,3,1,136,2.6565
1967,2,3,2,122,0.4486
1967,2,3,3,107,-1.1992
1967,2,3,4,90,-0.3965
1967,2,3,5,41,-0.9232
1967,3,1,1,59,8.2474
1967,3,1,2,70,6.1786
1967,3,1,3,66,8.1849
1967,3,1,4,93,5.4920
1967,3,1,5,130,5.8367
1967,3,2,1,46,8.0612
1967,3,2,2,34,3.9894
1967,3,2,3,44,6.9363
1967,3,2,4,43,5.3696
1967,3,2,5,68,5.6088
1967,3,3,1,136,4.8491
1967,3,3,2,122,3.0977
1967,3,3,3,107,4.0864
1967,3,3,4,90,4.2181
1967,3,3,5,41,4.4552
1967,4,1,1,59,4.8347
1967,4,1,2,70,3.7122
1967,4,1,3,66,5.3389
1967,4,1,4,93,4.5237
1967,4,1,5,130,4.6805
1967,4,2,1,46,5.9955
1967,4,2,2,34,5.7606
1967,4,2,3,44,3.3366
1967,4,2,4,43,3.4741
1967,4,2,5,68,3.4779
1967,4,3,1,136,7.4939
1967,4,3,2,122,2.5411
1967,4,3,3,107,1.6187
1967,4,3,4,90,2.2604
1967,4,3,5,41,2.6211
1967,5,1,1,59,-1.2113
1967,5,1,2,70,2.2074
1967,5,1,3,66,1.3483
1967,5,1,4,93,0.0281
1967,5,1,5,130,1.1742
1967,5,2,1,46,-3.4409
1967,5,2,2,34,-0.6615
1967,5,2,3,44,-2.1259
1967,5,2,4,43,-1.2340
1967,5,2,5,68,-2.0218
1967,5,3,1,136,-5.6633
1967,5,3,2,122,-2.8476
1967,5,3,3,107,-4.0242
1967,5,3,4,90,-4.1144
1967,5,3,5,41,-3.8676
1967,6,1,1,59,14.1073
1967,6,1,2,70,11.4240
1967,6,1,3,66,13.3367
1967,6,1,4,93,12.9387
1967,6,1,5,130,11.0939
1967,6,2,1,46,7.7132
1967,6,2,2,34,10.0015
1967,6,2,3,44,5.0179
1967,6,2,4,43,3.4932
1967,6,2,5,68,7.9598
1967,6,3,1,136,1.9224
1967,6,3,2,122,0.1736
1967,6,3,3,106,1.5366
1967,6,3,4,90,3.2753
1967,6,3,5,41,2.1669
1967,7,1,1,116,6.7171
1967,7,1,2,94,11.7655
1967,7,1,3,98,8.4674
1967,7,1,4,87,10.1986
1967,7,1,5,175,10.5369
1967,7,2,1,61,5.9418
1967,7,2,2,61,6.6385
1967,7,2,3,42,6.8657
1967,7,2,4,53,8.2497
1967,7,2,5,59,9.8509
1967,7,3,1,146,4.7749
1967,7,3,2,113,5.3819
1967,7,3,3,112,5.7449
1967,7,3,4,94,1.4554
1967,7,3,5,52,7.2976
1967,8,1,1,116,-0.8980
1967,8,1,2,94,-0.7747
1967,8,1,3,98,0.7208
1967,8,1,4,87,1.4010
1967,8,1,5,175,1.9388
1967,8,2,1,61,-1.1254
1967,8,2,2,61,0.0253
1967,8,2,3,42,1.1780
1967,8,2,4,53,1.2868
1967,8,2,5,59,-0.3162
1967,8,3,1,146,-0.8020
1967,8,3,2,113,-0.4813
1967,8,3,3,111,-1.0741
1967,8,3,4,94,-1.4227
1967,8,3,5,52,0.8995
1967,9,1,1,115,13.0749
1967,9,1,2,94,8.7333
1967,9,1,3,98,8.2157
1967,9,1,4,87,4.6297
1967,9,1,5,175,7.0123
1967,9,2,1,61,4.9266
1967,9,2,2,61,4.1976
1967,9,2,3,42,5.9766
1967,9,2,4,53,3.3583
1967,9,2,5,59,2.3914
1967,9,3,1,146,4.5127
1967,9,3,2,113,2.4905
1967,9,3,3,111,2.2140
1967,9,3,4,94,3.1254
1967,9,3,5,52,2.3047
1967,10,1,1,115,-0.2412
1967,10,1,2,94,-0.4970
1967,10,1,3,98,-1.5511
1967,10,1,4,87,-2.0494
1967,10,1,5,175,-2.1930
1967,10,2,1,61,-1.6305
1967,10,2,2,61,-1.6923
1967,10,2,3,42,-2.2250
1967,10,2,4,53,-6.5154
1967,10,2,5,59,-4.6200
1967,10,3,1,146,0.2856
1967,10,3,2,113,-3.8667
1967,10,3,3,112,-5.2842
1967,10,3,4,93,-3.2642
1967,10,3,5,52,-5.0865
1967,11,1,1,115,0.5989
1967,11,1,2,94,0.2271
1967,11,1,3,98,1.4878
1967,11,1,4,87,0.1930
1967,11,1,5,175,-1.8802
1967,11,2,1,61,1.4562
1967,11,2,2,61,2.9193
1967,11,2,3,42,1.8924
1967,11,2,4,53,-0.6821
1967,11,2,5,59,-2.0735
1967,11,3,1,146,1.2746
1967,11,3,2,113,1.0444
1967,11,3,3,112,0.4956
1967,11,3,4,94,-0.2975
1967,11,3,5,52,0.4971
1967,12,1,1,115,15.0064
1967,12,1,2,94,8.3691
1967,12,1,3,98,9.0760
1967,12,1,4,87,7.2618
1967,12,1,5,173,8.1145
1967,12,2,1,61,12.3098
1967,12,2,2,61,5.2584
1967,12,2,3,42,5.2704
1967,12,2,4,53,4.3795
1967,12,2,5,59,5.7445
1967,12,3,1,146,1.7263
1967,12,3,2,113,3.0530
1967,12,3,3,112,3.9523
1967,12,3,4,94,2.8483
1967,12,3,5,52,3.1598
1968,1,1,1,115,0.0193
1968,1,1,2,93,5.2883
1968,1,1,3,98,2.5662
1968,1,1,4,87,2.5353
