year,month,rank_ME,rank_CP,nstocks,ret_vw
1967,1,1,1,65,21.5306
1967,1,1,2,61,14.3001
1967,1,1,3,64,16.5824
1967,1,1,4,81,18.6571
1967,1,1,5,134,19.6494
1967,1,2,1,42,19.5128
1967,1,2,2,45,14.3781
1967,1,2,3,44,18.1056
1967,1,2,4,56,13.0402
1967,1,2,5,72,17.0546
1967,1,3,1,145,7.1483
1967,1,3,2,112,8.8426
1967,1,3,3,106,5.6683
1967,1,3,4,87,8.2199
1967,1,3,5,58,11.5280
1967,2,1,1,65,7.6767
1967,2,1,2,61,5.5787
1967,2,1,3,64,4.5150
1967,2,1,4,81,4.2006
1967,2,1,5,134,3.7612
1967,2,2,1,42,4.5727
1967,2,2,2,45,1.5982
1967,2,2,3,44,2.3855
1967,2,2,4,56,0.8427
1967,2,2,5,72,2.2359
1967,2,3,1,145,3.0906
1967,2,3,2,112,-0.6039
1967,2,3,3,106,0.0138
1967,2,3,4,87,-0.3158
1967,2,3,5,58,-1.2155
1967,3,1,1,65,8.1839
1967,3,1,2,61,5.7684
1967,3,1,3,64,5.5067
1967,3,1,4,81,8.5263
1967,3,1,5,134,6.4991
1967,3,2,1,42,7.4434
1967,3,2,2,45,5.2254
1967,3,2,3,44,8.1967
1967,3,2,4,56,4.9339
1967,3,2,5,72,6.0611
1967,3,3,1,145,4.3593
1967,3,3,2,112,3.6740
1967,3,3,3,106,4.5972
1967,3,3,4,87,4.3293
1967,3,3,5,58,4.9693
1967,4,1,1,65,6.9651
1967,4,1,2,61,3.5139
1967,4,1,3,64,4.7072
1967,4,1,4,81,5.3425
1967,4,1,5,134,3.8253
1967,4,2,1,42,6.5030
1967,4,2,2,45,2.6182
1967,4,2,3,44,4.5074
1967,4,2,4,56,2.4600
1967,4,2,5,72,5.2978
1967,4,3,1,145,6.6154
1967,4,3,2,112,5.4285
1967,4,3,3,106,0.9919
1967,4,3,4,87,3.7386
1967,4,3,5,58,3.4444
1967,5,1,1,65,-1.4015
1967,5,1,2,61,0.4738
1967,5,1,3,64,0.1378
1967,5,1,4,81,1.9423
1967,5,1,5,134,0.1441
1967,5,2,1,42,-2.4168
1967,5,2,2,45,-2.2748
1967,5,2,3,44,-1.9785
1967,5,2,4,56,-2.0981
1967,5,2,5,72,-2.2750
1967,5,3,1,145,-5.0101
1967,5,3,2,112,-5.1353
1967,5,3,3,106,-4.3346
1967,5,3,4,87,-3.3171
1967,5,3,5,58,-3.4728
1967,6,1,1,65,16.0596
1967,6,1,2,61,15.9792
1967,6,1,3,64,9.6758
1967,6,1,4,81,10.4218
1967,6,1,5,134,10.1202
1967,6,2,1,42,10.0955
1967,6,2,2,45,5.7257
1967,6,2,3,44,7.9683
1967,6,2,4,56,3.4204
1967,6,2,5,72,8.3997
1967,6,3,1,145,2.3559
1967,6,3,2,111,-0.2979
1967,6,3,3,106,2.0727
1967,6,3,4,87,2.0595
1967,6,3,5,58,3.4282
1967,7,1,1,90,8.4740
1967,7,1,2,79,8.9923
1967,7,1,3,92,5.9279
1967,7,1,4,115,10.5779
1967,7,1,5,203,11.4202
1967,7,2,1,51,5.9385
1967,7,2,2,53,5.2891
1967,7,2,3,57,6.8278
1967,7,2,4,72,9.8305
1967,7,2,5,71,8.3485
1967,7,3,1,162,4.4217
1967,7,3,2,131,4.3737
1967,7,3,3,115,3.7107
1967,7,3,4,75,6.2569
1967,7,3,5,51,7.2606
1967,8,1,1,90,-0.0047
1967,8,1,2,79,0.7057
1967,8,1,3,92,1.4220
1967,8,1,4,115,1.3664
1967,8,1,5,203,0.4527
1967,8,2,1,51,-2.6684
1967,8,2,2,53,-0.1554
1967,8,2,3,57,0.8130
1967,8,2,4,72,0.2848
1967,8,2,5,71,0.5721
1967,8,3,1,161,-0.7399
1967,8,3,2,131,-0.2737
1967,8,3,3,115,-1.3274
1967,8,3,4,75,-2.5082
1967,8,3,5,51,2.0136
1967,9,1,1,90,10.5578
1967,9,1,2,79,7.3589
1967,9,1,3,92,12.2045
1967,9,1,4,115,7.4437
1967,9,1,5,203,6.8842
1967,9,2,1,51,8.5204
1967,9,2,2,53,5.0339
1967,9,2,3,57,1.5967
1967,9,2,4,72,3.3343
1967,9,2,5,71,3.5040
1967,9,3,1,161,4.0551
1967,9,3,2,131,3.0990
1967,9,3,3,115,3.2179
1967,9,3,4,75,0.6542
1967,9,3,5,51,2.8839
1967,10,1,1,90,2.5105
1967,10,1,2,79,-0.8161
1967,10,1,3,92,-2.9639
1967,10,1,4,115,-2.6593
1967,10,1,5,203,-2.2083
1967,10,2,1,51,-2.8939
1967,10,2,2,53,-0.8239
1967,10,2,3,57,-4.8162
1967,10,2,4,71,-2.4428
1967,10,2,5,71,-6.1568
1967,10,3,1,161,-0.0008
1967,10,3,2,132,-4.0158
1967,10,3,3,115,-3.1233
1967,10,3,4,75,-5.9900
1967,10,3,5,50,-5.3806
1967,11,1,1,90,-1.3031
1967,11,1,2,79,-0.5221
1967,11,1,3,92,0.1871
1967,11,1,4,115,1.6001
1967,11,1,5,203,0.3556
1967,11,2,1,51,-0.0020
1967,11,2,2,53,2.1884
1967,11,2,3,57,2.2390
1967,11,2,4,70,-0.0473
1967,11,2,5,71,-0.0652
1967,11,3,1,161,1.9081
1967,11,3,2,132,0.1419
1967,11,3,3,115,0.1486
1967,11,3,4,75,-0.8313
1967,11,3,5,51,-0.0279
1967,12,1,1,88,12.0956
1967,12,1,2,79,8.2484
1967,12,1,3,92,10.5125
1967,12,1,4,115,8.3539
1967,12,1,5,203,8.9027
1967,12,2,1,51,12.0588
1967,12,2,2,53,4.5948
1967,12,2,3,57,5.8385
1967,12,2,4,70,4.7250
1967,12,2,5,71,5.3853
1967,12,3,1,161,1.4420
1967,12,3,2,132,3.4269
1967,12,3,3,115,2.7342
1967,12,3,4,75,5.1767
1967,12,3,5,51,4.3420
1968,1,1,1,89,0.5518
1968,1,1,2,79,2.8912
1968,1,1,3,91,2.3967
1968,1,1,4,115,4.0034
1968,1,1,5,203,3.1264
1968,1,2,1,51,-7.6081
1968,1,2,2,53,-0.0898
1968,1,2,3,57,-0.0352
1968,1,2,4,70,0.8552
1968,1,2,5,71,1.4028
1968,1,3,1,161,-7.0238
1968,1,3,2,132,-4.4688
1968,1,3,3,115,-1.5296
1968,1,3,4,75,-2.3402
1968,1,3,5,51,-2.7194
1968,2,1,1,89,-9.1879
1968,2,1,2,79,-8.7783
1968,2,1,3,91,-7.8045
1968,2,1,4,114,-5.5322
1968,2,1,5,202,-5.0141
1968,2,2,1,51,-5.4529
1968,2,2,2,53,-5.6143
1968,2,2,3,56,-5.4636
1968,2,2,4,69,-5.1386
1968,2,2,5,71,-2.4461
1968,2,3,1,160,-3.2398
1968,2,3,2,132,-3.1408
1968,2,3,3,115,-2.5965
1968,2,3,4,75,-2.8311
1968,2,3,5,51,-3.4589
1968,3,1,1,89,-1.7934
1968,3,1,2,79,-1.3941
1968,3,1,3,91,-2.0818
1968,3,1,4,114,1.7484
1968,3,1,5,203,-0.9020
1968,3,2,1,51,-3.1612
1968,3,2,2,53,0.8003
1968,3,2,3,56,-2.6916
1968,3,2,4,69,-0.9766
1968,3,2,5,71,-0.8147
1968,3,3,1,160,3.2553
1968,3,3,2,132,-1.4599
1968,3,3,3,115,-0.2002
1968,3,3,4,75,-2.0787
1968,3,3,5,51,1.1544
1968,4,1,1,89,19.9722
1968,4,1,2,79,17.8866
1968,4,1,3,91,15.8159
1968,4,1,4,114,15.7585
1968,4,1,5,202,17.6694
1968,4,2,1,51,18.0641
1968,4,2,2,53,13.6230
1968,4,2,3,56,11.1157
1968,4,2,4,69,13.8447
1968,4,2,5,71,11.1031
1968,4,3,1,160,11.3311
1968,4,3,2,132,8.0349
1968,4,3,3,115,5.1376
1968,4,3,4,75,7.8797
1968,4,3,5,51,10.7031
1968,5,1,1,89,9.6162
1968,5,1,2,79,10.7248
1968,5,1,3,91,10.4928
1968,5,1,4,114,11.6236
1968,5,1,5,202,12.4256
1968,5,2,1,51,10.8411
1968,5,2,2,53,8.8515
1968,5,2,3,56,7.3735
1968,5,2,4,69,5.7262
1968,5,2,5,71,6.5360
1968,5,3,1,160,3.2203
1968,5,3,2,131,0.9673
1968,5,3,3,115,-0.2697
1968,5,3,4,75,1.6479
1968,5,3,5,51,2.7377
1968,6,1,1,89,-0.8605
1968,6,1,2,79,4.1517
1968,6,1,3,91,0.5957
1968,6,1,4,114,-0.0364
1968,6,1,5,202,0.2774
1968,6,2,1,51,-2.9865
1968,6,2,2,53,-0.5128
1968,6,2,3,55,0.0357
1968,6,2,4,69,2.4361
1968,6,2,5,71,0.4797
1968,6,3,1,160,-0.4747
1968,6,3,2,131,1.6744
1968,6,3,3,115,2.6288
1968,6,3,4,75,2.9424
1968,6,3,5,51,-0.7156
1968,7,1,1,181,-5.5168
1968,7,1,2,121,-2.8169
1968,7,1,3,106,-4.2462
1968,7,1,4,79,-1.6897
1968,7,1,5,138,-2.2067
1968,7,2,1,90,-6.7564
1968,7,2,2,61,-5.6069
1968,7,2,3,57,-2.4110
1968,7,2,4,58,-2.1508
1968,7,2,5,67,-0.4262
1968,7,3,1,134,-5.8567
1968,7,3,2,117,-3.2533
1968,7,3,3,100,-1.3914
1968,7,3,4,104,1.9760
1968,7,3,5,74,1.8551
1968,8,1,1,181,4.6655
1968,8,1,2,121,4.9225
1968,8,1,3,106,3.5476
1968,8,1,4,79,4.3222
1968,8,1,5,138,4.5337
1968,8,2,1,90,3.4269
1968,8,2,2,61,3.5514
1968,8,2,3,56,2.4662
1968,8,2,4,58,4.6556
1968,8,2,5,67,4.5771
1968,8,3,1,134,0.7171
1968,8,3,2,116,1.8838
1968,8,3,3,100,1.2753
1968,8,3,4,104,2.4971
1968,8,3,5,74,1.0298
1968,9,1,1,181,6.8608
1968,9,1,2,121,8.4359
1968,9,1,3,106,6.6363
1968,9,1,4,79,8.0788
1968,9,1,5,138,7.3619
1968,9,2,1,90,8.7538
1968,9,2,2,61,6.4278
1968,9,2,3,56,7.3590
1968,9,2,4,58,5.3103
1968,9,2,5,67,5.0993
1968,9,3,1,134,2.4274
1968,9,3,2,116,4.1256
1968,9,3,3,100,5.1121
1968,9,3,4,104,3.0422
1968,9,3,5,74,6.0690
1968,10,1,1,181,-0.3360
1968,10,1,2,121,0.1478
1968,10,1,3,106,1.1873
1968,10,1,4,79,0.8909
1968,10,1,5,138,1.6575
1968,10,2,1,90,-1.3247
1968,10,2,2,61,0.4571
1968,10,2,3,56,2.3687
1968,10,2,4,57,3.3578
1968,10,2,5,67,1.0371
1968,10,3,1,134,-2.4889
1968,10,3,2,116,1.3282
1968,10,3,3,100,2.6587
1968,10,3,4,104,2.2907
1968,10,3,5,73,2.3809
1968,11,1,1,180,7.8315
1968,11,1,2,121,6.7816
1968,11,1,3,105,8.9224
1968,11,1,4,79,6.7474
1968,11,1,5,138,5.7665
1968,11,2,1,90,9.0224
1968,11,2,2,61,8.0420
1968,11,2,3,56,8.0283
1968,11,2,4,58,7.4053
1968,11,2,5,67,7.1480
1968,11,3,1,134,6.9582
1968,11,3,2,116,5.2753
1968,11,3,3,100,3.0118
1968,11,3,4,104,5.0587
1968,11,3,5,73,6.9725
1968,12,1,1,180,4.7520
1968,12,1,2,121,-0.4872
1968,12,1,3,106,-0.7505
1968,12,1,4,79,1.6149
1968,12,1,5,138,1.3581
1968,12,2,1,90,-1.1632
1968,12,2,2,61,-0.5600
1968,12,2,3,56,-0.5346
1968,12,2,4,58,-2.5215
1968,12,2,5,67,-1.7010
1968,12,3,1,134,-5.2504
1968,12,3,2,116,-3.7920
1968,12,3,3,100,-3.3744
