year,month,rank_ME,rank_CPq_6,nstocks,ret_vw
1967,1,1,1,21,19.5980
1967,1,1,2,9,10.5377
1967,1,1,3,17,12.1701
1967,1,1,4,34,21.1147
1967,1,1,5,71,19.7576
1967,1,2,1,10,8.2010
1967,1,2,2,14,11.3111
1967,1,2,3,21,16.9762
1967,1,2,4,22,17.3870
1967,1,2,5,38,18.4491
1967,1,3,1,77,5.0033
1967,1,3,2,72,4.6865
1967,1,3,3,53,10.0345
1967,1,3,4,52,9.1374
1967,1,3,5,25,16.9026
1967,2,1,1,35,3.4300
1967,2,1,2,15,3.8542
1967,2,1,3,27,1.5979
1967,2,1,4,52,2.1090
1967,2,1,5,91,1.5880
1967,2,2,1,16,0.7517
1967,2,2,2,24,-0.6246
1967,2,2,3,36,1.7753
1967,2,2,4,35,1.3993
1967,2,2,5,52,1.6414
1967,2,3,1,98,2.2330
1967,2,3,2,108,-1.5702
1967,2,3,3,88,-1.5848
1967,2,3,4,79,-0.7323
1967,2,3,5,41,-0.8061
1967,3,1,1,36,11.0020
1967,3,1,2,17,5.5483
1967,3,1,3,32,6.5450
1967,3,1,4,62,5.5975
1967,3,1,5,106,6.8203
1967,3,2,1,20,4.1481
1967,3,2,2,24,4.7957
1967,3,2,3,40,6.1744
1967,3,2,4,40,8.5396
1967,3,2,5,63,6.8072
1967,3,3,1,101,4.1476
1967,3,3,2,114,4.0472
1967,3,3,3,96,4.1521
1967,3,3,4,85,4.3972
1967,3,3,5,49,5.6004
1967,4,1,1,37,3.6429
1967,4,1,2,21,1.9224
1967,4,1,3,35,3.0987
1967,4,1,4,66,3.4095
1967,4,1,5,119,4.6893
1967,4,2,1,23,0.3947
1967,4,2,2,25,3.9610
1967,4,2,3,46,4.2228
1967,4,2,4,44,3.4949
1967,4,2,5,67,5.4012
1967,4,3,1,104,4.3959
1967,4,3,2,121,3.2319
1967,4,3,3,102,2.4140
1967,4,3,4,91,5.0753
1967,4,3,5,53,3.1670
1967,5,1,1,71,1.6695
1967,5,1,2,52,2.1475
1967,5,1,3,87,-0.2252
1967,5,1,4,135,-0.3662
1967,5,1,5,226,-0.7778
1967,5,2,1,44,0.1887
1967,5,2,2,50,-2.6295
1967,5,2,3,81,-3.2548
1967,5,2,4,83,-1.5887
1967,5,2,5,111,-1.4622
1967,5,3,1,158,-5.5066
1967,5,3,2,164,-4.5490
1967,5,3,3,162,-3.7651
1967,5,3,4,149,-3.9259
1967,5,3,5,95,-2.6628
1967,6,1,1,82,13.1356
1967,6,1,2,62,11.4048
1967,6,1,3,109,7.6186
1967,6,1,4,159,8.3987
1967,6,1,5,247,8.7580
1967,6,2,1,52,6.0605
1967,6,2,2,57,4.8682
1967,6,2,3,86,5.7946
1967,6,2,4,95,6.8524
1967,6,2,5,121,8.6733
1967,6,3,1,166,0.7873
1967,6,3,2,177,0.1459
1967,6,3,3,176,1.2666
1967,6,3,4,161,2.5847
1967,6,3,5,99,2.3102
1967,7,1,1,88,9.2754
1967,7,1,2,70,7.0513
1967,7,1,3,108,10.3270
1967,7,1,4,155,10.0191
1967,7,1,5,220,11.1356
1967,7,2,1,54,4.4376
1967,7,2,2,60,5.4249
1967,7,2,3,82,7.7528
1967,7,2,4,87,7.7690
1967,7,2,5,114,9.6265
1967,7,3,1,156,3.7844
1967,7,3,2,165,4.4279
1967,7,3,3,172,7.4214
1967,7,3,4,151,5.8171
1967,7,3,5,89,6.2375
1967,8,1,1,95,-0.6792
1967,8,1,2,81,1.7965
1967,8,1,3,111,-0.4868
1967,8,1,4,161,-0.9774
1967,8,1,5,225,0.4414
1967,8,2,1,58,-2.4184
1967,8,2,2,65,0.0137
1967,8,2,3,85,0.7929
1967,8,2,4,94,0.6946
1967,8,2,5,121,0.8501
1967,8,3,1,166,-1.0576
1967,8,3,2,180,-0.5457
1967,8,3,3,191,-1.4841
1967,8,3,4,173,-0.6300
1967,8,3,5,103,0.5877
1967,9,1,1,95,13.1815
1967,9,1,2,84,7.5169
1967,9,1,3,114,6.2428
1967,9,1,4,155,7.7296
1967,9,1,5,228,5.5868
1967,9,2,1,59,3.6109
1967,9,2,2,68,2.5536
1967,9,2,3,85,2.7688
1967,9,2,4,87,2.7499
1967,9,2,5,120,3.7944
1967,9,3,1,171,2.2673
1967,9,3,2,177,4.3964
1967,9,3,3,189,2.4795
1967,9,3,4,177,2.8171
1967,9,3,5,108,2.8235
1967,10,1,1,96,1.2705
1967,10,1,2,82,-3.6639
1967,10,1,3,111,-3.8168
1967,10,1,4,142,-3.7788
1967,10,1,5,204,-2.0324
1967,10,2,1,56,-2.9212
1967,10,2,2,67,-5.5919
1967,10,2,3,76,-5.9806
1967,10,2,4,81,-1.6453
1967,10,2,5,100,-3.4017
1967,10,3,1,156,-3.4522
1967,10,3,2,169,-3.2426
1967,10,3,3,171,-3.8189
1967,10,3,4,165,-4.3774
1967,10,3,5,103,-5.2241
1967,11,1,1,103,-0.7389
1967,11,1,2,85,0.0782
1967,11,1,3,112,1.5251
1967,11,1,4,134,0.8247
1967,11,1,5,206,0.0181
1967,11,2,1,71,5.5409
1967,11,2,2,67,1.2789
1967,11,2,3,77,2.0974
1967,11,2,4,81,1.2743
1967,11,2,5,111,-0.5283
1967,11,3,1,164,1.1441
1967,11,3,2,173,-0.0460
