year,month,rank_ME,rank_DP,nstocks,ret_vw
1967,1,1,1,105,20.2754
1967,1,1,2,86,15.6309
1967,1,1,3,81,15.2770
1967,1,1,4,85,14.3584
1967,1,1,5,112,15.8073
1967,1,2,1,70,16.3479
1967,1,2,2,59,17.1846
1967,1,2,3,66,14.3439
1967,1,2,4,67,12.5851
1967,1,2,5,70,15.7565
1967,1,3,1,137,8.7593
1967,1,3,2,123,6.2572
1967,1,3,3,107,5.9880
1967,1,3,4,107,5.6900
1967,1,3,5,90,13.0492
1967,2,1,1,105,5.4804
1967,2,1,2,86,7.1738
1967,2,1,3,81,4.3145
1967,2,1,4,85,3.5317
1967,2,1,5,112,1.7749
1967,2,2,1,70,3.0573
1967,2,2,2,58,2.1523
1967,2,2,3,65,1.8271
1967,2,2,4,67,1.4814
1967,2,2,5,70,0.8523
1967,2,3,1,137,4.1271
1967,2,3,2,123,1.3326
1967,2,3,3,107,-0.3310
1967,2,3,4,107,-1.6457
1967,2,3,5,91,-1.0850
1967,3,1,1,105,8.2071
1967,3,1,2,85,5.2926
1967,3,1,3,81,7.0944
1967,3,1,4,85,7.6574
1967,3,1,5,112,4.1091
1967,3,2,1,70,6.2865
1967,3,2,2,58,6.2937
1967,3,2,3,65,7.7223
1967,3,2,4,67,6.2368
1967,3,2,5,69,3.6181
1967,3,3,1,137,5.3065
1967,3,3,2,123,3.7279
1967,3,3,3,107,3.5135
1967,3,3,4,107,4.0450
1967,3,3,5,91,4.2806
1967,4,1,1,104,4.9012
1967,4,1,2,85,4.0629
1967,4,1,3,81,3.9463
1967,4,1,4,85,4.2137
1967,4,1,5,112,4.0296
1967,4,2,1,70,4.3387
1967,4,2,2,58,4.8698
1967,4,2,3,65,4.1511
1967,4,2,4,66,2.9988
1967,4,2,5,69,1.9503
1967,4,3,1,137,6.2212
1967,4,3,2,123,5.3415
1967,4,3,3,106,2.0236
1967,4,3,4,107,1.9175
1967,4,3,5,91,5.3430
1967,5,1,1,101,-0.7270
1967,5,1,2,85,-2.0714
1967,5,1,3,81,0.3527
1967,5,1,4,85,-0.5345
1967,5,1,5,112,1.3946
1967,5,2,1,70,-2.4675
1967,5,2,2,58,-0.1799
1967,5,2,3,64,-0.3848
1967,5,2,4,66,-1.7402
1967,5,2,5,69,-2.9188
1967,5,3,1,137,-4.8208
1967,5,3,2,122,-4.2956
1967,5,3,3,106,-4.6103
1967,5,3,4,107,-3.5301
1967,5,3,5,91,-3.8846
1967,6,1,1,100,13.1806
1967,6,1,2,85,10.4471
1967,6,1,3,81,9.6769
1967,6,1,4,85,5.7496
1967,6,1,5,111,6.9482
1967,6,2,1,69,7.8705
1967,6,2,2,56,7.6549
1967,6,2,3,63,7.1235
1967,6,2,4,65,5.7177
1967,6,2,5,69,4.9294
1967,6,3,1,135,3.1060
1967,6,3,2,120,1.8956
1967,6,3,3,106,1.5425
1967,6,3,4,107,1.3430
1967,6,3,5,91,0.4380
1967,7,1,1,114,8.0549
1967,7,1,2,101,9.6245
1967,7,1,3,84,10.9035
1967,7,1,4,77,10.2718
1967,7,1,5,125,7.2284
1967,7,2,1,70,8.1491
1967,7,2,2,84,7.6547
1967,7,2,3,69,8.8177
1967,7,2,4,64,6.2872
1967,7,2,5,68,6.5536
1967,7,3,1,148,3.5372
1967,7,3,2,111,4.5848
1967,7,3,3,113,3.8587
1967,7,3,4,102,4.7164
1967,7,3,5,89,6.6135
1967,8,1,1,113,-0.4804
1967,8,1,2,100,0.0394
1967,8,1,3,83,0.9275
1967,8,1,4,77,0.6908
1967,8,1,5,125,1.9021
1967,8,2,1,69,-1.3404
1967,8,2,2,84,-0.3587
1967,8,2,3,67,0.0759
1967,8,2,4,64,1.7787
1967,8,2,5,68,1.5713
1967,8,3,1,148,-1.0517
1967,8,3,2,110,-0.3610
1967,8,3,3,112,-1.2195
1967,8,3,4,101,-1.0220
1967,8,3,5,89,0.4552
1967,9,1,1,113,7.7355
1967,9,1,2,99,8.9641
1967,9,1,3,83,6.9089
1967,9,1,4,76,5.9908
1967,9,1,5,125,5.3241
1967,9,2,1,69,6.1761
1967,9,2,2,83,5.8598
1967,9,2,3,66,6.3214
1967,9,2,4,64,2.6223
1967,9,2,5,68,1.5649
1967,9,3,1,147,4.6791
1967,9,3,2,110,1.1904
1967,9,3,3,112,3.2917
1967,9,3,4,101,1.9740
1967,9,3,5,89,3.0395
1967,10,1,1,112,-2.0843
1967,10,1,2,100,-3.0348
1967,10,1,3,82,-1.8729
1967,10,1,4,76,-2.0839
1967,10,1,5,125,-3.0006
1967,10,2,1,69,-2.4507
1967,10,2,2,81,-1.9371
1967,10,2,3,66,-3.1495
1967,10,2,4,64,-3.4956
1967,10,2,5,67,-3.5984
1967,10,3,1,147,1.8141
1967,10,3,2,110,-4.8499
1967,10,3,3,110,-4.1826
1967,10,3,4,100,-5.8639
