year,month,rank_ME,rank_Dur,nstocks,ret_vw
1967,1,1,1,20,13.8733
1967,1,1,2,7,8.3722
1967,1,1,3,5,16.7767
1967,1,1,4,2,12.9456
1967,1,1,5,3,6.6918
1967,1,2,1,31,14.0333
1967,1,2,2,18,12.9613
1967,1,2,3,16,15.2157
1967,1,2,4,7,20.9534
1967,1,2,5,7,16.8875
1967,1,3,1,34,12.9671
1967,1,3,2,53,10.1277
1967,1,3,3,56,4.5881
1967,1,3,4,73,8.8246
1967,1,3,5,71,6.2296
1967,2,1,1,20,-0.0859
1967,2,1,2,7,1.0828
1967,2,1,3,5,18.2161
1967,2,1,4,2,3.9110
1967,2,1,5,3,12.9795
1967,2,2,1,31,2.5820
1967,2,2,2,18,0.4226
1967,2,2,3,16,2.7723
1967,2,2,4,7,4.6525
1967,2,2,5,7,6.6161
1967,2,3,1,34,-0.1169
1967,2,3,2,53,-1.5901
1967,2,3,3,56,-0.4570
1967,2,3,4,73,-0.3198
1967,2,3,5,71,3.2394
1967,3,1,1,20,4.4897
1967,3,1,2,7,4.1659
1967,3,1,3,5,7.3477
1967,3,1,4,2,14.5433
1967,3,1,5,3,6.8469
1967,3,2,1,31,4.9042
1967,3,2,2,18,4.2522
1967,3,2,3,16,4.7600
1967,3,2,4,7,5.0310
1967,3,2,5,7,6.7314
1967,3,3,1,34,4.8350
1967,3,3,2,53,5.3593
1967,3,3,3,56,3.6311
1967,3,3,4,73,3.9056
1967,3,3,5,71,3.6277
1967,4,1,1,20,4.3714
1967,4,1,2,7,7.7689
1967,4,1,3,5,-3.5370
1967,4,1,4,2,-1.4483
1967,4,1,5,3,-2.7522
1967,4,2,1,31,3.9189
1967,4,2,2,18,1.1803
1967,4,2,3,16,3.6787
1967,4,2,4,7,3.4377
1967,4,2,5,7,1.9120
1967,4,3,1,34,2.2971
1967,4,3,2,53,3.2577
1967,4,3,3,56,0.3618
1967,4,3,4,73,6.1643
1967,4,3,5,71,5.7252
1967,5,1,1,20,0.8200
1967,5,1,2,7,0.0912
1967,5,1,3,5,4.2045
1967,5,1,4,2,2.5325
1967,5,1,5,3,10.7400
1967,5,2,1,31,-1.3666
1967,5,2,2,18,-1.6720
1967,5,2,3,16,-4.0313
1967,5,2,4,7,-3.5368
1967,5,2,5,7,-4.9680
1967,5,3,1,34,-2.8571
1967,5,3,2,53,-3.4870
1967,5,3,3,56,-5.0249
1967,5,3,4,73,-5.3438
1967,5,3,5,71,-5.4162
1967,6,1,1,20,6.4344
1967,6,1,2,7,7.1146
1967,6,1,3,5,15.1323
1967,6,1,4,2,3.8177
1967,6,1,5,3,1.7462
1967,6,2,1,31,8.6867
1967,6,2,2,18,7.8324
1967,6,2,3,16,7.0032
1967,6,2,4,7,5.0668
1967,6,2,5,7,3.1472
1967,6,3,1,34,2.3315
1967,6,3,2,53,4.1509
1967,6,3,3,56,2.2921
1967,6,3,4,72,-1.2371
1967,6,3,5,71,2.3439
1967,7,1,1,67,11.0536
1967,7,1,2,47,10.5960
1967,7,1,3,20,9.2769
1967,7,1,4,14,11.8331
1967,7,1,5,18,7.9069
1967,7,2,1,42,10.0424
1967,7,2,2,27,9.6238
1967,7,2,3,28,3.9388
1967,7,2,4,16,5.6355
1967,7,2,5,12,7.5621
1967,7,3,1,32,6.5762
1967,7,3,2,56,5.5363
1967,7,3,3,73,3.1723
1967,7,3,4,89,3.7448
1967,7,3,5,93,4.4683
1967,8,1,1,67,0.6928
1967,8,1,2,47,0.8763
1967,8,1,3,20,-1.5154
1967,8,1,4,14,6.9753
1967,8,1,5,18,-6.9345
1967,8,2,1,42,-0.8882
1967,8,2,2,27,0.8304
1967,8,2,3,28,1.6056
1967,8,2,4,16,0.2021
1967,8,2,5,12,-3.8253
1967,8,3,1,32,1.0443
1967,8,3,2,56,-0.8922
1967,8,3,3,72,-1.0690
1967,8,3,4,89,-1.1323
1967,8,3,5,93,-0.9063
1967,9,1,1,67,6.8836
1967,9,1,2,47,8.4916
1967,9,1,3,20,14.4618
1967,9,1,4,14,1.9569
1967,9,1,5,18,6.3453
1967,9,2,1,42,4.3116
1967,9,2,2,27,5.0536
1967,9,2,3,28,2.6343
1967,9,2,4,16,3.5063
1967,9,2,5,12,2.2296
1967,9,3,1,32,1.5583
1967,9,3,2,56,2.0554
1967,9,3,3,72,3.9630
1967,9,3,4,89,2.4123
1967,9,3,5,93,4.2672
1967,10,1,1,67,-2.6177
1967,10,1,2,47,-2.8805
1967,10,1,3,20,-2.0931
1967,10,1,4,14,0.2054
1967,10,1,5,18,-0.1207
1967,10,2,1,42,-5.5127
1967,10,2,2,27,-2.8191
1967,10,2,3,28,-2.8636
1967,10,2,4,16,-3.1700
1967,10,2,5,12,-1.0853
1967,10,3,1,32,-4.2076
1967,10,3,2,56,-5.4496
1967,10,3,3,72,-3.3835
1967,10,3,4,90,-3.5080
1967,10,3,5,93,-0.7390
1967,11,1,1,67,-0.4665
1967,11,1,2,47,0.6277
1967,11,1,3,20,-0.9877
1967,11,1,4,14,2.4973
1967,11,1,5,18,-2.6301
1967,11,2,1,42,-1.1760
1967,11,2,2,27,0.3099
1967,11,2,3,28,0.6110
1967,11,2,4,16,1.7670
1967,11,2,5,12,6.7869
1967,11,3,1,32,-0.7673
1967,11,3,2,56,-0.7489
1967,11,3,3,72,-0.5588
1967,11,3,4,90,1.3661
1967,11,3,5,93,1.9602
1967,12,1,1,66,10.4916
1967,12,1,2,47,10.3772
1967,12,1,3,20,3.2145
1967,12,1,4,14,8.2845
1967,12,1,5,18,9.3151
1967,12,2,1,42,5.6070
1967,12,2,2,27,5.2781
1967,12,2,3,28,7.5939
1967,12,2,4,16,8.8176
1967,12,2,5,12,9.8207
1967,12,3,1,32,3.3388
1967,12,3,2,56,5.8352
1967,12,3,3,72,2.6695
1967,12,3,4,90,3.4173
1967,12,3,5,93,1.3920
1968,1,1,1,67,3.3270
1968,1,1,2,47,3.8225
1968,1,1,3,20,6.9179
1968,1,1,4,13,2.5946
1968,1,1,5,18,3.1897
1968,1,2,1,42,1.4237
1968,1,2,2,27,1.1797
1968,1,2,3,28,2.5340
1968,1,2,4,16,-3.1050
1968,1,2,5,12,-3.3796
1968,1,3,1,32,-2.1798
1968,1,3,2,56,-1.3082
1968,1,3,3,72,-1.9989
1968,1,3,4,90,-5.3657
1968,1,3,5,93,-6.5044
1968,2,1,1,66,-5.5581
1968,2,1,2,47,-5.4131
1968,2,1,3,20,-8.5087
1968,2,1,4,13,-8.8456
1968,2,1,5,18,-8.6139
1968,2,2,1,41,-3.4396
1968,2,2,2,27,-5.1535
1968,2,2,3,28,-4.0884
1968,2,2,4,16,-2.6292
1968,2,2,5,12,0.2091
1968,2,3,1,32,-4.0630
1968,2,3,2,56,-4.1861
1968,2,3,3,72,-1.7641
1968,2,3,4,89,-2.8666
1968,2,3,5,93,-2.6397
1968,3,1,1,67,-2.8154
1968,3,1,2,47,0.5527
1968,3,1,3,20,-1.4623
1968,3,1,4,13,-5.6087
1968,3,1,5,18,-3.0176
1968,3,2,1,41,-0.7191
1968,3,2,2,27,-1.4757
1968,3,2,3,28,-1.9586
1968,3,2,4,16,-4.6664
1968,3,2,5,12,-0.1848
1968,3,3,1,32,-2.1595
1968,3,3,2,56,0.5328
1968,3,3,3,72,-0.8763
1968,3,3,4,89,-2.4454
1968,3,3,5,93,2.4769
1968,4,1,1,67,16.0366
1968,4,1,2,47,20.4780
1968,4,1,3,20,8.6694
1968,4,1,4,13,18.4340
1968,4,1,5,18,24.5165
1968,4,2,1,41,12.3509
1968,4,2,2,27,14.2706
1968,4,2,3,28,10.7644
1968,4,2,4,16,15.1782
1968,4,2,5,12,11.6307
1968,4,3,1,32,12.5747
1968,4,3,2,56,8.5224
1968,4,3,3,72,5.3605
1968,4,3,4,89,6.5884
1968,4,3,5,93,10.7014
1968,5,1,1,67,8.8332
1968,5,1,2,47,13.0960
