year,month,rank_ME,rank_EBP,nstocks,ret_vw
1967,1,1,1,20,21.2539
1967,1,1,2,30,16.3436
1967,1,1,3,35,21.2662
1967,1,1,4,41,22.4040
1967,1,1,5,57,14.0101
1967,1,2,1,12,16.3131
1967,1,2,2,18,22.0306
1967,1,2,3,20,18.2610
1967,1,2,4,22,17.2902
1967,1,2,5,34,15.8468
1967,1,3,1,72,8.4067
1967,1,3,2,66,6.8177
1967,1,3,3,57,7.1128
1967,1,3,4,41,9.5083
1967,1,3,5,23,17.3668
1967,2,1,1,20,4.4782
1967,2,1,2,29,8.5975
1967,2,1,3,35,1.9859
1967,2,1,4,41,3.9850
1967,2,1,5,57,4.2832
1967,2,2,1,12,5.4771
1967,2,2,2,18,1.2030
1967,2,2,3,20,2.3095
1967,2,2,4,22,2.8887
1967,2,2,5,34,2.0227
1967,2,3,1,72,3.1371
1967,2,3,2,66,0.4361
1967,2,3,3,57,0.5808
1967,2,3,4,41,-1.9245
1967,2,3,5,23,-1.0985
1967,3,1,1,20,9.7283
1967,3,1,2,30,8.5572
1967,3,1,3,35,12.5478
1967,3,1,4,41,7.4078
1967,3,1,5,57,6.6742
1967,3,2,1,12,5.1844
1967,3,2,2,18,11.0156
1967,3,2,3,20,8.5471
1967,3,2,4,22,7.1361
1967,3,2,5,34,5.6612
1967,3,3,1,72,4.6015
1967,3,3,2,66,3.9040
1967,3,3,3,57,3.9421
1967,3,3,4,41,5.2813
1967,3,3,5,23,7.3612
1967,4,1,1,20,6.1714
1967,4,1,2,30,5.2656
1967,4,1,3,35,2.5443
1967,4,1,4,41,7.8651
1967,4,1,5,57,4.7501
1967,4,2,1,12,5.7253
1967,4,2,2,18,3.6751
1967,4,2,3,20,4.3289
1967,4,2,4,22,6.2882
1967,4,2,5,34,3.9202
1967,4,3,1,72,7.7834
1967,4,3,2,66,1.5449
1967,4,3,3,57,0.9613
1967,4,3,4,41,3.4967
1967,4,3,5,23,2.8841
1967,5,1,1,20,-0.5653
1967,5,1,2,30,-1.9330
1967,5,1,3,35,0.2174
1967,5,1,4,41,1.1039
1967,5,1,5,57,-0.5653
1967,5,2,1,12,-0.1119
1967,5,2,2,18,-1.5641
1967,5,2,3,20,-3.6133
1967,5,2,4,22,-0.2918
1967,5,2,5,34,-1.8877
1967,5,3,1,72,-5.6938
1967,5,3,2,66,-3.6694
1967,5,3,3,57,-5.7280
1967,5,3,4,41,-0.8966
1967,5,3,5,23,-4.5315
1967,6,1,1,20,14.5229
1967,6,1,2,30,11.1449
1967,6,1,3,35,10.8602
1967,6,1,4,41,16.9858
1967,6,1,5,57,10.8898
1967,6,2,1,12,4.5264
1967,6,2,2,18,10.5915
1967,6,2,3,20,6.4455
1967,6,2,4,22,10.4661
1967,6,2,5,34,9.1617
1967,6,3,1,72,2.0098
1967,6,3,2,66,0.4151
1967,6,3,3,56,2.4376
1967,6,3,4,41,4.3709
1967,6,3,5,23,1.5172
1967,7,1,1,47,9.3245
1967,7,1,2,55,6.7727
1967,7,1,3,59,11.3203
1967,7,1,4,106,9.3312
1967,7,1,5,133,11.4644
1967,7,2,1,34,3.5572
1967,7,2,2,42,6.5101
1967,7,2,3,38,10.8774
1967,7,2,4,50,7.7971
1967,7,2,5,50,10.9750
1967,7,3,1,115,5.6750
1967,7,3,2,100,4.8894
1967,7,3,3,88,2.4010
1967,7,3,4,54,6.5438
1967,7,3,5,35,8.0110
1967,8,1,1,47,1.3175
1967,8,1,2,55,0.7810
1967,8,1,3,59,-0.8352
1967,8,1,4,106,0.2837
1967,8,1,5,133,1.5514
1967,8,2,1,34,-1.4040
1967,8,2,2,42,0.8943
1967,8,2,3,38,0.4411
1967,8,2,4,50,0.5801
1967,8,2,5,50,-1.8176
1967,8,3,1,115,-0.6828
1967,8,3,2,100,-1.0081
1967,8,3,3,87,-1.7258
1967,8,3,4,54,0.9386
1967,8,3,5,35,1.9189
1967,9,1,1,47,12.6706
1967,9,1,2,55,11.2858
1967,9,1,3,59,7.2144
1967,9,1,4,106,8.4142
1967,9,1,5,133,5.7541
1967,9,2,1,34,6.5528
1967,9,2,2,42,4.6973
1967,9,2,3,38,3.9358
1967,9,2,4,50,4.0493
1967,9,2,5,50,4.3786
1967,9,3,1,115,4.2401
1967,9,3,2,100,3.7701
1967,9,3,3,87,2.8144
1967,9,3,4,54,2.8331
1967,9,3,5,35,1.5591
1967,10,1,1,47,1.5320
1967,10,1,2,55,-4.0696
1967,10,1,3,59,-0.7481
1967,10,1,4,106,-1.4907
1967,10,1,5,133,-2.2000
1967,10,2,1,34,1.7375
1967,10,2,2,42,-2.3731
1967,10,2,3,38,-4.9562
1967,10,2,4,50,-2.9605
1967,10,2,5,50,-5.7697
1967,10,3,1,115,-0.4082
1967,10,3,2,100,-2.7694
1967,10,3,3,86,-3.0857
1967,10,3,4,54,-5.7058
1967,10,3,5,35,-4.3460
1967,11,1,1,47,-0.3617
1967,11,1,2,55,3.4333
1967,11,1,3,59,0.1802
1967,11,1,4,106,0.0359
1967,11,1,5,133,-1.5136
1967,11,2,1,34,1.6514
1967,11,2,2,42,1.3640
1967,11,2,3,38,1.4057
1967,11,2,4,50,0.5435
1967,11,2,5,50,-2.1489
1967,11,3,1,115,1.0634
1967,11,3,2,100,1.0210
1967,11,3,3,87,-0.1588
1967,11,3,4,54,0.6448
