year,month,rank_ME,rank_EM,nstocks,ret_vw
1967,1,1,1,112,18.3130
1967,1,1,2,73,18.1323
1967,1,1,3,44,19.4097
1967,1,1,4,48,20.4702
1967,1,1,5,67,20.5593
1967,1,2,1,57,15.0142
1967,1,2,2,36,14.8984
1967,1,2,3,43,17.0469
1967,1,2,4,33,18.0196
1967,1,2,5,35,19.8869
1967,1,3,1,47,14.3904
1967,1,3,2,78,9.6921
1967,1,3,3,80,6.5228
1967,1,3,4,95,7.8662
1967,1,3,5,97,7.4933
1967,2,1,1,112,3.8278
1967,2,1,2,73,3.8546
1967,2,1,3,44,3.2775
1967,2,1,4,48,8.7228
1967,2,1,5,67,6.5068
1967,2,2,1,57,2.6548
1967,2,2,2,36,0.3268
1967,2,2,3,43,2.2382
1967,2,2,4,33,3.3268
1967,2,2,5,35,4.4416
1967,2,3,1,47,-1.0850
1967,2,3,2,78,-0.7975
1967,2,3,3,80,-0.3456
1967,2,3,4,95,0.6019
1967,2,3,5,97,3.7537
1967,3,1,1,112,5.2207
1967,3,1,2,73,7.5188
1967,3,1,3,44,8.2638
1967,3,1,4,48,8.6647
1967,3,1,5,67,6.6736
1967,3,2,1,57,6.4312
1967,3,2,2,36,5.4870
1967,3,2,3,43,6.9633
1967,3,2,4,33,8.1643
1967,3,2,5,35,6.0289
1967,3,3,1,47,6.4686
1967,3,3,2,78,4.4478
1967,3,3,3,80,5.4055
1967,3,3,4,95,4.7333
1967,3,3,5,97,4.3010
1967,4,1,1,112,4.7036
1967,4,1,2,73,4.2776
1967,4,1,3,44,3.6078
1967,4,1,4,48,5.7592
1967,4,1,5,67,5.7786
1967,4,2,1,57,5.4545
1967,4,2,2,36,2.2999
1967,4,2,3,43,5.7661
1967,4,2,4,33,6.2215
1967,4,2,5,35,3.5445
1967,4,3,1,47,3.1185
1967,4,3,2,78,7.1139
1967,4,3,3,80,2.5862
1967,4,3,4,95,2.4516
1967,4,3,5,97,6.2881
1967,5,1,1,112,-0.7738
1967,5,1,2,73,1.3850
1967,5,1,3,44,-0.0528
1967,5,1,4,48,1.8588
1967,5,1,5,67,0.3156
1967,5,2,1,57,-0.8058
1967,5,2,2,36,-2.9712
1967,5,2,3,43,-0.5082
1967,5,2,4,33,-2.9191
1967,5,2,5,35,-2.7094
1967,5,3,1,47,-3.3198
1967,5,3,2,78,-4.2704
1967,5,3,3,80,-4.3278
1967,5,3,4,95,-4.5761
1967,5,3,5,97,-4.9886
1967,6,1,1,112,10.6555
1967,6,1,2,73,8.5730
1967,6,1,3,44,13.1125
1967,6,1,4,48,16.5566
1967,6,1,5,67,16.9433
1967,6,2,1,57,8.6896
1967,6,2,2,36,3.2328
1967,6,2,3,43,4.9410
1967,6,2,4,33,9.9110
1967,6,2,5,35,9.2590
1967,6,3,1,47,2.3751
1967,6,3,2,78,2.3981
1967,6,3,3,80,1.9185
1967,6,3,4,95,1.6829
1967,6,3,5,96,2.6184
1967,7,1,1,134,10.6842
1967,7,1,2,106,10.0556
1967,7,1,3,60,7.9316
1967,7,1,4,64,9.4296
1967,7,1,5,96,9.4910
1967,7,2,1,57,7.9579
1967,7,2,2,66,8.9875
1967,7,2,3,38,6.6526
1967,7,2,4,33,10.1028
1967,7,2,5,44,6.2471
1967,7,3,1,54,7.8715
1967,7,3,2,53,8.3491
1967,7,3,3,100,6.7694
1967,7,3,4,103,1.0946
1967,7,3,5,112,4.5755
1967,8,1,1,134,1.4646
1967,8,1,2,106,1.2226
1967,8,1,3,60,0.3023
1967,8,1,4,64,-0.2680
1967,8,1,5,96,0.7680
1967,8,2,1,57,1.4153
1967,8,2,2,66,1.3451
1967,8,2,3,38,-0.5467
1967,8,2,4,33,-2.3821
1967,8,2,5,44,-0.8873
1967,8,3,1,54,1.7911
1967,8,3,2,53,-1.2042
1967,8,3,3,100,-1.8043
1967,8,3,4,102,-0.3570
1967,8,3,5,112,-0.8010
1967,9,1,1,134,6.8415
1967,9,1,2,106,7.3745
1967,9,1,3,60,8.7129
1967,9,1,4,64,9.2404
1967,9,1,5,96,12.1132
1967,9,2,1,57,4.9537
1967,9,2,2,66,3.0745
1967,9,2,3,38,6.4586
1967,9,2,4,33,4.0952
1967,9,2,5,44,5.3493
1967,9,3,1,54,4.1297
1967,9,3,2,53,3.8913
1967,9,3,3,100,1.9301
1967,9,3,4,102,3.7698
1967,9,3,5,112,4.2260
1967,10,1,1,134,-2.9132
1967,10,1,2,106,-2.6099
1967,10,1,3,60,-3.4478
1967,10,1,4,64,0.6628
1967,10,1,5,96,1.8607
1967,10,2,1,57,-6.2903
1967,10,2,2,66,-1.7669
1967,10,2,3,38,-0.6298
1967,10,2,4,33,-2.9919
1967,10,2,5,44,-1.1533
1967,10,3,1,53,-6.9311
1967,10,3,2,53,-5.3068
1967,10,3,3,100,-2.5421
1967,10,3,4,102,-2.8886
1967,10,3,5,112,0.4835
1967,11,1,1,134,0.5851
1967,11,1,2,106,1.4337
1967,11,1,3,60,0.8652
1967,11,1,4,64,-0.6831
1967,11,1,5,96,-0.0297
1967,11,2,1,57,-0.7756
1967,11,2,2,66,0.8971
1967,11,2,3,38,1.7443
1967,11,2,4,33,2.3897
1967,11,2,5,44,1.7844
1967,11,3,1,54,1.2812
1967,11,3,2,53,-1.3234
1967,11,3,3,100,-0.5699
1967,11,3,4,102,-0.2797
1967,11,3,5,112,2.1587
1967,12,1,1,134,7.4671
1967,12,1,2,106,8.0295
1967,12,1,3,60,10.9251
1967,12,1,4,64,9.2020
1967,12,1,5,94,14.0752
1967,12,2,1,57,3.8639
1967,12,2,2,66,5.7527
1967,12,2,3,38,5.6537
1967,12,2,4,33,5.7614
1967,12,2,5,44,12.7233
1967,12,3,1,54,3.3190
1967,12,3,2,53,4.4580
1967,12,3,3,100,3.8288
1967,12,3,4,102,2.0202
1967,12,3,5,112,1.6607
1968,1,1,1,134,2.6129
1968,1,1,2,106,0.7112
1968,1,1,3,59,5.5361
1968,1,1,4,64,4.7919
1968,1,1,5,95,2.8297
1968,1,2,1,57,1.2864
1968,1,2,2,66,-0.1378
1968,1,2,3,38,0.2226
1968,1,2,4,33,-2.1923
1968,1,2,5,44,-3.1934
1968,1,3,1,54,-3.6214
1968,1,3,2,53,-3.8376
1968,1,3,3,100,-1.7122
1968,1,3,4,102,-4.0286
1968,1,3,5,112,-7.6228
1968,2,1,1,134,-2.9752
1968,2,1,2,106,-5.6396
1968,2,1,3,58,-7.7137
1968,2,1,4,64,-9.6867
1968,2,1,5,95,-11.0780
1968,2,2,1,57,-2.8196
1968,2,2,2,65,-3.6091
1968,2,2,3,38,-8.1649
1968,2,2,4,33,-4.2730
1968,2,2,5,44,-6.7993
1968,2,3,1,54,-3.0108
1968,2,3,2,53,-2.6891
1968,2,3,3,100,-3.2476
1968,2,3,4,102,-3.2793
1968,2,3,5,111,-3.2522
1968,3,1,1,134,-0.0517
1968,3,1,2,106,-0.4078
1968,3,1,3,59,-2.0895
1968,3,1,4,64,-0.9983
1968,3,1,5,95,-1.5069
1968,3,2,1,57,-2.2368
1968,3,2,2,65,-1.2050
1968,3,2,3,38,1.5616
1968,3,2,4,33,-1.5608
1968,3,2,5,44,-1.6819
1968,3,3,1,54,0.1072
1968,3,3,2,53,-1.5944
1968,3,3,3,100,0.2364
1968,3,3,4,102,0.7309
1968,3,3,5,111,2.9866
1968,4,1,1,134,15.8105
1968,4,1,2,106,15.7476
1968,4,1,3,59,16.4280
1968,4,1,4,64,22.0426
1968,4,1,5,95,21.7608
1968,4,2,1,57,10.6349
1968,4,2,2,65,12.7378
1968,4,2,3,38,14.8757
1968,4,2,4,33,17.8621
1968,4,2,5,44,15.9724
1968,4,3,1,54,10.0082
1968,4,3,2,53,8.9845
1968,4,3,3,100,6.9091
1968,4,3,4,102,8.3181
1968,4,3,5,111,10.9437
1968,5,1,1,134,11.0067
1968,5,1,2,106,11.4308
1968,5,1,3,59,10.1794
1968,5,1,4,64,11.1249
1968,5,1,5,95,11.8165
1968,5,2,1,57,4.8494
1968,5,2,2,65,7.0350
1968,5,2,3,38,9.6184
1968,5,2,4,33,8.0668
1968,5,2,5,44,10.4195
1968,5,3,1,54,2.5165
1968,5,3,2,53,0.5575
1968,5,3,3,100,0.7019
1968,5,3,4,102,0.7795
1968,5,3,5,111,3.3042
1968,6,1,1,134,1.5969
1968,6,1,2,106,-0.8854
1968,6,1,3,59,0.1085
1968,6,1,4,64,0.5703
1968,6,1,5,95,2.5938
1968,6,2,1,56,3.2388
1968,6,2,2,65,-0.6829
1968,6,2,3,38,-1.1466
