year,month,rank_ME,rank_EP,nstocks,ret_vw
1967,1,1,1,76,21.4696
1967,1,1,2,54,15.2159
1967,1,1,3,51,19.0974
1967,1,1,4,65,16.2758
1967,1,1,5,151,19.1560
1967,1,2,1,31,17.3434
1967,1,2,2,44,16.3206
1967,1,2,3,46,17.0342
1967,1,2,4,58,15.1703
1967,1,2,5,78,16.0522
1967,1,3,1,138,7.1084
1967,1,3,2,121,5.8561
1967,1,3,3,115,6.4388
1967,1,3,4,91,11.8396
1967,1,3,5,44,13.6394
1967,2,1,1,76,7.0577
1967,2,1,2,54,5.5376
1967,2,1,3,51,4.7513
1967,2,1,4,65,4.7390
1967,2,1,5,151,3.7288
1967,2,2,1,31,4.8702
1967,2,2,2,44,3.6878
1967,2,2,3,46,1.3590
1967,2,2,4,58,-0.0003
1967,2,2,5,78,2.1967
1967,2,3,1,138,3.1982
1967,2,3,2,121,0.0210
1967,2,3,3,115,-0.2583
1967,2,3,4,91,-1.5560
1967,2,3,5,44,-1.7341
1967,3,1,1,76,10.0594
1967,3,1,2,54,8.0994
1967,3,1,3,51,4.7669
1967,3,1,4,65,6.7911
1967,3,1,5,151,5.5384
1967,3,2,1,31,7.6306
1967,3,2,2,44,5.3108
1967,3,2,3,46,8.3642
1967,3,2,4,58,6.4309
1967,3,2,5,78,4.9240
1967,3,3,1,138,3.9659
1967,3,3,2,121,3.9164
1967,3,3,3,115,4.1867
1967,3,3,4,91,5.7266
1967,3,3,5,44,6.2218
1967,4,1,1,76,4.9977
1967,4,1,2,54,4.1164
1967,4,1,3,51,2.7061
1967,4,1,4,65,5.6443
1967,4,1,5,151,4.8528
1967,4,2,1,31,4.0570
1967,4,2,2,44,4.8931
1967,4,2,3,46,3.4710
1967,4,2,4,58,4.1090
1967,4,2,5,78,4.8866
1967,4,3,1,138,6.4863
1967,4,3,2,121,1.1621
1967,4,3,3,115,3.4835
1967,4,3,4,91,6.4783
1967,4,3,5,44,3.5109
1967,5,1,1,76,-0.6512
1967,5,1,2,54,3.1525
1967,5,1,3,51,0.7022
1967,5,1,4,65,0.2804
1967,5,1,5,151,-0.0434
1967,5,2,1,31,-3.5702
1967,5,2,2,44,-1.2583
1967,5,2,3,46,-2.7301
1967,5,2,4,58,-1.5382
1967,5,2,5,78,-2.3197
1967,5,3,1,138,-5.3049
1967,5,3,2,121,-4.0967
1967,5,3,3,115,-4.0946
1967,5,3,4,91,-4.1758
1967,5,3,5,44,-3.5261
1967,6,1,1,76,13.8064
1967,6,1,2,54,16.8878
1967,6,1,3,51,11.1702
1967,6,1,4,65,10.0625
1967,6,1,5,151,10.3537
1967,6,2,1,31,10.6489
1967,6,2,2,44,5.9974
1967,6,2,3,46,6.6723
1967,6,2,4,58,5.4063
1967,6,2,5,78,7.8472
1967,6,3,1,137,2.5317
1967,6,3,2,121,0.5811
1967,6,3,3,115,1.4424
1967,6,3,4,91,2.2477
1967,6,3,5,44,3.0848
1967,7,1,1,104,9.9803
1967,7,1,2,63,7.0340
1967,7,1,3,76,9.2626
1967,7,1,4,116,7.8386
1967,7,1,5,206,11.4075
1967,7,2,1,52,7.8877
1967,7,2,2,42,4.5834
1967,7,2,3,57,7.2216
1967,7,2,4,85,7.1465
1967,7,2,5,69,9.6166
1967,7,3,1,159,4.3409
1967,7,3,2,140,1.4893
1967,7,3,3,112,7.2847
1967,7,3,4,69,7.9050
1967,7,3,5,53,6.3508
1967,8,1,1,104,-0.8724
1967,8,1,2,63,-1.1803
1967,8,1,3,76,2.0748
1967,8,1,4,116,2.2732
1967,8,1,5,206,0.5483
1967,8,2,1,52,-2.5849
1967,8,2,2,42,-0.9739
1967,8,2,3,57,0.4880
1967,8,2,4,85,0.5540
1967,8,2,5,69,0.8967
1967,8,3,1,159,-1.0025
1967,8,3,2,139,-0.3929
1967,8,3,3,112,-1.3005
1967,8,3,4,69,-1.2902
1967,8,3,5,53,1.6944
1967,9,1,1,104,11.0446
1967,9,1,2,63,7.1206
