year,month,rank_ME,rank_EPq_1,nstocks,ret_vw
1967,1,1,1,72,18.4036
1967,1,1,2,44,23.5808
1967,1,1,3,64,16.8705
1967,1,1,4,97,18.9517
1967,1,1,5,167,21.0417
1967,1,2,1,37,11.2521
1967,1,2,2,27,13.7773
1967,1,2,3,50,15.6853
1967,1,2,4,62,18.4633
1967,1,2,5,69,19.8833
1967,1,3,1,139,6.4329
1967,1,3,2,128,6.0943
1967,1,3,3,98,6.7248
1967,1,3,4,80,13.3966
1967,1,3,5,46,15.1270
1967,2,1,1,113,4.4985
1967,2,1,2,41,6.3195
1967,2,1,3,62,7.7740
1967,2,1,4,75,2.3958
1967,2,1,5,146,4.1954
1967,2,2,1,47,1.8041
1967,2,2,2,38,3.6797
1967,2,2,3,48,1.1270
1967,2,2,4,55,1.1420
1967,2,2,5,72,2.2678
1967,2,3,1,117,2.9906
1967,2,3,2,129,0.5490
1967,2,3,3,109,-0.9410
1967,2,3,4,88,-1.0252
1967,2,3,5,43,-0.6819
1967,3,1,1,121,8.2851
1967,3,1,2,52,7.0796
1967,3,1,3,61,8.8299
1967,3,1,4,77,7.4089
1967,3,1,5,152,5.9257
1967,3,2,1,53,5.5115
1967,3,2,2,33,5.1725
1967,3,2,3,43,6.1037
1967,3,2,4,62,7.1162
1967,3,2,5,70,6.9882
1967,3,3,1,118,4.9272
1967,3,3,2,128,3.3466
1967,3,3,3,114,3.9744
1967,3,3,4,78,5.3568
1967,3,3,5,50,7.1317
1967,4,1,1,115,4.5509
1967,4,1,2,55,5.4387
1967,4,1,3,56,4.9923
1967,4,1,4,81,3.9981
1967,4,1,5,168,5.0943
1967,4,2,1,57,2.4775
1967,4,2,2,41,5.6552
1967,4,2,3,42,3.5524
1967,4,2,4,57,5.7220
1967,4,2,5,67,4.2852
1967,4,3,1,116,7.0542
1967,4,3,2,131,3.5844
1967,4,3,3,111,2.0470
1967,4,3,4,86,3.5939
1967,4,3,5,48,3.0543
1967,5,1,1,101,2.4629
1967,5,1,2,49,-0.6195
1967,5,1,3,62,2.0934
1967,5,1,4,99,-1.3147
1967,5,1,5,178,0.3505
1967,5,2,1,48,-3.3914
1967,5,2,2,48,-3.7360
1967,5,2,3,54,-0.4652
1967,5,2,4,66,-0.8934
1967,5,2,5,58,-2.2960
1967,5,3,1,138,-5.2543
1967,5,3,2,122,-5.4730
1967,5,3,3,112,-2.8865
1967,5,3,4,78,-4.9093
1967,5,3,5,67,-1.0048
1967,6,1,1,97,12.4846
1967,6,1,2,52,13.3420
1967,6,1,3,61,6.9939
1967,6,1,4,88,11.3089
1967,6,1,5,168,8.2511
1967,6,2,1,59,10.7896
1967,6,2,2,47,8.7595
1967,6,2,3,51,5.2170
1967,6,2,4,61,7.9829
1967,6,2,5,60,5.8907
1967,6,3,1,130,2.6411
1967,6,3,2,125,1.9753
1967,6,3,3,114,0.8108
1967,6,3,4,83,0.3423
1967,6,3,5,63,5.3111
1967,7,1,1,105,9.5522
1967,7,1,2,63,9.8840
1967,7,1,3,59,10.2048
1967,7,1,4,82,10.5144
1967,7,1,5,146,9.2312
1967,7,2,1,70,5.9782
1967,7,2,2,47,6.0248
1967,7,2,3,48,8.0776
1967,7,2,4,52,9.7136
1967,7,2,5,59,8.3751
1967,7,3,1,123,4.2090
1967,7,3,2,123,1.6019
1967,7,3,3,108,5.7074
1967,7,3,4,90,7.2961
1967,7,3,5,71,7.3718
1967,8,1,1,117,-1.6156
1967,8,1,2,83,1.2457
1967,8,1,3,57,-0.6381
1967,8,1,4,76,-0.3330
1967,8,1,5,101,1.6392
1967,8,2,1,66,-1.2690
1967,8,2,2,49,-1.1951
1967,8,2,3,44,0.7833
1967,8,2,4,55,1.4404
1967,8,2,5,44,1.5642
1967,8,3,1,103,-1.2141
1967,8,3,2,104,0.3828
1967,8,3,3,106,-1.3052
1967,8,3,4,89,-0.9893
1967,8,3,5,79,-0.0147
1967,9,1,1,122,10.8051
1967,9,1,2,86,9.2660
1967,9,1,3,58,9.8455
1967,9,1,4,66,8.5994
1967,9,1,5,106,4.9838
1967,9,2,1,65,6.0235
1967,9,2,2,54,3.3734
1967,9,2,3,47,6.8377
1967,9,2,4,49,4.3911
1967,9,2,5,49,1.9232
1967,9,3,1,98,4.1244
1967,9,3,2,102,3.6555
1967,9,3,3,104,2.7506
1967,9,3,4,98,3.4041
1967,9,3,5,79,2.2139
1967,10,1,1,119,-0.7384
1967,10,1,2,94,-0.9631
1967,10,1,3,67,-2.3355
1967,10,1,4,54,-2.5216
1967,10,1,5,113,-3.3321
1967,10,2,1,65,-0.4683
1967,10,2,2,51,-4.3556
1967,10,2,3,50,-4.6857
1967,10,2,4,48,-3.8952
1967,10,2,5,49,-5.0554
1967,10,3,1,95,1.3237
1967,10,3,2,104,-4.2450
1967,10,3,3,103,-6.4217
1967,10,3,4,100,-2.3373
1967,10,3,5,77,-4.7085
1967,11,1,1,127,-0.1540
1967,11,1,2,90,1.3783
1967,11,1,3,66,0.1168
1967,11,1,4,68,0.6752
1967,11,1,5,135,0.3752
1967,11,2,1,66,2.7847
1967,11,2,2,61,0.5967
1967,11,2,3,47,0.2001
1967,11,2,4,58,-0.3363
1967,11,2,5,61,1.0141
1967,11,3,1,113,1.6655
1967,11,3,2,105,0.7471
1967,11,3,3,118,0.0766
1967,11,3,4,95,0.2595
1967,11,3,5,83,0.2800
1967,12,1,1,120,9.4862
1967,12,1,2,81,11.1163
1967,12,1,3,73,9.2092
1967,12,1,4,67,10.9104
1967,12,1,5,145,9.6666
1967,12,2,1,72,8.2695
1967,12,2,2,54,5.2279
1967,12,2,3,56,5.9713
1967,12,2,4,51,5.3173
1967,12,2,5,59,8.6228
1967,12,3,1,117,1.1906
1967,12,3,2,112,3.7299
1967,12,3,3,106,1.8948
1967,12,3,4,102,4.4318
1967,12,3,5,80,4.5227
1968,1,1,1,121,2.7362
1968,1,1,2,103,5.1128
1968,1,1,3,58,1.8788
1968,1,1,4,76,1.3753
1968,1,1,5,127,4.9131
1968,1,2,1,80,-4.2773
1968,1,2,2,52,-4.1652
1968,1,2,3,54,0.2410
1968,1,2,4,56,3.0284
1968,1,2,5,54,3.7818
1968,1,3,1,116,-8.3895
1968,1,3,2,112,-5.1181
1968,1,3,3,103,-2.8135
1968,1,3,4,99,-1.2893
1968,1,3,5,85,-2.0634
1968,2,1,1,156,-9.0516
1968,2,1,2,62,-6.2045
1968,2,1,3,65,-6.0773
1968,2,1,4,63,-5.5191
1968,2,1,5,116,-2.9899
1968,2,2,1,77,-7.4147
1968,2,2,2,62,-6.2492
1968,2,2,3,51,-3.7123
1968,2,2,4,55,-5.2402
1968,2,2,5,53,-2.6747
1968,2,3,1,107,-3.1591
1968,2,3,2,109,-3.9703
1968,2,3,3,107,-3.3066
1968,2,3,4,103,-2.1863
1968,2,3,5,76,-3.0177
1968,3,1,1,155,-1.6135
1968,3,1,2,67,-1.8424
1968,3,1,3,63,-1.8427
1968,3,1,4,73,0.4081
1968,3,1,5,127,-0.7740
1968,3,2,1,72,-1.1297
1968,3,2,2,61,0.0588
1968,3,2,3,57,-1.6286
1968,3,2,4,44,-0.8078
1968,3,2,5,63,-1.5760
1968,3,3,1,110,3.0587
1968,3,3,2,111,0.5380
1968,3,3,3,101,-1.1237
1968,3,3,4,107,-0.6956
1968,3,3,5,74,-1.2522
1968,4,1,1,147,17.7807
1968,4,1,2,69,16.3453
1968,4,1,3,66,15.5015
1968,4,1,4,72,16.6854
1968,4,1,5,142,16.4958
1968,4,2,1,75,17.6435
1968,4,2,2,57,13.4215
1968,4,2,3,55,14.1223
1968,4,2,4,45,11.2086
1968,4,2,5,63,14.0358
1968,4,3,1,115,11.0170
1968,4,3,2,111,10.7807
1968,4,3,3,101,7.9415
1968,4,3,4,107,4.0455
1968,4,3,5,69,9.0085
1968,5,1,1,139,14.8864
1968,5,1,2,93,10.0753
1968,5,1,3,62,9.4863
1968,5,1,4,77,10.1011
1968,5,1,5,147,11.2422
1968,5,2,1,75,9.3237
1968,5,2,2,63,7.1378
1968,5,2,3,58,6.2713
1968,5,2,4,52,4.2353
1968,5,2,5,61,6.9927
1968,5,3,1,129,3.9360
1968,5,3,2,97,0.1884
1968,5,3,3,112,0.7171
1968,5,3,4,98,0.0005
1968,5,3,5,81,1.9594
1968,6,1,1,147,-0.8692
1968,6,1,2,91,0.9493
1968,6,1,3,65,3.2996
1968,6,1,4,78,3.2407
1968,6,1,5,132,1.6963
1968,6,2,1,85,-0.7387
1968,6,2,2,67,-1.3466
1968,6,2,3,46,1.6235
1968,6,2,4,59,3.4025
1968,6,2,5,53,2.0592
1968,6,3,1,125,-1.3454
1968,6,3,2,93,1.1287
1968,6,3,3,117,2.1865
1968,6,3,4,92,2.9524
1968,6,3,5,84,1.8023
1968,7,1,1,155,-3.9730
1968,7,1,2,85,-3.5588
1968,7,1,3,68,-1.9941
1968,7,1,4,73,-5.2918
1968,7,1,5,128,-1.8261
1968,7,2,1,84,-5.2628
1968,7,2,2,62,-5.0962
1968,7,2,3,53,-3.9867
1968,7,2,4,55,-2.2735
1968,7,2,5,60,-1.8776
1968,7,3,1,118,-5.1294
1968,7,3,2,100,-3.7459
1968,7,3,3,110,-2.2312
1968,7,3,4,99,2.6697
1968,7,3,5,81,-1.0319
1968,8,1,1,162,4.5276
1968,8,1,2,88,4.4531
1968,8,1,3,95,3.7821
1968,8,1,4,57,5.4923
1968,8,1,5,100,5.5043
1968,8,2,1,80,2.2833
1968,8,2,2,58,3.3641
1968,8,2,3,49,4.1282
1968,8,2,4,52,4.7263
1968,8,2,5,53,1.8472
1968,8,3,1,112,1.5587
1968,8,3,2,98,1.9129
1968,8,3,3,99,1.3784
1968,8,3,4,107,1.1159
1968,8,3,5,84,1.1915
1968,9,1,1,165,7.6221
1968,9,1,2,98,7.1229
1968,9,1,3,98,4.9219
1968,9,1,4,61,5.3319
1968,9,1,5,86,6.6238
1968,9,2,1,84,7.7861
1968,9,2,2,64,7.1674
1968,9,2,3,57,8.2904
1968,9,2,4,51,5.5498
1968,9,2,5,47,5.2086
1968,9,3,1,111,2.7375
1968,9,3,2,93,4.2332
1968,9,3,3,96,3.9712
1968,9,3,4,105,3.8215
1968,9,3,5,94,5.8896
1968,10,1,1,166,-3.0668
1968,10,1,2,102,-0.7533
1968,10,1,3,85,-0.4338
1968,10,1,4,72,4.0329
1968,10,1,5,85,1.0675
1968,10,2,1,87,-0.4264
1968,10,2,2,64,0.4187
1968,10,2,3,55,3.0466
1968,10,2,4,48,3.4969
1968,10,2,5,49,2.9269
1968,10,3,1,112,-2.8819
1968,10,3,2,90,0.9982
1968,10,3,3,104,0.8486
1968,10,3,4,101,2.7745
1968,10,3,5,95,2.9110
1968,11,1,1,186,7.3460
1968,11,1,2,114,7.1214
1968,11,1,3,90,5.9569
1968,11,1,4,65,8.4346
1968,11,1,5,116,7.3933
1968,11,2,1,104,8.4576
1968,11,2,2,63,7.2092
1968,11,2,3,45,9.2693
1968,11,2,4,49,8.5437
1968,11,2,5,68,7.9747
1968,11,3,1,109,6.6293
1968,11,3,2,104,5.4221
1968,11,3,3,106,6.7752
1968,11,3,4,119,6.0978
1968,11,3,5,88,1.8260
1968,12,1,1,181,2.7997
1968,12,1,2,109,0.4153
1968,12,1,3,84,2.0637
1968,12,1,4,71,0.6903
1968,12,1,5,121,1.2535
1968,12,2,1,105,-1.1122
1968,12,2,2,62,-0.8042
1968,12,2,3,57,-2.1396
1968,12,2,4,44,-1.7455
1968,12,2,5,71,0.2001
1968,12,3,1,116,-5.3459
1968,12,3,2,100,-4.3092
1968,12,3,3,106,-3.1767
1968,12,3,4,119,-4.0542
1968,12,3,5,86,-1.8629
1969,1,1,1,192,-2.0572
1969,1,1,2,114,-2.7353
1969,1,1,3,72,-1.9454
1969,1,1,4,67,-0.9222
1969,1,1,5,118,1.2048
1969,1,2,1,98,-3.0446
1969,1,2,2,59,-2.8841
1969,1,2,3,62,-0.4657
1969,1,2,4,42,0.5037
1969,1,2,5,73,1.0666
1969,1,3,1,115,-2.7648
1969,1,3,2,103,-0.8139
1969,1,3,3,105,-0.8365
1969,1,3,4,119,-0.0724
1969,1,3,5,88,0.3536
1969,2,1,1,202,-11.9124
1969,2,1,2,94,-8.8356
1969,2,1,3,63,-8.0260
1969,2,1,4,73,-6.3953
1969,2,1,5,109,-6.1531
1969,2,2,1,102,-10.1874
1969,2,2,2,71,-7.8717
1969,2,2,3,56,-8.7296
1969,2,2,4,51,-6.2395
1969,2,2,5,60,-7.0817
1969,2,3,1,102,-3.4148
1969,2,3,2,102,-4.9748
1969,2,3,3,115,-5.7704
1969,2,3,4,107,-3.8183
1969,2,3,5,93,-6.1431
1969,3,1,1,202,3.1020
1969,3,1,2,95,1.9869
1969,3,1,3,69,2.9451
1969,3,1,4,81,2.2442
1969,3,1,5,121,2.4960
1969,3,2,1,90,3.6693
1969,3,2,2,71,0.9060
1969,3,2,3,56,3.4747
1969,3,2,4,53,2.7275
1969,3,2,5,65,2.8838
1969,3,3,1,104,4.6673
1969,3,3,2,104,3.8697
1969,3,3,3,116,2.0750
1969,3,3,4,103,3.1924
1969,3,3,5,89,2.5191
1969,4,1,1,193,-0.5031
1969,4,1,2,94,0.7434
1969,4,1,3,73,-2.8497
1969,4,1,4,87,-1.7371
1969,4,1,5,126,-1.8804
1969,4,2,1,96,2.3482
1969,4,2,2,70,-0.8395
1969,4,2,3,55,1.7199
1969,4,2,4,56,-0.7186
1969,4,2,5,65,1.8119
1969,4,3,1,105,3.7764
1969,4,3,2,110,2.0069
1969,4,3,3,109,1.3237
1969,4,3,4,108,2.2093
1969,4,3,5,86,0.2441
1969,5,1,1,197,1.0680
1969,5,1,2,87,2.1688
1969,5,1,3,76,-0.0580
1969,5,1,4,84,-0.8374
1969,5,1,5,154,2.0358
1969,5,2,1,99,-0.5799
1969,5,2,2,73,-1.2649
1969,5,2,3,60,0.1594
1969,5,2,4,59,0.4565
1969,5,2,5,67,-2.1143
1969,5,3,1,117,0.0411
1969,5,3,2,112,-0.5341
1969,5,3,3,118,1.2200
1969,5,3,4,106,1.0720
1969,5,3,5,83,0.7691
1969,6,1,1,197,-14.5848
1969,6,1,2,86,-12.9208
1969,6,1,3,71,-12.3846
1969,6,1,4,83,-9.8766
1969,6,1,5,145,-12.4536
1969,6,2,1,105,-11.5493
1969,6,2,2,68,-11.7918
1969,6,2,3,62,-9.4937
1969,6,2,4,54,-9.2288
1969,6,2,5,61,-11.3676
1969,6,3,1,112,-1.7919
1969,6,3,2,120,-6.6561
