year,month,rank_ME,rank_IR,nstocks,ret_vw
1967,1,1,1,31,19.3811
1967,1,1,2,14,22.3436
1967,1,1,3,11,19.9870
1967,1,1,4,12,20.5646
1967,1,1,5,5,18.1074
1967,1,2,1,24,18.7914
1967,1,2,2,13,11.9158
1967,1,2,3,15,14.3954
1967,1,2,4,14,10.7292
1967,1,2,5,15,24.3089
1967,1,3,1,28,15.2114
1967,1,3,2,56,8.3991
1967,1,3,3,57,7.8607
1967,1,3,4,57,4.7887
1967,1,3,5,62,9.8901
1967,2,1,1,31,6.8706
1967,2,1,2,14,-2.3060
1967,2,1,3,11,3.0357
1967,2,1,4,12,5.0785
1967,2,1,5,5,10.5813
1967,2,2,1,24,1.5194
1967,2,2,2,13,2.1673
1967,2,2,3,15,0.0593
1967,2,2,4,14,-0.0847
1967,2,2,5,15,2.7766
1967,2,3,1,28,-1.2707
1967,2,3,2,56,-0.2982
1967,2,3,3,57,0.8629
1967,2,3,4,57,1.5521
1967,2,3,5,62,0.9920
1967,3,1,1,31,5.6594
1967,3,1,2,14,4.9280
1967,3,1,3,11,3.1356
1967,3,1,4,12,12.7110
1967,3,1,5,5,7.4839
1967,3,2,1,24,6.1768
1967,3,2,2,13,5.4455
1967,3,2,3,15,6.2953
1967,3,2,4,14,7.0530
1967,3,2,5,15,5.8080
1967,3,3,1,28,5.2299
1967,3,3,2,56,4.3802
1967,3,3,3,57,4.8552
1967,3,3,4,57,3.9339
1967,3,3,5,62,4.3957
1967,4,1,1,31,5.2596
1967,4,1,2,14,7.5702
1967,4,1,3,11,10.7484
1967,4,1,4,12,3.2169
1967,4,1,5,5,0.0405
1967,4,2,1,24,4.0752
1967,4,2,2,13,0.6572
1967,4,2,3,15,4.3564
1967,4,2,4,14,8.3613
1967,4,2,5,15,4.6639
1967,4,3,1,28,4.1328
1967,4,3,2,56,0.8963
1967,4,3,3,57,2.1895
1967,4,3,4,57,4.5785
1967,4,3,5,62,8.5936
1967,5,1,1,31,4.9348
1967,5,1,2,14,1.8307
1967,5,1,3,11,-0.1948
1967,5,1,4,12,-1.0255
1967,5,1,5,5,-4.5604
1967,5,2,1,24,-2.5378
1967,5,2,2,13,0.2727
1967,5,2,3,15,-4.1498
1967,5,2,4,14,-2.1971
1967,5,2,5,15,-1.9655
1967,5,3,1,28,-4.6457
1967,5,3,2,56,-5.0190
1967,5,3,3,57,-1.9953
1967,5,3,4,57,-4.4322
1967,5,3,5,62,-6.4650
1967,6,1,1,31,14.3147
1967,6,1,2,14,7.9399
1967,6,1,3,11,12.0171
1967,6,1,4,12,10.2423
1967,6,1,5,5,12.3399
1967,6,2,1,24,6.3215
1967,6,2,2,13,7.2584
1967,6,2,3,15,5.0109
1967,6,2,4,14,2.7136
1967,6,2,5,15,6.7360
1967,6,3,1,28,0.6964
1967,6,3,2,56,3.4826
1967,6,3,3,57,2.8027
1967,6,3,4,57,2.3277
1967,6,3,5,62,1.1731
1967,7,1,1,31,9.5821
1967,7,1,2,16,8.8666
1967,7,1,3,17,10.4351
1967,7,1,4,8,2.7566
1967,7,1,5,6,10.8331
1967,7,2,1,34,11.0352
1967,7,2,2,21,8.6802
1967,7,2,3,22,7.7483
1967,7,2,4,16,7.4013
1967,7,2,5,12,7.0052
1967,7,3,1,39,6.2508
1967,7,3,2,65,-1.0499
1967,7,3,3,64,4.8648
1967,7,3,4,77,5.9170
1967,7,3,5,84,4.9687
1967,8,1,1,31,1.7683
1967,8,1,2,16,-2.5319
1967,8,1,3,17,1.2123
1967,8,1,4,8,0.4407
1967,8,1,5,6,1.4667
1967,8,2,1,34,0.0826
1967,8,2,2,21,-0.3685
1967,8,2,3,22,1.9322
1967,8,2,4,16,0.7496
1967,8,2,5,12,1.0550
1967,8,3,1,39,-0.3043
1967,8,3,2,65,-1.1057
1967,8,3,3,64,-0.7780
1967,8,3,4,77,-0.7643
1967,8,3,5,84,-0.6054
1967,9,1,1,31,6.7576
1967,9,1,2,16,8.8033
1967,9,1,3,17,2.5464
1967,9,1,4,8,5.9070
1967,9,1,5,6,1.9091
1967,9,2,1,34,4.3469
1967,9,2,2,21,4.6218
1967,9,2,3,22,3.2370
1967,9,2,4,16,-0.9890
1967,9,2,5,12,4.9519
1967,9,3,1,39,1.7539
1967,9,3,2,65,2.2912
1967,9,3,3,64,2.2680
1967,9,3,4,77,4.8089
