year,month,rank_ME,rank_NOP,nstocks,ret_vw
1972,7,1,1,116,-6.2783
1972,7,1,2,100,-5.5160
1972,7,1,3,70,-3.0081
1972,7,1,4,54,-2.5453
1972,7,1,5,93,-1.2572
1972,7,2,1,65,-5.5796
1972,7,2,2,57,-4.1394
1972,7,2,3,48,-1.1411
1972,7,2,4,47,-3.1116
1972,7,2,5,49,-0.8730
1972,7,3,1,87,-3.0526
1972,7,3,2,99,1.9087
1972,7,3,3,92,0.4998
1972,7,3,4,92,-0.3640
1972,7,3,5,63,-1.1969
1972,8,1,1,116,0.0284
1972,8,1,2,99,-0.8018
1972,8,1,3,70,0.6379
1972,8,1,4,54,0.9927
1972,8,1,5,93,1.7969
1972,8,2,1,65,2.0594
1972,8,2,2,57,-0.9618
1972,8,2,3,48,3.6505
1972,8,2,4,47,2.3990
1972,8,2,5,49,2.8373
1972,8,3,1,87,0.8869
1972,8,3,2,99,1.4216
1972,8,3,3,92,1.6427
1972,8,3,4,92,7.3109
1972,8,3,5,63,8.8083
1972,9,1,1,116,-4.7869
1972,9,1,2,100,-4.5814
1972,9,1,3,70,-4.8084
1972,9,1,4,54,-4.9260
1972,9,1,5,93,-2.8318
1972,9,2,1,65,-3.2524
1972,9,2,2,57,-2.5298
1972,9,2,3,48,-2.7689
1972,9,2,4,47,-3.2538
1972,9,2,5,49,-1.9990
1972,9,3,1,87,-2.6266
1972,9,3,2,99,-0.5259
1972,9,3,3,92,-0.4896
1972,9,3,4,92,-1.8980
1972,9,3,5,63,1.3675
1972,10,1,1,116,-2.3478
1972,10,1,2,100,-2.8727
1972,10,1,3,69,-2.3990
1972,10,1,4,54,-1.8907
1972,10,1,5,93,-1.4261
1972,10,2,1,65,-1.1427
1972,10,2,2,57,-1.9460
1972,10,2,3,48,-0.6186
1972,10,2,4,47,-1.9606
1972,10,2,5,49,0.6574
1972,10,3,1,87,0.6649
1972,10,3,2,99,0.4970
1972,10,3,3,92,0.6576
1972,10,3,4,92,-1.0126
1972,10,3,5,63,2.0805
1972,11,1,1,116,7.5137
1972,11,1,2,100,5.0553
1972,11,1,3,70,4.5485
1972,11,1,4,54,4.4948
1972,11,1,5,93,5.9709
1972,11,2,1,65,4.4196
1972,11,2,2,57,6.4021
1972,11,2,3,48,6.1882
1972,11,2,4,47,5.6732
1972,11,2,5,49,9.7564
1972,11,3,1,87,6.0399
1972,11,3,2,99,0.3781
1972,11,3,3,91,3.8038
1972,11,3,4,92,8.4584
1972,11,3,5,63,8.7012
1972,12,1,1,116,-2.4112
1972,12,1,2,100,-2.1022
1972,12,1,3,70,-2.9567
1972,12,1,4,54,-1.2132
1972,12,1,5,93,-1.0234
1972,12,2,1,65,-2.3736
1972,12,2,2,57,0.6097
1972,12,2,3,48,1.5329
1972,12,2,4,47,-1.4492
1972,12,2,5,49,0.0755
1972,12,3,1,87,0.8922
1972,12,3,2,99,3.2562
1972,12,3,3,92,3.0850
1972,12,3,4,92,-0.3796
1972,12,3,5,63,0.8351
1973,1,1,1,116,-5.4182
1973,1,1,2,100,-4.0518
1973,1,1,3,70,-5.5216
1973,1,1,4,54,-2.7640
