year,month,rank_ME,rank_OCP,nstocks,ret_vw
1972,7,1,1,66,-4.5109
1972,7,1,2,85,-2.4306
1972,7,1,3,86,-6.4891
1972,7,1,4,87,-2.9499
1972,7,1,5,147,-2.9673
1972,7,2,1,54,-3.0289
1972,7,2,2,54,-2.6275
1972,7,2,3,48,-3.8105
1972,7,2,4,54,-3.2884
1972,7,2,5,43,-2.5368
1972,7,3,1,110,1.7970
1972,7,3,2,84,0.6669
1972,7,3,3,84,-1.3097
1972,7,3,4,80,-1.0367
1972,7,3,5,63,0.0901
1972,8,1,1,66,-0.4276
1972,8,1,2,84,-1.9948
1972,8,1,3,86,1.5556
1972,8,1,4,87,1.2831
1972,8,1,5,147,1.3159
1972,8,2,1,54,2.2844
1972,8,2,2,54,0.7868
1972,8,2,3,48,1.2618
1972,8,2,4,54,2.2270
1972,8,2,5,43,4.8096
1972,8,3,1,110,-0.5334
1972,8,3,2,84,2.8313
1972,8,3,3,84,6.8981
1972,8,3,4,80,7.4788
1972,8,3,5,63,9.6195
1972,9,1,1,66,-4.7158
1972,9,1,2,85,-3.4150
1972,9,1,3,86,-5.6517
1972,9,1,4,87,-3.8060
1972,9,1,5,147,-4.5323
1972,9,2,1,54,-2.3298
1972,9,2,2,54,-2.7163
1972,9,2,3,48,-1.6102
1972,9,2,4,54,-2.5902
1972,9,2,5,43,-3.0276
1972,9,3,1,110,0.0420
1972,9,3,2,84,-0.6256
1972,9,3,3,84,-2.7613
1972,9,3,4,80,0.4571
1972,9,3,5,63,-1.3169
1972,10,1,1,66,-3.6798
1972,10,1,2,85,-3.7808
1972,10,1,3,86,-3.0307
1972,10,1,4,87,0.2755
1972,10,1,5,147,-0.9041
1972,10,2,1,54,-0.4057
1972,10,2,2,54,-1.7903
1972,10,2,3,48,0.4956
1972,10,2,4,54,-2.4469
1972,10,2,5,43,-0.6908
1972,10,3,1,110,2.4095
1972,10,3,2,84,-1.6195
1972,10,3,3,84,0.0452
1972,10,3,4,80,2.1787
1972,10,3,5,63,1.7787
1972,11,1,1,66,5.3318
1972,11,1,2,85,3.1371
1972,11,1,3,86,5.9414
1972,11,1,4,87,5.3073
1972,11,1,5,147,5.1817
1972,11,2,1,54,6.5427
1972,11,2,2,54,3.6383
1972,11,2,3,48,7.8186
1972,11,2,4,54,7.3780
1972,11,2,5,43,8.5601
1972,11,3,1,110,1.0847
1972,11,3,2,84,2.6206
1972,11,3,3,84,7.1681
1972,11,3,4,80,7.4437
1972,11,3,5,63,10.0444
1972,12,1,1,66,-1.6581
1972,12,1,2,85,0.3101
1972,12,1,3,86,-2.7488
1972,12,1,4,87,-2.5643
1972,12,1,5,147,-2.3291
1972,12,2,1,54,1.1953
1972,12,2,2,54,-0.2681
1972,12,2,3,48,-0.5939
1972,12,2,4,54,-1.1580
1972,12,2,5,43,-2.0601
1972,12,3,1,110,4.4584
1972,12,3,2,84,2.1085
1972,12,3,3,84,0.6036
1972,12,3,4,80,0.0936
1972,12,3,5,63,-0.6052
1973,1,1,1,66,-2.1961
1973,1,1,2,85,-3.3265
1973,1,1,3,86,-4.3790
1973,1,1,4,87,-1.4976
1973,1,1,5,147,-2.3139
1973,1,2,1,54,-9.9840
1973,1,2,2,54,-7.2055
1973,1,2,3,48,-4.9367
1973,1,2,4,54,-3.4989
1973,1,2,5,43,-3.7375
1973,1,3,1,110,-2.8930
1973,1,3,2,84,0.2997
1973,1,3,3,84,-4.5724
1973,1,3,4,80,0.7366
1973,1,3,5,63,-1.6422
1973,2,1,1,66,-9.8547
1973,2,1,2,85,-6.8429
1973,2,1,3,86,-8.4711
1973,2,1,4,87,-7.6832
1973,2,1,5,147,-6.1171
1973,2,2,1,54,-10.3532
1973,2,2,2,54,-9.5969
1973,2,2,3,48,-8.6656
1973,2,2,4,54,-5.5911
1973,2,2,5,43,-9.0141
1973,2,3,1,110,-2.0508
1973,2,3,2,84,-2.1741
1973,2,3,3,84,-2.9843
1973,2,3,4,80,-5.7214
1973,2,3,5,63,-7.0923
1973,3,1,1,66,-3.6838
1973,3,1,2,85,-2.0276
1973,3,1,3,86,-3.4174
1973,3,1,4,87,-2.8916
1973,3,1,5,147,-0.9897
1973,3,2,1,54,-2.7083
1973,3,2,2,54,-4.5195
1973,3,2,3,48,-4.1058
1973,3,2,4,54,-2.4660
1973,3,2,5,43,0.9023
1973,3,3,1,110,0.6262
1973,3,3,2,84,-1.0454
1973,3,3,3,84,-1.3751
1973,3,3,4,80,2.6292
1973,3,3,5,63,1.2537
1973,4,1,1,66,-8.0332
1973,4,1,2,85,-6.1995
1973,4,1,3,86,-7.5089
1973,4,1,4,87,-3.9312
1973,4,1,5,147,-7.1691
1973,4,2,1,54,-10.6536
1973,4,2,2,54,-7.3784
1973,4,2,3,48,-8.3816
1973,4,2,4,54,-4.1797
1973,4,2,5,43,-3.0949
1973,4,3,1,110,-6.0515
1973,4,3,2,84,-5.6932
1973,4,3,3,84,-4.4651
1973,4,3,4,79,-0.1999
1973,4,3,5,63,-3.1446
1973,5,1,1,66,-8.9193
1973,5,1,2,84,-8.9032
1973,5,1,3,86,-9.8248
1973,5,1,4,87,-8.4062
1973,5,1,5,147,-7.9569
1973,5,2,1,54,-9.1264
1973,5,2,2,54,-9.5440
1973,5,2,3,48,-7.9609
1973,5,2,4,54,-8.1160
1973,5,2,5,43,-7.9458
1973,5,3,1,110,0.3645
1973,5,3,2,84,-1.4340
1973,5,3,3,84,-1.6875
1973,5,3,4,79,-3.7802
1973,5,3,5,63,-2.2634
1973,6,1,1,66,-5.9346
1973,6,1,2,84,-2.8138
1973,6,1,3,86,-2.9312
1973,6,1,4,87,-5.4865
1973,6,1,5,147,-3.2510
1973,6,2,1,54,-4.4976
1973,6,2,2,54,-4.3543
1973,6,2,3,48,-1.7209
1973,6,2,4,54,-3.4789
1973,6,2,5,43,-3.1870
1973,6,3,1,110,-0.4106
1973,6,3,2,84,0.4585
1973,6,3,3,84,-1.5875
1973,6,3,4,79,-0.6512
1973,6,3,5,63,-1.5948
1973,7,1,1,85,20.8843
1973,7,1,2,127,15.5516
1973,7,1,3,115,13.2014
1973,7,1,4,141,14.1757
1973,7,1,5,178,14.3625
1973,7,2,1,50,18.0635
1973,7,2,2,67,14.7193
1973,7,2,3,64,10.1567
1973,7,2,4,62,11.7552
1973,7,2,5,63,9.9670
1973,7,3,1,139,6.8783
1973,7,3,2,102,4.4502
1973,7,3,3,88,5.0360
1973,7,3,4,85,1.6659
1973,7,3,5,70,2.2399
1973,8,1,1,85,-8.9878
1973,8,1,2,127,-7.1021
1973,8,1,3,114,-5.8183
1973,8,1,4,141,-6.0492
1973,8,1,5,177,-4.8381
1973,8,2,1,50,-2.0680
1973,8,2,2,67,-2.8082
1973,8,2,3,64,-5.2299
1973,8,2,4,62,-4.6022
1973,8,2,5,63,-4.5139
1973,8,3,1,139,-4.1665
1973,8,3,2,102,-2.2363
1973,8,3,3,88,-2.5391
1973,8,3,4,85,-3.8795
