year,month,rank_ME,rank_OCPq_1,nstocks,ret_vw
1985,1,1,1,757,15.5713
1985,1,1,2,285,15.0401
1985,1,1,3,284,13.8667
1985,1,1,4,316,12.8459
1985,1,1,5,437,14.2748
1985,1,2,1,176,13.7460
1985,1,2,2,108,11.4611
1985,1,2,3,72,13.5143
1985,1,2,4,81,10.6890
1985,1,2,5,79,11.5540
1985,1,3,1,121,10.4764
1985,1,3,2,110,8.9195
1985,1,3,3,110,7.3713
1985,1,3,4,106,7.0629
1985,1,3,5,81,7.4531
1985,2,1,1,740,4.0275
1985,2,1,2,343,3.3996
1985,2,1,3,299,2.4299
1985,2,1,4,279,3.8346
1985,2,1,5,440,4.3097
1985,2,2,1,163,3.0301
1985,2,2,2,127,2.1846
1985,2,2,3,79,3.1265
1985,2,2,4,89,1.6373
1985,2,2,5,60,1.4907
1985,2,3,1,124,1.2000
1985,2,3,2,99,0.6688
1985,2,3,3,124,2.0953
1985,2,3,4,96,2.5601
1985,2,3,5,86,1.5331
1985,3,1,1,749,-2.7463
1985,3,1,2,330,-0.7624
1985,3,1,3,281,-2.0660
1985,3,1,4,314,-2.1803
1985,3,1,5,430,-2.4854
1985,3,2,1,163,-6.5195
1985,3,2,2,124,-3.7424
1985,3,2,3,77,-2.5578
1985,3,2,4,92,-2.2662
1985,3,2,5,61,1.4362
1985,3,3,1,127,-0.9684
1985,3,3,2,101,1.5264
1985,3,3,3,113,-1.3437
1985,3,3,4,98,-1.4938
1985,3,3,5,87,0.5407
1985,4,1,1,766,-2.7591
1985,4,1,2,325,-2.3768
1985,4,1,3,267,-1.0535
1985,4,1,4,312,-1.5660
1985,4,1,5,420,-2.2262
1985,4,2,1,150,-3.3759
1985,4,2,2,133,-1.7240
1985,4,2,3,87,-2.0020
1985,4,2,4,88,-0.1653
1985,4,2,5,55,-0.4549
1985,4,3,1,127,-2.1750
1985,4,3,2,96,-1.9530
1985,4,3,3,116,-1.1360
1985,4,3,4,99,-1.9799
1985,4,3,5,85,2.6317
1985,5,1,1,706,2.9045
1985,5,1,2,328,2.1495
1985,5,1,3,299,2.6947
1985,5,1,4,277,1.0209
1985,5,1,5,415,0.7381
1985,5,2,1,156,3.8018
1985,5,2,2,116,3.6643
1985,5,2,3,93,4.0550
1985,5,2,4,77,2.8114
1985,5,2,5,65,2.5414
1985,5,3,1,120,7.9972
1985,5,3,2,108,7.0142
1985,5,3,3,106,6.4948
1985,5,3,4,110,5.2469
