year,month,rank_ME,rank_OP,nstocks,ret_vw
1972,7,1,1,82,-5.8462
1972,7,1,2,53,-4.8303
1972,7,1,3,59,-1.9492
1972,7,1,4,44,-2.7846
1972,7,1,5,79,-1.0265
1972,7,2,1,37,-2.8744
1972,7,2,2,42,-1.7445
1972,7,2,3,43,-3.1309
1972,7,2,4,42,-2.3980
1972,7,2,5,41,-1.0832
1972,7,3,1,97,1.0946
1972,7,3,2,82,1.3476
1972,7,3,3,78,-0.9723
1972,7,3,4,76,-1.2181
1972,7,3,5,60,-0.7102
1972,8,1,1,82,-0.0856
1972,8,1,2,53,1.0962
1972,8,1,3,59,-0.9549
1972,8,1,4,44,0.4718
1972,8,1,5,79,2.3721
1972,8,2,1,37,0.8327
1972,8,2,2,42,0.1992
1972,8,2,3,43,2.5074
1972,8,2,4,42,3.7539
1972,8,2,5,41,3.1373
1972,8,3,1,97,0.9552
1972,8,3,2,82,0.9625
1972,8,3,3,78,6.6028
1972,8,3,4,76,8.7338
1972,8,3,5,60,7.6137
1972,9,1,1,82,-5.3243
1972,9,1,2,53,-3.8944
1972,9,1,3,59,-4.2328
1972,9,1,4,44,-5.2597
1972,9,1,5,79,-2.9618
1972,9,2,1,37,-2.6703
1972,9,2,2,42,-3.2933
1972,9,2,3,43,-3.3228
1972,9,2,4,42,-1.6217
1972,9,2,5,41,-2.4466
1972,9,3,1,97,-0.8347
1972,9,3,2,82,0.0777
1972,9,3,3,78,-3.0437
1972,9,3,4,76,-0.5417
1972,9,3,5,60,0.9989
1972,10,1,1,82,-2.8931
1972,10,1,2,53,-3.4503
1972,10,1,3,59,-2.0415
1972,10,1,4,44,-2.7591
1972,10,1,5,79,-0.7433
1972,10,2,1,37,-1.3054
1972,10,2,2,42,-0.6535
1972,10,2,3,43,-0.6807
1972,10,2,4,42,1.7806
1972,10,2,5,41,-1.6223
1972,10,3,1,97,2.4529
1972,10,3,2,82,-0.5167
1972,10,3,3,78,0.0006
1972,10,3,4,76,-1.3003
1972,10,3,5,60,2.7610
1972,11,1,1,82,4.6477
1972,11,1,2,53,4.4952
1972,11,1,3,59,5.2853
1972,11,1,4,44,8.4545
1972,11,1,5,79,5.0291
1972,11,2,1,37,5.0310
