year,month,rank_ME,rank_Rev_12,nstocks,ret_vw
1967,1,1,1,62,19.8272
1967,1,1,2,27,17.5780
1967,1,1,3,27,14.6250
1967,1,1,4,27,19.8260
1967,1,1,5,29,20.1219
1967,1,2,1,48,20.8367
1967,1,2,2,54,14.6435
1967,1,2,3,44,11.8291
1967,1,2,4,47,12.0338
1967,1,2,5,51,19.6907
1967,1,3,1,74,8.1488
1967,1,3,2,101,8.8999
1967,1,3,3,113,6.0527
1967,1,3,4,109,5.9356
1967,1,3,5,104,9.6451
1967,2,1,1,65,5.5712
1967,2,1,2,38,3.0494
1967,2,1,3,42,2.3873
1967,2,1,4,34,3.2506
1967,2,1,5,33,-0.3588
1967,2,2,1,60,3.1024
1967,2,2,2,74,2.1277
1967,2,2,3,63,1.0888
1967,2,2,4,61,2.3815
1967,2,2,5,56,-0.1148
1967,2,3,1,86,0.7916
1967,2,3,2,133,2.0817
1967,2,3,3,145,-0.0236
1967,2,3,4,138,-0.0830
1967,2,3,5,118,1.0561
1967,3,1,1,68,5.3701
1967,3,1,2,43,6.9720
1967,3,1,3,50,5.0807
1967,3,1,4,46,7.6231
1967,3,1,5,41,6.5410
1967,3,2,1,68,6.8856
1967,3,2,2,83,4.7933
1967,3,2,3,72,5.1996
1967,3,2,4,73,5.5018
1967,3,2,5,62,5.7626
1967,3,3,1,98,3.6992
1967,3,3,2,163,4.8072
1967,3,3,3,174,2.7717
1967,3,3,4,153,4.1644
1967,3,3,5,124,5.3604
1967,4,1,1,74,4.0590
1967,4,1,2,49,3.9346
1967,4,1,3,56,3.2792
1967,4,1,4,51,5.7255
1967,4,1,5,45,3.7675
1967,4,2,1,74,1.8902
1967,4,2,2,91,2.2420
1967,4,2,3,83,2.8199
1967,4,2,4,81,5.1458
1967,4,2,5,64,2.9578
1967,4,3,1,107,0.8917
1967,4,3,2,172,4.4220
1967,4,3,3,187,4.1729
1967,4,3,4,162,4.9609
1967,4,3,5,129,6.1916
1967,5,1,1,76,1.0551
1967,5,1,2,54,-1.1441
1967,5,1,3,61,-2.1232
1967,5,1,4,59,2.1895
1967,5,1,5,46,0.8842
1967,5,2,1,83,-1.9489
1967,5,2,2,99,-1.7361
1967,5,2,3,98,-2.7109
1967,5,2,4,90,-0.2357
1967,5,2,5,68,-1.6723
1967,5,3,1,118,-4.5238
1967,5,3,2,198,-3.8385
1967,5,3,3,201,-4.0654
1967,5,3,4,175,-4.3988
1967,5,3,5,136,-5.6591
1967,6,1,1,79,9.2057
1967,6,1,2,59,6.6416
1967,6,1,3,66,10.1339
1967,6,1,4,64,7.0117
1967,6,1,5,48,9.0785
1967,6,2,1,86,7.9406
1967,6,2,2,98,5.7416
1967,6,2,3,98,6.0585
1967,6,2,4,95,5.9024
1967,6,2,5,72,5.6967
1967,6,3,1,123,2.5115
1967,6,3,2,206,2.3753
1967,6,3,3,215,1.1468
1967,6,3,4,185,2.1569
1967,6,3,5,141,1.8981
1967,7,1,1,81,8.7946
1967,7,1,2,61,8.7226
1967,7,1,3,69,9.3180
1967,7,1,4,65,10.3788
1967,7,1,5,51,9.5518
1967,7,2,1,91,8.1741
1967,7,2,2,112,9.1152
1967,7,2,3,106,8.1725
1967,7,2,4,106,8.3400
1967,7,2,5,77,5.8719
1967,7,3,1,130,-0.0267
1967,7,3,2,223,3.9118
1967,7,3,3,224,5.7327
1967,7,3,4,198,6.6645
1967,7,3,5,149,5.0057
1967,8,1,1,257,0.8177
1967,8,1,2,142,-0.9771
1967,8,1,3,130,-1.4210
1967,8,1,4,127,-0.1584
1967,8,1,5,124,0.6996
1967,8,2,1,109,0.1076
1967,8,2,2,119,0.0669
1967,8,2,3,120,-0.2624
1967,8,2,4,135,0.8909
1967,8,2,5,101,0.1604
1967,8,3,1,142,-0.7755
1967,8,3,2,234,-0.7217
1967,8,3,3,239,-0.6243
1967,8,3,4,213,-0.5809
1967,8,3,5,171,-0.9534
1967,9,1,1,295,7.1858
1967,9,1,2,165,4.1243
1967,9,1,3,160,4.9543
1967,9,1,4,157,6.0439
1967,9,1,5,132,5.7724
1967,9,2,1,116,3.1904
1967,9,2,2,133,2.4039
1967,9,2,3,131,5.3294
1967,9,2,4,140,5.4491
1967,9,2,5,108,3.9649
1967,9,3,1,151,1.9135
1967,9,3,2,240,3.1955
1967,9,3,3,247,3.3014
1967,9,3,4,221,3.4931
1967,9,3,5,178,2.8961
1967,10,1,1,303,-0.7781
1967,10,1,2,187,-2.9744
1967,10,1,3,182,-2.8497
1967,10,1,4,166,-2.8000
1967,10,1,5,137,-4.4913
1967,10,2,1,124,-1.2464
1967,10,2,2,138,-2.6760
1967,10,2,3,137,-2.8945
1967,10,2,4,149,-2.3360
1967,10,2,5,111,-3.9849
1967,10,3,1,150,-3.6625
1967,10,3,2,246,-3.2953
1967,10,3,3,259,-1.8569
1967,10,3,4,231,-3.7012
1967,10,3,5,182,-2.6983
1967,11,1,1,319,1.1526
1967,11,1,2,211,-0.4820
1967,11,1,3,199,-1.2834
1967,11,1,4,178,0.2769
1967,11,1,5,146,1.1409
1967,11,2,1,124,0.8121
1967,11,2,2,143,0.0726
1967,11,2,3,141,0.2764
1967,11,2,4,153,1.4496
1967,11,2,5,121,0.3332
1967,11,3,1,158,-0.4992
1967,11,3,2,257,1.0037
1967,11,3,3,270,0.7543
1967,11,3,4,239,0.9755
1967,11,3,5,188,1.0351
1967,12,1,1,325,12.3483
1967,12,1,2,223,8.3718
1967,12,1,3,227,10.0433
1967,12,1,4,200,9.1536
1967,12,1,5,150,9.7398
1967,12,2,1,128,7.5602
1967,12,2,2,147,5.0481
1967,12,2,3,152,6.5620
1967,12,2,4,158,6.3370
1967,12,2,5,125,6.2424
1967,12,3,1,161,2.7334
1967,12,3,2,262,4.2821
1967,12,3,3,279,2.7895
1967,12,3,4,248,1.7557
1967,12,3,5,192,1.8936
1968,1,1,1,323,4.6409
1968,1,1,2,237,4.3660
1968,1,1,3,245,3.7913
1968,1,1,4,218,1.9548
1968,1,1,5,156,0.4743
1968,1,2,1,134,2.7253
1968,1,2,2,153,1.2686
1968,1,2,3,153,1.3136
1968,1,2,4,161,-1.9080
1968,1,2,5,133,-1.9971
1968,1,3,1,157,-0.8535
1968,1,3,2,261,-2.7383
1968,1,3,3,271,-3.3265
1968,1,3,4,246,-3.6862
1968,1,3,5,192,-8.9817
1968,2,1,1,326,-7.3658
1968,2,1,2,243,-3.7551
1968,2,1,3,258,-5.4989
1968,2,1,4,234,-6.3147
1968,2,1,5,162,-5.4734
1968,2,2,1,128,-4.3225
1968,2,2,2,150,-2.9725
1968,2,2,3,150,-3.3608
1968,2,2,4,154,-4.6109
1968,2,2,5,139,-5.8947
1968,2,3,1,153,-2.1949
1968,2,3,2,255,-2.4002
1968,2,3,3,266,-2.2667
1968,2,3,4,236,-3.3935
1968,2,3,5,184,-4.2825
1968,3,1,1,327,-0.6117
1968,3,1,2,258,-1.1410
1968,3,1,3,279,-1.5837
1968,3,1,4,252,-0.8651
1968,3,1,5,167,-0.5301
1968,3,2,1,128,-0.8893
1968,3,2,2,153,-1.6236
1968,3,2,3,149,-2.7832
1968,3,2,4,157,-2.3001
1968,3,2,5,141,-1.4343
1968,3,3,1,154,-1.2675
1968,3,3,2,248,-1.0167
1968,3,3,3,262,0.4163
1968,3,3,4,234,1.9031
1968,3,3,5,184,2.5569
1968,4,1,1,326,16.1810
1968,4,1,2,271,13.8416
1968,4,1,3,291,14.1982
1968,4,1,4,257,12.6377
1968,4,1,5,181,14.4446
1968,4,2,1,126,12.2918
1968,4,2,2,152,10.0044
1968,4,2,3,159,12.0283
1968,4,2,4,160,12.8865
1968,4,2,5,141,15.5520
1968,4,3,1,153,5.1232
1968,4,3,2,253,6.9358
1968,4,3,3,265,8.4020
1968,4,3,4,234,9.8927
1968,4,3,5,189,11.3951
1968,5,1,1,333,12.4100
1968,5,1,2,290,12.1389
1968,5,1,3,305,12.0158
1968,5,1,4,268,10.9943
1968,5,1,5,185,9.0346
1968,5,2,1,127,6.7970
1968,5,2,2,153,5.8611
1968,5,2,3,163,6.9199
1968,5,2,4,164,6.2275
1968,5,2,5,146,7.1187
1968,5,3,1,158,0.4380
1968,5,3,2,249,1.0995
1968,5,3,3,262,1.3167
1968,5,3,4,233,2.2935
1968,5,3,5,189,3.5964
1968,6,1,1,340,0.2673
1968,6,1,2,307,1.0548
1968,6,1,3,326,1.4596
1968,6,1,4,277,0.7597
1968,6,1,5,196,-1.2482
